paragraph,esg_label,count_label
13ourapproach13 climate change 18resources20 smarter chemistry,Physical_Impacts_Of_Climate_Change,Waste_And_Hazardous_Materials_Management
23ourapproach23 inclusion and diversity 26 growth and development 27benefits28 compensation 29engagement30 workplace practices and policies 33 health and safety at apple,Employee_Engagement_Inclusion_And_Diversity,Labor_Practices
48ourapproach48privacy50 accessibility 52 inclusive design 53education54health55 caring for customers,Access_And_Affordability,Customer_Welfare
59ourapproach60 racial equity and justice initiative 62education64 affordable housing initiative 65 corporate donations 67employeegiving68 job creation,Employee_Engagement_Inclusion_And_Diversity,Customer_Welfare
74awardsandrecognition75 united nations sustainable development goals 77 stakeholder engagement 78esgdatasummary84 about the report 85 endnotes,Business_Model_Resilience,Employee_Engagement_Inclusion_And_Diversity
today our teams around the world infuse apples deeply held values into everything we make that work can take many forms but whether we are protecting the right to privacy designing technology that is accessible to all or using more recycled material in our products than ever we are always working to make a difference for the people we serve and the planet we inhabit,Product_Design_And_Lifecycle_Management,Business ethics
as a company we know that our impact on peoples lives reaches beyond the technology we create and we apply the same ethos of constant innovation and improvement to every aspect of our work from building an inclusive company culture where everyone feels welcome to becoming carbon neutral across our global supply chain and the lifetime of our products by 2030,Product_Design_And_Lifecycle_Management,Business_Model_Resilience
at the heart of our efforts is a steadfast commitment to serving the communities we are a part of we work with teachers advocates and entrepreneurs from diverse backgrounds as part of our racial equity and justice initiative we help create opportunity in communities on the front lines of climate change through the restore fund which supports carbon removal and sustainable forestry and we provide resources and training to the next generation of innovators through the apple developer academy and educational initiatives across the globe,Physical_Impacts_Of_Climate_Change,Employee_Engagement_Inclusion_And_Diversity
in this report we are pleased to share our progress which is a product of collaboration with committed partners worldwide at apple we believe that the only way to effectively tackle global challenges is by working together and we are grateful to share this road with so many passionate leaders,Human_Rights_And_Community_Relations,Competitive_Behavior
we are engaged in this work because it is right and because we want to leave the world better than we found it in everything we do by leading with our values we hope to be a ripple in the pond that inspires a far greater change,Human_Rights_And_Community_Relations,Business ethics
pay equity at the intersections of race and ethnicity with gender was achieved in 2022,Employee_Engagement_Inclusion_And_Diversity,Customer_Welfare
since april 2020 we have achieved carbon neutrality for our corporate emissions by sourcing 100 percent renewable electricity for apple facilities implementing energy efficiency initiatives and securing carbon offsets for remaining emissions,Energy_Management,GHG_Emissions
since 2017 apple has achieved and maintained gender pay equity for our employees worldwide in the yous weve also achieved pay equity with respect to race and ethnicity as well as pay equity at the intersections of race and ethnicity with gender,Employee_Engagement_Inclusion_And_Diversity,Customer_Welfare
with ios145inapril2021we released app tracking transparency for ipad and i phone requiring developers to obtain a users permission to track them across apps or web sites owned by other companies for advertising purposes,Management_Of_Legal_And_Regulatory_Framework,Customer_Privacy
we hold ourselves and our suppliers to the highest standards of labor and human rights health and safety and environmental stewardship in fiscal year 2021weconducted1177 assessments including 291 smelter and refiner assessments to verify that suppliers are meeting our strict requirements,Employee_Health_And_Safety,Labor_Practices
we announced our supplier employee development fund which will expand our best in class labor programs in our supply chain and establish a global education hub to scale the expansion of the technical and professional skills necessary for the jobs of today and tomorrow in our supply chain and surrounding communities,Labor_Practices,Competitive_Behavior
