paragraph,predict_label
Reflecting on Progress Defining the Future of Flight 2021 Sustainable Aerospace Journey,15
10 Company Profile 11 Our Sustainability Journey 12 Sustainability Goals 13 Report on Net Zero Indicator 15 Governance and Risk Management 17 Ethical and Compliant Business,0
23 Employee Safety 24 Employee WellBeing 27 Global Equity Diversity and Inclusion 31,8
34 Global Aerospace Safety 37 Sustainable Product Life Cycle 41,15
49 Enterprise Quality 51 Climate Action 53 Environmentally Responsible Operations 56 Environmental Compliance and Biodiversity 58 Responsible Supply Chain 60 Data Privacy and Information Security,17
62 Community Engagement 63 Our Heroes 64 Our Future 66 Our Homes,10
68 Key ESG Data 72 GRI Index 82 SASB Index 84 TCFD Index 85 UN Sustainable Development Goals 87 87 88 ForwardLooking Statements,3
Cover Photo Carla DavisMadgett Vice President of Boeings Environment Health Safety organization recently participated in a walkthrough of the 787 manufacturing process in Boeing South Carolina with Paul Rollerson a Fabrication Specialist Boeing photo,9
The aerospace manufacturing and aviation industries play a profound role in our world Safety will always be our top priority Sustainability represents an opportunity for us to define our next chapter together with a focus on reducing carbon emissions and enabling people everywhere to travel and fly responsibly These efforts make it possible for the next generation of aerospace workers to continue to enjoy rewarding careers strengthen the fabric of the communities where we operate and collaborate within our industry for environmental stewardship E social progress S and transparent governance G,10
of netzero carbon emissions Aerospace also continues to be essential to national security humanitarian and peacekeeping efforts around the globe We are committed to preserving the societal security and economic benefits of our industry safely and sustainably,12
Advancing the future of flight and improving the world for future generations requires a multifaceted approach Our focus on ESG is embedded in our culture and our stakeholders expectations including our current and future employees customers regulators suppliers communities and investors,10
Boeings mission is to protect connect and explore our world and beyond Every day we are dedicated to carrying out our mission safely and sustainably Boeing is pursuing sustainable aerospace together because we know it is an imperative and because our teammates are committed to making the world better for future generations,10
Throughout Boeings long history we have looked for ways to enhance sustainability in everything we do This commitment to innovate is deeply rooted in our core values where we continue to reinforce safety as our top priority strive for firsttime quality and hold ourselves to the highest ethical standards to support a more sustainable future,14
By 2050 our industry sees a world where air travel will carry over 10 billion passengers a year support 180 million jobs and generate nearly 9 trillion in economic activity all while furthering our goal of minimizing the impact on our planet and striving to achieve the commercial aviation industrys ambition,24
To address climate change Boeing continues to collaborate with partners across the globe on innovation and clean technology to get commercial aviation to netzero carbon emissions Were finding more efficient ways for our commercial and defense customers to operate their fleets and were investing heavily in sustainable aviation fuels considered the safest and most measurable solution to reduce aviation carbon emissions over the next 20 to 30 years We continue to test the latest technologies to cut emissions reduce noise and enhance safety with our ecoDemonstrator program which celebrates its 10th anniversary this year while investing in and demonstrating alternative fuel solutions to inform the future of flight We are committed to maintaining netzero carbon emissions within our operations as we advance the designfor environment view of our defense and commercial products and build sustainability into every step of our product life cycle,15
Reward predictability and stability everywhere in our business,18
Foster a Just Culture grounded in humility inclusion and transparency,0
Respect one another and advance a global diverse team,8
Innovate and operate to make the world better,3
Our people are our most important asset Employee safety and wellbeing is our priority We have taken steps to create open candid and respectful environments for all our teammates not just within our four walls but within the communities where we live and work Boeings Seek Speak Listen habits are foundational to a culture of integrity and inclusion Were committed to increasing the representation of women and underrepresented racial and ethnic minorities at every level of our company And we continue to invest in our future through technical and educational organizations that inspire the next generation of aerospace innovators,8
Most recently our focus has been on our employees affected by the war in Ukraine As a global company with over a century in flight and a long legacy of advancing human freedom Boeing has continuously navigated challenging and shifting geopolitical dynamics and we will continue to do so in this case guided by our values We have taken action and will continue to follow the lead of the US Government and focus on strictly adhering to the export controls and restrictions that have been announced governing work in Russia as a baseline while also taking additional actions As always our first priority is safety and the safety of our employees in Ukraine has our total focus We also announced a significant humanitarian assistance package to support the Ukrainian people affected by,9
the ongoing conflict I am incredibly proud of our teammates who have made their own donations in support of Ukrainian humanitarian relief which the company is matching through our Boeing Gift Match Program,5
Our Board of Directors works closely with Boeing leaders to ensure we hold ourselves to the highest standards in our work ethical conduct and information protection We all sign a Code of Conduct annually and commit to prioritizing safety quality and integrity and holding one another accountable Through the Boards Governance Public Policy Committee we have enhanced our practices and policies and formalized oversight of public policy political advocacy and corporate sustainability practices including matters related to environmental stewardship and climate change and to diversity equity and inclusion,0
Opportunity lies before us as we advance safe and sustainable aerospace which is critical to our commercial and defense customers and to our communities at large I am proud of our teams as they explore innovative ways to help us continue to take meaningful steps toward a more sustainable future I invite you to join us on our journey as we advance the future of flight together safely and sustainably,15
Reflecting on Progress Defining the Future of Flight,3
Boeings purpose is to protect connect and explore our world and beyond We have a responsibility to do it safely with quality integrity and sustainability We strive to earn trust and ideally preference with our stakeholders through collaboration humility inclusion transparency and learning Above all else is safety As air travel resumes around the globe and workplaces change health and safety are always our top priority We will continue working across the industry to enhance employee health and global aerospace safety and you will see that addressed throughout this report,9
Boeing established its first Chief Sustainability Officer role and formed a Global Enterprise Sustainability organization in September 2020 but that was not the beginning of our focus on sustainability Many environmental social and governance ESG elements have been part of Boeings fabric throughout our 106year aerospace history and we must always learn and continuously improve In 1929 Bill Boeing said Our job is to keep everlastingly at research and experiment to adapt our laboratories to production as soon as practicableto let no new improvement in flying equipment pass us by This philosophy endures today as we move forward and pursue sustainable aerospace with our stakeholders across Boeings commercial defense and services businesses,10
Through collaboration with our stakeholders we learned a lot in 2021 and we see exciting opportunity going forward While we still have more to learn the following are a few reflections on the journey,2
ESG efforts are increasingly important to our current and future employees our customers our suppliers our regulators our communities and our financial stakeholders We must continue to engage and listen to them about whats important bring the outside in and collaborate on solutions Last year we described six sustainability goals that will define sustainability progress for Boeing and its stakeholders This year we added several waypoints and metrics to measure progress see Page 12 We also explicitly included sustainability in our enterprise values and strategic objectives to further embed the importance and the opportunity and for the first time Boeing is including compensation incentives tied to sustainability performance,3
The industry is committed to combating climate change and it will require collective action,13
Aerospace has always been about efficiency and has competed on innovation and fuel efficiency to meet customers expectations Climate change and decarbonizing aerospace have further increased the urgency for progress Airlines defense customers leasing companies and governments around the globe are aligning to bold climate change ambitions We support the commercial aviation industrys ambition to achieve netzero carbon emissions by 2050 Boeings strategy to decarbonize aviation is focused,13
on four key areas fleet renewal operational efficiency renewable energy transition and advanced technologies We are engaged in studies tests research and partnering across these areas and the industry to learn together and provide customers with sustainable product life cycle insights and solutions to help them meet their climate change commitments,13
Aerospace protects and connects people will continue to take flight,9
Aerospace plays a profound role in our world and enables societal benefits Aerospace connects and protects and while the COVID19 pandemic challenged the industry it also reminded us of our industrys value People all over the world yearned to be connected to others and global air transport delivered necessary products and goods to peoples doorsteps Billions of passengers fly every year to connect with loved ones explore new places and understand cultures engage in commerce and care for those in need Dave mentioned the industrys vision for sustainable growth by 2050 which will require us to work learn and solve challenges together to create future opportunities for passengers workers and economies At the same time aerospace continues to be essential to national security humanitarian and peacekeeping efforts which are social responsibilities the world too often reminds us remain much needed Our industry has a responsibility to preserve and grow the societal and economic benefits of aerospace safely and sustainably,15
Nicola Sturgeon center Scotlands first female First Minister and the first female leader of any of the devolved UK administrations met with women attending the Boeing Innovation Forum after touring the ecoDemonstrator at Glasgow Airport Boeing photo,12
Partnerships innovation and learning together are critical to our collective success,10
To explore and mature sustainable solutions we must continue to work together with partners across our communities our industry academia governments and nongovernmental organizations and philanthropic foundations given each have a role to play in tackling climate change and aerospace decarbonization In October 2021 we hosted a Boeing Innovation Forum in Glasgow We convened customers government officials manufacturers academia and future talent to discuss the future of sustainable aerospace It was an enlightening few days as expert stakeholders hosted panels on future sustainable solutions Perhaps most inspiring was that this forum lent itself to diverse perspectives given the range of participants and talent The First Minister of Scotland Nicola Sturgeon opened,13
the day with inspiring remarks and announced plans for The Newton Flight Academy at Glasgow Science Center This Boeing supported academy is used to teach students about aviationrelated STEM concepts and inspire our next generation of leaders Boeings ecoDemonstrator was a popular attraction at the event The ecoDemonstrator program celebrates its 10th anniversary this year and continues to take technologies out of a lab and test them in the sky with airline and industry partners It is perhaps one of the best and most visual representations of how innovation and partnerships are informing and maturing sustainable technologies for current and future aircraft,15
Boeing also participated in COP26 where the world convened to discuss climate change across all industries and on a global scale There the World Economic Forum in partnership with US Special Presidential Envoy for Climate John Kerry announced the,13
First Movers Coalition a new platform for companies to make purchasing commitments that create new market demand for low carbon technologies Boeing is honored to be a founding member This is just one example of companies and governments collaborating together to advance and accelerate progress,12
Going forward we will remain focused on employee wellbeing and safety global aviation safety equity diversity and inclusion sustainable operations innovation and clean tech and global community engagement among many other important elements,9
As we look to the future of flight aerospace innovation is energized by how to decarbonize the industry Boeings strategy is focused on four key areas Continued fleet renewal with more fuelefficient aircraft and operational,3
efficiencies will remain critically important levers to reduce carbon emissions Renewable energy will intersect aviation in new exciting ways with the industrialization and growth of new sustainable aviation fuel SAF pathways technology innovation and production volumes SAF and the parallel research studies and demonstrations of electric and hydrogen applications the renewable energy total lifecycle accounting zero climate impact aircraft design concepts safe certification and infrastructure implications coupled with a sustainable product lifecycle approach will drive our industry talent partnerships innovation and policies going forward It is an exciting era for aerospace,15
These are ambitious challenges Throughout our industry and our company history we have had the resolve and teamwork to bring jet travel to the world and take people to the moon We must continue to help humanity take flight in every sense while protecting our planet for generations to come As Bill Boeing also said We are embarked as pioneers on a new science and industry in which our problems are so new and unusual that it behooves no one to dismiss any novel idea with the statement that It cant be done,23
In that spirit we are on a journey to solve sustainable aerospace challenges together We appreciate our stakeholders partnership for shared successes as we move forward,10
2021 Sustainable Aerospace Journey Boeing innovated and partnered across the industry in 2021 making significant progress toward our industrys netzero commitments and goals,3
Committed to deliver 100 SAF capable airplanes by 2030,5
Became founding member of MIT Climate and Sustainability Consortium,13
