paragraph,predict_label
B O S L A N Y S F S E A D C,12
1This report contains Standard Disclosures from the Global Reporting Initiative GRI Sustainability Reporting Guidelines See pages 6974 for a complete context index,12
In 2021 we continued to execute our business while remaining focused on creating positive economic social and environmental outcomes for our clients shareholders employees and the communities we serve We advanced policies programs and projects that support sustainable development and operations and the key issues that impact our business and stakeholders including climate change health security and social justice,10
Our focus on ESG makes BXP a stronger and more purposeful company We make a positive impact through the advancement of climate action and risk management while aligning with the decarbonization ambition of our clients communities and local governments We make our buildings destinations where people want to be together by cultivating great spaces and places for our employees and clients in healthy buildings with excellent indoor air quality amenities walkability and access to services Through promotion and active efforts to increase diversity and inclusion throughout our operations we are attracting and increasing input from employees with a wide range of backgrounds and seniority levels Efforts to amplify and promote different ideas perspectives and individuals varying domain expertise foster a work environment and company culture that encourages and elevates all individual voices,8
We are proud of our position and consistent recognition,0
as an industry leader in sustainability and ESG We will,3
to conduct our business in a manner that contributes,3
IN 2021 WE CONTINUED TO ADVANCE OUR ESG EFFORTS BY,3
establishing a Sustainability Committee of our Board of Directors to increase,7
Board input and oversight over sustainability and related issues,12
announcing a commitment to achieve carbonneutral operations by 2025 and increasing renewable energy consumption to 704 of total power consumed by BXP,24
increasing actively managed property area certified under the US Green Building Council Leadership in Energy and Environmental Design LEED rating system to 261 million square feet of which 98 is certified at the highest Gold and Platinum levels,15
issuing a total of 17 billion of Senior Unsecured Notes in our third and fourth Green Bond offerings and committing to allocate the net proceeds to Eligible Green Projects that support our sustainability goals,3
adding a sustainabilitylinked pricing component to our credit facility that ties a one basis point interest rate reduction to the achievement of green building certification targets,12
engaging Moodys ESG Solutions an independent provider of sciencedriven insights and analytics on climate risk for its climate risk scoring to evaluate the forwardlooking physical climate risk exposure of our entire portfolio and potential acquisitions,13
identifying actionable diversity goals and executing initiatives in the areas of recruitment and development company policies and community outreach,8
launching the formation of three Employee Resource Groups for Women Ethnic Minorities and LGBTQ,8
working with minorityowned businesses to provide commercial real estate space on attractive terms Relationships have already commenced in two of our regions,8
procuring a minority and womanowned bank to act as comanager in,8
