paragraph,predict_label
03 Letter from The Board of Directors of The Charles Schwab Corporation,7
34 Organizing and governing to build and maintain trust,0
The Board of Directors of The Charles Schwab Corporation,7
Nearly 50 years ago The Charles Schwab Corporation was founded with the same purpose that propels us forward today make the benefits of investing accessible to everyone,6
In the years since our success has always been rooted in our commitment to a simple but important principle serving our clients stockholders and all other stakeholders in the way any of us would want to be served Schwabs businessat its coreis built on,3
The job of every Schwab employee is not only to protect the assets entrusted to our firm but also to earn the trust of those who work with the company each day That is why this firm has maintained a commitment to inclusion opportunity and respect for all since day one,10
This commitment has never been more important than right now and its the reason that Schwab remains firmly committed to our longstanding business strategy of seeing the world Through Clients Eyes This strategy drives what we call The Virtuous Cycle which reflects the belief that if the firm challenges the status quo on behalf of its clients they will continue to place their trust in Schwab driving consistent financial results and outstanding stockholder value over timeand ultimately rewarding our clients employees stockholders and the communities in which we operate This strategic framework becomes more powerful still as we integrate the people and operations of TD Ameritrade with Schwab,3
In our inaugural Environmental Social and Governance ESG Report we describe how our purpose strategy and values of trust innovation teamwork and stewardship serve as the anchor for our approach to ESG While many of these ESG programs at Schwab have been in place for years we are pleased to share them in greater detail in this single report We hope you will find it informative easy to read and a clear indication of the direction in which we are headed We welcome your feedback,3
Schwab is committed to taking a longterm view and making thoughtful and measured decisions that integrate priority ESG issues into our corporate strategy for the benefit of all our constituencies for years to come We are very proud of the work our teams across Schwab have done so far and yet recognize that there is much more to do in the coming yearsfor our company our employees our clients and our communities You have our commitment that our Through Clients Eyes strategy will remain at the heart of our approach to all ESG matters that impact our business We believe that is the best way to ensure we remain invested in what matters most,3
Since our founding Schwab has served as the champion of Main Street investors by giving them the tools resources and investment advice needed to secure their financial futures Our unwavering vision has always been to be the most trusted leader in investment services and our purpose remains clearto champion every clients goals with passion and integrity,3
From day one weve set out to challenge the status quo looking for ways to offer our clients more value and a better experience We are confident our approach can help people take ownership of their financial futures,3
Guided by this vision and purpose we have adopted a strategy described as Through Clients Eyes which places clients perspectives needs and desires at the forefront,10
With our roots as a pioneer in discount brokerage services we have continuously sought to democratize investing and challenge the status quo Led by our core values Schwab has grown into a leading investment services firm a custodian for independent advisors and a leader in asset management digital banking and retirement planning,3
Our purpose drives us to help our clients take ownership of their financial futures helping people at all levels of income and every stage of life because investing for the future is one of the most important things people can do for themselves and their families We believe it is critical to the health of our communities and to our society,10
Everything we do as a company is focused on helping our clients take ownership of their financial futures Putting clients at the heart of the experience has enabled us to create products services platforms and robust digital capabilities that have shaped our industry and helped clients meet their financial goals,3
TRUST Earning our clients trust by treating them in an ethical empathetic and proactive way,0
INNOVATION Constantly improving the client experience through innovation that benefits clients,15
TEAMWORK Respecting fellow employees and reinforcing the power of teamwork,10
STEWARDS Being good stewards of our brand and stockholder value,4
This report provides descriptive and quantitative information about Schwabs ESG approach through December 31 2021 The terms Schwab the company we us and our mean The Charles Schwab Corporation together with its consolidated subsidiaries unless otherwise indicated or implied,18
We offer a broad range of products through intuitive endtoend solutions including robust digital capabilities to address our clients varying investment and financial needs Examples of these product offerings include the following,15
Brokerage An array of fullfeature brokerage accounts with equity and fixed income trading margin lending options and futures trading and cash management capabilities including thirdparty certificates of deposit,12
Mutual funds Thirdparty mutual funds through the Mutual Fund MarketPlace including nontransaction fee mutual funds through the Mutual Fund OneSource service which also includes proprietary mutual funds plus mutual fund trading and clearing services to brokerdealers,12
offering of ETFs including both proprietary and thirdparty ETFs,4
Advice solutions Managed portfolios of both proprietary and thirdparty mutual funds and ETFs separately managed accounts customized personal advice for tailored portfolios specialized planning and fulltime portfolio management,18
Banking and trust Checking and savings accounts firstlien residential real estate mortgage loans first mortgages home equity lines of credit pledged asset lines trust custody services personal trust services and administrative trustee services,12
Schwab provides these financial services to individuals and the independent Registered Investment Advisors RIAs who serve them through two segmentsInvestor Services and Advisor Services The Investor Services segment provides retail brokerage investment advisory and banking and trust services to individual investors and retirement plan services stock plan services as well as other corporate brokerage services to businesses and their employees,12
The Advisor Services segment provides custodial trading banking and trust and support services as well as retirement business services to independent RIAs independent retirement advisors and recordkeepers,12
We further advanced our vision to democratize investing when we completed our acquisition of TD Ameritrade on October 6 2020 We continue our commitment to a smooth integration of the two organizations which have shared values and conduct themselves by the Golden Rule of treating others as you would like to be treatedas embodied in our Through Clients Eyes strategy,4
Investor Services Retail investors Individual investors have access to a broad set of products tools educational content trading and advisory solutions Advice and guidance are delivered through various dedicated and nondedicated relationship models We offer awardwinning 247 service to all our clients regardless of asset levels Most clients choose to interact with us via either a digital or phone channel but our omnichannel approach also provides access to inperson support at one of Schwabs more than 400 nationwide branches,12
We believe in the power of investing and the importance of planning in helping clients achieve their financial goals Financial Consultants Active Trader Financial Consultants and Wealth Consultants in our branches and regional centers focus on building dedicated client relationships We also have a range of specialists available to support clients with a broad set of specialized needs,3
including financial planning managed investing estate management equity compensation and lending Additionally we have teams focused on supporting the advice and educational needs of clients across all asset levels,2
retirement plan sponsors with extensive investment options trustee and custodial services and participantlevel recordkeeping Retirement plan design features which increase plan efficiency and achieve employer goals are also offered such as automatic enrollment automatic fund mapping at conversion and automatic contribution increases In addition to an open architecture investment platform we offer access to lowcost index mutual funds and ETFs Individuals investing for retirement through 401k plans can take advantage of multiple investment choices education and thirdparty advice,12
provide custody trading banking and trust and support services to RIAs and their clients along with retirement business services to independent retirement advisors and recordkeepers In addition to focusing on superior service we utilize technology to provide RIAs with a highly developed scalable platform for administering their clients assets easily and efficiently Advisor Services sponsors and hosts a variety of national regional local and virtual events designed to help RIAs of all sizes and complexities identify and implement better ways to expand and efficiently manage their practices RIAs are not employees of Schwab and maintain an independent relationship Just as we empower individual investors we empower RIAs by offering a multitude of tools and access to solutions like Schwab Advisor Portfolio Connect We help equip RIAs so they can help their clients secure their financial futures,4
We offer a variety of services to help RIAs grow and manage their practicesincluding business technology and operations consulting on a range of topics critical to an RIAs successas well as an annual RIA Benchmarking Study to help firms understand key business metrics relative to peers We also offer an array of services to help advisors,3
establish their own independent practices through a robust prospect consulting offer To support them throughout their transition we offer access to Business Startup and Transition Consultants technology engineers and dedicated service teams,18
Schwab provides extensive educational materials programs and events to RIAs seeking to expand their knowledge of industry issues and trends as well as sharpen their individual expertise and practice management skills We conduct industry research on an ongoing basis and hold a series of events and conferences every year to discuss topics of interest to RIAs including business strategies and best practices Schwab sponsors and hosts the annual IMPACT conference which provides a national forum for the company RIAs of all sizes and other industry participants to gather and share information and insights as well as a multitude of smaller events across the country each year,3
For more information on our two operating segments please see our Annual Report on Form 10K filed with the SEC as well as our What We Do page Additionally you can learn more about our asset management and banking solutions by visiting the respective Schwab Asset Management and Charles Schwab Bank websites,18
We are grateful for the recognition we have received for earning our clients trust giving back to the community and creating a great place to work,10
Established in San Francisco California Today headquartered in Westlake Texas,3
Selected as one of The Worlds Most Admired Companies by FORTUNE Magazine,3
Total client assets and brokerage accounts based on combined data for Schwab and TD Ameritrade as of December 31 2021 using company reports,18
From FORTUNE 2021 FORTUNE Media IP Limited All rights reserved Used under license FORTUNE and FORTUNE Media IP Limited are not affiliated with and do not endorse products or services of Charles Schwab Co Inc,16
At Schwab we believe in the power of investing to transform peoples lives and see it as an act of optimism and a commitment to the future,10
We approach ESG with the same focus we bring to our daytoday work creating longterm value and a shared belief in investing for the future Likewise we bring our core values of trust innovation teamwork and stewards to,3
our interactions with our broader stakeholders and to the communities we serve Our values embody how we execute our purpose and vision to be the most trusted leader in investment services and they anchor our approach to ESG,10
Our approach to ESG begins with how we regularly engage with key stakeholders in the conduct of our business to understand and meet their expectations These stakeholders are increasingly focused on ESG issues and their perspective and input form the basis for our issues prioritization and the ESG framework we describe below Key stakeholders with whom we regularly engage include the following,3
Retail investors Continuous engagement with our clients is core to our business including through the use of surveys relating to trust reputation and service levels,0
Independent advisors We maintain open lines of communication with the independent advisors we serve and regularly convene an advisory council of RIAs to provide direct feedback on issues that are important to their business,12
Employees We keep employees apprised of the companys strategy and performance through regular town halls and quarterly updates In addition to our annual employee engagement survey we maintain a variety of councils or groups that keep us connected These include our Employee Resource Groups and advisory groups consisting of Financial Consultants and Branch Managers In 2020 we opened a new avenue of communication through our Ask Walt link which employees can use to submit questions directly to the Chief Executive Officer and the Executive Council,8
Investors Through our Investor Relations team we regularly engage with our stockholders on matters of concern to them including climate governance and diversity We conduct quarterly business updates to provide the investment community with information on our strategy and performance and in 2021 we met with stockholders representing more than 50 of our outstanding shares,13
Government In support of our companys purpose we actively participate in discussions with policy leaders on both sides of the aisle and we propose alternatives to legislation that we believe protect and champion the needs of individual investors and the RIAs who serve them,12
Ratings and rankings We participate in the ratings processes of numerous analyst and research firms including through dialogue and responses to questionnaires Examples of ratings providers with a focus on ESG issues include Morningstar and MSCI proxy advisory firms such as ISS and Glass Lewis Co LLC and specialized reporting on climate through CDP,18
Community Through Charles Schwab Foundation and corporate giving activities we engage with the communities where we live and work through education volunteerism financial support and mentorship Our culture of service includes empowering our employees to connect with and help address local community needs,10
This first ESG Report comes at a time of positive transition as we just passed the oneyear anniversary of the TD Ameritrade acquisition ESG assessments and priorities as well as reporting on those priorities are part of a continual process that evolves with time and focus Until there are consistent and comparable standards and definitions of ESG in the marketplace each organization must assess the relevant ESG topics to its business and stakeholders that are core to creating a sustainable and resilient business,3
As a result for this first reporting year we took a more personalized approach to engaging with a broad set of stakeholders to assess ESG issues that are relevant to Schwabs vision and the related priorities of those ESG issues In our conversations we focused on the importance of various relevant ESG factors to achieving our vision to be the most trusted leader in investment services We recognize that some ESG factors may not be as high of a priority to achieve this vision but they still have significance to certain stakeholders,3
As the ESG landscape including associated standards for measurement and disclosure becomes more defined and we continue to engage with our internal and external stakeholders we expect to grow and enhance our ESG process and reporting This first year of conducting an ESG assessment gave us valuable insights on the interconnectedness of ESG factors between various business functions and strategies As the Schwab and TD Ameritrade integration continues to move forward the ESG insights we gained during this process will allow us to refine develop and further connect and integrate ESG into our corporate strategy,3
Businessrelevant ESG indicators Informed by GRI Global Reporting Initiative standards relevant to our business and the Financial Sector standards for Asset Management Custody Activities and Commercial Banks as applicable published by the SASB Sustainability Accounting Standards Board we developed a list of indicators across environmental social governance and investment products specific to Schwab These indicators reflected in the framework on the next page were then reviewed with stakeholders for this first ESG Report,12
Seeing Through Clients Eyes Social and Investment Product Stewardship,15
ESGThemed Investment Products Investment products that include consideration of material ESG factors in the traditional financial analysis and investment process as a measure of longterm performance in the portfolio creation,3
Data Privacy Security Identifying and addressing vulnerabilities and threats to client and employee data security safeguards for preventing fraudulent transactions and breach of privacy or data security and responsible use of big data,1
SustainabilityThemed Investment Products Investment products that seek to have an environmental andor social outcome eg renewable energy funds,15
Client Service Honest and transparent communications managing client risks improving consumer financial security and ensuring products and services meet client expectations,0
Employee Diversity Inclusion Workforce that reflects our business and clients and the communities in which we operate,8
Talent Pipeline of top talent and professional growth and development opportunities,8
Employee Wellbeing Competitive pay and employee benefits a healthy and safe work environment and wellness programs to promote overall employee wellbeing,9
Responsible Sourcing Policies and procedures for responsible environmental and social sourcing practices including meeting internationally agreed labor standards in working hours and conditions wages and benefits humane treatment of workers employed in the supply chain and supplier diversity,11
Organizing and Governing to Build and Maintain Trust Governance Leadership,12
Ethical Business Practices Schwabs efforts to foster an environment of transparency and high ethical standards in business conduct and working against corruption extortion and bribery in all markets in which Schwab operates or does business,0
Board Composition Effectiveness Promoting director independence diversity and other qualifications to secure the longterm success of the company and its sustained competitiveness,8
Board Responsiveness Stockholder Engagement Fostering the rights and voice of stockholders with respect to voting proposals and accountability and election of directors,7
Financial Literacy Efforts to increase financial literacy among underrepresented and underresourced groups,2
Legal Regulatory Compliance Schwabs efforts to ensure compliance with legal and regulatory expectations,12
Commitment to Risk Management Schwabs cultivation of a robust risk control environment through risk control assessments across business operations and within individual departments including ESG risks,18
Public Policy Engagement Schwabs engagement on public policy initiatives in line with corporate values and standards as well as ESG issues,12
Community Relations Schwabs monetary contributions charitable gifts partnerships with community organizations and time contributions through paid volunteer hours,10
Environmental Footprint Responsible natural resource management in direct operations and supply chain,17
Climate Change A strategic action plan for carbon mitigation and carbon offsets with the overall goal of achieving net carbon neutrality by a designated year,13
Assessing relative importance To identify the most relevant ESG indicators to our business and stakeholders and the relative importance of such indicators we conducted a firmwide ESG assessment We hosted numerous focus groups to conduct the ESG assessment and prioritize relevant ESG indicators identified in the framework on the previous page We also engaged in deeper oneonone conversations including with institutional owners of Schwab stock and senior management investor relations legislative affairs corporate strategy Financial Consultants Independent Branch Leaders Relationship Managers for RIAs and corporate clients the human resources team business heads and real estate and facilities Internal conversations typically reflected direct feedback from external stakeholders and provided critical insight on ESG priorities among internal and external stakeholders across our business units,3
Each focus group was asked to prioritize the importance of these indicators for Schwab to fulfill its vision as the most trusted leader in investment services within the next five years In addition we received feedback on the importance stakeholders place on these indicators in terms of Schwab and its ability to fulfill its vision,3
As the ESG reporting space matures and indicators relevant to our industry become more standardized we expect the indicators their definitions and parameters to evolve as well,18
In many ways the ESG assessment reinforced our Through Clients Eyes strategy and focus Our business is based on earning the trust of all our critical stakeholders We build trust among these stakeholders in part by managing our business with integrity and in ways that foster a sustainable and resilient business,3
o h e k a t s o t,12
e c n a t r o p m,12
While weve made progress over the past several years below are highlights of some of the actions we took in 20202021 As we share later in this report we are making investments in a sustainable future by,3
To help our clients develop a sustainable investing approach we appointed a head of ESG Strategy within Charles Schwab Investment Management Inc dba as Schwab Asset Management the asset management subsidiary of the company to guide our vision and strategy to incorporate ESG resources guidance and investment choices We have added resources and tools to include more educational pieces and access to thirdparty ESG ratings and scores Schwab Personalized Indexing a direct indexing offer will allow investors to select an ESG index and can be customized which will be a real value add particularly for selfdirected investors,3
In November 2021 Schwab Asset Management expanded the offering with two Wasmer Schroeder Strategies positive impact fixed income strategies on our retail platform We also launched the active Schwab Ariel ESG ETF that invests in small and midcap stocks that have been screened in part based on ESG factors Ariel Investments LLC the first African Americanowned investment firm in the US is the subadvisor for the ETF and will use its proprietary ESG investment process to screen for favorable ESG characteristics Trading in this ETF began on November 16 2021 and highlights the longstanding relationship between Schwab and Ariel Schwab has partnered with Ariel for more than 20 years to conduct the Black Investor Survey to better understand and generate awareness of the financial issues facing Black investors,8
Traditional ETFs tell the public what assets they hold each day This fund will not This may create additional risks for your investment For example,18
You may have to pay more money to trade the funds shares This fund will provide less information to traders who tend to charge more for trades when they have less information,12
The price you pay to buy fund shares on an exchange may not match the value of the funds portfolio The same is true when you sell shares These price differences may be greater for this fund compared to other ETFs because it provides less information to traders,4
These additional risks may be even greater in bad or uncertain market conditions,18
The ETF will publish on its website each day a Proxy Portfolio designed to help trading in shares of the ETF While the Proxy Portfolio includes some of the ETFs holdings it is not the ETFs actual portfolio,4
The differences between this fund and other ETFs may also have advantages By keeping certain information about the fund secret this fund may face less risk that other traders can predict or copy its investment strategy This may improve the funds performance If other traders are able to copy or predict the funds investment strategy however this may hurt the funds performance,18
For additional information regarding the unique attributes and risks of the fund see Proxy Portfolio Risk PremiumDiscount Risk Trading Halt Risk Authorized Participant Concentration Risk Tracking Error Risk and Shares of the Fund May Trade at Prices Other Than NAV in the Principal Risks and Proxy Portfolio and Proxy Overlap sections of the prospectus andor the Statement of Additional Information,18
In 2018 we developed a Diversity Inclusion strategy that focused on four pillars our workforce the workplace the marketplace and the community In 2020 we focused this strategy with a view to develop and implement programs that make a meaningful impact across four dimensions inside to support our employees outside to support our clients and local communities today with programs that create immediate impact and tomorrow with programs that create impact over time,8
Demonstrating our commitment to our talent we expanded our professional development opportunities for our colleagues across all levels to develop and further hone their skills for the future including introducing and expanding several leadershipcentric programs,8
Organizing and governing to build and maintain trust,0
The board appointed the Nominating and Governance Committee to have primary oversight of our ESG programs and priorities as reflected in the committees updated charter To improve our process and reporting of Schwabs ESG efforts we have created a new ESG Policy and Reporting Office led by a Managing Director to build upon our efforts in 2021 and this inaugural report The position will be supported by a newly created team with the goal of advancing our ESG efforts on a crossfunctional basis together with our Through Clients Eyes strategy,3
The Community Development Group of Charles Schwab Banking Trust Services leverages our resources to reinvest in communities in ways that allow us to outperform our requirements under the Community Reinvestment Act CRA With the change in headquarters to Westlake Texas we amended our CRA Strategic Plan to specifically include the DallasFort Worth area and Texas more broadly We engaged in community outreach and other efforts to assess how we could not only fulfill but exceed our CRA requirements primarily through our CRA activities of supporting affordable housing small business development and community facilities as well as through community service and grants to support financial literacy,10
Founded in our belief that education can help solve some of the social issues facing our country Schwab has created impactful financial literacy programs supported by our financial people and intellectual resources As part of our 2020 DI strategy and community pillar in 2021 we introduced Moneywise America with a focus on youth from underresourced communities and schools,10
Recognizing that our environmental footprint has an impact on the climate at large we continue to take appropriate steps for the nature of our business that allow us to conduct our business in ways that reduce and mitigate our environmental impact These steps include solar projects and designing new facilities with energy efficiency at the forefront along with smaller ways of reducing our energy use,24
We believe investment stewardship begins with establishing and maintaining trust with our clients Our clients are longterm investors and we apply that same longterm lens to create and evolve our products and services in a manner that fosters trust and a resilient business,3
Through Clients Eyes guides how we do business,3
Trust is paramount in the many roles we play in serving our individual and institutional clients with their investment needs including As a broker empowering the individual investor with a spectrum of investment products and services,15
As a manager of separately managed accounts and proprietary investment funds professionally managed by our portfolio managers,12
In this section we highlight the ways clients can engage with us and how we are evolving our products and services including ESG offerings to match with the different ways clientsat any stage of lifecan take control of their financial futures We also discuss our relentless focus on protecting client assets,15
As a fiduciary for our clients we also outline how we exercise our proxy voting responsibility and shareholder engagement with issuers,12
From the beginning we set out to empower the individual investor Implicit in empowering our clients is helping them develop a sustainable investing approach that enables them to adapt to the market and their needs through lifes changes The retail investor remains our primary client base even as we have grown to serve institutional clients independent advisors and employers through our retirement plan services business Our focus has always been on serving the client through trusted relationships Staying true to our roots we offer a variety of products services and solutions for clients These include indexbased and actively managed thirdparty options Schwab proprietary mutual funds ETFs and separately managed accounts Many of these investment products include options dedicated to ESG considerations,3
The variety of ways that different clients can use our scale to personalize their investing is evident in our varied product offerings and the different service models we offer Our Through Clients Eyes strategy drives us to embody the diversity of our investor base and how different clients choose to approach investing Our spectrum of investment products educational tools and access to investment professionals lets clients choose how hightech andor hightouch of an investment experience they would like to create,8
Key ways clients can manage their investment journey include Selfdirected brokerage At Schwabcom,18
any individual in the US can open a brokerage account with any dollar amount Through our scale and offerings the individual investor who wants to control all aspects of their investments can access the whole suite of investment products and services available on Schwabcom These include our entire range of investment offerings These run the gamut of our Schwab proprietary options such as Schwab Funds and Schwab Stock Slicesand include stocks fixed income alternatives and thirdparty mutual funds and ETFs,4
Schwab Managed Portfolios portfolio solutions Schwab Asset Management creates and manages a number of distinct proprietary Schwab mutual funds and ETFs managed by our portfolio asset managers Schwab Managed Portfolios is an advice solution that uses Schwab Funds and ETFs and thirdparty mutual funds and ETFs to create a variety of model portfolios with different investment strategies intended to match a variety of risk tolerances and objectives,18
mutual fund clients have access to a range of investment strategies with direct ownership control and transparency of underlying securities The account is managed on a clients behalf by a thirdparty professional asset management firm of the clients choice that has been vetted by Charles Schwab Investment Advisory Inc CSIA based on rigorous researchbased quality standards Schwab Private Client Advisors Clients,0
and a Schwab Financial Consultant can work with a professional investment advisor to customize their portfolios,4
See more investment advice options on our Advice page,12
We cater to all individuals with accounts of any size We believe a strong relationship is based on transparency and trust and our website includes extensive explanations and details about how we are compensated for each product or service along with the associated risks potential conflicts of interest and other considerations,0
From the beginning we set out to empower the individual investor Implicit in empowering our clients is helping them develop a sustainable investing approach that enables them to adapt to the market and their needs through lifes changes,3
We recognize that increasingly individual and institutional clients are looking for ways to either manage portfolio risk by considering ESG factors or themed products andor have an impact on the world through sustainabilitythemed products that align with their values or both To meet these changing investment approaches Schwab is investing in ways to offer additional products and services that help empower clients with personalized investing,15
ESG is often used interchangeably with sustainability investing Whether its called ESG or socially responsible or sustainability investing these are terms that capture a way of investing that is being defined in many different ways and by many different stakeholders including by Schwab Asset Management At this time we use the term ESG investing as an umbrella term that encompasses Traditional investment vehicles either active or passive that are applying ESG factors to manage risk build resiliency and create opportunities for the long term,3
