paragraph,predict_label
Our Material ESG Issues Citi in a Global Context,3
Return to Office and the Future of Work,3
This report illustrates how we bring our mission to life through our business it covers our environmental social and governance ESG activities performance and approach for calendar year 2021 focusing on the issues we have determined to be of material1 importance from an ESG perspective which is a broader standard than that used in our financial disclosures,3
This report has been prepared in accordance with the GRI Standards Core option We also used three relevant,12
sector standards from the Sustainability Accounting Standards Board the Principles for Responsible Banking,12
the United Nations UN Global Compact and the UN Guiding Principles on Business and Human Rights,10
frameworks to guide our reporting See related indexes,12
We have embedded the UN Sustainable Development Goals into relevant sections of the report where Citi plays,10
a direct role in making progress toward specific goals Additionally we include an index that indicates where,10
report content is specifically aligned to the recommendations of the Financial Stability Boards Task Force,12
on Climaterelated Financial Disclosures Finally this report supplements information published in our 2021,13
All reporting and performance data are limited to information for the owned and operated facilities of Citigroup,22
Inc and its subsidiaries unless stated otherwise Additional information about Citi can be found on our website,3
For more information on Citis ESG initiatives please visit citigroupcomcitiaboutesg or contact,3
1 Refer to page 16 for our definition of material issues in the context of this report,12
Our Material ESG Issues Citi in a Global Context,3
As I write this note in late April a war is raging,5
Zero pay gap Zero poverty Some might say,11
clients where they are in their efforts and,3
And its going to take all of us working,11
together to make sure we continue to go in,12
to help the people in Ukraine including our,10
urgency We have engaged every level of our,3
I invite you to learn more about these initiatives,10
business to think and act in support of equity,12
in the pages that follow Our ESG agenda is not,12
tial aid We are also helping our multinational,5
and the goal of helping close the racial wealth,8
a separate layer that sits above what we do,4
clients who have decided to wind down their,18
daytoday It is an effort that we began at Citi,3
United States In order to effectively do this,12
many years ago that has become core to who,8
Although it might be too early to predict the,4
wars longterm impact on the world order its,18
not too soon to begin asking what it means for,12
we are as a company and our daily worth as a,3
bank While our efforts will continue to evolve to,12
the issues at the heart of our ESG agenda and,10
the ESG agendas of so many other companies,3
constant We will continue to share our progress,10
and lessons learned and we will continue to,2
innovate and push to use our core capabilities,3
I recently returned from seeing clients in Europe,3
expertise and talent to lead by example and,8
demonstrate how Citi is truly a bank with a,18
and the Middle East and it is security be it,18
reinforced the need for businesses such as Citi,18
to step up but also the critical importance of,12
Consider the climate crisis At Citi weve been,13
proud to play a leading role in our industrys,12
drive to a more sustainable future and in,15
recent months we released our initial plan for,3
Russias role as a major energy producer is,24
the scope of our work to areas such as health,9
and an emerging global food crisis that could,18
tries which import much of their food and,6
There are of course lessons to learn and,2
business to come together to confront the big,18
At Citi this sense of responsibility is something,10
