paragraph,predict_label
A Letter From Our Chairman   Chief Executive Officer,"7
"
A LETTER FROM OUR CHAIRMAN   CHIEF EXECUTIVE OFFICER,"7
"
Just as our business has greatly evolved since ,"3
"
During the past year we announced our new ,"12
"
products as well as expand our offerings in this ,"15
"
it was established nearly 175 years ago so too ,"12
"
has our role as a global corporate citizen Of ,"22
"
will not only enable us to transform derivatives ,"4
"
for us to collectively advance toward a more ,"4
"
As it relates to our ESG strategy CME Group ,"3
"
has been able to move the needle in both big ,"4
"
In 2021 we launched a number of innovative ,"15
"
and small ways  all of which are making a ,"4
"
world Even as we continue to navigate the ,"4
"
tools they need to manage risk and capture ,"18
"
47 million offsets were traded in 2021 across both ,"18
"
initiatives At the end of the year we formed a ,"12
"
business and our clients from home during the ,"15
"
to help provide balance and options in our ,"4
"
Collective differences are what drive  innovation and we  recognize the  importance of  fostering conversation and awareness  around diversity  and inclusion,"8
"
We are proud contributors to our communities through a number of philanthropic initiatives that allow us to make an impact where our employees and clients live and work,"10
"
In November we hosted our first ever charity ,"2
"
the concert which kicked off our CME Group ,"2
"
employees in 2021 after assigning it to all ,"11
"
our 2021 contribution to St Jude to 850000 ,"2
"
of our people managers the prior year Our ,"8
"
police in recognition of their heroic work as ,"9
"
As I hope you will see throughout this report our ,"12
"
We continue to set a high bar for good ,"0
"
that allow us to make an impact where our ,"3
"
last year much of it for programs expanding ,"2
"
We are proud of the results we have achieved ,"3
"
and we look forward to continuing to do our part ,"12
"
to build a better and more sustainable future,"15
"
As the worlds leading derivatives marketplace CME Group is where the world comes to manage risk ,"18
"
We help meet uncertainty and volatility with confidence and clarity Across the trading lifecycle and ,"4
"
around the world we enable market participants to manage risk and capture opportunity,"18
"
Office locations include OSTTRA locations  that were part of CME Group through 912021,"12
"
Market statistics including average daily volume by asset class and product  are available in greater detail at httpinvestorcmegroupcomvolume,"4
"
COUNTRIESand territories where  CME Group futures and options contracts are traded,"4
"
At CME Group we are keenly aware of the everchanging world and apply ,"4
"
the same innovative thinking that underscores our offerings to how we  ,"3
"
operate as a corporate citizen We know our stakeholders have unique needs ,"10
"
We continue to evolve progress and deliver on our strategy to create a more ,"3
"
We are proud that our commitment to our clients employees and ,"10
"
Worlds Most Valuable Exchange Brand Brand Finance 8th consecutive year,"18
"
FOW Global Investor Asia Capitals Exchange of the Year,"18
"
Global Capitals Global Derivatives Exchange of the Year,"18
"
InsiderPro  Computerworlds 100 Best Places to Work in IT 4th consecutive year,"3
"
Best Places to Work for LGBTQ Equality by the Human Rights Council 4th consecutive year,"8
"
Our ESG Working Group is comprised of leaders across the organization and is led by Kathleen ,"10
"
Cronin Senior Managing Director General Counsel and Corporate Secretary and Anita Liskey Senior ,"12
"
Managing Director Global Brand Marketing and Communications The members bring unique ,"3
"
perspectives and meet regularly to develop assess and uphold our ESG objectives The Working ,"10
"
Group reports out to the Chairman and Chief Executive Officer and to the Executive Committee of ,"7
"
our Board of Directors Additionally the CME Group Board has an active committee structure whereby ,"7
"
underlying elements of our ESG program are also overseen by various Board committees based on ,"12
"
We conducted our first materiality assessment in 2019 to identify and prioritize the areas most critical ,"17
"
to our stakeholders and operations ultimately informing our ESG strategy We will complete our ,"3
"
second materiality assessment in 2022 and update our areas of focus as needed to account for ,"12
"
evolving environmental regulatory and societal considerations In the spirit of continuous ,"12
"
improvement we intend to conduct this formal exercise every three to five years while continuing to ,"12
"
As of December 11 2021 CME Group performed in the 64th percentile of the diversified financial ,"18
"
services and capital markets industry in the SP Global Corporate Sustainability Assessment ,"3
"
meaning that 64 of companies reached an equal or lower ESG Score ,"18
"
At CME Group our employees are the driving force behind our current and future success ,"8
"
Given the critical role they play in moving our business forward we are focused on providing ,"3
"
a wide array of training and development opportunities to help them build their careers with ,"8
"
us for the long term We are also focused on advancing a culture of inclusion and innovation in ,"8
"
addition to providing valuable benefits to support our employees today and as they plan ,"2
"
PRIORITIZING EMPLOYEE HEALTH AND  SAFETY DURING A TIME OF TRANSITION,"9
"
In 2021 we introduced a number of policies and programs to help team members cope with ,"10
"
stressors and navigate disruptions caused by the ongoing COVID19 pandemic We are ,"18
"
proud to report that our employees and our organization continued to perform at the highest ,"8
"
Some of our COVIDrelated initiatives in 2021 included,"12
"
To encourage a healthy worklife balance as employees began planning to return to ,"9
"
the office we introduced a flexible work model enabling employees to work with their ,"11
"
managers to set a weekly schedule of inoffice days and workfromhome days to ,"11
"
best serve their needs and the needs of the business Employees embraced the new ,"10
"
program with 91 of survey respondents saying they were aligned with their managers ,"8
"
on flexible work arrangements and 81 agreeing that CME Group is supportive of ,"11
"
flexible work as measured through our employee engagement pulse survey,"8
"
We took a cautious and measured approach to reopening several offices over ,"3
"
the summer as conditions improved and restrictions eased Throughout the ,"13
"
reopening process we continued to prioritize the health and safety of our ,"9
"
colleagues As new restrictions took effect we managed changes to our ,"12
"
For the second year we hosted a companywide Employee Wellbeing Week which ,"9
"
put physical and mental health at the forefront of our conversations and promoted ,"9
"
the wide array of support resources and tools that are readily accessible to employees,"2
"
We consistently benchmark our employee benefits to ensure they are market competitive and support  ,"4
"
Building on the success of our inaugural Employee Wellbeing Week in 2020 the 2021 virtual event ,"9
"
our employees health wellbeing retirement professional development and worklife balance needs ,"9
"
centered around the theme of advancing mental and physical health Over the course of a week ,"9
"
We introduced additional employee benefits in 2021 as we continued to navigate impacts from the ,"8
"
in August colleagues across the globe attended sessions covering a wide range of topics including ,"12
"
stress management personal goal setting nutrition and fitness cancer prevention and personal ,"9
"
nearly all employees to set a weekly schedule of inoffice days and workfromhome days,"11
"
our global employee population  offered by our Health Care  Center nursing staff ,"2
"
   Paid leave for employees needing to care for family members who contract COVID19,"2
"
   Employee Assistance Program hotline extended to our network of consultants,"11
"
Listed benefits reflect a highlevel overview of our US benefits offering but is not inclusive of all benefits offered CME Group provides benefits for our employees outside the US that vary by region,"11
"
Dr Heidi Hanna Chief Energy Officer of Synergy Brain Fitness discussed how ,"15
"
to have a challenge versus threat mindset and transform stress into a catalyst ,"18
"
Kathleen Goss PhD Director at the American Cancer Society shared screening  ,"2
"
Dr Guy Meadows CoFounder of the Sleep School shared his unique fiveweek  ,"2
"
Dr Edwin McDonald Associate Director of Adult Clinical Nutrition at ,"6
"
University of Chicago Medicine shared insights into the effects of nutrition  ,"6
"
