paragraph,predict_label
About AEPAmerican Electric Power based in Columbus Ohio is powering a cleaner brighter energy future for its customers and communities AEPs approximately 16700 employees operate and maintain the nations largest electricity transmission system and more than 224000 miles of distribution lines to safely deliver reliable and affordable power to 55 million regulated customers in 11 states AEP also is one of the nations largest electricity producers with approximately 31000 megawatts of diverse generating capacity including more than 7100 megawatts of renewable energy The companys plans include growing its renewable generation portfolio to approximately 50 of total capacity by 2030 AEP is on track to reach an 80 reduction in carbon dioxide emissions from 2000 levels by 2030 and has committed to achieving netzero by 2050 AEP is recognized consistently for its focus on sustainability community engagement and diversity equity and inclusion AEPs family of companies includes utilities AEP Ohio AEP Texas Appalachian Power in Virginia and West Virginia AEP Appalachian Power in Tennessee Indiana Michigan Power Kentucky Power Public Service Company of Oklahoma and Southwestern Electric Power Company in Arkansas Louisiana east Texas and the Texas Panhandle AEP also owns AEP Energy which provides innovative competitive energy solutions nationwide For more information visit aepcom,24
Strong financial and operational performance is inextricably linked to robust environmental social and governance ESG practices and strategy Awareness of how ESG impacts the full value chain helps to inform business decisions while delivering results Whether aligning our capital investments with our decarbonization and grid modernization strategy or our commitment to a strong safety culture and governance practices AEPs efforts to integrate ESG into the business deliver short and longterm value for all stakeholders,3
In 2021 we set new carbon reduction goals our goal is to reduce AEPs carbon emissions from directly owned generation scope 1 80 by 2030 compared to 2000 levels and to achieve netzero emissions by 2050 scopes 1 and 2 The climate scenarios we conducted showed that we can reach more than 95 toward zero by 2050 with conventional technologies and we remain hopeful that emerging technologies such as advanced nuclear carbon capture hydrogen and energy storage will help us close that gap Through the end of 2021 AEP has reduced its carbon emissions 70 from 2000 levels We are committed to periodically reviewing these goals as we work toward a clean energy future,25
In total from 2011 to 2021 AEP has retired or sold more than 13700 MW of coalfueled generation and we have plans to retire another 5300 MW between 2022 and 2028 That will leave five remaining coal plants on our system totaling 6500 MW The timing for full retirement of coalfueled generation assets will be based on a combination of factors including expected investments for operations overall economics useful asset life and depreciation rates and reliability factors highlighted in our integrated resource plans In addition we rely on our partnerships with our state regulators and local communities to assess the economics timing and impacts,12
AEPs goals and our strategy for transitioning are driven by our integrated resource plans which are overseen by state regulators,12
Increasingly we have seen renewables become more cost competitive enabling AEP to invest in economical clean energy resources that also reduce our carbon footprint In addition many of our customers want clean energy for their homes and businesses Our strategy is to meet that demand where regulators support it,24
2021 marked an important milestone in AEPs clean energy transition when the company announced a plan to shift our generation portfolio from majority fossil fuel to majority renewables by the end of this decade The strategy proposes adding approximately 16 gigawatts of new regulated renewable resources by 2030 This includes the 1484 MW North Central Energy Facilities which were completed in March 2022 and are now delivering lowercost clean energy to our customers in Oklahoma Louisiana and Arkansas,24
Our capital investment strategy is critical in supporting our decarbonization and renewable energy strategy From 2022 through 2026 AEP plans to invest 38 billion in capital with an emphasis on transmission distribution and regulated renewable energy with the ability to shift capital as needed This includes investing 82 billion in regulated renewable generation Additionally we eliminated growth,12
capital in the Generation Marketing segment as we have begun the process to sell some or all of our unregulated renewable assets This will provide additional capital to invest in our core regulated businesses to support rebuilding and reinforcing the grid and enhancing service for customers,4
Having a modern reliable resilient and secure grid is vital to our clean energy transformation Investing in the grid enables AEPs decarbonization strategy as we prepare to accommodate new cleaner,3
grid resources grow load in our service territory and open the door to future customerdriven growth opportunities This is essential to serving evolving societal economic and customer needs as well as meeting our netzero carbon goals,3
Decarbonizing our generating fleet is only part of our story Electric utilities play a vital role in decarbonizing and electrifying our economy This includes investing in smart grid technologies to support Electric Vehicle EV charging infrastructure deploying costsaving customer,24
Capital Forecast Emphasizes Investment in Wires and Renewables,3
programs and influencing public policies to support the continued growth of electric transportation options AEPs electric transportation initiatives are critical to supporting this growth including providing customers with accessible and affordable charging options and identifying and supporting EVready sites for our customers and communities to support this transition,24
Investing in the strength and resilience of our communities is essential to serving evolving societal needs This includes investing in infrastructure to support our growing telecommunication needs Over the past five years weve expanded and modernized our telecommunications system to support our growth We now have one of the largest private networks in the United States We continue to explore opportunities to leverage our system to support broadband expansion in rural and underserved areas Broadband technology has proven to be critical to the economic development and wellbeing of rural America and other underserved areas especially as businesses and schools continue to move toward an increased remote working environment Learn more about our broadband initiatives in the Broadband Accessibility section,2
More often than not the transition to a clean energy economy focuses on carbon emissions reductions as the leading indicator of success in slowing the effects of climate change But climate change is as much a structural change to our economy as it is an environmental issue As we transition to cleaner forms of energy there are impacts to people communities and society at large that must be considered and thoughtfully managed The lowcarbon transition is a doubleedge sword with lasting socioeconomic effects especially for communities dependent on the fossil fuel industry for jobs taxes and corporate philanthropic support At AEP we are establishing a new model for enabling a Just Transition that is collaborative inclusive and communitydriven,13
Add Clean Wind Solar Generation Proposing to add 16000 MW,24
Increase Renewable Generating Portfolio Our renewable portfolio will represent 50 of our total capacity by 2030,24
Modernize the Energy Grid 65 of our capital allocated to wires,24
Reduce Carbon Emissions Achieve netzero emissions by 2050,25
In 2021 AEP Ohio partnered with local community nonprofit agencies to design and pilot the Women in Linework WiL Program As part of a recruiting effort to address an industrywide shortage of female lineworkers the development program will offer qualified participants a direct path into AEPs apprenticeship program offering technical and foundational training career prep and the opportunity to earn credentials Through the creation of pathways WiL is designed to remove historical biases that hinder women from entering line work The 14month program provides technical training career readiness mentoring wraparound support services and preapprentice educational assistance that will potentially lead women to fulltime employment with AEP as lineworkers The participants will also obtain a Class A Commercial Drivers License This not only sets the stage for longterm career success but also positively impacts the economic stability and prosperity of women within the communities served by AEP,8
Human capital management HCM is one of the most significant corporate governance issues today Hiring training and retaining top talent is a critical enabler of business value This includes having the right corporate practices and policies in place for safety and health compensation diversity equity and inclusion wellbeing and culture This is even more critical as we shift and plan for the workforce of the future one that is digital distributed and diverse,8
Culture serves as the foundation for success at AEP An engaged collaborative and appreciated workforce is an empowered workforce We continue to measure our culture journey and progress through our annual employee culture survey 2021 marks our eighth consecutive year of formally surveying employees about their experiences with culture at AEP Our 2021 culture scores improved across the organization showing that we continue to make inroads even during difficult circumstances For the third consecutive year AEP has earned the 2022 Gallup Exceptional Workplace Award which recognizes organizations that incorporate employee engagement into core business values,8
As we prepare our workforce for the future we are fostering an environment that encourages collaboration innovation and communication no matter where we work Through training development and growth opportunities employees are acquiring the skills needed to align with our strategy for a clean energy future This is especially important as we embrace a digital and more distributed work model that requires a flexible innovative and diverse workforce,8
