paragraph,predict_label
On behalf of the nearly ten thousand ITTers worldwide I would like to thank all of you for your partnership and investment in ITT The last two years have been challenging as we navigated a global pandemic supply chain disruptions and geopolitical conflicts that have reshaped the economic landscape Together we accomplished a great deal during this unprecedented time and I am grateful for your contributions and for the confidence in our company Still whats more exciting as always are the opportunities that lie ahead the technologies we are developing the investments we are making in our operations and in our people and the actions we are taking to create a more sustainable ITT and contribute to a better world,17
At ITT we enable everyday life in unexpected ways by inventing engineering and manufacturing critical components for the transportation industrial and energy markets When parents see the very first image of their unborn child most likely our Cannon connectors relayed that image on the ultrasound screen Families can drive safely because our Friction brake pads help keep them secure by reducing braking distances We can eat some of our favorite foods because our hygienic pumps move and preserve crucial ingredients through the production process for major food manufacturers and if you decide to take a highspeed train chances are our KONI shock absorbers ensure your ride is smooth comfortable and again safe,15
It is exactly because what we do touches everyday life that it is natural for us to think behave and operate in ways that make everyday life better and more sustainable,15
I am very fortunate to work alongside ITT engineers and factory workers from all around the world I am always motivated and inspired by our people and their drive to improve continuously Continuous improvement is entrenched in everything we do and this is also happening in our environmental social governance ESG journey where we continue to up our game,10
First our sustainability strategy is firmly rooted in how we do business and in our daily decisions Our investment in our manufacturing processes reflect our drive to contribute to global sustainability Whether we invest in solar projects to secure the energy needs of our facilities globally and reduce emissions or invest in green capex projects that reduce our energy intensity we are driving sustainable practices in each business reducing our carbon footprint whilst also optimizing our costs,24
Second through extensive research and development and capital investment we are advancing our sustainable products and technologies including electrification solutions in Motion Technologies and pump technology in Industrial Process ITT products help our customers lower their energy consumption and reduce their greenhouse gas GHG emissions,25
Finally we are investing in our people to create a diverse inclusive and talented workforce On the people front safety remains a key tenet of our operating model Our multiyear safety performance improvement and our investments in building a safe diverse and inclusive environment are central to the promise we make to our employees about their health in the workplace,9
At this juncture of our sustainability journey I am pleased to share the goals we as a team have set across the organization,3
We target to reduce greenhouse gas emissions by 10 by the end of,25
We also commit to advancing our Diversity Equity and Inclusion and our,8
philanthropic efforts to empower and serve underrepresented communities You can read more about these goals in the pages that follow,10
This ESG strategy together with our leading positions in growing end markets our sustained differentiation and our sound capital deployment strategy will continue to drive longterm growth and value creation for all our stakeholders As we shared with our investors during our investor day this year this is the simple answer to Why ITT,3
We are excited to be on this journey together and would like to thank you for your continued support of ITT,12
ITT Inc NYSE ITT is a publicly traded company listed on the New York Stock Exchange headquartered in Stamford Connecticut We provide highly engineered critical,17
components and customized technology solutions for the transportation industrial and energy markets worldwide Building on our heritage of innovation we partner,15
with our customers to deliver enduring solutions to the key industries that underpin our modern way of life Our company is composed of three businesses,15
Motion Technologies is a global leader in brake pads shock absorbers and sealing solutions for the automotive and rail markets Industrial Process is a global,9
leader in centrifugal and twinscrew pumps and valves for the chemical energy mining and industrial markets Connect Control Technologies is a leading,24
provider of harsh environment connectors and control components in critical applications for the aerospace defense and industrial markets,17
In this report we address sustainability issues that,15
impact our business performance and that are most,3
in this report have been collected reviewed and,12
and accurate information we have as of the date of,22
and areas of focus are informed by standards set by the Sustainability Accounting Standards,12
stakeholders ITT has a long history of engaging,10
including how ESG performance ties to our strategy,3
You can learn more about ITT in our annual report on Form 10K and our proxy statement both of which are available at investorsittcom,12
Corporate Governance and Our Board of Directors 37 Composition of Our Board 38 ESG Governance and Oversight 39 Investor and Political Engagement 40 Risk Management 41 Data Privacy and Cybersecurity 42 Ethical Conduct and Compliance 43,0
SASB Index 46 TCFD Index 49 Global Demographics 52,18
Our Environmental Approach 5 Products and Innovation 6 Leading the Electrification Transition 9 Greenhouse Gas GHG Emissions Reduction Process 10 GHG Emissions Reduction Targets 11 Investing for a Sustainable Future 12 Solar Energy Installations 13 GHG Emissions 15 Waste Management 16 Water Management 17 Safety Quality and Environmental Management Standards 18,25
Our People and Culture ITTs Foundation for Success 20 Setting the Tone The Role of ITTs Board of Directors and Leadership 21 Higher Performance Culture 22,8
Diversity Equity and Inclusion Inspiring and Elevating Our People and Communities 24 2026 Diversity Equity and Inclusion Goals 25 ITT Employee Resource Groups 26 Positively Impacting Our Communities 27,8
Leadership Development 28 Attracting Developing and Engaging Our People 29 Caring for ITTers and Their Families 30 Safety at ITT 31 Comprehensive Wellbeing 32 Human Rights and Fair Labor Practices 33 Product and Supply Chain 34,11
Habonim HQ Solar Panel Roof Kfar HaNass Israel,24
Investment in technologies to reduce our CO2 emissions waste sent to landfills and water usage Development of a credible path to carbon neutrality through our Reduce Avoid Offset framework,19
Our approach to environmental stewardship can broadly be classified into three categories,23
Development of innovative products that help customers reduce their emissions and achieve their sustainability goals,15
ITT partners with our customers to solve challenging problems and deliver bestinclass solutions Our,0
products enable them to operate more efficiently and productively reduce their total cost of ownership and,15
to produce sustainable environmentally impactful technologies For example our solutions reduce fine dust,15
emissions in brake pads for automotive original equipment OE customers support the global transition to,21
electrified vehicles and reduce energy usage in industrial and chemical applications,24
A good portion of what we doapproximately 12 of revenue in 2021came from our electric and,24
emissionsreducing products ITT is committed to furthering innovation and introducing technology,15
into our products that supports a cleaner more sustainable future for our customers and the world We,15
are working to understand and reduce the carbon footprint of our products across their entire life cycle,15
Ensuring efficient sustainable environmentally conscious operations is a business imperative for ITT In,15
2021 ITT developed the ReduceAvoidOffset framework which focuses on pursuing emission reduction goals,21
through targeted energy efficiency programs and renewable energy investments The framework will drive the,24
creation of our path to carbon neutrality We are also taking steps to minimize the waste sent to landfills and,19
emissions through new technologies and energy efficiency plans,21
emissions by using more sustainable energy sources both selfproduced and purchased,24
ITT is leading the way on the transition to cleaner and safer brake pad technologies,15
In April 2022 ITT announced its investment in HPL Technologies HPL a German,24
In 2015 ITT began developing copperfree brake pad formulations for automotive OE,15
customers This was in response to new more demanding environmental regulations,12
that will take effect in Europe in 2025 As of 2021 ITTs copperfree brake pad,24
production has grown to approximately 60 of total OE volume We expect that by 2025,24
based technology startup leading the rotor coating market with its groundbreaking WECODUR technology The technology allows rotors to last longer better resist corrosion and reduce fine dust emissions from brake systems HPLs WECODUR technology combined with ITT Motion Technologies brake pads designed specifically,9
nearly 100 of our OE production in North America will be comprised of copperfree pads,24
for hardcoated brake disks will offer industryleading and environmentally friendly,15
with China and Europe approaching 100 of production by 2031 where permissible by,24
The iALERT solution quickly accurately and efficiently identifies and diagnoses,9
mechanical and electrical failures in pumps motors and other industrial machines,9
Bornemann TwinScrew Pumps are selfpriming multiphase pumps that allow,24
for the transport of untreated well flow in a single multiphase pipeline to central,20
The iALERT 3 sensors and advanced vibration diagnostic tools allow pump operators,5
processing removing separators heater treaters and most importantly flares as with,24
to detect problems before they occur thereby reducing repair and maintenance cycles,9
conventional pumps and compressors The TwinScrew Pump technology allows our,24
and cost and avoiding catastrophic machine breakdowns There are currently 3500,18
energy customers to revitalize aging wells and eliminate harmful flaring,24
sensors active and monitored on 2400 assets worldwide and expanding,18
EMD is a smart motor that embeds innovative power electronics,15
ITT acquired Israelibased Habonim a manufacturer of specialty ball,15
ITTs aerospace customers are increasingly focused on converting,3
technology directly into a pumps motor With traditional motor,15
valves and actuation technologies for harsh applications in 2022,24
aerospace components to lighter materials that reduce the,15
drives operators cannot vary motor speeds resulting in higher energy,24
consumption Initial pilot field test of EMD with its embedded variable,24
speed drive showed energy savings between 55 and 85 with 50,24
Designing and producing high performance valves for gas,24
overall weight of the aircraft and thus save on fuel In response,24
to their needs ITT increasingly designs aircraft components,15
customized integrated valve packages that solve critical customer,15
ITTs Matrix Composites business uses stateoftheart Resin Transfer,15
Molding RTM to produce highperformance composite parts The,15
temperature and highpressure valves to serve the hydrogen,24
everincreasing drive to boost fuel efficiency continues to stimulate,24
green energy transition which supports the move away from,18
the adoption of composites in aircraft and aeroengine components,15
with high mechanical performance tight dimensional tolerances and high surface finishes,15
ITT is leading the electrified transition with its worldclass brake pads for electric vehicles and its Cannon connectors ITT Friction Technologies proactive approach with electric vehicle EV frontrunners defines new standards,12
for performance differentiators ITT operates two innovation centers focused on EV brake pad developmentin Barge Italy and Wuxi China In 2021 we were awarded content on 31 new electric vehicle platforms Cannon,15
connectors have been at the forefront of EV charging technology for over a decadedelivering fully proven and innovative connectors solutions across the globe Cannon connectors support EV infrastructure expansion for,24
Energy efficiency is the first step to minimizing environmental impacts,24
while ensuring our production is economical and competitive ITT has,4
implemented projects across many of our global locations to reduce,2
energy usage by improving lighting and climate control systems and,24
For example our facility in Termoli Italy recently upgraded its,12
compressor system and as a result saved 1650 MWh of electricity and 356400 kg CO2eq which is almost equal to the amount of energy 200 homes would use in one year By upgrading its compressor,24
systems our Termoli plant is saving approximately 30 of electricity,24
Another example of energy efficiency improvements that we are,24
making relates to the two cogeneration units that we are investing in at Barge Italy and Kanczuga Poland These gas powered cogeneration,24
plants will use the latest gas turbine technology to produce electricity,24
and supply the sites needs in terms of cooling and heating All this while,24
reducing our energy consumption and emissions by approximately,24
ITT maintains stateoftheart controls to reduce GHG emissions and,25
volatile organic compounds VOCs other hazardous air pollutants and,21
particulate matter Our emissions controls include carbon filters and,21
regenerative thermal oxidizers RTOs plus monitoring programs to,24
Over the last few years ITT has significantly built upon its commitment to renewable energy including increasing our capacity for energy generation In addition to building our clean energy,24
production capability we also invest in purchasing renewable energy,24
Carbon offsets are a practical and effective way to address climate,13
change counteract our carbon footprint and encourage the growth of,13
renewable energy However our focus continues to be on reducing and,24
avoiding emissions As we define our path to carbon neutrality we will,25
Guarantees of origin GOs are a marketbased instrument that,4
certifies the bearer owns one megawatthour MWh of electricity,24
Since 2020 ITT has purchased Guarantees of Origin for electricity,12
from the local grid for the Barge Termoli and Vauda Italy production,24
plants as well as for our Kanczuga Poland site In 2021 we extended,15
renewable energy certificates to our facilities in Stalowa Wola Poland,24
Including the benefit of the Guarantees of Origin ITT has reduced our net GHG emissions by more than 21640000 kg CO2eq in 2021 roughly the emissions produced by 3300 gas,25
Over the past several years we have made significant investments in technology resources and equipment,24
to reduce our carbon footprint These investments and the Guarantees of Origin have resulted in a net,12
reduction of our GHG emissions by 32 versus 2019 despite a significant increase in volume Building on,25
these improvements in 2022 ITT began to develop its path to carbon neutrality that will guide the companys,12
environmental practices over the next several decades through the ReduceAvoidOffset framework We,18
launched the first phase of this initiative in 2022,12
Friction Italy Pilot Program AtAGlance Anticipating more stringent regulatory requirements related to GHG emissions in 2022 we initiated a pilot,25
program at our Motion Technologies sites in ItalyBarge Vauda Canavese and Termoligeared towards,12
precisely quantifying and analyzing Scope 1 2 and 3 GHG emissions on a path to carbon neutrality We chose to,25
As a result of this initiative we have improved,12
the integrity of our data that led to adjustment,0
2019 which we believe will allow us to more,12
begin this process in Italy because these are the most energy intensive sites across ITT as well as the most,24
Chart represents percent of total ITT energy usage in 2021 by site,24
advanced facilities in their sustainability journey In fact Motion Technologies accounts for nearly 70 of ITTs,15
total emissions in 2021 and the three sites account for 34,25
The primary objectives of the pilot program are as follows,2
1 Development of locationbased GHG calculations that provide a complementary view to our marketbased,25
2 Introduction and deployment of a detailed action list of green capex projects to reduce and eliminate,12
3 Development of best practices and lessons learned that can be applied to future projects,12
4 Introduction of emissions reduction targets for all of ITT based on the pilot findings extrapolated across,25
Our work over the past several years has set the foundation for the,10
emissions reduction targets we are establishing today We expect to,25
reduce our global Scope 1 and 2 emissions for all of ITT by 10 by,25
We believe these targets are meaningful and achievable and a first step in defining and developing a path to,12
carbon neutrality We will use the methodology that has been successfully deployed in the pilot to asses our,25
efforts determine how we can deploy similar strategies to other locations throughout Europe and North America,3
and to further develop near mid and longterm targets that are sciencebased and supported by data We,12
will continue to determine the timing and cadence of our effort based on the energy usage energy security and,24
Working with subject matter experts on the ground and local consultants the team is developing tools to,12
energy cost at each site We will update our Board and other stakeholders at least annually on our progress and,24
track and analyze the efficacy of emissions reduction projects We are incorporating analytics to measure,21
we expect that future actions will include identification and analysis of scope 3 emissions as well,25
our progress and leveraging best practices as we plan for the next phase of the rollout As an example we,3
have developed an Energy Assessment matrix by plant that structures our approach to energy sustainability,24
Throughout 2021 we continued to produce environmentally friendly technologies for our customers while making,15
investments to reduce our own carbon footprint We understand that commitments to move towards a more,25
sustainable future also require a change in how we allocate capital,3
Beginning in 2021 ITT committed to allocate up to 10,12
of our annual capital expenditures towards initiatives to,12
In our Barge Italy facility we invested in a cogeneration,12
plant to provide power heating and cooling to,24
our Friction plant The investment will yield a 12,12
graphic on the left The viability of each project is,15
analyzed based on this framework and answers to the,12
Does the project support ITTs values and strategy,10
Does the project create longterm value for the,12
Through the second quarter of 2022 we committed,12
over 8 million for energy efficiency and renewable,24
energy projects and are on track to meet or exceed,24
green projects will protect us from energy price inflation,12
and scarcity and make ITT a more sustainable company,17
improvement in energy efficiency and is expected to reduce CO2kWh emissions by 11 and eliminate approximately 1600 tons of CO2 emissions annually We plan to implement the cogeneration plant in 2023,24
Construction site for Combined Heating and Cooling Power System in Barge Italy,24
