paragraph,predict_label
ABOUT FIRST SOLAR 7 Responsible Solar 10 IndustryLeading Environmental Profile 12 Powering a Circular Economy 15 First Solar Module Recycling Process Overview 16,15
ENVIRONMENTAL METRICS AND TARGETS 18 Greenhouse Gas Emissions 21 Energy 23 Water 24 Waste 26 Recycling 29,25
RESPONSIBLE SUPPLY CHAIN MANAGEMENT 30 Responsible Sourcing 31 Supply Chain Overview 32 Human Rights Standards and Practices 34 Conflict Minerals 35,17
SOCIAL RESPONSIBILITY 36 Our Culture 37 Working at First Solar 38 Inclusion Diversity Belonging 39 Occupational Health and Safety 42 Covid19 Pandemic Response 44 Sustainability Ambassadors Program 45 Global Charitable Giving Overview 46,8
GOVERNANCE 50 ESG Oversight at First Solar 51 Leadership 52 Ethical Business Conduct 52 Collective Bargaining and Freedom of Association 53 AntiCorruption 53 Data Security and Privacy 54 ESG Recognition and Awards 55,0
ABOUT THIS REPORT 58 Sustainability Materiality Assessment 59 Stakeholder Engagement 61 Key Performance Indicators 63 GRI Content Index 65,3
All financial numbers in this report are based on US Generally Accepted Accounting,12
Principles This report contains forwardlooking statements within the meaning of the,12
United States federal securities laws These forwardlooking statements do not constitute,12
guarantees of future performance These forwardlooking statements are based on current,12
information and expectations are subject to uncertainties and changes in circumstances,18
and involve a number of factors that could cause actual results to differ materially from,4
those anticipated by these forwardlooking statements including risks described in our,18
most recent annual report on Form 10K and other filings with the Securities and Exchange,12
Commission First Solar assumes no obligation to update any forwardlooking information,22
contained in this report or with respect to the information described herein,12
The solar industry has reached an inflection point Just a few years ago,12
the biggest obstacle we faced was proving that solar could be reliable and,24
costcompetitive without the need for subsidies Today we can proudly state,12
that we have overcome that challenge and utilityscale solar is now cheaper,24
than any other form of newbuild power generation in most major markets,24
Where once solar was described as new energy or alternative,24
This is why were doubling down on solar that isnt simply,24
solar PV is on a trajectory to become the dominant source of,24
powered by true innovation but also powered by a sense of,4
electricity generation in many countries while powering the new,24
responsibility towards people and the planet Its an approach,10
While the solar industry has many achievements that it must,4
that requires us to remember the original promise of solar,15
To put purpose at the center of everything we do To do well,10
and to enable the success of our partners and customers by,15
be proud of the journey has not been without its challenges,10
and the focus on solaratanycost has not been without,4
consequences It is deeply unfortunate for example that,0
We call this Responsible Solar It is solar with an overarching,24
too many conversations these days include solar and,0
ethical commitment to people and the planet It is solar that,0
forced labor in the same sentence Or that the use of dirty,11
doesnt pay lip service to sustainability but embodies it Solar,12
coal electricity to power Chinas dominance of polysilicon,24
that considers the social and environmental impacts and,10
production is now in full public view tainting the reputation of,4
works hard to make peoples lives healthier Solar that has no,2
tolerance for the use of forced labor either in its manufacturing,11
or its supply chain And solar that meaningfully supports the,17
Besides shaking up the status quo the increased public,12
scrutiny of the solar industry appears to be forcing a reckoning,12
that we hope will transform the industry into one that is,12
It represents a meaningful commitment to hold ourselves to,10
stronger and more accountable and recognizes the inherent,0
a higher standard As a result our Series 6 modules received,12
an EPEAT Silver rating and became the first PV product to,15
This is also an inflection point for us at First Solar and in many,4
ways marks the next phase in our evolution as a company For,3
one we have embraced our position as an industry leader taking,3
