paragraph,predict_label
Making Technology Fully Inclusive and Expanding Digital Readiness,8
Intel 2021 Water Inventory by Location and Source 96,20
otherwise stated This report has been prepared in,12
Index is provided on our Report Builder website We also use other recognized frameworks to inform the,12
content of this report including the United Nations,12
Disclosures TCFD and the Value Reporting Foundation1 In 2021 we continued to advance our integrated reporting strategy to include environ,12
2021 Annual Report on Form 10K and 2022 Proxy,12
website For additional information on Intels approach to corporate responsibility supporting documents,12
and data past reports and to customize a report,22
with the sections of your choice visit our Corporate,15
1 SASB and IIRC announced the finalization of their merger in June 2021 creating a unified organization the Value Reporting Foundation,12
emissions energy use water use and waste generation For example we achieved net positive water in three countries sustained 80 renewable electricity globally and sent about 5 of our total waste to landfill This work has contributed to us being recognized as No 1 on Barrons 100 Most Sustainable Companies list We are also continuing our work on sustainable chemistry including ongoing efforts to refine the chemical footprint methodology for use in evaluation of the chemical supply chain,19
Accelerating efforts on the Alliance for Global Inclusion Last year we launched a coalition of technology and adja cent industry partners to improve diversity and inclusion practices and promote transparent reporting in four critical areas leadership representation inclusive language inclusive product development and STEM readiness in underserved communities We more than doubled mem bership and made meaningful progress on creating an inclusion index to help companies track diversity and inclusion improvements against a shared benchmark,8
Evolving our Pandemic Response Technology Initiative PRTI This has now become our Intel RISE Technology Initiative IRTI which funds projects related to healthcare education and the economy with dedicated work streams for social equity and human rights accessibility and climate action The IRTI is a purposedriven platform for action backed by a 20 million commitment,10
Announcing the AI Incubator Network This is an initiative in partnership with Dell Technologies and the American Association of Community Colleges As part of Intels AI for Workforce program the AI Incubator Network will design and build AI labs across the US by leveraging the expertise and industry connections of Americas community college system Since launching the AI for Workforce program in 2020 Intel has expanded it to 31 schools across 18 states with a goal of reaching all 50 states by 2023,8
As we look ahead we will build on this momentum to drive progress and take us to even greater heights in 2022 and in the years ahead including,3
Committing to netzero greenhouse gas emissions across our operations by 2040 We will do this even as we signifi cantly expand our global operations We are committed to,25
increasing the energy efficiency and lowering the carbon footprint of Intel products and platforms and to working with customers and industry partners to create solutions that lower the greenhouse gas footprint of the entire technology ecosystem Furthermore through sustainable manufacturing practices and aggressive environmental targets we are deeply committed to being good neighbors in the communities where we operate,24
Making a 100 million investment to establish education,2
and research collaborations Working with the US National Science Foundation we will continue to boost research and workforce development in semiconductor manufacturing through a 100 million investment over the next decade to establish education and research collaborations with universities community colleges and technical educators in Ohio and across the nation,2
