paragraph,predict_label
This past year has brought disruption and stress for so many as the world grapples,18
We are also making progress in implementing our 30 billion commitment to help,12
with war in Ukraine economic volatility climate change and an ongoing pandemic,13
close the racial wealth gap Financing affordable places for people to live expanding,8
It has also shown what companies like ours can and must do to serve our,3
access to services through local community branches and supporting Minority,8
customers clients and communities run a healthy and vibrant company and bring,10
Depository Institutions and Community Development Financial Institutions are a few,12
together the best of our business to help address significant economic and societal,10
examples of how were putting this commitment to work Because racial equity like,8
challenges Throughout this period of uncertainty JPMorgan Chase has led with a,18
climate requires a coordinated government response we are advocating for policies,13
tireless focus on doing the right thing even when its not easy or expedient,10
that diversify the appraisal industry help Americans with no credit file gain access,4
We are leveraging capital and expertise across our company to support a greener,3
to credit and provide access to affordable small business loans,2
future for the planet and advance racial equity This is a pivotal time for society,8
Finally we can only run a strong company and tackle these challenges if we have,3
government business and community leaders must move from empty statements,12
exemplary people I am so proud of how hard our employees have worked through,10
and lofty intentions to tangible actions That is why our company is beginning to,12
these tough times and the continued steps weve taken to cultivate a diverse and,10
implement ambitious targets and commitments to help drive equity and create a,12
inclusive workplace and support our customers and communities,10
There is no doubt we both as a company and society have a long way to go We,4
A responsible approach to energy and climate especially during a time of war is to,13
may not get it right every time but we strive every day to do the right thing,10
immediately help provide energy security around the globe while remaining focused,5
on accelerating the development of affordable reliable and lowercarbon energy,24
solutions We have a goal to reduce the carbon intensity of our financing portfolios,25
Moments of crisis are also moments of opportunity In this years ESG report I invite,18
you to read about the work we do every day to drive lasting change,10
starting with oil gas electric power and automotive manufacturing and targeting,24
1 trillion by 2030 as part of an overall 25 trillion sustainable development,3
target to advance renewable energy and other innovative technologies And we,24
are minimizing the environmental impact of our physical operations across,15
thousands of branches as well as our data centers and corporate offices,3
JPMorgan Chase Co JPMorgan Chase the Firm or we is a financial services,4
and payment solutions to small businesses Home Lending includes mortgage,12
Estate Banking Middle Market Banking covers small and midsized companies local,18
company based in the United States of America US with branches in 48 states,12
origination and servicing activities as well as portfolios consisting of residential,3
governments and nonprofit clients Corporate Client Banking covers large,12
and Washington DC with 271025 employees in 62 countries worldwide and,8
mortgages and home equity loans Card Auto issues credit cards to consumers,12
corporations Commercial Real Estate Banking covers investors developers and,12
37 trillion in assets as of December 31 2021 The Firm is a leader in investment,18
and small businesses and originates and services auto loans and leases,12
owners of multifamily office retail industrial and affordable housing properties,2
banking financial services for consumers and small businesses commercial,12
banking financial transaction processing and asset management Under the,4
JP Morgan and Chase brands the Firm serves millions of customers predominantly,4
in the US and many of the worlds most prominent corporate institutional and,18
JPMorgan Chases activities are organized for management reporting purposes,12
into four major reportable business segments as well as a Corporate segment The,3
Firms consumer business is the Consumer Community Banking CCB segment,6
The Firms wholesale business segments are the Corporate Investment Bank,4
CIB Commercial Banking CB and Asset Wealth Management AWM The,18
business segments are referred to as lines of business For further information,3
refer to Business Segment Results on pages 6181 of our Form 10K for the year,3
CIB offers a broad suite of investment banking marketmaking prime brokerage and,4
Asset Management offers multiasset investment management solutions across,4
treasury and securities products and services to a global client base of corporations,12
equities fixed income alternatives and money market funds to institutional and,4
investors financial institutions merchants and government and municipal entities,12
retail investors providing for a broad range of clients investment needs The Global,12
Banking offers a full range of investment banking products and services in all major,15
Private Bank provides retirement products and services brokerage custody trusts,12
capital markets including advising on corporate strategy and structure capitalraising,3
and estates loans mortgages deposits and investment management to high net,12
in equity and debt markets as well as loan origination and syndication Banking also,12
worth clients The majority of AWMs client assets are in actively managed portfolios,18
includes Payments which provides payments services enabling clients to manage,0
payments and receipts globally and crossborder financing Markets Securities,12
Services includes Markets a global marketmaker across products including cash and,4
derivative instruments which also offers sophisticated risk management solutions,18
The Corporate segment consists of Treasury and Chief Investment Office CIO and,12
prime brokerage and research Markets Securities Services also includes Securities,4
Other Corporate which includes corporate staff functions and expense that is,7
CCB offers services to consumers and businesses through bank branches ATMs,12
digital including mobile and online and telephone banking CCB is organized into,1
Services a leading global custodian which provides custody fund accounting and,12
administration and securities lending products principally for asset managers,12
insurance companies and public and private investment funds,12
Consumer Business Banking including Consumer Banking JP Morgan Wealth,18
Management and Business Banking Home Lending including Home Lending,18
Production Home Lending Servicing and Real Estate Portfolios Card Auto,4
Consumer Business Banking offers deposit investment and lending products,12
payments and services to consumers and lending deposit and cash management,12
CB provides comprehensive financial solutions including lending payments,12
investment banking and asset management products across three primary client,15
segments Middle Market Banking Corporate Client Banking and Commercial Real,4
centrally managed Treasury and CIO is predominantly responsible for measuring,12
monitoring reporting and managing the Firms liquidity funding capital structural,18
interest rate and foreign exchange risks The major Other Corporate functions,18
include Real Estate Technology Legal Corporate Finance Human Resources,8
Internal Audit Risk Management Compliance Control Management Corporate,0
Information about JPMorgan Chases financial performance is available in our,18
quarterly earnings materials as well as quarterly and annual reports on Form 10Q,12
We strive to operate a thriving company that we can be proud of and to support a sustainable and inclusive economy,10
Fulfilling these goals rests on staying true to our core business principles delivering exceptional client service,3
operational excellence fairness and responsibility a commitment to integrity and building a great team and winning,0
culture Doing all of this well is the underpinning of our Firms longterm success and therefore of our ability to,3
continue to deliver for all our stakeholders customers and clients employees community and shareholders Our,10
2 Be field and client driven and operate at the,4
5 Demand financial rigor and risk discipline We will,0
16 Hire train and retain great diverse employees,8
6 Strive for the best internal governance and controls,0
7 Act and think like owners and partners,4
8 Strive to build and maintain the best most efficient,24
15 Help strengthen the communities in which we,10
The finance sector has an important role to play in helping to,12
address some of the most pressing environmental and social,10
DRIVING AN INCLUSIVE AND SUSTAINABLE ECONOMY FOR ALL OUR FIRMWIDE PILLARS,8
challenges of our time targeted capital is vital to seed fund,3
and scale solutions whether helping address the racial wealth,8
gap or advancing solutions and innovations needed for the,15
lowcarbon transition We believe the scale and reach of our,25
business and our approach to Environmental Social and,10
Governance ESG matters helps drive this progress and,12
contributes to a more sustainable and inclusive economy,8
Building off the foundation of our Business Principles we are,3
leveraging our expertise capital data and resources to,3
carbon economy ESG matters are an important consideration,18
advance inclusive growth and support the transition to a low,8
in how we do business including how we develop our,3
products and services serve our customers support our,15
employees and help lift our communities Our Sustainable,10
Development Target which we set in 2021 puts these,12
than 25 trillion over 10 years to help address climate change,13
and contribute to sustainable development see page 6 As,23
does our 30 billion Racial Equity Commitment announced in,8
2020 which aims to advance racial equity and promote,8
Our Firm communicates information about our ESG practices and performance through a number of channels,3
including our Annual Report and Proxy Statement various other reports and presentations regulatory filings press,12
releases and direct conversations with stakeholders We maintain a dedicated ESG Information page on our website to,3
facilitate access to information that we publish on these topics,2
This annual ESG Report is designed to consolidate and summarize our work on ESG topics that are important to our,3
business and stakeholders and guide readers to where they can access more detailed information about specific topics,12
of interest All data in this report are as of December 31 2021 unless otherwise noted,12
This ESG Report has also been informed by the Global Reporting Initiative GRI including the GRI Universal Standards,12
released in 2021 and relevant Sector Standards and the Sustainability Accounting Standards Board SASB reporting,12
standards Our ESG Report Appendices see page 60 on GRI and SASB map our Firms disclosures related to these,12
frameworks indicators and recommendations In 2022 we intend to release a dedicated climate report which will be,13
informed by the recommendations of the Task Force on ClimateRelated Financial Disclosures TCFD,13
The Target represents a key aspect of our Firmwide approach to ESG supporting our clients and customers through financing,3
activities that advance sustainable economic growth and highlights the work of other key initiatives including our efforts to,3
support the lowcarbon transition see page 12 the work of the JPM DFI see page 9 and the progress of our 30 billion Racial,25
This section explains why we developed the Target and how we are organizing to drive its implementation across our business It,3
also provides an update on our progress and examples of transactions completed in 2021 as well as links to additional,12
institution we are leveraging our capabilities and expertise to provide capital and advice that supports economic,12
We believe creating sustainable economic growth is important to the longterm strength and vibrancy of the global,3
economy and to the health and prosperity of people and communities around the world As a global financial,10
than 25 trillion over 10 years from 2021 through the end of 2030 to advance longterm solutions that address,12
role that the financial sector can play in mobilizing the capital needed to drive progress It expands on our prior oneyear target,3
growth while helping to address key global challenges That is why we have set a target to finance and facilitate more,3
The Target reflects our recognition of the need for collective action to address the worlds most important challenges and the,10
Our Sustainable Development Target the Target aims to grow and strengthen our business activities across three,3
200 billion to support climate action and sustainable development in 2020 to a new 10year target that extends through,13
the end of 2030 which corresponds with the timeframe we set to meet our initial emission intensity reduction targets within our,21
financing portfolio see page 12 as well as the current timeframe set by the United Nations for achieving the SDGs,12
By drawing awareness to the work happening across the Firm to advance sustainable development the Target is designed to,10
mobilize our efforts and sharpen our focus on key areas that contribute towards solutions for the worlds toughest challenges,18
the actions we are taking as part of,10
The Target builds on our history of fulfilled commitments to support climate action and sustainability,13
2017 Facilitate 200 billion in clean financing by 20251,12
2020 Finance and facilitate 200 billion for climate action and sustainable development in 2020 2,13
2021 Finance and facilitate more than 25 trillion for climate action and sustainable development over 10 years by the end of 2030,13
2 Achieved in 2020 by financing over 220 billion in transactions including more than 55 billion toward green initiatives,12
In setting the Target we took into account the Firms breadth scope and geographic reach,3
In 2021 our Firm financed and facilitated approximately 285 billion towards the Target Across our three objectives 41 went towards,12
spanning the globe and encompassing activities across both our retail and wholesale business,17
development finance 37 towards green and 22 towards community development In this section we discuss our progress in each,10
segments We prioritized areas that are important to global sustainability and inclusive growth and,3
where we believe our capabilities and expertise can help drive progress We also concentrated on,3
topics that are important to our stakeholders including customers and clients employees,10
communities and shareholders This led to the Targets three areas of focus each of which combines,10
a clear need and business opportunity that we believe our Firm is well positioned to address,3
In the development of the Targets criteria and methodology we also took into account international,12
best practices and industry standards such as the SDGs the International Capital Market,12
Associations Green and Social Bond Principles and the International Finance Corporations,12
We are mobilizing resources and expertise throughout the Firm to drive progress toward our goals,3
This includes deploying both new and existing teams to enhance our capabilities and realize,3
opportunities across our wholesale and consumer business segments as well as across other,17
corporate functions For example CCBs Community and Affordable Home Lending business is,2
helping expand our support for sustainable homeownership and our growing network of,2
Community Center branches is advancing a new model for how we support diverse entrepreneurs,8
and their communities Elsewhere we are investing in resources such as CBs Green Economy and,10
Community Development Banking teams CIBs ESG Solutions team and Center for Carbon Transition,3
CCT and the JPM DFI each of which play a key role in collaborating with our global network of,12
bankers and product specialists to deliver strategic services and facilitate financing at scale,15
For the Target we have established a robust governance process designed to provide accountability,12
for how we quantify and track our progress over time This includes a crosslineofbusiness and,18
functional group responsible for approving the quantification approach documentation and,12
reporting associated with transactions that contribute toward the Target Together these actions,12
support strategic decisionmaking within and across our businesses as we work to drive continued,3
Including capital raising in debt and equity markets underwriting of sustainable bonds ie green social and sustainability bonds municipal and notforprot bonds initial public offerings IPOs followon offerings FPOs private placements and advisory services including mergers and acquisitions MA,12
Including certain emission contracts and investments in tax credit vehicles in alternative energy eg solar and wind projects,21
Including support for small businesses home ownership and consumer adoption of electric vehicles,15
Including affordable housing retrotting rehabilitating or constructing accredited energyefficient buildings eg LEED Energy Star,24
To learn more about our criteria for determining what business activity is eligible to count toward our Sustainable Development Target and,3
how we account for the value of transactions see Our Approach to Our Sustainable Development Target3,12
3 Our approach to measuring our progress for the Target builds off the criteria and methodology we developed for our 200 billion commitment in 2020 For the Target we made methodological adjustments from the 2020 commitment in two main areas 1 Development Finance driven by refinements in the JPM DFIs methodology as explained,12
in its latest annual report and 2 Community Development with the inclusion of small business and housingrelated loans and investments for Black Hispanic and Latino individuals and communities largely consistent with our Racial Equity Commitment,8
By the end of 2030 we aim to finance and facilitate 1 trillion in support of the deployment of solutions for cleaner,12
sources of energy and facilitating the transition to a lowcarbon economy Our eligible business activities include,24
renewable energy clean technology water waste management conservation sustainable transportation green,19
In 2021 we financed and facilitated approximately 106 billion in support of our green objective particularly towards,12
sustainable transportation and renewable energy We supported these areas through a variety of businesses around,24
our Firm such as underwriting green bonds for corporate and sovereign issuers capital raising and advisory services,12
for electric vehicles EV companies and lending to emerging renewable energy companies 2021 in particular was a,24
Our Target in Action Powering Americas Largest Offshore Wind Farm,12
year characterized by strong market factors including recordbreaking global MA activity and significant growth of,4
JPMorgan Chase served as Joint Lead Arranger for more than 2 billion in financing for the 800 megawatt Vineyard,24
Wind project the first offshore wind farm in the United States capable of generating power at utility scale and the,24
countrys largest source of offshore wind power Situated off the coast of Marthas Vineyard the project is expected to,24
supply enough energy to serve the needs of 400000 Massachusetts households and businesses and avoid 168 million,24
metric tons of carbon emissions annually while contributing to efforts to transition the US power grid to cleaner,25
JPMorgan Chase provided services across our diversified business to support the development of Vineyard Wind We,3
provided Investment Banking services acting as Joint Lead Arranger and Syndication Agent for a senior secured,12
loan We also provided Markets products providing hedges to mitigate risk and Treasury products cash management,18
4 Totals may not sum due to rounding,4
5 Mixed Use is comprised of transactions where the use of proceeds may facilitate activities across more than one eligibility criteria such as green bonds and emissions contracts,12
6 Of the various products and services JPMorgan Chase provided to support the project only the senior secured loan was counted towards the Target For the senior secured loan which,12
had multiple book runners only JPMorgan Chases participation is counted toward the Target,4
The development finance objective of the Target highlights the work of the JPM DFI which was established to spur,12
capital towards sustainable development projects such as expanded access to education financial services,2
telecommunications and health care in developing countries By assessing transactions based on their anticipated,2
environmental and socioeconomic impacts the JPM DFI seeks to expand the market for development finance and grow,10
the pool of investors interested in transactions that offer financial returns and advance the SDGs For more information,12
see page 45 as well as the JPM DFIs 2021 Annual Report,12
Our Target in Action Expanding Access to Telecommunications in SubSaharan Africa,2
In February 2021 JPM DFI acted as the Development,12
Through the use of proceeds from the bond Liquid Telecom is,12
In 2021 approximately 117 billion of development finance activity nearly 600 transactions was qualified towards,12
corporate bond issued by Liquid Telecom one of the,12
operators in Africa The company operates its largely,4
owned fiber optic and wireless network across more,1
to the Fiber to the Home FTTH network in the DRC,1
Doubling the capacity of the Companys FTTH network to,24
population of around 500 million people but only,8
Increasing coverage in Zambia and Zimbabwe by adding,12
23 million mobile broadband users and three million,24
Expanding its fiber network in the DRC to reach via service,24
The bond issuance is expected to enable Liquid,12
Telecom to help address key development gaps in,10
healthcare and key services to both urban and rural,2
The JPM DFI assessed the transaction and determined it,12
advances United Nations SDGs 8 and 9 which are associated,12
with promoting decent work and building resilient infrastructure,3
7 Numbers may differ from the JPM DFIs 2021 Annual Report primarily due to overlap with some transactions advancing both the green objective and development finance,12
objective For the Target these transactions are counted only once toward the green objective,4
Our work in the Community Development area of our Target supports areas such as homeownership and affordable,10
housing small business education and health care with a focus on LMI and Black Hispanic and Latino individuals,8
In 2021 we reflected approximately 61 billion of financing and facilitation towards this objective,12
The Community Development objective also highlights our commitment to racial equity and includes many of the,8
activities we are engaging in as part of our fiveyear 30 billion Racial Equity Commitment By the end of 2021 we had,8
deployed or committed more than 18 billion toward our 30 billion goal Of this 18 billion more than 16 billion is,12
also reflected here within the Community Development objective of our Sustainable Development Target For more,10
details on our Racial Equity Commitment see page 21,8
Our Target in Action Refinancing Affordable Housing Units in New York,2
In June 2021 JPMorgan Chase through the Corporate Investment Bank provided 600 million of financing to AE,12
Real Estate to facilitate the refinancing and preservation of a portfolio of 53 rentregulated residential buildings,24
comprising 3531 rental units located in highcost areas throughout the Manhattan Brooklyn Queens and Bronx,24
The largest single property in the portfolio is the 1229unit Riverton Square complex in East Harlem Originally,3
constructed in the 1940s the development provided an alternative to the many housing projects that discriminated,11
against nonWhite residents that were built in the same period As such it provided housing opportunities to,2
predominantly Black families and represents the storied history of the Black community in New York Riverton Square is,8
subject to a regulatory agreement to maintain 975 affordable units 79 of the property which ensures long term,12
affordability at the complex The agreement establishes that as leases expire on the units they remain affordable to,12
various income brackets 60 80 and 125 of area median income As of October 2021 965 of the property was,8
8 Totals may not sum due to rounding,4
9 Mixed Use is comprised of transactions where the use of proceeds may facilitate activities across more than one eligibility criteria such as social bonds,12
A healthy environment is crucial to the longterm success of the economy and of communities around the,10
world but climate change and other environmental challenges pose increasing threats to our collective future,13
As a global financial institution working with clients in nearly every sector of the economy we have an,18
important role to play in tackling environmental challenges Our strategy includes financing and investment,13
solutions to help accelerate the transition to a lowcarbon sustainable economy supporting our clients with,3
strategic advice and continuing to minimize the environmental impact of our own operations,3
Set our first portfoliolevel emissions intensity reduction targets for three sectors Oil Gas Electric Power and Auto Manufacturing and published our Carbon CompassSM methodology,21
Joined the Industryled United Nationsconvened Net Zero Banking Alliance NZBA and the Net Zero Asset Management NZAM initiative,18
Financed and facilitated 106 billion in support of the green objective of our Sustainable Development Target,23
Reduced Scope 1 and 2 greenhouse gas GHG emissions in our global operations by approximately 15,25
Issued a 125 billion green bond in August 2021,12
operations for the second year in a row,18
Developing solutions to environmental challenges such as climate change is important to protecting our planet and,13
creating longterm sustainable economic growth The financial sector has a unique role to play particularly in,18
mobilizing the capital necessary to develop new technologies and build sustainable infrastructure,12
respond to and drive new solutions to the challenges the world faces This includes working with clients to support the,3
At JPMorgan Chase we are using our capabilities to promote sustainable business practices and help our clients,3
transition to a lowcarbon economy and providing sustainable investing and financing solutions,12
Climate change is one of the most critical challenges facing our planet and society We are responding by minimizing,13
the carbon footprint of our own physical operations see page 17 and by leveraging our business to support and,3
accelerate the global transition to a lowcarbon economy,3
In recent years many governments businesses and NGOs have aligned around the collective ambition to reduce,12
A key aspect of our lowcarbon strategy is how we engage with our clients in carbonintensive industries on their transition In,3
2020 we pledged to align key sectors of our financing portfolio with the goals of the Paris Agreement In May 2021 we became,12
the first large US bank to set 2030 targets which we set as portfoliolevel emissions intensity reduction targets for the Oil,21
Gas Electric Power and Auto Manufacturing sectors and published our Carbon Compass Methodology detailing our approach,12
We also announced our plans to expand our targets to new sectors of our financing portfolio over time In October 2021 we,12
joined the NZBA a group convened by the United Nations Environment Programme Finance Initiative which brings together a,12
global network of banks committed to aligning their lending and investment portfolios with net zero emissions by 2050,25
While thoughtful policy technology and behavioral advancements are all prerequisites in realizing our common goals around net,12
zero emissions by 2050 we joined the NZBA because we support the ambition for greater climate action the sharing of best,13
practices and a collaborative approach between the public and private sectors to reach this goal We may further address,12
important details of these efforts as they develop over time including where we believe practical considerations may constrain,12
our work against the ambitions of the NZBA such as the necessity of technological advancements the evolution of consumer,15
behavior the need for thoughtful climate policies around the world the challenge of balancing shortterm targets with the need,13
to facilitate an orderly and just transition and other critical considerations such as legal and regulatory obligations,12
Participating in industry initiatives will also support our efforts to develop targets for other sectors and engage with a growing,12
number of clients who are aligning their strategies with widelyrecognized and sciencebased emission reduction pathways,21
global emissions to net zero by 2050 However the world is not on track to achieve this goal Achieving net zero by,25
Since setting our first portfoliolevel emissions intensity reduction targets we have focused on implementing them in the,21
2050 requires transforming the global energy system as well as making significant changes in how key goods and,24
management of our Oil Gas Electric Power and Auto Manufacturing financing portfolios As part of this an assessment of our,18
services are produced and delivered The financial sector will play a key role in facilitating the substantial investment,12
clients emissions and decarbonization plans is now factored into our decisionmaking while considering new transactions for,12
As a global financial institution our strategy is focused on providing financing strategic advice and investment services,12
to help clients adapt to and thrive in a lowcarbon economy,3
inscope clients in these sectors for both lending and debt capital markets transactions This assessment allows us to 1 build,18
in a view of our clients decarbonization trajectories during the decisionmaking process on a potential new transaction as a,4
factor in our usual approval processes and 2 assess both our clients progress and in turn our own progress towards our,12
Our assessment framework uses a variety of quantitative and qualitative measures to evaluate clients current emissions,25
performance their track record and future plans Quantitatively we collect and assess historical emissions reductions,25
current carbon intensity and forecasted intensity based on publicly announced emissions targets Qualitatively we,25
assess actions the client has taken to drive progress such as formulating detailed decarbonization plans establishing,12
clear governance and oversight of climate strategies and polices and more The development and implementation of,13
As we further implement our lowcarbon transition strategy we continue to enhance our abilities to meet client needs through,3
both deepening expertise in our existing teams and establishing new teams specializing in green and other transitionrelated,3
our assessment framework was led by the CCT along with partners such as key Banking and Risk Management groups,18
Our CIB CCT plays a key role in driving implementation of our emissions intensity reduction targets and engaging with cli,25
We will continue to build on our efforts in key portfolios over time particularly as we expand to additional targets and sectors,3
ents on sustainabilityfocused financing research and advisory solutions to help guide their longterm business strategies,3
This includes providing strategic advice on clients longterm business strategies and related carbon disclosures as well as,3
partnering with industry and product teams to structure unique financing products across public and private capital mar,12
kets The CCT has accountability to senior leadership in the CIB and CB and works in close partnership with teams across our,7
The low carbon transition is a focus for our banking teams and we continue to build our ability to provide tailored,18
advice and solutions to our clients as they adapt and grow their businesses in a changing world Whether a client is,3
Formally launched in 2021 our CB Green Economy Banking team is a specialized industry coverage team established to drive,18
working to transition their business model and operations to reduce emissions or to develop and grow new,3
