paragraph,predict_label
IBM 2021 ESG Report IBM 2021 ESG Report,18
The war in Ukraine and IBMs efforts 06Letter from the Chairman and CEO 04ESG at IBM 07Corporate governance 12Business ethics 15Responsible technology 16Diversity and inclusion 20Workforce initiatives 29Community development 31Supply chain 34Environmental management system 39Energy and climate change 40Conservation and biodiversity 44Pollution prevention and waste management 45Solutions for sustainability 48Awards and recognition highlights 50Top suppliers 51GovernanceEnvironmentAppendixSocialIntroductionContents,3
IBM 2021 ESG Report IBM 2021 ESG Report IBM 2021 ESG Report,12
IBMers have always applied their time talent and technology to make a meaningful impact in the world evolving the nature of their work over time to meet the most urgent needs of society This is true in both IBMs core business and in the many ways IBMers engage with the global community,10
Today that includes standing with the people of Ukraine IBM condemns Russias war against Ukraine in the strongest terms We suspended business in Russia and are taking steps to protect IBMers in that country who may be facing difficult circumstances We covered the costs of relocating IBM employees in Ukraine to neighboring countries and are providing for their physical and mental health IBMers are supporting the Red Cross in Ukraine and IBM is matching all employee donations to the organization,9
IBM 2021 ESG Report IBM 2021 ESG Report,18
Environmental impact In 2021 we continued IBMs long tradition of conserving natural resources and reducing pollution using renewable energy and developing solutions to climate change IBM set a new 2025 greenhouse gas emissions reduction goal that exceeds the rate of reduction that the UN Intergovernmental Panel on Climate Change indicates is necessary to limit Earths warming 15 degrees Celsius above preindustrial levels This is another milestone in our roadmap to achieve netzero greenhouse gas emissions by 2030 We are also applying our technology and expertise to help make net zero a reality for our clients Earlier this year we announced the acquisition of Envizi a leader in environmental performance management Building on other IBM investments in AIpowered software Envizi will help organizations create more resilient and sustainable operations and supply chains IBM also increased its waste recycling goal committing to divert 90 of IBMs total nonhazardous waste from landfills and incineration by 2025,19
Equitable impact IBM is proud of its inclusive culture and the programs we have established globally to provide wider access to critical skills and training This focus on inclusivity extends across our business In 2021 IBM again grew the percentage of women and underrepresented minorities in our workforce as a whole as well as in our executive ranks We also committed to dedicating 15 of our firsttier diversity supplier spending to Blackowned businesses by 2025 Through IBMs careerbuilding programs and more than 170 new academic and industry partnerships we are committed to skilling 30 million people globally by 2030 IBM is investing 250 million by 2025 in our apprenticeship and new collar programs which offer alternative paths to indemand skills and tech industry jobs And we established a target of 4 million IBM volunteer hours by 2025,8
Ethical impact As a responsible steward of technology IBM is focused on developing policies and practices that prioritize ethics trust transparency and accountability Our clients and partners must drive innovation while delivering the highest standards of security privacy data protection and compliance We are committed to supporting them as the most trusted and ethical technology partner of the 21st century That is why IBM will train 1000 partners in technology ethics by the end of 2022 It is also why we added a diversity modifier to our executive compensation program to reinforce accountability for building a diverse workplace a key organizational goal,0
I invite you to read more about our efforts to make an impact wherever it is needed As always we stand ready to collaborate with our clients partners and governments to build a safer more equitable and peaceful future I am humbled and inspired by IBMers dedication to this critical work Thanks to them IBM is well positioned to fulfill its purposeto be the catalyst that makes the world work betterfor decades to come,10
IBM 2021 ESG Report IBM 2021 ESG Report,18
IBM does not condone violence or acts of aggression and we firmly condemn the Russian war in Ukraine,5
Thanks to the continued generosity of IBMers around the world we have now raised over 185 million 925000 in IBMer donations plus a 925000 company match for the International Committee of the Red Cross IBM also donated 250000 each to two local organizations that are providing critical support to the most heavily impacted areas along the borders of and in Ukraine People in Need and Polish Humanitarian Action,10
The safety and security of IBMers is at the heart of all our decisions and our top priority is IBMers and their families in the impacted regions Since February 2022 we have been providing them with relocation assistance financial support and other forms of direct engagement On March 7 2022 IBM announced the suspension of business activities in Russia,9
IBMers have mobilized and are participating in multiple volunteering initiatives once again showcasing the best of IBM values and culture,10
The war situation is fast evolving as of the writing of this report but we know IBMers around the world remain unified in our hope that peace can be quickly restored We commend world leaders who have acted decisively in hopes of expediting an end to this war,13
IBM 2021 ESG Report IBM 2021 ESG Report,18
IBM is always focused on the challenges and complexities facing todays world Environmental social and governance ESG reporting at IBM embodies this philosophy through three pillars,10
Ethical impact Creating innovations policies and practices that prioritize ethics trust transparency and above allaccountability,0
Environmental impact Creating better pathways to conserve natural resources reduce pollution and minimize climaterelated risks,23
Equitable impact Creating spaces and opportunities for everyone by focusing on diversity equity and inclusivity within IBM as well as globally,8
IBM 2021 ESG Report IBM 2021 ESG Report,18
This report covers our progress and performance in 2021 and some notable activities during the first quarter of 2022 In selecting content for inclusion we were inspired by frameworks and initiatives such as the Global Reporting Initiative GRI Standards the Sustainability Accounting Standards Board the Task Force on ClimateRelated Financial Disclosures TCFD the Stakeholder Capitalism Metrics and the United Nations Sustainable Development Goals IBMs full GRI report using the GRI Standards guidelines can be found online1,12
In 2021 we engaged Business for Social Responsibility BSR a nonprofit consultancy dedicated to sustainabilityto provide input on our ESG priorities and to inform our ongoing ESG reporting strategy,10
The data in this report covers our global operations The information in this report has not been externally assured by third parties except where noted,22
