paragraph,predict_label,count,different,empty,diff rate,empty rate
A Letter From Our Chairman   Chief Executive Officer,7,26,diff,empty,0.8927835051546392,0.5525773195876289
A LETTER FROM OUR CHAIRMAN   CHIEF EXECUTIVE OFFICER,7,26,diff,empty,,
Just as our business has greatly evolved since ,3,26,diff,empty,,
During the past year we announced our new ,12,26,diff,empty,,
products as well as expand our offerings in this ,15,26,diff,empty,,
it was established nearly 175 years ago so too ,12,26,diff,empty,,
has our role as a global corporate citizen Of ,22,26,diff,empty,,
will not only enable us to transform derivatives ,4,26,diff,empty,,
for us to collectively advance toward a more ,4,26,diff,empty,,
As it relates to our ESG strategy CME Group ,3,26,diff,empty,,
has been able to move the needle in both big ,4,26,diff,empty,,
In 2021 we launched a number of innovative ,15,26,diff,empty,,
and small ways  all of which are making a ,4,26,diff,empty,,
world Even as we continue to navigate the ,4,26,diff,empty,,
tools they need to manage risk and capture ,18,12,diff,,,
47 million offsets were traded in 2021 across both ,18,25,diff,,,
initiatives At the end of the year we formed a ,12,26,diff,empty,,
business and our clients from home during the ,15,26,diff,empty,,
to help provide balance and options in our ,4,26,diff,empty,,
Collective differences are what drive  innovation and we  recognize the  importance of  fostering conversation and awareness  around diversity  and inclusion,8,11,diff,,,
We are proud contributors to our communities through a number of philanthropic initiatives that allow us to make an impact where our employees and clients live and work,10,10,,,,
In November we hosted our first ever charity ,2,26,diff,empty,,
the concert which kicked off our CME Group ,2,26,diff,empty,,
employees in 2021 after assigning it to all ,11,26,diff,empty,,
our 2021 contribution to St Jude to 850000 ,2,26,diff,empty,,
of our people managers the prior year Our ,8,26,diff,empty,,
police in recognition of their heroic work as ,9,8,diff,,,
As I hope you will see throughout this report our ,12,26,diff,empty,,
We continue to set a high bar for good ,0,26,diff,empty,,
that allow us to make an impact where our ,3,10,diff,,,
last year much of it for programs expanding ,2,26,diff,empty,,
We are proud of the results we have achieved ,3,26,diff,empty,,
and we look forward to continuing to do our part ,12,26,diff,empty,,
to build a better and more sustainable future,15,26,diff,empty,,
As the worlds leading derivatives marketplace CME Group is where the world comes to manage risk ,18,12,diff,,,
