paragraph,predict_label,count,different,empty,diff rate,empty rate
OUR PRINCIPLES Governance structure and ESG risk management,12,12,,,0.9110070257611241,0.6416861826697893
We are proud to present the FedEx 2022 ESG,3,26,diff,empty,,
2021 and all references to FY denote the 12month period ending on May 31 of the,12,26,diff,empty,,
Scope 1 and 2 greenhouse gas GHG emissions,25,25,,,,
building the network for whats next We are,3,26,diff,empty,,
and scale of our network allow us to remain,3,26,diff,empty,,
Every day FedEx serves over 220 countries and,6,26,diff,empty,,
territories and works to connect 99 of global,12,26,diff,empty,,
and we play an important role in the US and,12,26,diff,empty,,
including small business customers and team members across the world as demonstrated in,3,26,diff,empty,,
therapeutics test kits and related supplies This is,6,26,diff,empty,,
among the most important work in our companys,15,26,diff,empty,,
history and will continue as long as needed,12,26,diff,empty,,
In this unique global context FedEx plays an,18,26,diff,empty,,
The success of our network is built on our,3,26,diff,empty,,
in this report in three sections focused on our,12,26,diff,empty,,
to ethics integrity and reliability in our business practices These commitments also extend to our,0,6,diff,,,
Our planet looks at the work underway to,12,26,diff,empty,,
We continue to make progress toward our goal,10,26,diff,empty,,
by 2040 as announced last year For example,12,26,diff,empty,,
In April 2021 FedEx became the first North,18,26,diff,empty,,
Anchored by these three dimensions at the core,4,26,diff,empty,,
are also working with strategic partners such as,3,11,diff,,,
of our business we will continue to innovate for,3,26,diff,empty,,
the Yale Center for Natural Carbon Capture and,23,21,diff,,,
team members can thrive and work toward our,8,26,diff,empty,,
Motors We know this collaboration is key to,10,8,diff,,,
ambitious goals to deliver for our customers and,15,26,diff,empty,,
scaled for the benefit of both FedEx and the,12,26,diff,empty,,
the Purple Promise set us apart The distinct,4,26,diff,empty,,
FedEx culture is a differentiator and we are,4,8,diff,,,
proud to have recently introduced a set of,12,26,diff,empty,,
nearly five decades To deliver on this forward,3,26,diff,empty,,
Planet and Our People chapters of this report,23,26,diff,empty,,
The FedEx Board of Directors has reviewed this,7,7,,,,
with our values and longterm strategy We seek to maintain a Board that reflects a wide breadth,7,0,diff,,,
addition to a diversity of gender race ethnicity,8,6,diff,,,
and age Of the 12 members that currently,8,26,diff,empty,,
comprise our Board of Directors four are female,7,7,,,,
of the New York Stock Exchange and the Boards,12,26,diff,empty,,
In 2021 the Board oversaw planning for the announcement of our goal to achieve carbon,12,7,diff,,,
To ensure we deliver value to our business and,3,26,diff,empty,,
topics which could create longterm risks for the,18,26,diff,empty,,
approach We identify and classify risks into five,18,26,diff,empty,,
approach help us define and prioritize risks and enable us to set robust but achievable goals,18,26,diff,empty,,
amount of residual risk to the enterprise Our ERM,18,12,diff,,,
shares key risks with both the Board of Directors,7,7,,,,
and the Audit Committee at least once per year,12,12,,,,
FedEx Code of Conduct and global compliance policies,0,0,,,,
Our global tax function is an integral part of our,12,26,diff,empty,,
The FedEx Code serves as the foundation of our,12,26,diff,empty,,
and deliver superior service to our customers Our,15,6,diff,,,
employee The Code covers a breadth of topics,8,8,,,,
With the FedEx Code and our brand reputation at,3,26,diff,empty,,
our core our global tax function works to achieve,12,26,diff,empty,,
in our approach to tax and seek to foster open,12,26,diff,empty,,
Trust and reliability are critically important to our,0,6,diff,,,
earns this trust by delivering on the Purple,4,26,diff,empty,,
reliability Our Board has delegated to its Audit,12,6,diff,,,
review and update these policies when we identify,12,26,diff,empty,,
of new laws or regulations or other factors,12,19,diff,,,
advancing human rights in all of our operations,10,10,,,,
around the world We prohibit the use of child,11,11,,,,
Compliance website features our Code and global policies providing employees customers,12,0,diff,,,
to new and existing team members In FY21,7,26,diff,empty,,
videos and digital signage We also conduct an,15,26,diff,empty,,
Risk assessments gauging effectiveness and measuring ethical culture,0,8,diff,,,
a focus on core compliance risks The risk,18,12,diff,,,
mitigation plans for identified risks The results are,18,5,diff,,,
in our ERM process We also regularly gauge the,12,26,diff,empty,,
to their manager HR Legal Security or the,1,12,diff,,,
FedEx Alert Line which is available 247 in more than 35 languages FedEx prohibits retaliation,0,26,diff,empty,,
In FY21 we received more than 14000 reports,12,26,diff,empty,,
and the general public on issues such as,12,26,diff,empty,,
business ethics and fraud Nearly 60 of the,0,6,diff,,,
by proactively ensuring a safe and secure online,1,26,diff,empty,,
of the FedEx Board is responsible for reviewing,12,7,diff,,,
the management and mitigation of our cyber and,1,5,diff,,,
to ensure we maintain compliance with all relevant,12,0,diff,,,
of our Privacy Compliance Program to ensure our,22,22,,,,
Educating our team members is critical to our,8,26,diff,empty,,
team members are aware of and can recognize,10,26,diff,empty,,
along with resources to help our customers submit,22,26,diff,empty,,
Our Corporate Integrity and Compliance department hosted our third annual FedEx,0,0,,,,
Data Privacy Day in January 2022 The event was held virtually and welcomed all FedEx,1,22,diff,,,
employees in Asia Europe North America South America Australia and Africa to learn,8,26,diff,empty,,
more about privacy and how we manage data The event kicked off with a keynote speech,1,22,diff,,,
from the CEO of FedEx Dataworks In total more than 1800 employees attended the event,8,26,diff,empty,,
We have a strong interest in public policy and,12,12,,,,
matters that affect or may affect the companys,12,26,diff,empty,,
Around the world and within the US we,10,26,diff,empty,,
barriers and enable FedEx to connect the world,10,26,diff,empty,,
to support legislation at the state and federal,12,26,diff,empty,,
and other taxexempt organizations that engage in political activities iv steps management has,12,11,diff,,,
and v the companys reporting of its political,12,26,diff,empty,,
the federal and state levels and enact policies,12,26,diff,empty,,
with our suppliers to keep health care and,9,6,diff,,,
mitigates critical risks in our supply chain by,17,26,diff,empty,,
closely with our suppliers The SRM team also,17,26,diff,empty,,
Impact Team SIT shares best practices and benchmarks findings to determine where we,18,10,diff,,,
include ESG criteria in all Sourcingmanaged supplier scorecards and we also include,17,26,diff,empty,,
businesses 19 with minorityowned businesses and 71 with small businesses,8,26,diff,empty,,
for 150 smallbusiness owners as well as digital learning opportunities to support more than,2,26,diff,empty,,
pillar of our FedEx Cares program Our initiatives,12,26,diff,empty,,
chain by sourcing from small and women and minorityowned businesses We also support,8,26,diff,empty,,
mentoring networking capital access and other resources to help grow their business and,2,26,diff,empty,,
All of our suppliers are expected to adhere to,17,26,diff,empty,,
navigate the challenges they face In 2021 we,18,26,diff,empty,,
the principles set forth in our Code of Conduct,0,26,diff,empty,,
and aim to meet our ESG commitments Our,3,26,diff,empty,,
manages sustainability risks with the support of the FedEx Enterprise Sustainability Council,18,0,diff,,,
At FedEx we recognize that our business has,3,26,diff,empty,,
an impact on the environment and we remain,23,10,diff,,,
Around the world FedEx is also working with the logistics industry and with the communities,10,11,diff,,,
we serve to move goods more sustainably and,15,26,diff,empty,,
design cities for a better future We collaborate,3,26,diff,empty,,
change poses strategic risks to our business and,3,26,diff,empty,,
and TCFD This approach allows us to manage our risks while evaluating our progress towards,18,26,diff,empty,,
and 2 emissions and our Scope 3 contracted,25,21,diff,,,
we are investing more than 2 billion over the,18,26,diff,empty,,
have a goal to transition the entire FedEx parcel,18,26,diff,empty,,
pickup and delivery PUD fleet to zero emission,21,26,diff,empty,,
methods are proven the Center will broaden its,4,26,diff,empty,,
By 2025 we intend that 50 of FedEx Express,3,26,diff,empty,,
next several years to support bold action in three,10,26,diff,empty,,
rail usage at FedEx Ground and FedEx Freight,24,26,diff,empty,,
which avoided nearly 600000 metric tons of carbon dioxide equivalent CO2e in FY21 alone Thanks to our ongoing collective emissions,25,21,diff,,,
reduction efforts we decreased carbon dioxide CO2 emissions intensityon a revenue basis by 45 from FY09 through FY21 a period when,25,25,,,,
In April 2021 we issued the first sustainability,15,0,diff,,,
zero Scope 2 emissions by 2040 even though,25,21,diff,,,
we anticipate that our facility electricity use will,24,26,diff,empty,,
Earths excess carbon In 2021 we pledged 100,25,21,diff,,,
million to help establish the Yale Center for,2,26,diff,empty,,
in initiatives such as the successful FedEx Fuel,12,26,diff,empty,,
