paragraph,predict_label,count,different,empty,diff rate,empty rate
At Visa digital payments is our business With studies,0,26,diff,empty,0.8733067729083666,0.5848605577689243
showing that even a small increase in the rate of digital,12,26,diff,empty,,
networks and launching the Visa Eco Benefits bundle,12,11,diff,,,
adoption can have an outsized influence on a countrys,4,26,diff,empty,,
the world We have made great strides to bring the power,4,26,diff,empty,,
of digital payments to a growing number of small and micro,1,26,diff,empty,,
businesses Weve also invested in improving digital literacy,2,26,diff,empty,,
and financial education in communities across our regions,2,26,diff,empty,,
reached over 32 million people and was offered in 48,2,26,diff,empty,,
to run our company ethically responsibly and sustainably,3,26,diff,empty,,
contributes to our ability to be a leader in our industry in,3,26,diff,empty,,
We are proud to be recognized for our efforts including our,10,26,diff,empty,,
continued inclusion in the Dow Jones Sustainability North,3,10,diff,,,
America Index and once again being named to the Worlds,18,26,diff,empty,,
To help ensure the digital economy is a safe and convenient,2,26,diff,empty,,
Most Ethical Companies and Most JUST Companies lists,0,26,diff,empty,,
The past few years have accelerated change in many,13,26,diff,empty,,
facets of our liveshow we work and do business how,3,26,diff,empty,,
we communicate and what we prioritize and value,3,26,diff,empty,,
They have also sparked a renewed urgency to tackle,12,26,diff,empty,,
place for businesses of all sizes to operate we continue,3,26,diff,empty,,
to invest in the security of our network and the broader,1,22,diff,,,
ecosystem including our investment of over 9 billion,12,23,diff,,,
in fraud protection over the past five years In 2021 Visas,0,6,diff,,,
security efforts contributed to preventing 26 billion in,1,22,diff,,,
the problems facing society on a global scale including,10,26,diff,empty,,
Within Visa we continue to focus on enhancing the talent,8,8,,,,
the 14 billion individuals currently left out of the formal,4,26,diff,empty,,
experience for underrepresented groups In the United States,8,26,diff,empty,,
financial system the continuing effects of a lingering,18,26,diff,empty,,
we made progress toward our Stand Together goals including,10,26,diff,empty,,
As I reflect on the results across our ESG areas of focus I,3,26,diff,empty,,
recognize that although we have done much good for,10,26,diff,empty,,
the world much remains to be done The work ahead,12,26,diff,empty,,
is challenging but I believe we have the best and the,10,26,diff,empty,,
brightest talent in payments As we continue to live out our,8,8,,,,
purpose the positive impact we can make only grows,10,10,,,,
In the following pages I invite you to learn more about,1,26,diff,empty,,
the work we do day in and day out to advance a more,11,26,diff,empty,,
There is no overstating the seriousness of the challenges,18,26,diff,empty,,
As global citizens we at Visa are committed to making,8,26,diff,empty,,
our workforce We also announced our Black Scholars and,8,11,diff,,,
Jobs program a scholarship mentorship internship and job,8,26,diff,empty,,
placement program aimed at supporting a pipeline of diverse,8,26,diff,empty,,
future leaders in the business and technology sectors,3,26,diff,empty,,
a positive impact in the world through living out our,10,10,,,,
100 renewable electricity use and carbon neutral operations,24,21,diff,,,
the best way to pay and be paid We strive to do this,11,26,diff,empty,,
we continue to work toward a more sustainable economy,15,26,diff,empty,,
in our efforts to empower small businesses and local,10,26,diff,empty,,
We are expanding our commercial offerings that help our,4,26,diff,empty,,
the planet invest in and diversify our workforce and,8,11,diff,,,
Alfred F Kelly Jr Chairman and Chief Executive Officer Visa,7,26,diff,empty,,
Our ESG Strategy Helps us deliver on our purpose uplift everyone everywhere by being the best way to pay and be paid,11,26,diff,empty,,
SMBs digitally enabled toward 50 million goal by 20231,1,26,diff,empty,,
startups from 100 countries in Visa Everywhere Initiative,12,26,diff,empty,,
people reached by Visa Practical Money Skills offered,8,26,diff,empty,,
of fraud losses prevented by Visa Advanced Authorization and Visa Risk Manager,0,1,diff,,,
invested over past five years to boost cybersecurity and reduce fraud,0,1,diff,,,
historically low fraud rate for every 100 transacted on Visas network,0,26,diff,empty,,
among men and women for the same work,11,26,diff,empty,,
Visa Board diversity for gender race ethnicity dimensions,8,7,diff,,,
completion by eligible employees of annual compliance training,12,9,diff,,,
consecutive inclusion on Worlds Most Ethical Companies list,0,7,diff,,,
cities with Visa support of public transit mobility,24,26,diff,empty,,
Visas 2021 Environmental Social and Governance ESG Report describes,10,0,diff,,,
The focus areas issues and initiatives we address are important to Visa and our,10,26,diff,empty,,
stakeholders For more information on how Visa identifies these priorities through our,12,26,diff,empty,,
biennial Materiality process see page 6 of this report Additional resources on these,12,26,diff,empty,,
This report has been prepared in accordance with the Global Reporting Initiative GRI,12,26,diff,empty,,
Standards Core option and is mapped to the Sustainability Accounting Standards Board,12,11,diff,,,
SASB Software IT Services Sustainability Accounting Standard the Task Force on,12,0,diff,,,
