paragraph,predict_label
OUR FISCAL 2022 SOCIAL IMPACT AND SUSTAINABILITY REPORT ,"10
"
ABOUT THE ESTE LAUDER COMPANIES INCABOUT THE ESTE LAUDER COMPANIES INC,"4
"
PROGRESS ON OUR GOALS AND COMMITMENTSPROGRESS ON OUR GOALS AND COMMITMENTS,"10
"
OUR COMMITMENT TO SOCIAL IMPACT  SUSTAINABILITYOUR COMMITMENT TO SOCIAL IMPACT  SUSTAINABILITY,"10
"
This report provides information about the social impact and sustainability activities and This report provides information about the social impact and sustainability activities and performance for The Este Lauder Companies Inc referred to herein as the Company performance for The Este Lauder Companies Inc referred to herein as the Company ELC or we The content covers our priority focus areas Unless otherwise noted this ELC or we The content covers our priority focus areas Unless otherwise noted this report covers activities during our fiscal 2022 ie July 1 2021 through June 30 2022 and report covers activities during our fiscal 2022 ie July 1 2021 through June 30 2022 and includes data for most facilities we own or lease and operate This report has been prepared includes data for most facilities we own or lease and operate This report has been prepared in accordance with Global Reporting Initiative GRI Standards Core option This report is in accordance with Global Reporting Initiative GRI Standards Core option This report is also aligned to the recommendations outlined by the Task Force for Climaterelated Financial also aligned to the recommendations outlined by the Task Force for Climaterelated Financial Disclosures TCFD and the Sustainability Accounting Standards Board SASB The GRI SASB Disclosures TCFD and the Sustainability Accounting Standards Board SASB The GRI SASB and TCFD indices for this report can be found on pages 125135and TCFD indices for this report can be found on pages 125135,"3
"
Certain environmental and social metrics have been subjected to  Certain environmental and social metrics have been subjected to  independent limited assurance Please see PricewaterhouseCoopers independent limited assurance Please see PricewaterhouseCoopers LLPs Report on page 136LLPs Report on page 136,"12
"
Read more about our social impact and sustainability initiatives at Read more about our social impact and sustainability initiatives at httpswwwelcompaniescomenourcommitmentshttpswwwelcompaniescomenourcommitments,"10
"
Please see our Annual Report on Form 10K for the fiscal year ended  Please see our Annual Report on Form 10K for the fiscal year ended  June 30 2022 for other information including our business performance June 30 2022 for other information including our business performance ,"3
"
This report contains information about our social impact and sustainability goals targets initiatives commitments and activities These This report contains information about our social impact and sustainability goals targets initiatives commitments and activities These efforts involve certain risks and uncertainties such as changes in our business eg acquisitions divestitures or new manufacturing or efforts involve certain risks and uncertainties such as changes in our business eg acquisitions divestitures or new manufacturing or distribution locations the standards by which achievement is measured the assumptions underlying a particular goal and our ability to distribution locations the standards by which achievement is measured the assumptions underlying a particular goal and our ability to accurately report particular information Actual results could differ materially from our stated goals or the results we expect Changing accurately report particular information Actual results could differ materially from our stated goals or the results we expect Changing circumstances including evolving expectations for social impact and sustainability generally or to specific focus areas changes in standards circumstances including evolving expectations for social impact and sustainability generally or to specific focus areas changes in standards or the way progress or achievement is measured may lead to adjustments in or the discontinuation of our pursuit of certain goals or the way progress or achievement is measured may lead to adjustments in or the discontinuation of our pursuit of certain goals commitments or initiatives Moreover the standards by which social impact and sustainability efforts and related matters are measured commitments or initiatives Moreover the standards by which social impact and sustainability efforts and related matters are measured are developing and evolving and certain areas are based on assumptions The standards and assumptions could change over time The are developing and evolving and certain areas are based on assumptions The standards and assumptions could change over time The selection by management of alternative acceptable measurements could have resulted in materially different amounts or metrics reported selection by management of alternative acceptable measurements could have resulted in materially different amounts or metrics reported herein In addition statements made about our Company business or efforts may not apply to all business units eg ones that were more herein In addition statements made about our Company business or efforts may not apply to all business units eg ones that were more recently acquiredrecently acquired,"10
"
This report may use certain terms that SASB GRI or others refer to as material in connection with certain social impact and sustainability This report may use certain terms that SASB GRI or others refer to as material in connection with certain social impact and sustainability matters Used in this context however these terms are distinct from and should not be confused with the terms material and matters Used in this context however these terms are distinct from and should not be confused with the terms material and materiality as defined by or construed in accordance with securities or other laws and regulations Therefore matters considered to materiality as defined by or construed in accordance with securities or other laws and regulations Therefore matters considered to be material for purposes of this report may not be considered material in the context of our financial statements reports with the US be material for purposes of this report may not be considered material in the context of our financial statements reports with the US Securities and Exchange Commission SEC or our other public statements and the inclusion of information in this report is not an Securities and Exchange Commission SEC or our other public statements and the inclusion of information in this report is not an indication that such information is necessarily material to the Company in those contextsindication that such information is necessarily material to the Company in those contexts,"12
"
This report includes forwardlooking statements within the meaning of the Private Securities Litigation Reform Act of 1995 including This report includes forwardlooking statements within the meaning of the Private Securities Litigation Reform Act of 1995 including statements regarding our social impact and sustainability goals targets initiatives commitments and activities as well as our future statements regarding our social impact and sustainability goals targets initiatives commitments and activities as well as our future operations and longterm strategy Although we believe that our expectations are based on reasonable assumptions within the bounds of operations and longterm strategy Although we believe that our expectations are based on reasonable assumptions within the bounds of our knowledge of our business and operations we cannot assure that actual results or outcomes will not differ materially from any future our knowledge of our business and operations we cannot assure that actual results or outcomes will not differ materially from any future results or outcomes expressed or implied by such forwardlooking statements Forwardlooking statements include all statements that do results or outcomes expressed or implied by such forwardlooking statements Forwardlooking statements include all statements that do not relate solely to historical or current facts and involve a number of known and unknown risks uncertainties and other important factors not relate solely to historical or current facts and involve a number of known and unknown risks uncertainties and other important factors such as those described above and in our recent SEC filings including in Item 1A Risk Factors and Item 7 Managements Discussion such as those described above and in our recent SEC filings including in Item 1A Risk Factors and Item 7 Managements Discussion and Analysis of Financial Condition and Results of Operations in our Annual Report on Form 10K for the fiscal year ended June 30 2022 and Analysis of Financial Condition and Results of Operations in our Annual Report on Form 10K for the fiscal year ended June 30 2022 and in our subsequent Quarterly Reports on Form 10Q and Current Reports on Form 8K We assume no responsibility to update the and in our subsequent Quarterly Reports on Form 10Q and Current Reports on Form 8K We assume no responsibility to update the information contained in this report or to continue to report any informationinformation contained in this report or to continue to report any information,"3
"
WE ARE THE GLOBAL LEADER IN PRESTIGE BEAUTYWE ARE THE GLOBAL LEADER IN PRESTIGE BEAUTYDELIGHTING CONSUMERS WITH HIGHQUALITY DELIGHTING CONSUMERS WITH HIGHQUALITY PRODUCTS AND EXPERIENCESPRODUCTS AND EXPERIENCES,"0
"
We manufacture market and sell quality makeup skin care We manufacture market and sell quality makeup skin care fragrance and hair care products with a welldiversified portfolio fragrance and hair care products with a welldiversified portfolio of distinctive brands whose products are sold in approximately of distinctive brands whose products are sold in approximately 150 countries and territories Infused throughout our organization 150 countries and territories Infused throughout our organization is a passion for creativity and innovationa desire to push the is a passion for creativity and innovationa desire to push the boundaries and invent the unexpected as we continue the bold work boundaries and invent the unexpected as we continue the bold work of our founder Mrs Este Lauderof our founder Mrs Este Lauder,"15
"
Human Rights Campaign 2022 Best Place to Work for LGBTQ Equality ,"10
"
NET SALES BY  PRODUCT CATEGORYPercentage of Net Sales,"15
"
NET SALES BY  GEOGRAPHIC REGIONPercentage of Net Sales,"4
"
 The net sales from the Companys travel retail business are included in the Europe the Middle East  Africa region with the exception of net sales of DrJart in the travel retail channel that are reflected in Korea in the AsiaPacific region Operating income attributable to the travel retail sales included in Europe the Middle East  Africa is included in that region and in The Americas,"3
"
In fiscal 2022 we continued to be confronted by a world facing rapidly accelerating challengeschallenges that require collective action from the global community The compounding nature of urgent issues like climate change the COVID19 pandemic and geopolitical conflicts are only exacerbating existing disparities across race class age and gender We recognize our role as a global company operating amid this changing landscape and know that now more than ever before we have a responsibility to help drive the progress needed to meet the moment,"13
"
At The Este Lauder Companies we see social impact and sustainability as key to not only managing our business for the long term but also helping to improve the resilience of our broader global communities We continue to put social impact and sustainability at the forefront because we want to continue to deliver longterm value well into the future We also know that addressing complex environmental and social issues requires constant innovation and a transformational mindsetthe kind that is ingrained in the founding values of our organization and which has guided our Company over the past 75 years In order to be part of finding solutions to global challenges we cannot move forward with business as usual Instead we must transform to keep up with the world as it transforms too ,"10
"
Integrating social impact and sustainability into our businessWere pursuing thoughtful strategies to meet our social impact and sustainability goals and commitments which complement our efforts to make our Company more equitable and resilient for the future As we continue to embed social impact and sustainability throughout our operations were focusing on areas that are most important to our business and our stakeholders These include climate packaging sourcing green chemistry and ingredient transparency womens advancement racial equity and social impact,"3
"
Strong oversight of our work is critical to our success which is why weve put in place a robust social impact and sustainability strategy overseen by the Nominating  ESG Committee of our Board of Directors Additionally our newly established ESG Management Committee focuses on internal oversight of social impact and sustainability initiatives helping drive greater horizontal integration and accelerate progress toward our objectives,"10
"
Embracing our culture to deliver on our commitmentsOur employees around the world are the heart of our organization We are dedicated to cultivating leaders within our organization who can help our business and our industry tackle challenges of increasing complexity When it comes to building a workforce for tomorrow we will continue to evolve and expand as the Company progresses and invest in our talent to lead from every chair and help us move the Company forward Thats why programs such as Open Doors and our CEO Reverse Mentor Program are critical to our efforts Investments in our people are investments in our future ,"8
"
We are committed to listening and learning from our employees and applying their insights to cocreate a culture that is inclusive and respectful We also remain humbled by the way our employees take care of one another Nowhere is this more evident than through the ELC Cares Employee Relief Fund which was created in response to employees increasing desire to support one another in times of need and which celebrated its twoyear anniversary in fiscal 2022 Since its inception more than 10 million has been distributed to current and former ELC employees globally with donations coming from the Company the Lauder family employee donations and related Company matches ,"9
"
The road aheadWhile we are proud to showcase the strides weve made over the last fiscal year we are also continuing to raise our ambitions As we continue to transform our business we are integrating our learnings to identify gaps and needs and to deliver structural and programmatic solutions to help improve ourselves and where possible the world around us ,"3
"
Social impact and sustainability isnt a destination for usits a journey One where we hope to bring our employees partners and peers along with us so that together we can contribute to the health of our planet and promote greater equity inclusion and opportunity for people around the world,"8
"
WILLIAM P LAUDER  Executive Chairman The Este Lauder Companies Inc,"4
"
FABRIZIO FREDA  President and Chief Executive Officer The Este Lauder Companies Inc,"3
"
LETTER FROM LETTER FROM NANCY MAHON NANCY MAHON ,"22
"
On behalf of The Este Lauder Companies Im proud share our fiscal 2022 report which highlights the advancements weve made over the past fiscal year towards the Companys social impact and sustainability strategy programs and goals,"10
"
Integrating social impact and sustainability throughout our business is a strategic imperative Our goals and targets not only offer us the ability to track progress and hold ourselves accountable but also affirm our commitment to our stakeholders and reflect a deep awareness of our responsibility to contribute positively for them ,"10
"
To meet our ambition to lead in climate green chemistry and ingredient transparency womens advancement racial equity and social impact our goals and commitments alone arent enough They need to be coupled with action and a strategy on how to get thereone that takes a holistic approach to solving issues of everincreasing complexity While this report details our progress thus far well also keep pushing to raise the bar on how a global beauty company can be part of the solution and help meet the moment of what our consumers our planet and the future of our business demand,"10
"
Setting high environmental ambitions For the past three years we have achieved carbon neutrality across our Scope 1 and Scope 2 emissions and sourced 100 renewable electricity globally for our direct operations In fiscal 2022 our ongoing efforts were recognized in the CDPs climate A List for the second consecutive year These achievements can be attributed to our deep commitment to climate action and transparency around our environmental impact ,"13
"
In fiscal 2022 we announced a new goal to transition 100 of our global corporate vehicle fleet to electric by the end of calendar year 2030 Setting this goal allowed us to become the first company in prestige beauty to join the Climate Groups EV100 initiative which brings together companies who are committed to accelerating the transition to electric vehicles We also furthered our efforts to reduce the environmental impacts of our supply chain becoming the first beauty company to join Supplier Leadership on Climate Transition a brand consortium created to accelerate action throughout the supply chain towards Net Zero GHG emissions We recognize a significant portion of our environmental impacts occurs beyond our own operations and we are pursuing strategies to understand and help reduce these impacts,"25
"
Innovation in product development and formulation is a powerful catalyst for growth across our brand portfolio and as an accelerator of our sustainability strategy Specifically our Green Chemistry program allows us to quantitively evaluate ingredients and formulas through the lenses of human health ecosystem health and the environment We are proud that in fiscal 2022 our peerreviewed manuscript Applying Green Chemistry to Raw Material Selection and Product Formulation at The Este Lauder Companies was published in Green Chemistry the Royal Society of Chemistrys journal Through this publication we transparently shared our Green Score methodology data sources and unique framework In making our approach publicly available we hope to encourage additional innovation across the consumer products industry ,"16
"
Similarly our approach to packaging design incorporates findings from materials and ecosystems including process improvements supplier collaborations alternative materials and identification of ways to better listen to and engage our consumers Through this work we are able to simultaneously support moving the needle on environmental progress across the beauty industry while also advancing our Companys progress towards achieving our packaging and plasticreduction goals ,"15
"
Driving social impact especially as focused on womens advancement and empowerment continues to be a differentiator for The Este Lauder Companiesboth for our own employees and the communities where we live work and source In fiscal 2022 in response to an increased demand for more developmental opportunities we launched the Open Doors initiative designed to develop and invest in the next generation of female leaders across our organization We embarked on an exciting collaboration with National Youth Poet Laureate Amanda Gorman through the WRITING CHANGE initiative a threeyear 3 million commitment to advance literacy among girls and women We were also an inaugural corporate donor to CoImpacts Gender Fund with a multiyear commitment of 15 million through The ELC Charitable Foundation Beyond our offices manufacturing sites and stores we support projects such as the HERproject in Ghana to empower women in the shea butter supply chain through workplacebased interventions on health financial inclusion and gender equality,"8
"
This work joins our legacy of supporting groundbreaking social investment programs including The Este Lauder Companies Breast Cancer Campaign The Campaign As our largest corporate social impact program The Campaign together with The ELC Charitable Foundation has funded more than 118 million for lifesaving global research education and medical services Our Company remains the largest corporate donor to BCRF funding research grants to eradicate breast cancer in seven countries across the globe ,"2
"
As we continue to push the limits of what we can achieve in the years to come I am humbled by the opportunities yet to be realized Together with our employees worldwide well continue to use our influence to inspire further action to help define a new chapter for the industryone where innovation partnership and accountability help contribute to the health of our planet support inclusion and equity and put people at the heart of our work,"8
"
