paragraph,predict_label
We are proud to present the FedEx 2022 ESG ,"3
"
2021 and all references to FY denote the 12month period ending on May 31 of the ,"12
"
Scope 1 and 2 greenhouse gas GHG emissions ,"25
"
building the network for whats next We are ,"3
"
and scale of our network allow us to remain ,"3
"
Every day FedEx serves over 220 countries and ,"6
"
territories and works to connect 99 of global ,"12
"
and we play an important role in the US and ,"12
"
including small business customers and team members across the world as demonstrated in ,"3
"
therapeutics test kits and related supplies This is ,"6
"
among the most important work in our companys ,"15
"
history and will continue as long as needed ,"12
"
In this unique global context FedEx plays an ,"18
"
The success of our network is built on our ,"3
"
in this report in three sections focused on our ,"12
"
to ethics integrity and reliability in our business practices These commitments also extend to our ,"0
"
Our planet looks at the work underway to ,"12
"
We continue to make progress toward our goal ,"10
"
by 2040 as announced last year For example ,"12
"
In April 2021 FedEx became the first North ,"18
"
Anchored by these three dimensions at the core ,"4
"
are also working with strategic partners such as ,"3
"
of our business we will continue to innovate for ,"3
"
the Yale Center for Natural Carbon Capture and ,"23
"
team members can thrive and work toward our ,"8
"
Motors We know this collaboration is key to ,"10
"
ambitious goals to deliver for our customers and ,"15
"
scaled for the benefit of both FedEx and the ,"12
"
the Purple Promise set us apart The distinct ,"4
"
FedEx culture is a differentiator and we are ,"4
"
proud to have recently introduced a set of ,"12
"
nearly five decades To deliver on this forward,"3
"
Planet and Our People chapters of this report ,"23
"
The FedEx Board of Directors has reviewed this ,"7
"
with our values and longterm strategy We seek to maintain a Board that reflects a wide breadth ,"7
"
addition to a diversity of gender race ethnicity ,"8
"
and age Of the 12 members that currently ,"8
"
comprise our Board of Directors four are female ,"7
"
of the New York Stock Exchange and the Boards ,"12
"
In 2021 the Board oversaw planning for the announcement of our goal to achieve carbon ,"12
"
To ensure we deliver value to our business and ,"3
"
topics which could create longterm risks for the ,"18
"
approach We identify and classify risks into five ,"18
"
approach help us define and prioritize risks and enable us to set robust but achievable goals ,"18
"
amount of residual risk to the enterprise Our ERM ,"18
"
shares key risks with both the Board of Directors ,"7
"
and the Audit Committee at least once per year ,"12
"
FedEx Code of Conduct and global compliance policies,"0
"
Our global tax function is an integral part of our ,"12
"
The FedEx Code serves as the foundation of our ,"12
"
and deliver superior service to our customers Our ,"15
"
employee The Code covers a breadth of topics ,"8
"
With the FedEx Code and our brand reputation at ,"3
"
our core our global tax function works to achieve ,"12
"
in our approach to tax and seek to foster open ,"12
"
Trust and reliability are critically important to our ,"0
"
earns this trust by delivering on the Purple ,"4
"
reliability Our Board has delegated to its Audit ,"12
"
review and update these policies when we identify ,"12
"
of new laws or regulations or other factors ,"12
"
advancing human rights in all of our operations ,"10
"
around the world We prohibit the use of child ,"11
"
Compliance website features our Code and global policies providing employees customers ,"12
"
to new and existing team members In FY21 ,"7
"
videos and digital signage We also conduct an ,"15
"
Risk assessments gauging effectiveness and measuring ethical culture,"0
"
a focus on core compliance risks The risk ,"18
"
mitigation plans for identified risks The results are ,"18
"
in our ERM process We also regularly gauge the ,"12
"
to their manager HR Legal Security or the ,"1
"
FedEx Alert Line which is available 247 in more than 35 languages FedEx prohibits retaliation ,"0
"
In FY21 we received more than 14000 reports ,"12
"
and the general public on issues such as ,"12
"
business ethics and fraud Nearly 60 of the ,"0
"
by proactively ensuring a safe and secure online ,"1
"
of the FedEx Board is responsible for reviewing ,"12
"
the management and mitigation of our cyber and ,"1
"
to ensure we maintain compliance with all relevant ,"12
"
of our Privacy Compliance Program to ensure our ,"22
"
Educating our team members is critical to our ,"8
"
team members are aware of and can recognize ,"10
"
along with resources to help our customers submit ,"22
"
Our Corporate Integrity and Compliance department hosted our third annual FedEx  ,"0
"
Data Privacy Day in January 2022 The event was held virtually and welcomed all FedEx ,"1
"
