paragraph,predict_label
2020 CORPORATE SOCIAL RESPONSIBILITY REPORT,"10
"
Innovative Products and Services          Implementing Green Operations          Establishing a Friendly Workplace            Commitment to Social Welfare          Appendix,"15
"
ESG Steering Committee Chairman Message,"12
"
Special Feature COVID19 Prevention ,"2
"
12  Excelling Corporate Governance,"4
"
13  Implementing Risk Management,"18
"
14  Building Sustainable Supply Chain,"17
"
21  Excelling Innovative Development,"2
"
22  Satisfying Customer Needs,"15
"
23  Green Product Development,"15
"
33  Water Resources Management,"20
"
35  Air Pollution Control,"21
"
36  Smart Manufacturing Execution,"15
"
51  Promote CommonProsperity Society,"4
"
52  Youth Talent Cultivation,"8
"
53  Environmental Protection Initiative,"23
"
54  Care for the Disadvantaged and,"2
"
41  Enforce Human Rights Management,"10
"
Appendix I GRI Standards 2016 Content Index,"12
"
42  Focusing on Recruitment and Cultivation,"8
"
Appendix II SASB Content Index,"12
"
43  Protecting the Employees and the Work,"9
"
Appendix III United Nation Global Compact Comparison,"12
"
Appendix IV ISO 26000 Index,"14
"
2020 CORPORATE SOCIAL RESPONSIBILITY REPORT,"10
"
ESG STEERING COMMITTEE CHAIRMAN MESSAGE,"12
"
To those who are concerned about UMC sustainability,"15
"
2020 marked the 40th Anniversary of UMC a year that the COVID19 pandemic has impacted the whole world disrupted people’s lifestyles and brought challenges to business operations Nevertheless the new working patterns along with the changes in market demand derived from such a situation have opened up an era of prosperity which is also an epochmaking period for the semiconductor industry In the face of this turbulent situation UMC’s management team works together with all colleagues to seek various growth opportunities in technology manufacturing business and sustainable development by grasping market trends with a proactive attitude and flexible responses,"18
"
In the future we will continue to work hard for the sustainable development of mankind Furthermore together with our global operating partners and stakeholders we will make the greatest possible contribution to the positive development of the environment society and economy overall We would like to express Our sincere gratitude to all of you who are concerned about sustainable development and wish you all peace and good health,"10
"
UMC has a longstanding sustainable vision of Peopleoriented Environmental Symbiosis and Social Prosperity By combining our technological innovation capabilities with the spirit of sustainable coexistence we fulfill our responsibilities as a global citizen to actively respond to the expectations of the environment and society together with our value chain partners Our deep commitment to sustainability has allowed UMC to be selected as a constituent of the Dow Jones Sustainability Indexes DJSI for 13 consecutive years in Taiwan we continue to be listed on the FTSE4GOOD Emerging Index and the FTSE4GOOD TIP Taiwan ESG Index keeping pace with the world’s top companies In response to greater levels of concerns about ESG governance we established an ESG Steering Committee in 2020 Q4 consisting of our core operating executives and appointed a Chief Sustainability Officer In doing so it means that sustainability will be taken into account in all of UMC’s operational decisions in the future We also hope that through organizational transformation and reshaping sustainability will be deeply rooted as the core of UMC’s culture and become the DNA of our employees allowing UMC to achieve balanced ESG practices while pursuing operational performance,"3
"
In the past year UMC achieved fruitful results in all aspects of ESG In terms of corporate governance UMC is one of the few listed companies that has been consistently ranked in the top 5 since the first Corporate Governance Evaluation was held in 2015 As regards environmental sustainability we completed our 5year plan of Green 2020 successfully improved the efficiency of energy and resource use in our production process and further set a more ambitious goal of Green 2025 With respect to social value creation and engagement we continue to reach out to the most needy in our society through volunteer activities In addition to providing services we also donate UVD disinfection robots with our value chain partners to help prevent pandemic outbreaks by enhancing the frontline care The various sustainable initiatives of UMC can also be found in this report,"13
"
Jason Wang and ShanChieh ChienCopresidents and ESG Steering Committee Chairmen,"12
"
2020 CORPORATE SOCIAL RESPONSIBILITY REPORT,"10
"
This report is the 16th Corporate Social Responsibility Report issued by UMC and the 21th consecutive public nonfinancial annual report UMC consistently upholds the principles of sincerity pragmatism transparency and joint sustainable development and discloses its corporate sustainability philosophy and approaches to the general public This report makes public the implementation of the 2020 UMC corporate sustainable development and social responsibility,"10
"
Information disclosed in this CSR Report includes various performance metrics and data of environmental protection corporate governance and community participation work carried out by UMC from January 1 to December 31 2020 along with the major events till March 31 2021,"10
"
The businesses of the Company and its affiliates range from the wafer fabrication electronics optoelectronics investment insurance and trading of goods In 2020 UMC’s wafer fabrication and integration division accounted for the majority more than 99 of total sales while the rest came from the new business unit engaged in solar energy,"15
"
The report is based on UMC Taiwan and Singapore as well as ESG trends industry characteristics and results of material issue identification to also include the information of subsidiaries Hejian Technology Suzhou Co Ltd hereinafter referred to as HJ  United Semiconductor Xiamen Co Ltd hereinafter referred to as USCXM Wavetek Microelectronics Corporation hereinafter referred to as Wavetek and United Semiconductor Japan Co Ltd hereinafter referred to as USJC For the economic performance and financial information of other related joint ventures and subsidiaries please refer to the Company’s 2020 Annual Report on page 143 for the organization information of the related party,"3
"
The main structure of this report is based on the material sustainability issues and stakeholder issues identified in 2020 and explains UMC’s impacts and feedback on economic environmental and social issues respectively In addition in accordance with the assurance standards and principle of the AA1000AS v3 AA1000 Assurance Standard v3 UMC discloses the information related to the CSR implementation which is compiled according to the global standards for sustainability reporting GRI Standards 2016 issued by the Global Reporting Initiative GRI the Semiconductors Sustainability Accounting Standard 2018 issued by the Sustainability Accounting Standards Board SASB and the Task Force on Climaterelated Financial Disclosures TCFD,"10
"
Data from the annual financial report prepared by certified accountants Ernst  Young Accounting are used in this report and data on greenhouse gas emission and reduction are based on ISO 1406412016 standards and verified by DNV GL Business Assurance Co Ltd Taiwan For further details please refer to Chapter 3,"25
"
Note Please refer to the Appendix of the GRI Standard for changes in the scope of disclosure If the coverage of each chapter is different it will be specifically noted in the text of the report ,"12
"
2020 CORPORATE SOCIAL RESPONSIBILITY REPORT,"10
"
Internal Management Process and Issuing of this Report,"12
"
After being approved by the top management of each department this report is sent to the Corporate Sustainability Committee for inspection and review The report is issued after being approved by the chairman of the committee,"12
"
This report has been prepared in accordance with the GRI Standards Comprehensive option This report was also verified by SGS Taiwan Ltd in April 2021 according to the AA1000 Assurance Standard 2008 TYPE II High level assurance The SGS ASSURANCE STATEMENT is attached in the appendix of this report,"12
"
Approved by the top management of related departments,"7
"
Overall inspection and review by the Corporate Sustainability Committee Office,"3
"
Reviewed and approved by the chairman of the Corporate Sustainability Committee,"12
"
For any questions or comment about the report content or activity please contact us at,"12
"
2020 Corporate Social Responsibility Report Issued in July 20212021 Corporate Social Responsibility Report Scheduled to be issued in July 2022In support of environmental protection a paperless electronic version of this report is posted on the company websiteIn support of environmental protection a paperless electronic version of this report is posted on the company website,"10
"
United Microelectronics Corp  GRM  ESH Division,"17
"
No 3 LiHsin 2nd Road Hsinchu Taiwan 300,"12
"
email UMC CSR mailboxcsrumccom ,"1
"
Important Achievements and Sustainable Performances in 2020,"15
"
1169 million tons of FGHGs emissions reductionThe companywide reduction of  greenhouse gas FGHGs emissions reached 1169 million tons and the emission intensity was reduced by 633 compared with the base year 2010 which remarkably exceeded the 30 reduction target set by the World Semiconductor Council WSC,"25
"
Total amount of water saved is 212000 tons companywide,"20
"
The total amount of water saved companywide is 212000 tons effectively reducing the cost by NT443 million,"20
"
61719 MWh companywide energy saving,"24
"
The companywide energy saving performance was amounted to 61719 MWh which effectively saved NT128 million in cost and reduced CO2 emissions by 27781 tons,"24
"
Over 90 waste reuse rateThe amount of waste reused was 37504  tons with a reuse rate of over 90 and the benefit from the recycling of waste was amounted to approximately NT37 million,"19
"
NT 130 million in green procurement,"12
"
Green procurement amount in 2020 reached NT130 million and was awarded the Green Procurement Performance Unit by the Environmental Protection Agency of the Executive Yuan demonstrating UMC’s commitment to green procurement,"12
"
There are 4 independent directors and 1 independent outside director The percentage of nonexecutive directors exceeds 50 of the total seats In 2020 an external performance evaluation of the Board of Directors was conducted,"7
"
Consolidated revenue increased significantly by 19 reaching NT17682 billion annual capacity utilization rate increased by 8 to 97 earnings per share grew 3 times to NT242,"12
"
NT 954 billion RD expenses,"12
"
RD expenses amounted to NT954 billion accounting for 7 of total revenue,"12
"
Developed 484 domestic and foreign patents accumulating to 13991 granted patents worldwide,"4
"
100 of new suppliers have signed the supplier code of conduct,"17
"
100 of the new suppliers signed the employee business ethics clause and the supplier code of conduct accumulatively more than 3500 suppliers have signed,"0
"
Volunteers from UMC Foundation and UMC employee social clubs provided 64254 hours of volunteering services benefiting 60167 persontimes in total,"2
"
13235 persontimes participated of the talent Cultivation program,"8
"
The PTP and AIEDNote programs have continued to cultivate outstanding talents in the semiconductor industry and have recruited 6201 members by the end of 2020Conducted industryacademia cooperation programs with 13 key colleges including equipment internships nanotechnology classes and career guidance support etc and a total of 7034 persontimes participated,"8
"
30 projects were supported by UMC Eco Echo Award,"12
"
10 units were beneficial by the energy saving services,"24
"
1567 Daan Forest Parks’ annual carbon absorption,"25
"
Initiated the UMC Eco Echo Award which provides NT3 million annually to support ecological conservation A total of 9 units was awarded in 2020 and 30 projects were implemented across Taiwan,"23
"
Provided energy saving services to 10 units reducing 1347 tons of CO2 emission and helping them save NT8493 million on utility bills,"21
"
From 2017 to 2020 a total of 409000 tons of CO2e was reduced which is equivalent to the sum of 1567 Daan Forest Parks’ annual carbon absorption,"25
"
Note PTP stands for Prospective Talent Program and AIED stands for Advanced Intelligent Elite Development,"8
"
Selected as a DJSI global component for the 13th consecutive year,"3
"
Achieved Leadership Level in the Water Security Disclosure Project and Management Level in the Climate Change Disclosure Project ,"13
"
National Enterprise Environmental Protection Award,"23
"
Awarded the 2nd National Enterprise Environmental Protection AwardFor 18 consecutive years UMC’s Taiwan fabs were awarded with the Enterprises Environmental Protection Award by the Environmental Protection Administration,"23
"
FTSE4Good Emerging Indexes  FTSE4Good TIP Taiwan ESG Index,"18
"
Since the launch of the FTSE4Good TIP Taiwan ESG Index in 2017 UMC has continuously been one of the index constituents,"18
"
Awarded the Corporate Sustainability Report Awards for 13 consecutive years the third time to win the top rank in the category,"3
"
Green Chemical Application and Innovation Award,"15
"
Awarded the 2nd Green Chemical Application and Innovation Award by the Environmental Protection Administration,"23
"
Rated Prime by ISS ESG Corporate Rating,"18
"
Corporate Governance Accreditation for listed companies,"12
"
Top 5 for 6 consecutive years Corporate Governance Assessment Award of the TWSE,"12
"
Excellence in Corporate Social Responsibility Award,"10
"
Awarded the Excellence in Corporate Social Responsibility Award by the CommonWealth Magazine ranking  at No 12 in the large enterprise category,"10
"
UMC’s Six Major Capital Investments and Outputs,"18
"
Total assets of NT3702 billion,"18
"
Fabs with a production capacity of more than 750 pieces of 8inch equivalent wafers per month,"24
"
Capacity utilization rate  89,"24
"
Total market capitalization of NT1929 billion,"18
"
13507 patents granted in total,"4
"
The Meaning of Each Capital to UMC,"12
"
Through operations and investments the Company’s daily operations production and services are maintained,"24
"
Financial structure strengthening costcompetitive capacity expansion and product portfolio adjustment,"12
"
The Meaning of Each Capital to UMCIt enhances the Company’s competitive advantage or generates intangible assets that exceed the Company’s book value including patents RD capabilities and collaboration agreements,"4
"
Key Investment ProjectsThe overall number of patents granted has been growing steadily with emphasis on patent portfolio to protect intellectual property rights of its technologiesInvested NT129 billion in RD,"4
"
Corresponding Sustainable Outputs in 202005Market capitalization increased by 5857 billion ↑30405Total consolidate revenue of 1768 billion ↑19Earnings per share of 242 ↑295,"3
"
The Meaning of Each Capital to UMCIt includes the investment and maintenance of the facilities used in wafer fabrication and integration fabs as well as in production and RD in order to produce products that meet customers’ needs,"15
"
Corresponding Sustainable Outputs in 2020Revenue for wafers below 40 nm accounted for 369 of the total wafer sales ↑25Obtained 484 domestic and foreign patents with a total of 13991 patents granted over the yearsCustomer satisfaction rate of 898 ↑25,"4
"
Key Investment ProjectsCapital expenditures of approximately US1 billion were mainly invested in the newly developed process equipment and capacity expansion of Southern Taiwan Science Park Fab 12A and its subsidiaries USCXM and HJ as well as product portfolio optimization for each fab,"15
"
The Meaning of Each Capital to UMCNatural resource base including minerals water and raw materials,"20
"
Key Investment ProjectsPromoted both the 369 and Green 2020 Energy Resource Productivity Enhancement Programs to save water and electricity and reduce waste and FGHGs emissionsEnvironmental protectionrelated capital expenditures totaled over NT550 millionGreen procurement amounted to NT130 million,"24
"
Corresponding Sustainable Outputs in 2020Annual foundry shipments reached 8913 million pieces of 8inch equivalent wafers ↑24Capacity utilization rate of 969 ↑8,"15
"
The Meaning of Each Capital to UMC,"12
"
By providing a good and positive working environment along with training it can enhance the knowledge experience expertise productivity and loyalty of employees,"8
"
Promoted Holistic Health Management Program and health promotion activitiesEducation and training costs amounted to NT4449 millionSalary and welfare expenses amounted to NT2528 billion,"9
"
Corresponding Sustainable Outputs in 2020Water consumption reduced by 212000 tonsElectricity consumption reduced by 61719 MWh approximately 27781 tons of CO2e,"24
"
Waste volume reduced by 1007 tonsFGHGs emissions reduced by 1169 million tons of CO2e,"19
"
The Meaning of Each Capital to UMCThe sum of resources or capabilities connected through social networks including the maintenance of longterm partnerships with value chain partners and other stakeholders,"3
"
Key Investment ProjectsCooperated with upstream and downstream supply chain partners to promote Eco Echo Award UMC Energy Saving Service Team and Circular Economy Program with social investment of over 5 millionPromoted volunteer services and Sowing Seeds of Hope Program with a total of 64254 hours spent in providing public services,"17
"
Corresponding Sustainable Outputs in 2020Employee engagement rate of 771 ↑2Employee turnover rate of 78 ↓09Average NT 3110  training cost per employee ↑5,"8
"
Note 1 The above mentioned resource statistics are reported as of the end of 2019,"12
"
2 For fab introduction please refer to the official UMC website httpswwwumccomenStaticPageaboutoverview,"12
"
Corresponding Sustainable Outputs in 2020More than 900 people participated in the activities related to the 4th Eco Echo Award Program In the 5th Eco Echo Award a total of 30 entries were submittedUMC Energy Saving Service Team reduced about 13372 tons of CO2e emissionsThe recycling benefits of the Circular Economy WastetoGold Project reached NT119 millionMore than 60167 beneficiaries of public services,"24
"
PROVIDING CHIPS BY MEANS OF SUPER HOT RUN UMC STRIVES TO COMBAT THE PANDEMIC IN THE FOREFRONT,"5
"
The COVID19 pandemic outbreaks have led to a global shortage of wafers As a leader in the foundry industry UMC has not only strengthened its own internal measures to prevent the pandemic but has also made prompt and robust responses to ensure the justintime JIT production of wafers to go smoothly In addition UMC has also led its supply chain partners to speed up production giving full play to its strengths and its value chain partners to protect the healthcare system in the frontline,"17
"
Internal advanced  deployment  for pandemic prevention,"5
"
Supply Chain and Internal Pandemic Prevention Strategy,"17
"
Manufacturing process and end product applications,"15
"
Social engagement  Community care,"10
"
Donation of UVD Disinfection Robots,"24
"
To avoid supply chain disruptions caused by the pandemic UMC has established the Property Management Pandemic Prevention Team that is responsible to hold regular contingency meetings to check inventories of materials and suppliers’ supply capacity and activated the interfab material transfer mechanism to prevent material shortages resulting from the pandemic outbreaks Additionally UMC also gets to understand the status of its supplies productiontransportationraw material stock through COVID19 Supply Chain Impact Surveys Apart from that pandemic prevention inventory standards have also been established and UMC achieved 99 of the pandemic prevention inventory rate by shortening the delivery schedule raising inventory levels of major and minor suppliers and increasing UMC’s stock levels,"17
"
To ensure basic labor operation UMC has taken pandemic prevention measures such as execution of working in different areas and splitting of traffic flow once about one month with 100 execution rate and reducing of interfab activities etc,"11
"
To ensure that the health risks of employees are reduced the Company’s health promotion activities are all carried out in accordance with the announcement of the Taiwan Centers for Disease Control along with the pandemic prevention policy,"9
"
For employees who canceled their travel trips due to the pandemic prevention policy UMC provided subsidies of up to NT5000 per person and NT20000 per household to subsidize their losses as appropriate In 2020 UMC subsidized nearly 500 people amounting to NT135 million,"12
"
In order to reduce the infection risk caused by physical contact among employees UMC has set up infrared thermometers purchased sinks and sensor toilet flush equipment adjusted the frequency of environmental disinfection and air conditioning filter changing and supplied alcohol disinfectant in public places etc so as to ensure that the Company is wellprepared with pandemic prevention materials,"9
"
In the face of increasing demand for medical use chips UMC has adopted the super hot run method for the 8inch and 12inch wafer starts to make the medical system more efficient As a result it has reduced the production time by more than 50 and significantly shortened the delivery schedule by 115 months In addition UMC has also joined hands with its foundry partners to bring its partners medical use chip orders,"15
"
UMC works with the government to combat the pandemic outbreaks by leveraging the power of the hightech industry In 2020 UMC donated 5 UVD disinfection robots to Taipei Tzu Chi Hospital and TaiAn Hospital to practically support the healthcare workers on the frontline fighting the pandemic,"5
"
Speeding up the production process of medical use chips by means of super hot run wafer starts,"15
"
Microcontroller chips for medical use such as forehead thermometer and so on,"24
"
Chips for touch screen panel used on ventilators,"5
"
Controller chips for storage systems of medical devices,"24
"
Protecting the most critical vaccine resources by ensuring proper temperature monitoring and controlling during vaccine delivery,"20
"
Medicalrelated sensor chip production and manufacture Chips for the production and manufacture of flow sensor used on ventilators,"15
"
Marc von Waldkirch CEO of SensirionWith its medically certified sensor solutions Sensirion is an important hub for all manufacturers who need sensor technology to combat the COVID19 pandemic To maintain supply it is essential that a manufacturer has the backing of upstream suppliers when it comes to raw materials such as semiconductor wafers We would like to thank UMC for their incredible support to fight the pandemic together and are very happy about the excellent cooperation between our two companies,"17
"
The donated UVD disinfection robots are able to quickly eliminate viruses in hospitals operating rooms and utensils in a wide range with their hightech UV beams achieving Double E effectiveness and efficiency  for the disinfection work They are suitable for various indoor highrisk areas such as intensive care units isolation wards emergency rooms screening stations etc Compared to the traditional UV disinfection approach which takes 2 to 8 hours to complete the process a UVD disinfection robot can get the disinfection work done within 5 to 15 minutes Through several donations UMC has assisted government agencies to quickly support frontline healthcare workers and led Taiwanese enterprises to join in the effort to safeguard the health of the public,"1
"
To maintain effective stakeholder communication UMC formulated a engagement system for the identification of and communication with various stakeholders This report and the UMC official website were used as a means of disclosing important information,"10
"
Principles for Communication with Stakeholders,"10
"
Providing suitable and a diverse selection of communication channels,"8
"
Evaluate and understand the reasonable expectations and requirements of the stakeholders and providing appropriate responses to key corporate social responsibility CSR issues that the said stakeholders are concerned with,"10
"
Identified major stakeholder and concerned issues,"10
"
Integrated and coordinated by the Corporate Sustainability Committee,"3
"
Stakeholders communication plan and implementation,"12
"
Consultation and communication channels with stakeholders are established by respective subcommitteesDesignated personnel to receive record and reply to messages from stakeholders and to come up with appropriate responding measures,"12
"
Assessment of stakeholder communication outcome,"10
"
Consider all related CSR issues and analyze the potential impact that each issue may exert upon the environment society economy and business operations,"3
"
Stakeholder communication outcome reported and key issues reviewed and responded to the Corporate Sustainability Committee ,"3
"
Employ a systembased mechanism to continuously review and enhance corporate sustainability,"3
"
Regularly report major communication issues to the Board of DirectorsReport specific events to the Board of Directors through extraordinary irregular meetings,"7
"
Annual financial reports corporate social responsibility report etc,"10
"
Press ReleasesUMC official website The Stakeholder Area was established for stakeholder inquiry,"4
"
Procedure for Defining Report Content,"12
"
UMC referenced the nature of its businesses as well as the 5 key principles of AA1000 SES Stakeholder Engagement Standard to identify a total of 7 types of stakeholders,"10
"
The Meaning of Major Stakeholders to UMC,"10
"
Customer products are the main source of revenue UMC provides a full range of services to promote the growth of itself as well as UMC customers thereby achieving business sustainability and mutual benefit,"15
"
Stakeholders degree of concern on sustainability issues,"15
"
The impact of sustainability issues,"15
"
The media serves as the communication bridge between the company and the stakeholders UMC disseminates corporate information through media channels to help stakeholders obtain accurate information about the Company in a timely manner,"22
"
Employees are the foundation of a company’s sustainable development UMC provides competitive compensation and benefits and a diverse learning environment for all talented employees to give full play to their abilities in order to enhance the operational performance and efficiency of the Company,"8
"
Discuss and review sustainability issues,"15
"
Set management goals for important sustainability issues,"15
"
Communities and nonprofit organizations are important sources of diverse opinions for sustainable development UMC works together with them to enhance positive social influences through ongoing communication and collaboration,"10
"
5 Key Principles of AA1000 SES,"3
"
Responsibility Influence Tension Dependency Diverse perspective,"10
"
Investors provide a source of capital for a company UMC transparently discloses its operational information and demonstrates the Company’s operational effectiveness to increase investor support stabilize the capital and create value to attract investment,"3
"
Government agencies set regulations for companies to follow UMC strives to be a sustainable business by actively participating in communications and providing input that serves as a reference for policy formulation and making,"12
"
Suppliers are important partners in sustainable development UMC promotes various economic social and environmental collaboration programs to enhance the overall value of the supply chain,"17
"
Sustainability Issues Identification Communication and Review,"15
"
Identify sustainability issues that are related to UMCs current status and future operations,"3
"
Step 1 Collect sustainability issues ,"3
"
Step 2 Compile sustainability issues,"3
"
GRI Sustainability Reporting Standards ISO 26000 Guidance on Social Responsibility UN Global Compact industryrelated special issues and concerned items in domesticinternational sustainability evaluation including DJSI SASB RBA etc are used as the basis for collecting sustainability issues,"10
"
Members of the Report Team which is under the Corporate Sustainability Committee compile and analyze issues ,"3
"
6 major sources of sustainability issues,"15
"
Step 4 Analyze the impact of sustainability issues on the operation of the company as well as the environment society and economy,"23
"
The impact of various sustainability issues on the sustainable operation of the company were analyzed by members of the Report Team to identify substantive issues such as revenuecost  risk of brand imagereputationlegal compliance environmental impact social impact and economic impact were considered for impact analysis,"3
"
Step 3 Survey stakeholders’ concerns,"10
"
Conduct questionnaire surveys to determine the degree of stakeholder concern over the various types of sustainability issues so that stakeholders can express their needs,"3
"
539 responses of the questionnaire,"22
"
Step 5 Rank material topics,"15
"
The score of how much the stakeholders concern about each issue multiplied by the score of its impact on the economy environment society and operations the disclosure priority of material topic can be ranked,"3
"
32 UMC Report Team members,"12
"
Step 6 Discussion and review,"12
"
The material topics with priority  for disclosure were finally decided by the members of the Corporate Sustainability Committee based on the materiality analysis results while taking into consideration the industrial trend and the theme for promoting UMC’s sustainable development The Committee shall conduct management review for material topics related to the economy environment and societyCorresponding those material topics to the GRI topicspecific standards ,"3
"
Step 7 Management approach and goals,"10
"
Set medium and longterm management goals for each material topic and conduct annual effectiveness reviews,"12
"
Material Topics Identification and Management Disclosure,"23
"
Corporate Social Responsibility CSR issues cover a wide range of topics UMC sorted the sustainability issues based on the material topics analysis results of the sustainability issues in the past three years In addition to general disclosure issues such as Sustainable Development Strategy Risk Management Stakeholder Engagement Governance and Ethics and Integrity Economic Performance is included in UMC’s longterm management considerations in which the company will continue to work hard on In 2020 the six major sources of sustainability issues were emphasized on 19 issues in economic environmental and social aspects that are closely related to the operation of UMC These issues were identified and analyzed by means of questionnaire surveys and the opinions of external consultants,"10
"
Based on the identification results there are totally 13 material topics as the most important issues that have immediate or future impact on UMCs value creation at this stage For all 13 material topics besides the topics of GRI Standards corresponding to this report and disclosure management policies and current practices UMC established medium and longterm management goals for each of them to 2025 and set a total of 29 management indicators as the basis for monitoring and reviewing their effectiveness,"12
"
Significance of Impact on Economy Environment Society and OperationHigh,"12
"
The Changes and Differences of Material Topics Compared with the Previous Year ,"12
"
The first four material topics,"15
"
The name of the Innovation Management and Intellectual Property Rights Protection has been changed which has expanded to cover intellectual property protection The Energy Management issue is split from the Climate Strategy and Action issue to give it more focus All of the three aforementioned issues continue to receive significant attention with their ranking remaining unchanged The Water and Wastewater Management issue has replaced the Talent Attraction and Retention issue as one of the most important issues of the year due to its increased importance,"12
"
There are 9 major themes in total among which Risk Management and Information Security and Privacy Protection are new major issues added this year while Human Capital Development Human Rights and Air Pollutant Prevention are ranked as secondary issues because their ranking has dropped slightly this year,"1
"
This year the scope of major issues in the subsidiary section has been expanded to include the descriptions of Wavetek and USJC while the rest remains the same as the previous year,"18
"
3 Innovation Management and ,"4
"
15 Talent Attraction and Retention,"8
"
9 Climate Strategy and Action,"13
"
16 Employee Safety and Health,"9
"
8 Product Liability and Lifecycle Assessment,"15
"
11 Water and Wastewater Management,"20
"
13 Waste and Resource Utilization ,"19
"
5 Information Security and Privacy ,"1
"
2 Procurement and Supplier ,"17
"
14 Employee Diversity and Inclusiveness,"8
"
19 Contribution and Participation in Society,"10
"
Note 1 Stakeholders scored differently in their degree of concern and influence for each issue 10 pointshighly concerned 8 pointsconcerned 6 points somewhat concerned 4 pointslittle ,"12
"
concerned 2 pointsnot concerned2 UMC Report Team member score for significance of impact on economy environment society and operation 5 pointshighly impacted 4 pointsimpacted 3 pointsmoderately impacted 2 pointsnot much impacted 1 pointnot impacted3 Impact factors include revenuecost risk of brand imagereputationlegal compliance cost efficiency environmental impact social impact and economic impact,"3
"
The Meanings to UMC Importance of Operation,"10
"
Innovation Management and Intellectual Property Rights Protection,"4
"
Strengthening UMC core competencies to provide wafer fabrication solutions that meet market trends and customer demands thereby increasing revenue and enhancing corporate image,"4
"
Continuous innovative breakthroughs can increase revenue,"4
"
Economic Environmental Social and Operation ImpactsIndirectSociety,"10
"
2020 Performancesrelated chapters in this report,"12
"
UMC selfdefining topic Innovation Management and Intellectual Property Rights Protection,"4
"
124 Legal Compliance21 Excelling Innovative Development,"12
"
Compliance with regulations is UMCs basic principle for sustainable development,"12
"
Violation of laws and regulations not only affects corporate image and reputation but also brings financial risk as a result of fines,"12
"
307 Environmental Compliance419 Socioeconomic Compliance,"12
"
Customer validation can enhance the competitiveness of the company and its customers and is the key foundation for UMCs longterm operation,"4
"
Operating performance directly affects the companys cost and profitability,"3
"
Ethical management is the operational foundation for building UMCs sustainable development,"0
"
Establishing good business practices and ethical conduct requirement ensures UMCs sustainable operation by avoiding operational risks caused by illegal or illegitimate benefits funneling,"0
"
UMC selfdefining topic Customer Service Quality201 Economic performance,"3
"
22 Meeting Customer Demands112 Business Performance,"3
"
Responding to the potential impacts in advance can reduce costs and also allows UMC to grasp the opportunities that may come with the risks,"18
"
The impacts of corporate strategy operations finance and disaster risk are increased,"5
"
UMC selfdefining topic Risk Management,"18
"
Information Security and Privacy Protection,"1
"
