paragraph,predict_label
Advancing Quality of Life Through People Products Planet and Prosperity,15
Agilents Fiscal Year 2021 ESG Report,3
Since Agilents formation as an independent company in 1999 we have had a consistent firmly held commitment to protecting the environment treating people with respect and operating with the highest levels of integrity,23
Were also committed to transparency and ensuring our record in these areas is visible to all Thats why Agilent has regularly produced a corporate social responsibility CSR,0
report to highlight the societal challenges we face and the ways we are addressing them Weve done this every year of our existence as a company This year that reporting has evolved significantly as we have extended and expanded our work in this area to produce Agilents firstever report focused on the key guidelines and metrics addressing environmental social and governance ESG issues,10
At Agilent ESG is woven into the fabric of our business and is part of what we strive to do all day every day The fact is its our corporate mission to advance the quality of life so while creating an inaugural ESGfocused report meant incorporating new data and information it was also a very natural move for us to make,3
We believe we can make a difference in helping to protect the planet enhance human health be a leader in the marketplace and in promoting diversity fairness and equality to achieve a more prosperous world for all Thats why the cornerstones of our approach to ESG are centered around what we call the Four Ps people products planet and prosperity,8
In this ESG report you will learn how the Four Ps guided our commitment to a goal of producing netzero carbon emissions The Four Ps also played a role in our decision to report on our environmental progress using the Task Force,25
on ClimateRelated Financial Disclosures TCFD framework TCFD reporting will now be an annual part of our ESG report to go along with earlier decisions to provide information based on the Sustainable Accounting Standards Board SASB United Nations Sustainable Development Goals UNSDG and Global Reporting Initiative GRI guidelines,12
In this report we also share how we are addressing the area of product design and lifecycle management with our involvement in My Green Lab and their Accountability Consistency and Transparency ACT labeling program This important effort is centered around manufacturing energy and water use packaging and product endoflife all geared toward providing customers more information on Agilents environmental footprint,15
During the last year Agilent also advanced the work of its RDproduct introduction sustainability team to help make sustainability an intentional element of the product design and lifecycle process At the same time we have reduced carbon emissions per square foot by 34 in the last seven years and municipal water use by 22 per square foot over the same period while diverting 94 of our solid waste from landfills,19
In our work to expand diversity and inclusion we increased the number of women in executive leadership roles,8
established new employee networking groups set goals to further increase the diversity of our team and accelerated our recruitment of diverse candidates Agilents focus on people planet products and prosperity helps make the world a better place by allowing us to address important environmental social and governance issues that are critical today and will continue to be long into the future,8
Agilent is committed to improvement every day in the work we do to advance the quality of life Its who we are And we believe this 2021 ESG report reflects that,10
Thank you for your support of our ESG work We look forward to continuing expanding and delivering strong results in this space well into the future,3
Agilent Technologies Inc NYSE A is a global leader in the life sciences diagnostics and applied chemical markets delivering insight and innovation that advance the quality of life Our full range of solutions includes instruments software services and expertise that provide trusted answers to our customers most challenging questions We employ 17000 people and serve customers in 110 countries,15
Agilent serves customers in growing markets that are solving societys biggest challengesfrom disease detection and therapeutics to environmental health and food safety,14
Agilent serves large attractive markets representing a 65B opportunity,4
Our three business units drive growth and innovation in these markets,3
Life Sciences and Applied Markets LSAG,4
Our Life Sciences and Applied Markets business provides applicationfocused solutions that include instruments software and consumables that enable customers to identify quantify and analyze the physical and biological properties of substances and products as well as enable customers in the clinical and life sciences research areas to interrogate samples at the molecular and cellular level,15
The Agilent CrossLab business spans the entire customer experience with sales services and marketing designed to improve customer outcomes Most of the portfolio is vendor neutral meaning Agilent can serve and supply customers regardless of their instrumentpurchase choices Solutions include services and software helping to connect the entire lab Services include startup operational training and compliance support software as a service as well as asset management and consultative services that help increase customer productivity,4
