paragraph,predict_label
Amazon is guided by four principles customer obsession rather than competitor focus passion for invention commitment to operational excellence and longterm thinking We strive to be Earths most customercentric company Earths best employer and Earths safest place to work Customer reviews 1Click shopping personalized recommendations Prime Fulfillment by Amazon Amazon Web Services AWS Kindle Direct Publishing Kindle Career Choice Fire tablets Fire TV Amazon Echo Alexa Just Walk Out technology Amazon Studios and The Climate Pledge are some of the things pioneered by Amazon We have more than 16 million employees worldwide with operations in Africa AsiaPacific Europe India Latin America the Middle East and North America,3
Look out for these symbols throughout the report,4
A link that directs you to a website,22
A link within the report A link to a download,12
Look out for these common abbreviations throughout the report AWSAmazon Web Services UNUnited Nations NGONongovernmental organizations CO2Carbon dioxide CO2eCarbon dioxide equivalent,25
At Amazon we are committed to and invested in sustainability because its a win all aroundits good for the planet for business for our customers and for our communities,10
Our 2021 Sustainability Report builds on our sustainability progress over the last decadeparticularly since we co founded The Climate Pledge in 2019 and announced our commitment to achieve netzero carbon emissions across our business by 2040 This report also includes our work on a wide range of Amazon commitments and initiatives to support our employees our supply chain partners and the communities where we operate around the world,17
All financial figures are reported in US dollars unless otherwise stated,18
Please note that data within this report primarily reflects progress as of 2021 and all data that is timebound since a certain date is updated as of June 2022 unless otherwise indicated,12
This report includes appendices that are informed by the following frameworks the Sustainability Accounting Standards Board SASB the Task Force on Climaterelated Financial Disclosures TCFD and the United Nations Guiding Principles UNGP Reporting Framework,12
Opening Letter From Kara Hurst Vice President Worldwide Sustainability,3
Investing in Innovation Through The Climate Pledge Fund,13
On the Path to 100 Renewable Energy,24
Incorporating Sustainability Into Our Buildings,15
35 Sustainability in the Cloud,15
Respecting Human Rights Throughout Our Business,10
Providing a Range of Employee Benefits,11
Fostering Diversity Equity and Inclusion,8
Employee Engagement Listening to Our People,8
Safety Health and WellBeing at Amazon,9
Building a Supply Chain That Puts People First,17
Opening Letter From Kara Hurst,4
Vice President Worldwide Sustainability Amazon,15
Every day at Amazon we ask ourselves How can we make this product this service or this experience better for our customers We continually seek ways to challenge ourselves and improve how we deliver for our customers support our employees and accelerate the pace of innovation This mindset is ingrained in our culture so every day we apply the same relentless pursuit to delivering progress on our sustainability commitments,15
The journey to become more sustainable is not simple or straightforward for any organization For a company of the size and broad scope of Amazon its a big challenge But at Amazon we dont shy away from big challenges We innovate and create We dont have all the answers today but we believe in the need to act now,3
This is reflected in one of our newest Leadership Principles introduced last year Success and Scale Bring Broad Responsibility It says that we are big we impact the world and we are far from perfect We must be humble and thoughtful about even the secondary effects of our actions Our local communities planet and future generations need us to be better every day We apply our Leadership Principles dailywhether we are discussing ideas for new inventions or deciding on the best approach to solve a problem Throughout 2021 we embedded the spirit of this Leadership Principle into our everyday actions and continued to make progress on our environmental and social commitments,10
Delivering Progress for the Planet,10
In 2019 we cofounded The Climate Pledge and made a commitment to achieve netzero carbon by 204010 years ahead of the Paris Agreement We invited others to join us and there are now more than 300 businesses and organizations across 51 industries and 29 countries that have signed the Pledge which means we are collectively coming at the climate crisis from nearly every sector and nearly every angle,13
diverse representation in our workforce at the most senior levels Weve helped more than 70000 Amazon employees learn new skills and advance their careers as part of our Upskilling 2025 pledge and we are enabling thousands of hourly employees in 14 countries to earn certificates and degrees through Amazon Career Choice Earlier this year we also expanded travel reimbursements for our employees in the US to cover treatment for nonlifethreatening medical issues when travel is required including elective abortion and infertility starting in 2022,8
As part of our efforts to decarbonize our business we became the worlds largest corporate purchaser of renewable energy in 2020 and last year we reached 85 renewable energy across our business We continue to expand our use of zeroemission transportation such as electric delivery vans cargo bikes and onfoot deliveries and in 2021 more than 100 million packages were delivered to our customers doorsteps globally using zeroemission vehicles We are also investing in naturebased solutions and last year we helped to create the Lowering Emissions by Accelerating Forest finance LEAF Coalitiona global initiative of governments and leading companies that has already mobilized 1 billion to protect the worlds tropical rainforests We will continue to act boldly to address climate change and to invest in solutions to help meet our commitment to reach netzero carbon across our operations by 2040,13
Our ability to be a force for change on behalf of our planet relies on diverse perspectives from smart passionate and committed people from all backgrounds In 2021 we continued to make progress on our diversity goals including increasing the number of Black directors and vice presidents by almost 70 and we remain committed to increasing,8
In our communities we are supporting initiatives to address the affordable housing crisisincluding a commitment of more than 2 billion from the Amazon Housing Equity Fund launched last year As of March 2022 these commitments have already preserved or created 8000 affordable units to house more than 18000 people Also last yearin service to people in our communities and supply chainwe signed the United Nations UN Womens Empowerment Principles which offers businesses guidance on ways to promote gender equity in the workplace and global community we created a 150 million Black Business Accelerator program in partnership with our Black Employee Network affinity group and we launched a 12 million fiveyear partnership with the US National Safety Council to uncover new ways to prevent and address musculoskeletal disorders,9
Since the beginning of Russias invasion of Ukraine in early 2022 we quickly mobilized to provide humanitarian aid and assistance to the people of Ukraine including financial and inkind donations cloud computing credits resettlement support and more We are proud of how our global teams came together to support this effort and are honored to have been awarded the Ukraine Peace Prize for the support AWS has shown the Ukraine government and the Ukrainian people,5
We are proud of the progress weve made but we recognize we have more to do Our everyday actions to deliver progress are in service of achieving longterm systemic change that improves the wellbeing of people communities and the planet,10
