paragraph,predict_label
United Nations Sustainable Development Goals,10
Our commitment to human rights,10
Racial Equity and Justice Initiative,8
Health and safety at Apple,9
Labor and human rights in the supply chain,11
This report contains forwardlooking statements and actual results may differ Numbers and percentages in this report include estimates or approximations andmay be based on assumptions For more information see About the report,12
At Apple we believe the measure of any great innovation is the positive impact it has on peoples lives Its why we work every day to make our technology an even greater force for good,15
Today our teams around the world infuse Apples deeply held values into everything we make That work can take many forms But whether were protecting the right to privacy designing technology that is accessible to all or using more recycled material in our products than ever we are always working to make a difference for the people we serve and the planet we inhabit,15
As a company we know that our impact on peoples lives reaches beyond the technology we create And we apply the same ethos of constant innovation and improvement to every aspect of our work from building an inclusive company culture where everyone feels welcome to becoming carbon neutral across our global supply chain and the lifetime of our products by 2030,15
At the heart of our efforts is a steadfast commitment to serving the communities we are a part of We work with teachers advocates and entrepreneurs from diverse backgrounds as part of our Racial Equity and Justice Initiative We help create opportunity in communities on the frontlines of climate change through the Restore Fund which supports carbon removal and sustainable forestry And we provide resources and training to the next generation of innovators through the Apple Developer Academy and educational initiatives across the globe,13
In this report we are pleased to share our progress which is a product of collaboration with committed partners worldwide At Apple we believe that the only way to effectively tackle global challenges is by working together and we are grateful to share this road with so many passionate leaders,10
Were engaged in this work because its right and because we want to leave the world better than we found it in everything we do By leading with our values we hope to be a ripple in the pond that inspires a far greater change,10
More than doubled renewable energy in oursupply chain,24
As of March 2022 213 suppliers have committed to renewable electricity for Apple production representing the majority of Apples direct supplier spend In fiscal year 2021 Apple and its suppliers brought online over 10 megawatts of renewable energy in our supply chain doubling the amount from the prior year,24
Continue reading on page 16,2
Continued to maintain pay equity,4
Since 2017 Apple has achieved and maintained gender pay equity for our employees worldwide In the US weve also achieved pay equity with respect to race and ethnicity as well as pay equity at the intersections of race and ethnicity with gender,8
Continue reading on page 28,2
At Apple were demonstrating every day that business can and should be a force for good And weve made important progress over the last year through our Environmental Social and Governance ESG initiatives That would not be possible without the innovation and collaboration of teams across Apple and the people and organizations we partner with As we look ahead we know there is more to be done Were committed to continue to build on our efforts and drive even greater impact in the years to come,10
Pay equity at the intersections of race and ethnicity with gender,8
Leadership roles include managers at all levels of our company,8
Carbon neutral for corporate emissions,25
Since April 2020 weve achieved carbon neutrality for our corporate emissions by sourcing 100 percent renewable electricity for Apple facilities implementing energy efficiency initiatives and securing carbon offsets for remaining emissions,24
Continue reading on page 13,2
Reduced overall emissions by 40,25
In fiscal year 2021 our environmental initiatives avoided over 23 million metric tons of emissions across all scopes and we reduced our carbon footprint by 40 percent compared with fiscal year 2015 Efforts and initiatives that weve been growing for years made this possible like sourcing 100 percent renewable electricity for our facilities transitioning suppliers to clean energy and using lowcarbon materials in products,24
Continue reading on page 13,2
In calendar year 2021 47 of open leadership roles were filled by women globally an increase of 10 percentage points since 2020 and weve had an 87 increase in women in leadership since 2014 And in 2021 we hired more Black and HispanicLatinx team members in the US than ever before with 13 open leadership roles filled by Black candidates and 12 filled by HispanicLatinx candidates Since 2014 weve had an 84 increase in the number of Black employees and a 90 increase in the number of HispanicLatinx employees in leadership in the US,8
Continue reading on page 24,2
Protected privacy with App Tracking Transparency,1
With iOS 145 in April 2021 we released App Tracking Transparency for iPad and iPhone requiring developers to obtain a users permission to track them across apps or websites owned by other companies for advertising purposes,12
Continue reading on page 49,2
Upholding the highest standards in our supply chain,17
We hold ourselves and our suppliers to the highest standards of labor and human rights health and safety and environmental stewardship In fiscal year 2021 we conducted 1177 assessments including 291 smelter and refiner assessments to verify that suppliers are meeting our strict requirements,9
Continue reading on page 38,2
Responsibly sourced primary materials and supported local communities,17
We continue to source primary materials responsibly 100 percent of the identified tin tungsten tantalum and gold 3TG cobalt and lithium smelters and refiners in our supply chain have participated in independent thirdparty audits to assess and identify social environmental human rights and governance risks,10
Continue reading on page 44,2
Expanded our investment in educational opportunities through our Supplier Employee Development Fund,8
We announced our Supplier Employee Development Fund which will expand our bestinclass labor programs in our supply chain and establish a global Education Hub to scale the expansion of the technical and professional skills necessary for the jobs of today and tomorrow in our supply chain and surrounding communities,11
Continue reading on page 45,2
