paragraph,predict_label
2021 Environmental Social Governance Report,12
5 8 10 13 16 17,12
Our Material ESG Issues Citi in a Global Context,3
Citi and the Sustainable Development Goals,10
Climate Risk and Net Zero,13
62 66 70 72 75 78,8
Our Commitment to Social Finance,10
Talent and Diversity Equity Inclusion,8
Return to Office and the Future of Work,3
Using Our Corporate Voice to Drive Change,3
Risk Management and Responsible Business,18
104 110 121 125 134,4
Serving Our Customers and Clients Responsibly,15
Sustainability Accounting Standards Board Index,12
The Principles for Responsible Banking Index,12
Task Force on Climaterelated Financial Disclosures Index,13
United Nations Global Compact Index,12
United Nations Guiding Principles Reporting Framework Index,12
This report illustrates how we bring our mission to life through our business it covers our environmental social and governance ESG activities performance and approach for calendar year 2021 focusing on the issues we have determined to be of material1 importance from an ESG perspective which is a broader standard than that used in our financial disclosures,3
This report has been prepared in accordance with the GRI Standards Core option We also used three relevant,12
sector standards from the Sustainability Accounting Standards Board the Principles for Responsible Banking,12
the United Nations UN Global Compact and the UN Guiding Principles on Business and Human Rights,10
frameworks to guide our reporting See related indexes,12
We have embedded the UN Sustainable Development Goals into relevant sections of the report where Citi plays,10
a direct role in making progress toward specific goals Additionally we include an index that indicates where,10
report content is specifically aligned to the recommendations of the Financial Stability Boards Task Force,12
on Climaterelated Financial Disclosures Finally this report supplements information published in our 2021,13
All reporting and performance data are limited to information for the owned and operated facilities of Citigroup,22
Inc and its subsidiaries unless stated otherwise Additional information about Citi can be found on our website,3
For more information on Citis ESG initiatives please visit citigroupcomcitiaboutesg or contact,3
1 Refer to page 16 for our definition of material issues in the context of this report,12
Our Material ESG Issues Citi in a Global Context,3
Citi and the Sustainable Development Goals,10
As I write this note in late April a war is raging,5
thoughtful with the transition meeting our,3
Zero pay gap Zero poverty Some might say,11
in Ukraine with significant global ramifications,18
clients where they are in their efforts and,3
this is idealistic but having ambitious goals,0
From the beginning we have prioritized the,4
humanitarian crisis doing everything we can,5
then helping and pushing them to accelerate,2
is what helps us make meaningful progress,10
And its going to take all of us working,11
together to make sure we continue to go in,12
to help the people in Ukraine including our,10
Similarly our efforts to expand financial,18
own colleagues whilst keeping our business,7
access and opportunity have also gained new,8
there operating so we can support critical,5
urgency We have engaged every level of our,3
I invite you to learn more about these initiatives,10
supply chains and the NGOs delivering essen,17
business to think and act in support of equity,12
in the pages that follow Our ESG agenda is not,12
tial aid We are also helping our multinational,5
and the goal of helping close the racial wealth,8
a separate layer that sits above what we do,4
clients who have decided to wind down their,18
gap and increase economic mobility in the,18
daytoday It is an effort that we began at Citi,3
United States In order to effectively do this,12
many years ago that has become core to who,8
Although it might be too early to predict the,4
