paragraph,predict_label
2021 Environmental Social Governance Report,12
A Letter From Our Chairman Chief Executive Officer,7
Sustainability Accounting Standards Board Index,12
A LETTER FROM OUR CHAIRMAN CHIEF EXECUTIVE OFFICER,7
Just as our business has greatly evolved since,3
During the past year we announced our new,12
products as well as expand our offerings in this,15
it was established nearly 175 years ago so too,12
strategic partnership with Google Cloud that,1
has our role as a global corporate citizen Of,22
will not only enable us to transform derivatives,4
the many changes we have experienced few,18
markets but also accelerate our ability to,4
stand out more than environmental social,10
expand access and introduce new products that,15
and governance ESG issues and the need,12
can help businesses and individuals manage risk,18
for us to collectively advance toward a more,4
This partnership will also help our organization,2
become more efficient reducing our carbon,25
As it relates to our ESG strategy CME Group,3
Additionally we played a leading role in,12
developing guidelines for derivatives exchanges,12
to promote sustainable development which,10
were published by the UN Sustainable Stock,18
Exchanges Initiative and the World Federation,12
of Exchanges We conducted a new,4
has been able to move the needle in both big,4
In 2021 we launched a number of innovative,15
assessment and are using the findings to,12
and small ways all of which are making a,4
products that support an environmentally,15
inform our strategy to reduce our,10
difference to our company our clients our,3
friendly economy In collaboration with CBL a,4
global leader in spot energy and environmental,24
As the worlds leading derivatives marketplace,18
CME Group has always embraced the changing,3
world Even as we continue to navigate the,4
COVID19 pandemic we have never stopped,13
innovating to provide opportunities for our,3
clients Our ESG strategy supports our mission,3
of empowering market participants with the,3
tools they need to manage risk and capture,18
opportunities in ways that align with their,8
markets we introduced two nearterm carbon,4
offset solutions CBL Global Emissions Offset,25
GEO futures and CBL NatureBased Global,12
Emissions Offset NGEO futures More than,25
47 million offsets were traded in 2021 across both,18
products We also launched the industrys first,15
Sustainable Clearing service which enables,12
market participants to track verify and assess,4
their hedging activity in sustainable instruments,12
and businesses helping them advance,2
transparent reporting and their own ESG,0
initiatives At the end of the year we formed a,12
Likewise we continued to prioritize the well,20
being and safety of our global team,9
Recognizing how successfully we supported our,10
business and our clients from home during the,15
pandemic we introduced a flexible work model,13
to help provide balance and options in our,4
employees future work environment We also,11
engaged a new mental health benefit provider,2
to give our employees and their dependents,11
access to highquality mental and emotional,0
care including free therapy and counseling,2
sessions how when and where its needed,12
dedicated environmental products team to focus,15
Collective differences are what drive innovation,4
on our existing portfolio of environmental,12
and we recognize the importance of fostering,10
Collective differences are what drive innovation and we recognize the importance of fostering conversation and awareness around diversity and inclusion,8
We are proud contributors to our communities through a number of philanthropic initiatives that allow us to make an impact where our employees and clients live and work,10
conversation and awareness around diversity,8
In November we hosted our first ever charity,2
and inclusion We recently named a Director,8
concert featuring Jimmy Buffet and benefiting,4
of Diversity and Inclusion to help maintain,8
St Jude Childrens Research Hospital Through,2
our focus on building and maintaining a,3
the concert which kicked off our CME Group,2
diverse workforce We made our consciously,8
Tour Championship with the Ladies Professional,4
inclusive leadership training available to all,8
Golf Association we raised 350000 increasing,12
employees in 2021 after assigning it to all,11
our 2021 contribution to St Jude to 850000,2
of our people managers the prior year Our,8
We also donated hundreds of concert tickets,12
Employee Resource Groups continue to expand,8
to local hospital workers fire fighters and,5
police in recognition of their heroic work as,9
first responders during the pandemic,5
across a variety of important issues impacting,10
their communities and our broader team,10
Additionally we onboarded a number of new,12
suppliers under our Supplier Diversity Program,17
and are actively tracking our diversity spend,8
As I hope you will see throughout this report our,12
focus on advancing our ESG strategy remains,3
strong This report also includes disclosures in,12
accordance with the Sustainability Accounting,12
Standards Board SASB bringing further,12
We continue to set a high bar for good,0
transparency to our business operations,0
governance and integrity and we are proud,0
contributors to our broader communities,10
through a number of philanthropic initiatives,12
that allow us to make an impact where our,3
employees and clients live and work,11
On that note our charitable donations through,12
the CME Group Foundation and our corporate,12
giving program totaled more than 77 million,2
last year much of it for programs expanding,2
educational opportunities for Chicagos youth,2
We are proud of the results we have achieved,3
and we look forward to continuing to do our part,12
to build a better and more sustainable future,15
TERRENCE A DUFFY Chairman Chief Executive Officer,7
ABOUT CME GROUP WHERE RISK MEETS OPPORTUNITY,18
As the worlds leading derivatives marketplace CME Group is where the world comes to manage risk,18
We help meet uncertainty and volatility with confidence and clarity Across the trading lifecycle and,4
around the world we enable market participants to manage risk and capture opportunity,18
Office locations include OSTTRA locations that were part of CME Group through 912021,12
Market statistics including average daily volume by asset class and product are available in greater detail at httpinvestorcmegroupcomvolume,4
COUNTRIES and territories where CME Group futures and options contracts are traded,4
MILLION contracts in overall average daily volume,24
At CME Group we are keenly aware of the everchanging world and apply,4
the same innovative thinking that underscores our offerings to how we,3
operate as a corporate citizen We know our stakeholders have unique needs,10
We continue to evolve progress and deliver on our strategy to create a more,3
We are proud that our commitment to our clients employees and,10
communities in 2021 resulted in global recognition,10
Worlds Most Valuable Exchange Brand Brand Finance 8th consecutive year,18
FOW Global Investor Asia Capitals Exchange of the Year,18
Global Capitals Global Derivatives Exchange of the Year,18
Forbes Worlds Most Female Friendly Companies,3
InsiderPro Computerworlds 100 Best Places to Work in IT 4th consecutive year,3
Best Places to Work for LGBTQ Equality by the Human Rights Council 4th consecutive year,8
EXECUTIVE COMMITTEE CME GROUP BOARD OF DIRECTORS,7
Chairman Chief Executive Officer TERRY DUFFY,7
CoLeads KATHLEEN CRONIN ANITA LISKEY,8
HILDA HARRIS PIELL FRANCIE SISUL,4
CARRIE DI SANTO MEG WRIGHT,8
Our ESG Working Group is comprised of leaders across the organization and is led by Kathleen,10
Cronin Senior Managing Director General Counsel and Corporate Secretary and Anita Liskey Senior,12
Managing Director Global Brand Marketing and Communications The members bring unique,3
perspectives and meet regularly to develop assess and uphold our ESG objectives The Working,10
Group reports out to the Chairman and Chief Executive Officer and to the Executive Committee of,7
our Board of Directors Additionally the CME Group Board has an active committee structure whereby,7
underlying elements of our ESG program are also overseen by various Board committees based on,12
each committees role and responsibilities,12
THIS YEAR WE HAVE EXPANDED,12
INFORMING OUR STRATEGY ESG MATERIALITY ASSESSMENT,3
We conducted our first materiality assessment in 2019 to identify and prioritize the areas most critical,17
