paragraph,predict_label
Photo courtesy of Corning employee Niranjan ThontadaryaDRAFT REPORT March 17 2022,12
Who We Are and What We Do,10
Success Depends on Support from our Stakeholders,10
Delivering Value Through our Products and Technologies,15
Christopher Payne EstoDRAFT REPORT March 17 2022,12
Corning Incorporated is pleased to present our annual Sustainability Report In this report we update our progress against our 12 sustainability goals which we introduced in 2020 to accelerate and focus our efforts to address environmental social and governance ESG issues,10
The data in this report reflect Cornings worldwide operations across all reportable business segments for calendar year 2021 unless otherwise noted This report has been prepared with reference to the Global Reporting Initiatives GRI standards It also responds to the Hardware Sustainability Accounting Standard the Sustainability Accounting Standards Board SASB sector specific standard most relevant for our business This year we have also aligned our disclosures with the Task Force on ClimateRelated Financial Disclosures TCFD recommendations as well as relevant United Nations UN Sustainable Development Goals for which we have the greatest impact We are committed to providing annual updates on our sustainability performance and strive to expand our disclosures in future reports,12
We have noted throughout the report where data has received thirdparty assurance More information about our sustainability goals can be found on page 23 More information about how we applied the reporting standards can be found on pages 7491,12
Optical Communications headquarters building Charlotte North Carolina,24
effectively to serve our stakeholders during a pandemic has required that we embrace creative new ways of doing business Were living through the kind of moment that tends to bring true character to light At Corning our Values are evident in our actions In the face of multiple challenges weve prioritized protecting our people and delivering for customers Were collaboratively problem solving in the public and private sectors to achieve purposedriven outcomes And weve accelerated with even greater urgency the integration of social and environmental considerations sustainable practices and good governance into our business,10
We also recognize that we have the opportunity to share resources and leadership on a range of important issues Society shares a set of significant problems many of which are systemic and longstanding such as climate change and inequality Our company embraces the increased demands and expectations put on organizations seeking to drive continued success,13
Weve always operated under the conviction that financial performance is not sufficient we must strive to be a catalyst for positive change and help make the world just a little bit better This is a fundamental aspiration for a company paving the way for its next 170 years of success,3
At Corning we know glass Time and again weve proven the potential and versatility of this incredible material employing its remarkable set of technical attributes to forge a path forward when the world needs impactful change,15
Our deep understanding and expertise in the fields of glass science and engineering stretch back nearly two centuries And every day we continue to create and characterize new glasses from the nearly infinite range of potential compositions Clearly were working with a powerful problem solver Thats why we dedicate a significant portion of revenue to research development and engineering It is central to our purpose we seek to lead in capabilities that are vital to progress And our track record shows the benefits our investments deliver for all stakeholders,3
For 170 years weve provided ongoing value to society with lifechanging and lifesaving innovations Today were positioned at the center of major industry transformations touching many facets of daily life Were helping our customers move toward a world with nearly infinite and ubiquitous bandwidth a world where you can do more right from your mobile device protected by cover materials that can withstand even greater abuse a world with large lifelike displays one where cars are cleaner autonomous and connected and a world in which medicines are individualized effective and safe,15
Looking forward I believe that Cornings model for ongoing value creation and the way it defines our relationship with all stakeholders is more relevant than ever As we detail in this report the confluence of consequential events over the last year and the need to operate,3
For 170 years weve provided ongoing value to society with lifechanging and lifesaving innovations,15
