paragraph,predict_label
S T N E T N O C F O E L B A T,12
Task Force on ClimateRelated Financial Disclosures TCFD 39,13
We continually work to provide meaningful disclosure on a wide range of sustainability efforts taking place throughout our facilities around the world Throughout this report we will show how the pillars of our sustainability program are woven into our business and demonstrated through our management approach key initiatives performance success stories and future goals Each year we aim to enhance our disclosure on Environmental Social and Governance ESG matters while monitoring developments in ESG reporting This year we remain aligned to the Sustainability Accounting Standards Board SASB disclosures for Marine Transport and Air Freight and the Taskforce on Climaterelated Financial Disclosures TCFD,3
Jeff Musser President and Chief Executive Officer,7
A Letter from Our CEO,0
At Expeditors we take sustainability seriously and are proud to present our current sustainability report which we update at least annually to highlight our continuous progress and latest achievements This year we highlight how we continued to take care of our people and our service providers in the midst of the ongoing global pandemic that created extremely challenging conditions for global supply chains,17
l Service Provider Appreciation We made special efforts this year to recognize and appreciate our trucking airline and ocean carrier partners for their hard work in the face of what at times felt like impossible circumstances,17
l No Layoffs We implemented a no,18
layoff policy in 2020 at the outset of the pandemic Not only was it the right thing to do for our people just as it was during the global financial crisis in 2008 but it allowed us to be there for our customers when demand rose and capacity became more constrained,18
l Protecting Our People We continued to,10
protect our people with the safety protocols in our phased approach to COVID19 response while complying with widely varying rules from local health officials in different countries and navigating multiple waves of virus transmission globally,14
We are proud of the fact that we have always put our people first This strategy fueled by our unique culture has been crucial to our success over the years,8
Above all Expeditors focuses on sustaining its financial health while meeting our customers primary need for pricing efficiencies,18
On the environmental front we recognize that we have the greatest positive impact on the environment when we help our customers eliminate waste and pursue their supply chain transformation strategies,17
l Eliminating Waste Our core business,19
freight consolidation involves the combining of multiple different shipments in an efficient manner to maximize space utilization and consequently minimize the consumption of resources Our business saves money for our customers while being measurably better for the environment,24
l Green Supply Chain Transformation We are uniquely positioned to help our customers leverage more fuelefficient fleets and lower carbon routing options precisely because we do not own transportation assets We remain free to tailor solutions to customers needs and poised to accelerate the transition to next generation assets as they become available,17
l Datadriven Metrics Our visibility tools and supply chain digital twin solutions deliver the critical data customers need to drive and measure their green supply chain transformation targets,17
Given stakeholders increased expectations for companiesincluding oursto measure manage and report their ESG risks and opportunities Expeditors can provide customers increased efficiencies and reduced costs while minimizing their environmental impacts,18
We explain our approach and highlight key accomplishments in greater detail throughout this report We invite you to explore what we are doing ask questions and provide valued feedback,12
I want to thank our entire team for their tireless efforts around sustainability in 2021 as we continued to persevere through the COVID19 global pandemic By investing in sustainability continuing to safeguard our people and recognizing our service providers we invest in Expeditors future and the future of our employees customers service providers and communities,3
Jeff Musser President and Chief Executive Officer,7
Todd Brown Vice President Associate General Counsel ESG Executive Sponsor,12
