paragraph,predict_label
Googles 2022 Environmental Report features data performance highlights,3
and progress against our targets from our 2021 fiscal year January 1 to,12
December 31 2021 It also mentions notable targets set in 2022,12
This report outlines how were driving positive environmental impact,10
throughout our business in five key ways designing efficient data centers,24
advancing carbonfree energy creating sustainable workplaces building,15
better devices and services and empowering users with technology,2
For more information about our sustainability strategy see Googles,3
Sustainability website and sustainability reports page For more information,15
about our overall corporate responsibility initiatives see Googles,10
commitments as well as sustainability and related information For more,12
information about our business see the About Google and Alphabet Investor,3
We believe that every business has the opportunity and obligation to protect,12
our planet Sustainability is one of our core values at Google and we strive,15
to build sustainability into everything we do,15
Weve been a leader on sustainability and climate change since Googles,13
founding over 20 years ago These are some of our key achievements over,3
2007 We became the first major company to be carbon neutral for our operations,24
2017 We became the first major company to match 100 of our annual electricity,24
use with renewable energy which weve achieved for five consecutive years,24
2020 We issued 575 billion in sustainability bondsthe largest sustainability,3
or green bond issuance by any company in history at the time,12
2021 We matched 66 of our data center electricity use with regional,24
carbonfree sources on an hourly basis,24
Our sustainability strategy is focused on three key pillars accelerating,3
the transition to carbonfree energy and a circular economy empowering,12
everyone with technology and benefiting the people and places where we,15
We strive to build sustainability into everything we do,15
from the growth of carbon,25
and drive netpositive impact using,3
To accelerate the transition to a carbonfree and circular economy in 2020,3
we launched our third decade of climate action and were now working,13
toward a new set of ambitious goals By 2030 we aim to,12
Achieve netzero emissions across all of our operations and value chain,24
including our consumer hardware products,15
Become the first major company to run on carbonfree energy 24 hours a day,24
seven days a week 365 days a year,12
Enable 5 gigawatts of new carbonfree energy through investments in our key,24
Help more than 500 cities and local governments reduce an aggregate of,10
1 gigaton of carbon emissions annually,25
We also aim to maximize the reuse of finite resources across our operations,17
products and supply chains and to enable others to do the same,17
As part of our goal to achieve netzero emissions across all of our operations,25
and value chain by 2030 we aim to reduce the majority of our emissions,25
versus our 2019 baseline before 2030 and plan to invest in naturebased,12
and technologybased carbon removal solutions to neutralize our remaining,24
emissions We know this will be a challenging journey and we expect our,25
progress toward this goal to be nonlinear While our total GHG emissions,25
increased from 2020 to 2021 were committed to achieving GHG reductions,25
throughout our operations and value chain,3
To empower everyone with technology weve committed to help 1 billion,24
people make more sustainable choices by the end of 2022 through our core,15
products We introduced ecofriendly routing in Google Maps new features,15
to book flights or purchase appliances that have lower carbon footprints,24
and Nest Renew a program to support clean energy from home And when,24
people come to Google Search with questions about climate change we,13
show information from authoritative sources like the United Nations,12
To benefit the people and places where we operate weve set goals to,10
replenish more water than we consume by 2030 and to support water security,20
in communities where we operate Were focused on three areas enhancing,10
our stewardship of water resources across Google offices and data centers,20
replenishing our water use and improving watershed health and ecosystems,23
in waterstressed communities and sharing technology and tools that help,10
everyone predict prevent and recover from water stress,20
At Google we remain steadfast in our commitment to sustainability and well,3
continue to lead and encourage others to join us in improving the health of our,9
planet Were proud of what weve achieved so far and were energized to help,10
move the world closer to a more sustainable and carbonfree future for all,10
The following section provides a snapshot of our performance as of the end,18
of 2021demonstrating how were strengthening our business by reducing,3
the environmental impact of our operations and working to empower people,10
everywhere to live more sustainably,24
For a more complete overview of our performance over time see the,18
On average a Google data center is twice as energy efficient as a typical enterprise data center1,24
Compared with five years ago we now deliver around five times as much computing power with the same amount of electrical power,24
In 2021 the average annual PUE2 for our global fleet of data centers was 110 compared with the industry average of 1573meaning that Google data centers use about six times less overhead energy,24
operational GHG emissions after compensations,25
Whether someone is using Google at home or as part of an organization running Google Cloud or Google Workspace all products in our Cloud are carbon neutralmeaning that the operational GHG emissions associated with running workloads on our infrastructure have been reduced through procurement of renewable energy and any residual emissions have been compensated for with highquality carbon credits4,25
In 2021 we diverted 78 of waste from our global data center operations away from landfills,19
In 2021 27 of components used for server upgrades were refurbished inventory,15
In 2021 we resold more than 49 million components into the secondary market for reuse by other organizations,15
In 2021 we matched 100 of the electricity consumption of our operations with renewable energy purchases for the fifth consecutive year,24
Over the past decade Google purchased more renewable energy than any other company6 From 2010 to 2021 we purchased a total of more than 73 million MWh of renewable energy through PPAs via onsite generation and from the electric grids where our facilities are located7,24
From 2010 to 2021 we made commitments to invest nearly 33 billion in renewable energy projects with an expected combined capacity of approximately 87 GW These targeted investments go beyond our purchases of renewable energy for our own operational footprint,24
From 2010 to 2021 we signed more than 60 agreements totaling more than 7 GW of renewable energy Over that period weve committed approximately 6 billion to purchase clean energy from wind and solar projects globally through 20405,24
From 2011 to 2021 our renewable energy purchasing resulted in a cumulative 65 reduction in our Scope 1 and Scope 2 emissions as compared with a businessasusual scenario in which we didnt procure renewable energy via PPAs,24
From 2011 to 2021 our carbon intensity per unit of revenue decreased by 81,12
Google has been carbon neutral for our operations since 2007 Because of our purchases of renewable energy and procurement of highquality carbon credits we have compensated for all our operational GHG emissions,25
26 of our LEEDcertified square footage has achieved a Platinum rating and 60 a Gold rating,12
In 2021 we reached a 64 landfill diversion rate for waste from our offices globally,19
of native habitat on our Bay Area campuses,23
From 2014 to 2021 we restored and created 15 acres of native habitat on our Bay Area campuses to support wildlife and our communities,23
From 2009 to 2021 over 17 million m2 18 million ft2 of Google office facilities achieved LEED certification,2
EV charging ports at our offices,24
We have nearly 4000 EV charging ports at our offices in the United States and Canada,24
In 2021 alone Nest thermostats helped customers save more than 21 billion kWh of energymore energy than Google used in 2021,24
On average Nest thermostats have proven energy savings of 1012 for heating and 15 for cooling9 which means they can pay for themselves in under two years10,24
of countries with takeback programs,12
In 2021 we offered our takeback program in all countries where we ship Google consumer hardware products allowing customers to responsibly recycle old and unused devices for freewhether made by Google or not,15
cities and regions on Environmental Insights Explorer,10
By the end of 2021 nearly 42000 cities and regions worldwide were covered by the Environmental Insights Explorer a tool that empowers city planners and policymakers with actionable data to help reduce global emissions,25
of freely available geospatial data,1
Earth Engine has enabled tens of thousands of active users around the world to easily analyze over 52 petabytes13 of freely available geospatial information resulting in a deeper understanding of the planet,1
BUILDING BETTER DEVICES AND SERVICES,15
of shipments are carbon neutral,24
All shipments of Google consumer hardware products to and from direct customers are carbon neutral and have been since 20198,15
of Nest and Pixel devices contain recycled materials,15
All Nest and Pixel devices launched since 2020 include recycled materials11,15
From 2011 to 2021 Nest thermostats helped customers cumulatively save more than 86 billion kWh of energy enough to power all of San Franciscos electricity consumption for over 17 years,24
recycled aluminum in the housing of the Pixel 6 and Pixel 6 Pro,19
Pixel 6 and Pixel 6 Pro are designed with recycled aluminum to reduce their carbon footprint The aluminum in the housing is 100 recycled content12,15
EV charging locations on Google Maps,24
By the end of 2021 Google Maps contained nearly 200000 EV charging locations globally,24
of transit results on Google Maps,24
Google Maps provides on average more than 1 billion kilometers 621 million miles worth of transit results per day helping to limit carbon emissions by giving people access to mass transit options bike routes and traffic information,24
Googleorg Impact Challenge on Climate,13
In 2021 11 organizations across Europe were selected to receive Googleorg funding via the Impact Challenge on Climate which provided 10 million to fund bold ideas that use technology to accelerate Europes progress toward a greener more resilient future,3
As a datadriven company we believe it is critical to regularly track progress,18
toward our commitments and share updates with our stakeholders The,10
following section provides an overview of our 2021 progress toward our,10
For a more complete overview of our performance over time see the,18
Maintain or improve average annual fleetwide PUE across Google data centers year over year,18
In 2021 the average annual PUE for our global fleet of data centers was 110 Since 2012 our average annual fleetwide PUE has stayed at or below 112 even as demand for our products has dramatically risen,15
Maintain ISO 50001 energy management system certification for Googleowned data centers that meet certain operational milestones,24
In 2021 we maintained our ISO 50001 certification for our operational European data centers We were the first major internet company to achieve a multisite energy management system certification to ISO 50001 which we first attained in 2013,14
Achieve Zero Waste to Landfill for our global data center operations,19
In 2021 our global landfill diversion rate for data center operations was 78,19
Replenish 120 of the water we consume on average across our offices and data centers and help restore and improve the quality of water and health of ecosystems in the communities where we operate,20
Were working toward this target By the end of 2021 we had supported 13 water stewardship projects spanning 10 river basins where we operate andor source water Examples of these projects include wetland restoration rainwater harvesting and land conservation,20
Match 100 of the electricity consumption of our operations with renewable energy purchases,24
Operate on carbonfree energy 247 by 2030,24
In 2021 we purchased enough renewable energy from sources such as wind and solar to match 100 of the electricity consumption of our data centers and offices We were the first company of our size to reach this milestone back in 2017 and weve achieved it for five consecutive years14,24
In 2021 on an hourly basis 66 of our data center electricity use was matched with regional carbonfree sources15,24
Enable 5 GW of new carbonfree energy through investments in our key manufacturing regions by 2030,24
Were working toward this target,4
Achieve netzero emissions across all of our operations and value chain including our consumer hardware products by 2030,15
Were working toward this target We aim to reduce the majority of our emissions versus our 2019 baseline before 2030 and plan to invest in naturebased and technologybased carbon removal solutions to neutralize our remaining emissions,25
Maintain carbon neutrality for our operations,25
In 2021 we purchased enough renewable energy and high quality carbon credits to compensate for all our operational GHG emissions Google has been carbon neutral for our operations since 2007for 15 consecutive years16,25
Reduce singleoccupancy vehicle commuting at our Bay Area headquarters17 to 45 of workers commuting on any given day,11
Provide EV charging stations for 10 of total parking spaces at our Bay Area headquarters,24
Were working toward this target,4
Of the total parking spaces at our Bay Area headquarters more than 7 were designated EV parking spaces with charging stations in 2021,24
Pursue the ILFI Living Building Challenge Certification for our Charleston East and Bay View campusestwo of Googles first groundup development projects at our Bay Area headquarters,3
At our Charleston East campus were working to achieve the Living Building Challenge Materials Petal which includes Red List Free materials and netzero waste and at our Bay View campus were working to achieve the Living Building Challenge Water Petal which includes netpositive water use,19
Reduce food waste per Googler by 50 by 2025,19
Send zero food waste to the landfill by 2025,19
This target was set in 2022,12
This target was set in 2022,12
BUILDING BETTER DEVICES AND SERVICES,15
Publish product environmental reports for 100 of new flagship consumer hardware products19,15
We published product environmental reports for each of our flagship Nest and Pixel products that launched in 2021,15
Use recycled or renewable material in at least 50 of plastic used across our consumer hardware product portfolio by 202520,15
Eliminate plastic from packaging and make packaging 100 recyclable by 2025,15
