paragraph,predict_label
Visit our website for GRI SASB and,12
TCFD disclosure data and further,12
On the cover Alicia Alcantara Dendura is among hundreds of Rockwell,12
as STEM mentors Alicia and a local,2
student are pictured on the green roof,8
atop our Milwaukee Wisconsin global,4
headquarters Learn more about our,3
green roof on page 35,23
We are a global leader in industrial automation and digital transformation We connect the imaginations of people with the potential of technology to expand what is,15
humanly possible making the world more productive and,9
Our Strategy is to bring the Connected Enterprise to life Nobody is better positioned to bring information and,1
operational technology together than us and our partners,1
Our Mission is to integrate control and information across the enterprise to help industrial companies and their people be more productive and sustainable,10
It is my pleasure to present our 2021 Sustainability Report Amid a pandemic that is stretching into a third year we are making significant progress on our most important goals including efforts to make our company customers and communities more sustainable In some ways these efforts were accelerated by world events as we continue to act with urgency to make a difference,10
As a global leader in,3
A companys value is only the sum of the ongoing,18
combined efforts of its people The interest of,10
our people to get involved with our sustainability,10
tion Rockwell Automation is wellpositioned to,24
programs spans across all functional areas around,2
make a big difference For example our hardware software and expert services enable vaccine,12
the globe At all stages of their career employees know that we can use our experience and innova,8
production at the immense scale and quality the,15
tion to tackle some of todays biggest problems,18
world needs to recover Were also contributing to,5
the reliable packaging of food to help safely feed,15
people as they rely more on storebought items,15
And were adding innovation to the electrification,24
of personal transportation Most importantly,9
were transforming our company to meet the,3
biggest industrial challenges of today and,17
tomorrow and were doing so from a position of,12
Were removing barriers that could get in the way,12
of any of our people throwing their full energy,4
and talent into solving these challenges Our top,8
priority is creating a healthy and safe environment,9
where all people can and want to do their very best,10
work Our workplace is more flexible and diverse,8
than ever before Plus were adding new people,8
with different skills to complement existing talent,8
and expanding the spectrum of perspectives from,8
For more than 100 years weve improved the,12
which we innovate and refine solutions,3
efficiency of industrial processes Over 20 of,24
greenhouse gas emissions come from manufac,25
turing plants and our products solutions and,15
services are creating a more sustainable planet,23
by helping our customers use less fuel electricity and water to make the products we need We,15
are also helping renewable energy providers,24
lower their costs and increase their output to,24
meet the increasing demand for wind solar,24
and hydrogen power sources To accelerate our,24
impact weve added a new roleVice President,7
of Sustainabilityto scale up a team dedicated to,17
reducing our own carbon footprint and developing,13
new solutions to help our customers do the same,15
Our culture links our people together to use all,8
their strengths around the world across our,4
businesses and among all employees We value,8
integrity and diversity to win the right way and for the long term We consider our potential value,8
from the outside in Were moving faster than,24
ever before and were unlocking the power of,15
new ideas from all employees And perhaps most,15
importantly were approaching our challenges,4
with passion because what we do is essential to,3
make the world more productive and sustainable,15
Blake D Moret Chairman and CEO,7
Carbon Neutral Scopes 1 2 by,25
Revenue generated for industrial automation and digital transformation technologies and services that help industrial companies and their people be more productive and sustainable,15
Revenue generated from energy efficiencyrelated productsofferings per SASBs definition,24
RECORDABLE CASE RATE PER 100 EMPLOYEES,11
CERTIFIED TO ISO 14001 AND ISO 45001 ENVIRONMENTAL MANAGEMENT AND SAFETY STANDARDS,14
All large manufacturing sites are certified,15
109700 total metric tons of CO2 equivalent,25
4 Aviation 1 Liquid Fuels,24
Rockwell Automation and its subsidiaries,1
including small veteran minority women and LGBTQowned US enterprises,8
Multiracial Native American and Pacific Islander,8
n n 10 Asian n 5 Latinx n 75 White n,8
n 3 Disaster Relief Recovery,5
Explicit in our mission and central to our purpose sustainability is at the core of what we do,3
To accelerate our work we expanded our corporate,3
sustainability team and function in 2021 with additional,3
investment and resources Led by Tom OReilly in a newly created role of Vice President Sustainability the team elevates and aligns our holistic strategy and crossfunctional workstreams focused on,3
The teams expansion follows our 2020 materiality assessment,12
and updated sustainability strategy and priorities including a new,3
goal to be carbon neutral for Scope 1 direct and Scope 2 indirect,24
emissions by 2030 To update stakeholders about our progress,25
we expanded our reporting portfolio with our first disclosure,12
report that follows the Global Reporting Initiative GRI framework,12
GRI is one of the most widely used standards for sustainability,14
reporting Additionally we released our first Task Force on,12
Climaterelated Financial Disclosures TCFD report which,13
describes how we incorporate climate risk into our enterprise,13
These reports as well as our Sustainability Accounting Standards Board SASB data are available at the newly designed sustainability section of our website Online enhancements include more details about our sustainability,12
strategy and updates highlighting our latest,12
Under the three sustainability pillars of Environment Social and Governance ESG we have prioritized the material areas we believe create the most value for our company customers and communities,10
Environment We are committed to environmental stewardship within our own operations and across our entire,23
Social Our people set us apart By coming together to create a culture that values fairness and equity where all people can and want to do their very best work we are expanding human possibility,10
Governance Our commitment to integrity defines who we are and how we act We do what we say we will always honestly and ethically no exceptions,0
Listed on leading indices for two decades,18
For two decades weve been listed on leading sustainability indices and 2021,18
was no different We were named to the FTSE4Good Index Series for the,18
20th time The Index is designed to measure the performance of companies,18
demonstrating strong Environmental Social and Governance practices,10
