paragraph,predict_label
At Travelers we manage risk for our customers and for over 160 years theyve trusted,18
us to be there when it matters most In 2021 despite the ongoing challenges of the,12
global pandemic we continued to deliver the risk management products and services,15
our customers need to live their lives and run their businesses Our years of experience,15
prepared us for this moment and were building upon that foundation to sustain our,3
Our continued success requires that we do three things successfully perform transform and make good on the Travelers Promise,3
At Travelers perform is the flywheel that sets everything we do in motion Perform for us means executing on our longterm financial strategy to generate industryleading,3
returns on equity over time In each of the past 10 years we have outperformed,18
the industry in terms of average return on equity and as a consequence in creating,18
shareholder value By continuing to execute successfully on our longterm financial,4
strategy we will continue to outperform and create shareholder value,3
Our formidable competitive advantages are the foundation of our success However we understand that the competitive advantages that,4
have fueled our achievements over the past decade will not necessarily be the same as those we will need to continue to lead for the next decade Consequently transform means positioning the company to continue to perform by ensuring that our competitive advantages remain relevant and differentiating tomorrow and 10 years from tomorrow To that end we have embraced an ambitious innovation agenda guided by our vision to be the undeniable choice for the customer and an indispensable partner for our agents and brokers,4
Perform is how we deliver industryleading results today and transform is the way we prepare to do so tomorrow Each depends on the other and both depend on one thing the Travelers Promise,4
The Travelers Promise is a commitment to take care of our customers our communities and each other This includes being there to,10
help our customers recover after the storm and also giving them the security they need to invest in their families and businesses It,13
also includes caring for the communities in which we live and work by supporting academic and career success and promoting the,2
development of thriving neighborhoods and enriched communities Finally it is about making Travelers a great place to work for our,8
diverse workforcethe best talent in the industryand a great partner for our agents and brokers In the end the Travelers Promise is,8
about taking care of the people we are privileged to serve,10
Put another way for Travelers sustainability comes down to this Only by successfully delivering on our perform and transform agenda,3
will we earn the resources we need to keep the Travelers Promise And only by faithfully keeping the Travelers Promise will we earn the,10
support of key stakeholders essential to our perform and transform success That is how we are going to deliver results next quarter and,3
succeed for the next quarter century,18
With that in mind I invite you to read on about the ways we are driving sustainability at Travelers,3
Alan Schnitzer Chairman and Chief Executive Officer,7
The Travelers Companies Inc NYSE TRV is a leading provider of commercial personal and specialty insurance products and services to businesses government units associations and individuals Our diverse business lines offer our customers a wide range of coverage sold primarily through independent agents and brokers Travelers has approximately 30000 employees and relationships with approximately 13500 independent agents and brokers in the United States Canada the United Kingdom and the Republic of Ireland Travelers is the only property casualty company in the Dow Jones Industrial Average and generated revenues of approximately 35 billion in 2021,18
Business Insurance offers a broad array of,18
Personal Insurance offers a broad range of,18
Bond Specialty Insurance offers surety,12
property and casualty insurance products,18
property and casualty insurance products,18
and services to our customers primarily,15
and services covering individuals personal,22
liability and other property and casualty,18
in the United States as well as in Canada,12
risks primarily in the United States as well,18
coverages and related risk management,18
the United Kingdom and the Republic of,12
as in Canada Our primary products of,15
services to our customers primarily in the,15
Ireland and throughout other parts of the,12
United States Bond Specialty Insurance,12
world as a corporate member of Lloyds,12
are complemented by a broad suite of,4
also offers certain surety and specialty,4
insurance products in Canada the United,15
with a topfive position in five major,18
A top10 writer of US personal,22
one in workers compensation and commercial multiperil1,11
and a leading personal insurance writer with independent agents21,12
Kingdom the Republic of Ireland and,12
Brazil through a joint venture,3
Leading writer of surety in the US3,18
1 2021 US Statutory DWP Copyright 2022,12
Farmowners Multiple Peril Commercial Auto Commercial Auto NoFault Personal Injury Protection Commercial Auto Physical Damage Other Commercial Auto Liability General Liability Other Liability Occurrence Product Liability Workers Compensation and Surety Copyright 2022 SP Global Market Intelligence Used with permission,9
2021 US Statutory DWP Five major project lines 1 2021 US Statutory DWP Five major project lines Commercial MultiPeril Commercial Multiple Peril Liability Commercial Multiple Peril NonLiability Commercial MultiPeril Commercial Multiple Peril Liability Commercial Multiple Peril Non Liability Farmowners Multiple Peril Commercial Auto Commercial Auto NoFault Personal Injury Protection Commercial Auto Physical Damage 2 2020 US Statutory DWP 2021 data not available at time of publication AM Best Company Inc Used with permission Other Commercial Auto Liability General Liability available at time of publication AM Best 3 2021 US Statutory DWP Copyright 2022 SP Global Markets Intelligence Used with permission Other Liability Occurrence Product Liability Company Inc Used with permission Workers Compensation and Surety Copyright 2022 SP Global Market Intelligence Used with permission 2021 Net Written Premiums,9
1 2020 US Statutory DWP 2021 data not,12
SP Global Markets Intelligence Used with permission,12
At Travelers our simple and unwavering mission for creating shareholder value is to deliver superior returns on equity by leveraging our competitive advantages generate earnings and capital substantially in excess of our growth needs and thoughtfully rightsize capital and grow book value per share over time Our Board of Directors regularly reviews this longterm financial strategy Executing our longterm strategy requires that we fulfill our promise to take care of our customers our communities and our employees By executing our financial strategy investing strategically in the future and delivering on the Travelers Promise we will continue to deliver meaningful shareholder value over time,3
Our LongTerm Financial Strategy for Creating Shareholder Value,3
More than a decade ago Travelers laid out a clear simple and unwavering mission for creating shareholder value,3
Our results in achieving the elements of this longterm financial strategy speak for themselves Over the past decade,3
y Our return on equity has significantly outperformed the average return on equity for the industry,18
y We returned more than 28 billion of excess capital to our shareholders,12
y We grew dividends per share at an average annual rate of 8,18
y We have grown book value per share and adjusted book value per share at a compound annual rate of 7,18
Importantly over this 10year period our return on equity has been less volatile than that of others in the property and casualty,18
industry The level and consistency of our return on equity over time reflect the value of our competitive advantages and demonstrate,4
the discipline with which we run our business,0
Delivering IndustryLeading Return on Equity Over Time,4
The results we deliver are due to our deliberate and consistent approach to creating shareholder value We have been clear for many,3
years that one of our crucial responsibilities is to produce an appropriate return on equity for our shareholders This has meant,4
developing and executing financial and operational plans consistent with our goal of achieving superior returns which we defined many years ago as a midteens core return on equity over time We emphasize that the objective is measured over time because we recognize that the macroeconomic environment loss cost trends weather and geopolitical and other factors impact our results from year to,3
year and that there are yearsor longer periodsand environments in which a midteens return is not attainable In that regard we,12
established the midteens goal at a time when the 10year Treasury was yielding around 5 and midteens was simply the quantification,4
of what qualified as an industryleading return in that environment Our ability to achieve a midteens return over time going forward,18
will depend on interest rates returning to more normal levels by historical standards In any event we will always seek to deliver industry,12
Our focus on core return on equity encompasses multiple performance objectives key to creating shareholder value The measure is,3
a function of both core income and shareholders equity excluding unrealized gains and losses on investments Accordingly core,18
return on equity reflects a number of separate areas of financial performance related to both our income statement and balance sheet,18
including the quality and profitability of our underwriting and investment decisions the pricing of our policies the effectiveness of our,12
claims management and the efficacy of our capital and risk management,18
One critical component of our ability to deliver exceptional returns over time is our granular approach to underwriting In our,4
commercial businesses that means execution including the allocation of capital on an accountbyaccount or classbyclass basis In,4
personal lines that means a very high degree of account segmentation and the allocation of capital generally by product and geography,4
With that and our advanced data and analytics we select the risks we write and price our products deliberately with our targeted return,15
in mind Underlying all of this is a culture that understands how to balance the art and science of decisionmaking based on data and,12
analytics This culture alone is a competitive advantage and one that we believe is hard to replicate Our underwriting expertise is a,4
hallmark of our success and evaluating risk and reward is at the heart of what we do,3
We actively manage all levers of profitability available to us including risk selection mix of business claim and expense initiatives,18
volume reinsurance terms and conditions and price We have a long track record of capitalizing on all of the available levers to deliver,4
superior returnsand of applying these levers on a strategic and businessbybusiness basis This is evident in the way we have executed,4
quite differently in each of our business segments through changing economic and business cycles,3
Much like our underwriting strategy successfully balancing risk and reward is at the heart of our welldefined investment philosophy Our investment portfolio is managed first and foremost to support our insurance operations and accordingly is positioned to meet our,3
obligations to policyholders under a wide range of conditions With this in mind we emphasize riskadjusted returns and credit quality,18
rather than reaching for yield that is not consistent with the underlying risk Our asset allocation is designed so that the predictable stream,18
of investment income from our fixed income portfolio will provide a firm and reliable foundation for our overall results In addition our,4
Investment Policy approved by our Board of Directors reflects a longterm approach to sustainable value creation and requires that Travelers consider environmental social and governance ESG factors in the investment process to the extent relevant,3
A Balanced Approach to Rightsizing Capital,4
Our capital management strategy has been an important driver of shareholder value creation over time Our first objective for the capital we generate is to reinvest it in our businessorganically and inorganicallyto create shareholder value For example as we,3
continue to grow our premium volumes as we have for the past few years we will retain more capital to support that growth Also,18
we continue to invest in everything from talent to technology to further our ambitious innovation agenda and advance our strategic,8
objectives Having said that we are disciplined stewards of our shareholders capital To the extent that we continue to generate capital,3
that we cannot reinvest consistent with our objective of generating industryleading returns over time we will manage it the same way,18
we have for more than a decadeby returning it to our shareholders through dividends and share repurchases By returning excess,18
capital to our investors we give them the ability to allocate their investment dollars as they see fit including by investing in companies,4
with different growth profiles or capital needs thereby efficiently allocating capital across the economy Over time that efficient,18
allocation of capital in the marketplace contributes to a stronger economy,4
The lens through which we evaluate acquisition opportunities is that a transaction should contribute to our mission by improving our,3
longterm return profile reducing the volatility of our returns or creating shareholder value through some other important strategic,18
benefit such as a geographic or product position,4
We have a great deal of experience in executing strategic transactions and we view this as a core competency The company that we are,4
today has come together through a number of significant transactions over the past two decades,18
