paragraph,predict_label,count,different,empty,diff rate,empty rate
2021 ENVIRONMENTAL SOCIAL GOVERNANCE REPORT,12,0,diff,,0.7858627858627859,0.27442827442827444
Message from Our Chairman and Chief Executive Officer,7,26,diff,empty,,
Environmental Social Governance ESG Priorities An Overview,10,0,diff,,,
INCLUSION DIVERSITY EQUITY 43 Advancing with an Intentional Focus on Inclusion Diversity Equity IDE,8,7,diff,,,
REPORTING DISCLOSURE 87 Reporting Disclosure,12,12,,,,
45 Dows Workforce Diversity Data,8,11,diff,,,
46 Our Employee Resource Groups,8,8,,,,
88 GRI Disclosure Report GRI Content Index,12,12,,,,
56 Supporting a Diverse Workforce,8,11,diff,,,
58 Dow ACTs 2021 Progress and,12,26,diff,empty,,
Supplier Diversity Delivering Impact to Communities and Our Bottom Line,8,10,diff,,,
183 GHG Protocol Assurance Statement,25,26,diff,empty,,
184 Task Force on ClimateRelated,13,26,diff,empty,,
194 Sustainability Accounting Standards Board SASB Disclosure Report,12,12,,,,
197 World Economic Forum WEF Stakeholder Capitalism Metrics Disclosure Report,12,12,,,,
207 United Nations Sustainable Development Goals SDGs,10,4,diff,,,
33 Dow 2025 Sustainability Goals,3,0,diff,,,
HEALTH SAFETY 36 Advancing a Culture of Safety,9,6,diff,,,
Employee Health and WellBeing Total Worker Health An Overview,9,9,,,,
39 A Focus on Continuous Improvement,2,26,diff,empty,,
CORPORATE GOVERNANCE Accountability in Action 75,0,0,,,,
76 Driving Performance with Strong Leadership and Governance,10,8,diff,,,
77 Accelerating Performance Through a Diverse and Independent Board,7,7,,,,
81 Engaging Our Global Stakeholders,10,26,diff,empty,,
82 Balancing Impacts Risks and,18,26,diff,empty,,
84 Prioritizing Ethics and Compliance,0,12,diff,,,
This Environmental Social and Governance ESG Report reflects Dows performance as of and for the year ended December 31 2021 The information in this report is presented on behalf of Dow Inc and its consolidated subsidiaries including The Dow Chemical Company collectively Dow1,3,0,diff,,,
The report includes disclosures prepared in accordance with the Global Reporting Initiative GRI Standards Comprehensive option The Comprehensive option requires that Dow report all the General Disclosures described in the GRI Standards In addition to the GRI this report references additional standards and frameworks including the Greenhouse Gas GHG Protocol the Task Force on Climaterelated Financial Disclosures TCFD Sustainability Accounting Standards Board SASB and World Economic Forum WEF Stakeholder Capitalism Metrics For more information about Dows approach to reporting and indexes to each framework click here,25,11,diff,,,
This document also serves as Dows UN Global Compact Communication of Progress for 2021 This report has been reviewed by the Board of Directors of Dow Inc In addition Dow engaged Deloitte Touche LLP to perform a review engagement on managements assertion related to the ESG disclosures included in the GRI Content Index and the GHG Protocol Disclosure Report as of and for the year ended December 31 2021 See attached links for Deloittes GRI review and GHG Protocol review,25,7,diff,,,
Dows 2021 ESG Report builds on its historic Sustainability Report 2019 and its historic annual Inclusion and Diversity Report Shine 2019 In 2020 Dow created our first consolidated ESG report 2020 INtersections ESG Report and we continued with this approach for 2021 Additional reporting that may be of interest to the reader can be found at corporate dowcom including,8,10,diff,,,
Shine 2019 2020 INtersections ESG Report,3,26,diff,empty,,
2020 Employer Information Report EEO1 2021 Annual Report 2021 Form 10K,2,26,diff,empty,,
2021 Investor Day 2022 Proxy Statement,12,7,diff,,,
Thank you for your interest in our report We welcome your questions comments and feedback You may contact any of the following senior leaders Andre Argenton chief sustainability officer and vice president Environment Health Safety Rebecca Bentley vice president Public Affairs Karen S Carter chief human resources officer and chief inclusion officer or Amy Wilson general counsel and corporate secretary with your comments or questions at FESGRPTdowcom,14,6,diff,,,
1 Consolidated subsidiaries as defined in Dow Inc Annual Report on Form 10K for the year ended December 31 2021 filed with the US Securities and Exchange Commission,12,26,diff,empty,,
SEC on February 4 2022,12,26,diff,empty,,
The workforce data is gathered through a centralized database containing all employee information The employee data is updated by employees Human Resources and managers,22,8,diff,,,
when employee information changes occur The data represents the global employee population as of December 31 2021 and includes all permanent fulltime and parttime employees Temporary employees contractors and manual additions are excluded unless otherwise stated Throughout this report charts exclude employees whose gender or race is unknown or undeclared and percentages may not always add up to 100 due to rounding,8,8,,,,
This symbol indicates that information at this link was not subject to Deloitte Touche LLPs review and accordingly Deloitte Touche LLP does not express a conclusion or,12,26,diff,empty,,
any form of assurance on such information The audited financial statements included in the 2021 Form 10K were audited by Deloitte Touche LLP and its audit report dated February 4 2022 is included therein,12,12,,,,
This symbol indicates that information at this link was not subject to Deloitte Touche LLPs review and accordingly Deloitte Touche LLP does not express a conclusion or any,12,26,diff,empty,,
form of assurance on such information,22,26,diff,empty,,
