paragraph,predict_label,count,different,empty,diff rate,empty rate
Advancing Quality of Life Through People Products Planet and Prosperity,15,6,diff,,0.7923664122137405,0.24732824427480915
Agilents Fiscal Year 2021 ESG Report,3,26,diff,empty,,
Since Agilents formation as an independent company in 1999 we have had a consistent firmly held commitment to protecting the environment treating people with respect and operating with the highest levels of integrity,23,0,diff,,,
Were also committed to transparency and ensuring our record in these areas is visible to all Thats why Agilent has regularly produced a corporate social responsibility CSR,0,10,diff,,,
report to highlight the societal challenges we face and the ways we are addressing them Weve done this every year of our existence as a company This year that reporting has evolved significantly as we have extended and expanded our work in this area to produce Agilents firstever report focused on the key guidelines and metrics addressing environmental social and governance ESG issues,10,0,diff,,,
At Agilent ESG is woven into the fabric of our business and is part of what we strive to do all day every day The fact is its our corporate mission to advance the quality of life so while creating an inaugural ESGfocused report meant incorporating new data and information it was also a very natural move for us to make,3,6,diff,,,
We believe we can make a difference in helping to protect the planet enhance human health be a leader in the marketplace and in promoting diversity fairness and equality to achieve a more prosperous world for all Thats why the cornerstones of our approach to ESG are centered around what we call the Four Ps people products planet and prosperity,8,6,diff,,,
In this ESG report you will learn how the Four Ps guided our commitment to a goal of producing netzero carbon emissions The Four Ps also played a role in our decision to report on our environmental progress using the Task Force,25,21,diff,,,
on ClimateRelated Financial Disclosures TCFD framework TCFD reporting will now be an annual part of our ESG report to go along with earlier decisions to provide information based on the Sustainable Accounting Standards Board SASB United Nations Sustainable Development Goals UNSDG and Global Reporting Initiative GRI guidelines,12,4,diff,,,
In this report we also share how we are addressing the area of product design and lifecycle management with our involvement in My Green Lab and their Accountability Consistency and Transparency ACT labeling program This important effort is centered around manufacturing energy and water use packaging and product endoflife all geared toward providing customers more information on Agilents environmental footprint,15,0,diff,,,
During the last year Agilent also advanced the work of its RDproduct introduction sustainability team to help make sustainability an intentional element of the product design and lifecycle process At the same time we have reduced carbon emissions per square foot by 34 in the last seven years and municipal water use by 22 per square foot over the same period while diverting 94 of our solid waste from landfills,19,19,,,,
In our work to expand diversity and inclusion we increased the number of women in executive leadership roles,8,8,,,,
established new employee networking groups set goals to further increase the diversity of our team and accelerated our recruitment of diverse candidates Agilents focus on people planet products and prosperity helps make the world a better place by allowing us to address important environmental social and governance issues that are critical today and will continue to be long into the future,8,8,,,,
Agilent is committed to improvement every day in the work we do to advance the quality of life Its who we are And we believe this 2021 ESG report reflects that,10,6,diff,,,
Thank you for your support of our ESG work We look forward to continuing expanding and delivering strong results in this space well into the future,3,26,diff,empty,,
Agilent Technologies Inc NYSE A is a global leader in the life sciences diagnostics and applied chemical markets delivering insight and innovation that advance the quality of life Our full range of solutions includes instruments software services and expertise that provide trusted answers to our customers most challenging questions We employ 17000 people and serve customers in 110 countries,15,3,diff,,,
Agilent serves customers in growing markets that are solving societys biggest challengesfrom disease detection and therapeutics to environmental health and food safety,14,9,diff,,,
Agilent serves large attractive markets representing a 65B opportunity,4,25,diff,,,
Our three business units drive growth and innovation in these markets,3,3,,,,
Life Sciences and Applied Markets LSAG,4,25,diff,,,
Our Life Sciences and Applied Markets business provides applicationfocused solutions that include instruments software and consumables that enable customers to identify quantify and analyze the physical and biological properties of substances and products as well as enable customers in the clinical and life sciences research areas to interrogate samples at the molecular and cellular level,15,4,diff,,,
The Agilent CrossLab business spans the entire customer experience with sales services and marketing designed to improve customer outcomes Most of the portfolio is vendor neutral meaning Agilent can serve and supply customers regardless of their instrumentpurchase choices Solutions include services and software helping to connect the entire lab Services include startup operational training and compliance support software as a service as well as asset management and consultative services that help increase customer productivity,4,9,diff,,,
Our Diagnostics and Genomics business includes the genomics nucleic acid contract manufacturing and research and development pathology companion diagnostics reagent partnership and biomolecular analysis businesses These businesses provide solutions for diagnostics clinical research applications in cancer inherited and infectious disease,6,4,diff,,,
Agilent reported a record 632 billion in revenues nearly a billion dollars higher than the previous year Each business group grew by double digits Agilent saw growth throughout all markets and regionswith our pharma market exceptionally strong at 24 percent growth,3,4,diff,,,
Agilents revenue mix by market and region,3,26,diff,empty,,
ESG is woven into the fabric of our business,3,26,diff,empty,,
It is part of what we strive to do all day every day The fact is its our corporate mission to advance the quality of life,15,6,diff,,,
And as a missiondriven company we dont take our role lightly We advance quality of life by addressing the interconnections between our business the needs of society and the risks to our planet This includes improving our own operations harnessing the best team in the industry to evolve new products and services and helping our customers to achieve their environmental goals,15,6,diff,,,
Whether its diagnosing cancer measuring the safety of the worlds air water and food or helping to develop alternative proteins were delivering the scientific solutions that address the challenges and concerns of people and communities around the world,14,6,diff,,,
In doing these things we create prosperity in the broadest sense of the word,4,26,diff,empty,,
We believe we can make a difference in helping to protect the planet enhance human health being a leader in the marketplace and in promoting diversity fairness and equality to achieve a more prosperous world for all Thats why the cornerstones of our approach to ESG are centered around what we call the Four Ps people products planet and prosperity,8,6,diff,,,
Agilents ESG programs start with the impact we have on people This includes everyone we touch employees our customers our shareholders people in the local communities where we operate and those who benefit from our technologies In our workplace and beyond Agilent is committed to helping build a better society for all,10,8,diff,,,
We know that with the most talented and enthusiastic employees in the industry we can do great things as a company As an employer we treat people with respect and value innovation We strive to develop and retain a workforce that mirrors the vibrant diversity of the customers and communities we serve Our collective backgrounds cultures and differences create an inclusive environment where a variety of perspectives are embraced and promoted,8,11,diff,,,
As good corporate citizens we strive to run our business in a way that encourages dialogue transparency and responsiveness We have implemented sound and effective governance practices that promote longterm value and accountability to our stakeholders In addition we regularly assess the appropriate level of monitoring and disclosure to achieve these goals,0,12,diff,,,
Innovation is central to the products Agilent creates the impact they have and to the companys ultimate success Agilent is proud to have over 50 technology platforms that improve health provide safety and deliver trusted answers to our customers,9,6,diff,,,
The innovation that goes into these platforms helps us ensure the highest quality products and services that meet all regulatory requirements and is key to helping us achieve our mission of advancing the quality of life We sell our products into six end markets geared toward meeting the goals of this important mission,15,6,diff,,,
By designing our products to reduce their environmental footprint together with digitalization and other services we help our customers achieve their own decarbonization and environmental goals,15,9,diff,,,
Agilent also delivers nextgeneration laboratory services that improve lab efficiency and sustainability Our continuous focus on innovation supports our business strategic and financial goals while advancing the quality of life across our six end markets,15,20,diff,,,
Enabling customers to develop lifesaving medicines and bring high quality biologics to market,6,6,,,,
Testing and surveillance of the supply chain to ensure the worlds food supply is safe and wholesome along with developing innovative technologies for alternative proteins,17,22,diff,,,
to reduce environmental impact and develop new technologies such as biofuels and new materials,24,9,diff,,,
Helping to address the safety of water soil and air to protect human health while also enabling customers to produce reliable results to help keep society safe protect first responders and detect the presence of dangerous drugs,9,6,diff,,,
Bringing stateoftheart diagnostics to patients worldwide to fight cancer improve the quality of patients lives through genetics and enable new discoveries that advance human health,2,6,diff,,,
Supplying academic and government labs with transformative technology for advanced research,2,4,diff,,,
