paragraph,predict_label,count,different,empty,diff rate,empty rate
Who we are our purpose and our progress in fiscal 2022,10,26,diff,empty,0.8198019801980198,0.3108910891089109
Ciscos purpose is to Power an Inclusive Future for All Our Purpose Report and environmental social and governance ESG focus areas are organized according to the three key pillars of our purpose Power Inclusive and Future But perhaps the most important words of Ciscos purpose statement are the final two for All Partnership and collaboration with our customers and stakeholders throughout our value chain and across the industry allow us to multiply our efforts and scale our impact,10,10,,,,
Ethically build and deliver technology that securely powers the worlds connectivity,0,26,diff,empty,,
Act boldly and deliberately to accelerate fairness inclusion and equitable access to opportunity,8,0,diff,,,
Help ensure a sustainable and regenerative future for our planet,23,26,diff,empty,,
This report contains forwardlooking statements regarding future events All statements other than statements of historical facts are statements that could be deemed forwardlooking statements These statements are based on current expectations estimates forecasts and projections about the industries in which we operate and the beliefs and assumptions of our management Readers are cautioned that these forwardlooking statements are only predictions and are subject to risks uncertainties and assumptions that are difficult to predict including those identified in our most recent filings with the Securities and Exchange Commission on Form 10K and Form 10Q Forwardlooking statements speak only as of the date they are made and we do not undertake any obligation to update any forwardlooking statement,18,11,diff,,,
Every day our people bring our purpose to life around the world through the impact of their commitment to Power an Inclusive Future for All,10,10,,,,
US516 billion fiscal 2022 revenue,12,26,diff,empty,,
Cisco is the worldwide leader in technology that powers the Internet Our products and services include networking collaboration solutions security solutions wireless and mobility data center IoT video analytics and software solutions,1,22,diff,,,
This Purpose Report shares Ciscos progress in its fiscal year 2022 toward its purpose of Powering an Inclusive Future for All But it is not the full story of our progress Our ESG Reporting Hub contains detailed information on many of the topics covered in this report as well as policies and additional disclosures for specialized audiences Throughout the report we provide links to specific pages in the ESG Reporting Hub where additional detail is available,12,26,diff,empty,,
A message from Chuck Robbins,22,26,diff,empty,,
In 2005 Cisco published its first ever Corporate Citizenship Report The goal was simpleshare our company progress around ESG efforts,3,26,diff,empty,,
Today this report aligns with our company purposeto Power an Inclusive Future for Alland it illustrates the many ways Cisco brings this to life We remain committed to annually sharing the impact we are making in critical areas such as sustainability inclusion and diversity human rights education economic development and crisis response The ways in which we support our customers care for our employees and serve our communities define our company today just as they did nearly two decades ago,8,10,diff,,,
While no one could have predicted the challenges weve faced over the last few years one thing remains clearCisco plays an important role in not only helping our customers solve their biggest business issues but also making this world a better place for all of us Setting clear goals and measuring our progress keeps us accountable and allows us to share what we are learning from our experience and work,3,4,diff,,,
The actions we take continue to align with and support the Ten Principles of the United Nations Global Compact which Cisco signed in 2001,12,26,diff,empty,,
At Cisco we believe operating sustainably and equitably is the only way to do business,3,26,diff,empty,,
We know we have a responsibility to lead by example and Cisco has a rich history of supporting communities doing whats right and caring about the world around us Its ingrained in our culture and central to how we run our business every day I am confident we will continue to bring together the power of our people our technologies and our innovation to show up in times of need address inequalities protect our planet and create more inclusive opportunities for people to thrive,10,0,diff,,,
Each day we use our technology expertise and scale to drive progress whether thats supporting our Ukraine employees customers and their communities affected by the war delivering on our Social Justice Beliefs and Actions or driving sustainability efforts in our own business and across our ecosystem,10,10,,,,
Chuck Robbins Chair and CEO,7,26,diff,empty,,
A message from Francine Katsoudas,22,26,diff,empty,,
At Cisco pursuing our Purposeto Power an Inclusive Future for Allis a journey,8,26,diff,empty,,
What set us on this journey was our deep commitment and a deeply held responsibility to leverage our unique strengths and success as a company to improve peoples lives everywhere We know we can harness the power of connectivity which is the foundation of everything we do to help address the challenges our society faces,10,0,diff,,,
Weve been on this journey for many years and we dont know the turns well make or the obstacles well face along the way But our commitment to our Purpose continues to drive us forward to respond in times of crisis and to use our technology our people and our networks to bridge the digital divide help address climate change and open more opportunities for more people,13,25,diff,,,
Following this journey means that we must question ourselves and adjust along the way How do we know were on the right path How do we know were making progress What are we measuring and are those the right metrics,3,26,diff,empty,,
As our work progresses so too does our understanding of what drives impact We dont always have the answersin fact we know well make mistakes But we also know that mistakes are part of improving and getting us closer to the metrics that truly matter the impact were making and the lives we touch,0,10,diff,,,
While this report highlights impressive numbers the human stories behind them are the real victories Educating 175 million students through Cisco Networking Academy is a striking statistic but for the person who goes back to school because of a course they took or the person who gets their first job because of a certification it is not a statisticit is life changing And with every person we impact every school we connect every community we empower we personify our purpose Beyond the numbers and the statistics that is our north star and it will continue to guide us,2,10,diff,,,
With every person we impact every school we connect every community we empower we personify our purpose,10,10,,,,
