paragraph,predict_label,count,different,empty,diff rate,empty rate
2021 Environmental Social Governance Report,12,0,diff,,0.8894954819277109,0.6067394578313253
5 8 10 13 16 17,12,26,diff,empty,,
Our Material ESG Issues Citi in a Global Context,3,26,diff,empty,,
Citi and the Sustainable Development Goals,10,4,diff,,,
Climate Risk and Net Zero,13,12,diff,,,
62 66 70 72 75 78,8,26,diff,empty,,
Our Commitment to Social Finance,10,10,,,,
Talent and Diversity Equity Inclusion,8,8,,,,
Return to Office and the Future of Work,3,26,diff,empty,,
Using Our Corporate Voice to Drive Change,3,26,diff,empty,,
Risk Management and Responsible Business,18,11,diff,,,
104 110 121 125 134,4,26,diff,empty,,
Serving Our Customers and Clients Responsibly,15,26,diff,empty,,
Sustainability Accounting Standards Board Index,12,0,diff,,,
The Principles for Responsible Banking Index,12,26,diff,empty,,
Task Force on Climaterelated Financial Disclosures Index,13,26,diff,empty,,
United Nations Global Compact Index,12,26,diff,empty,,
United Nations Guiding Principles Reporting Framework Index,12,26,diff,empty,,
This report illustrates how we bring our mission to life through our business it covers our environmental social and governance ESG activities performance and approach for calendar year 2021 focusing on the issues we have determined to be of material1 importance from an ESG perspective which is a broader standard than that used in our financial disclosures,3,0,diff,,,
This report has been prepared in accordance with the GRI Standards Core option We also used three relevant,12,11,diff,,,
sector standards from the Sustainability Accounting Standards Board the Principles for Responsible Banking,12,11,diff,,,
the United Nations UN Global Compact and the UN Guiding Principles on Business and Human Rights,10,10,,,,
frameworks to guide our reporting See related indexes,12,26,diff,empty,,
We have embedded the UN Sustainable Development Goals into relevant sections of the report where Citi plays,10,4,diff,,,
a direct role in making progress toward specific goals Additionally we include an index that indicates where,10,26,diff,empty,,
report content is specifically aligned to the recommendations of the Financial Stability Boards Task Force,12,26,diff,empty,,
on Climaterelated Financial Disclosures Finally this report supplements information published in our 2021,13,26,diff,empty,,
All reporting and performance data are limited to information for the owned and operated facilities of Citigroup,22,8,diff,,,
Inc and its subsidiaries unless stated otherwise Additional information about Citi can be found on our website,3,26,diff,empty,,
For more information on Citis ESG initiatives please visit citigroupcomcitiaboutesg or contact,3,26,diff,empty,,
1 Refer to page 16 for our definition of material issues in the context of this report,12,26,diff,empty,,
Our Material ESG Issues Citi in a Global Context,3,26,diff,empty,,
Citi and the Sustainable Development Goals,10,4,diff,,,
As I write this note in late April a war is raging,5,26,diff,empty,,
thoughtful with the transition meeting our,3,26,diff,empty,,
Zero pay gap Zero poverty Some might say,11,26,diff,empty,,
in Ukraine with significant global ramifications,18,26,diff,empty,,
clients where they are in their efforts and,3,26,diff,empty,,
this is idealistic but having ambitious goals,0,26,diff,empty,,
From the beginning we have prioritized the,4,26,diff,empty,,
humanitarian crisis doing everything we can,5,26,diff,empty,,
then helping and pushing them to accelerate,2,26,diff,empty,,
is what helps us make meaningful progress,10,26,diff,empty,,
And its going to take all of us working,11,11,,,,
together to make sure we continue to go in,12,26,diff,empty,,
to help the people in Ukraine including our,10,26,diff,empty,,
Similarly our efforts to expand financial,18,26,diff,empty,,
own colleagues whilst keeping our business,7,26,diff,empty,,
access and opportunity have also gained new,8,26,diff,empty,,
there operating so we can support critical,5,26,diff,empty,,
urgency We have engaged every level of our,3,26,diff,empty,,
I invite you to learn more about these initiatives,10,26,diff,empty,,
supply chains and the NGOs delivering essen,17,26,diff,empty,,
business to think and act in support of equity,12,6,diff,,,
in the pages that follow Our ESG agenda is not,12,26,diff,empty,,
tial aid We are also helping our multinational,5,26,diff,empty,,
and the goal of helping close the racial wealth,8,26,diff,empty,,
a separate layer that sits above what we do,4,26,diff,empty,,
clients who have decided to wind down their,18,24,diff,,,
gap and increase economic mobility in the,18,26,diff,empty,,
daytoday It is an effort that we began at Citi,3,26,diff,empty,,
United States In order to effectively do this,12,26,diff,empty,,
many years ago that has become core to who,8,26,diff,empty,,
Although it might be too early to predict the,4,26,diff,empty,,
wars longterm impact on the world order its,18,10,diff,,,
not too soon to begin asking what it means for,12,26,diff,empty,,
work and serve our clients and communities,10,26,diff,empty,,
we are as a company and our daily worth as a,3,26,diff,empty,,
weve set and recently exceeded talent,8,8,,,,
bank While our efforts will continue to evolve to,12,26,diff,empty,,
representation goals to further diversify our,8,26,diff,empty,,
reflect new global challenges our commitment,13,26,diff,empty,,
own workforce and make progress toward pay,11,11,,,,
to transparency and accountability will remain,0,0,,,,
the issues at the heart of our ESG agenda and,10,26,diff,empty,,
the ESG agendas of so many other companies,3,26,diff,empty,,
constant We will continue to share our progress,10,4,diff,,,
and lessons learned and we will continue to,2,26,diff,empty,,
We also continue to advance financial inclusion,8,7,diff,,,
innovate and push to use our core capabilities,3,26,diff,empty,,
I recently returned from seeing clients in Europe,3,26,diff,empty,,
in underserved communities globally expanding,2,26,diff,empty,,
expertise and talent to lead by example and,8,8,,,,
demonstrate how Citi is truly a bank with a,18,26,diff,empty,,
and the Middle East and it is security be it,18,22,diff,,,
energy food defense cyber or operational,1,24,diff,,,
thats now consuming their attention The,4,26,diff,empty,,
challenges facing our society have not only,10,26,diff,empty,,
reinforced the need for businesses such as Citi,18,26,diff,empty,,
to step up but also the critical importance of,12,26,diff,empty,,
collaboration on a global scale,2,8,diff,,,
Consider the climate crisis At Citi weve been,13,25,diff,,,
proud to play a leading role in our industrys,12,26,diff,empty,,
drive to a more sustainable future and in,15,26,diff,empty,,
recent months we released our initial plan for,3,26,diff,empty,,
reaching net zero emissions by 2050 But,25,21,diff,,,
Russias role as a major energy producer is,24,24,,,,
forcing governments to reevaluate their,12,26,diff,empty,,
energy security and supply Ultimately,17,22,diff,,,
combating climate change cannot be done by,13,25,diff,,,
any company or country alone we need,12,26,diff,empty,,
businesses making the right investments to,3,26,diff,empty,,
achieve the necessary shift in supply and,17,26,diff,empty,,
consumers joining companies in advocating,6,26,diff,empty,,
the scope of our work to areas such as health,9,6,diff,,,
care education affordable housing and basic,2,26,diff,empty,,
infrastructure These efforts have become,12,20,diff,,,
even more important amidst surging inflation,12,26,diff,empty,,
and an emerging global food crisis that could,18,26,diff,empty,,
be devastating for the worlds poorest coun,2,26,diff,empty,,
tries which import much of their food and,6,26,diff,empty,,
where households spend more than half of,24,26,diff,empty,,
JANE FRASER Chief Executive Officer,3,26,diff,empty,,
There are of course lessons to learn and,2,26,diff,empty,,
apply to these challenges particularly from the,12,26,diff,empty,,
pandemic COVID19s disregard for borders,0,26,diff,empty,,
underscored the interconnectedness of society,4,26,diff,empty,,
It also reminded us that global challenges,13,26,diff,empty,,
demand a global collective response As the,10,4,diff,,,
world becomes more fragmented it is even,18,26,diff,empty,,
more important for our global community of,10,10,,,,
business to come together to confront the big,18,26,diff,empty,,
for governments to create the policy frame,12,12,,,,
At Citi this sense of responsibility is something,10,0,diff,,,
works that will be essential to stimulating,15,26,diff,empty,,
that continues to shape our decisions business,4,26,diff,empty,,
demand for clean technologies and providing,24,4,diff,,,
strategy and firmwide goals and commit,3,26,diff,empty,,
the foundation for the clean energy transition,13,24,diff,,,
ments We continue to be focused on action,10,26,diff,empty,,
This tension of course is not new While,4,26,diff,empty,,
Citi plays an enabling role in the transition,3,26,diff,empty,,
to a net zero economy we understand that,4,26,diff,empty,,
it cannot occur overnight We have to be,4,26,diff,empty,,
and partnering with likeminded organizations,12,26,diff,empty,,
that are also doing the work And for us its,3,26,diff,empty,,
not just about the big numbers its the small,4,26,diff,empty,,
number helping society get closer to zero,10,26,diff,empty,,
Zero carbon emissions Zero wealth gap,25,21,diff,,,
At Citi our ESG agenda reflects the role and responsibility we feel as a global bank to help solve many of societys toughest challenges Its a part of our business model and embedded in the products and services we offer As we continue to evolve our ESG priorities to address everchanging realities around the world we remain committed to sharing our progress as we believe transparency and accountability are key to success,0,0,,,,
