paragraph,predict_label,count,different,empty,diff rate,empty rate
2021 Environmental Social Governance Report,12,0,diff,,0.9088983050847458,0.611228813559322
A Letter From Our Chairman Chief Executive Officer,7,26,diff,empty,,
Sustainability Accounting Standards Board Index,12,0,diff,,,
A LETTER FROM OUR CHAIRMAN CHIEF EXECUTIVE OFFICER,7,26,diff,empty,,
Just as our business has greatly evolved since,3,26,diff,empty,,
During the past year we announced our new,12,26,diff,empty,,
products as well as expand our offerings in this,15,26,diff,empty,,
it was established nearly 175 years ago so too,12,26,diff,empty,,
strategic partnership with Google Cloud that,1,10,diff,,,
has our role as a global corporate citizen Of,22,26,diff,empty,,
will not only enable us to transform derivatives,4,26,diff,empty,,
the many changes we have experienced few,18,26,diff,empty,,
markets but also accelerate our ability to,4,25,diff,,,
stand out more than environmental social,10,9,diff,,,
expand access and introduce new products that,15,26,diff,empty,,
and governance ESG issues and the need,12,0,diff,,,
can help businesses and individuals manage risk,18,12,diff,,,
for us to collectively advance toward a more,4,26,diff,empty,,
This partnership will also help our organization,2,10,diff,,,
become more efficient reducing our carbon,25,21,diff,,,
As it relates to our ESG strategy CME Group,3,26,diff,empty,,
Additionally we played a leading role in,12,26,diff,empty,,
developing guidelines for derivatives exchanges,12,26,diff,empty,,
to promote sustainable development which,10,4,diff,,,
were published by the UN Sustainable Stock,18,26,diff,empty,,
Exchanges Initiative and the World Federation,12,26,diff,empty,,
of Exchanges We conducted a new,4,26,diff,empty,,
has been able to move the needle in both big,4,26,diff,empty,,
In 2021 we launched a number of innovative,15,26,diff,empty,,
assessment and are using the findings to,12,10,diff,,,
and small ways all of which are making a,4,26,diff,empty,,
products that support an environmentally,15,26,diff,empty,,
inform our strategy to reduce our,10,26,diff,empty,,
difference to our company our clients our,3,26,diff,empty,,
friendly economy In collaboration with CBL a,4,8,diff,,,
global leader in spot energy and environmental,24,9,diff,,,
As the worlds leading derivatives marketplace,18,26,diff,empty,,
CME Group has always embraced the changing,3,26,diff,empty,,
world Even as we continue to navigate the,4,26,diff,empty,,
COVID19 pandemic we have never stopped,13,26,diff,empty,,
innovating to provide opportunities for our,3,26,diff,empty,,
clients Our ESG strategy supports our mission,3,26,diff,empty,,
of empowering market participants with the,3,26,diff,empty,,
tools they need to manage risk and capture,18,12,diff,,,
opportunities in ways that align with their,8,26,diff,empty,,
markets we introduced two nearterm carbon,4,25,diff,,,
offset solutions CBL Global Emissions Offset,25,21,diff,,,
GEO futures and CBL NatureBased Global,12,26,diff,empty,,
Emissions Offset NGEO futures More than,25,21,diff,,,
47 million offsets were traded in 2021 across both,18,25,diff,,,
products We also launched the industrys first,15,26,diff,empty,,
Sustainable Clearing service which enables,12,6,diff,,,
market participants to track verify and assess,4,26,diff,empty,,
their hedging activity in sustainable instruments,12,26,diff,empty,,
and businesses helping them advance,2,26,diff,empty,,
transparent reporting and their own ESG,0,26,diff,empty,,
initiatives At the end of the year we formed a,12,26,diff,empty,,
Likewise we continued to prioritize the well,20,26,diff,empty,,
being and safety of our global team,9,6,diff,,,
Recognizing how successfully we supported our,10,26,diff,empty,,
business and our clients from home during the,15,26,diff,empty,,
pandemic we introduced a flexible work model,13,26,diff,empty,,
to help provide balance and options in our,4,26,diff,empty,,
employees future work environment We also,11,26,diff,empty,,
engaged a new mental health benefit provider,2,9,diff,,,
to give our employees and their dependents,11,26,diff,empty,,
access to highquality mental and emotional,0,9,diff,,,
care including free therapy and counseling,2,26,diff,empty,,
sessions how when and where its needed,12,26,diff,empty,,
dedicated environmental products team to focus,15,9,diff,,,
Collective differences are what drive innovation,4,3,diff,,,
on our existing portfolio of environmental,12,9,diff,,,
and we recognize the importance of fostering,10,26,diff,empty,,
Collective differences are what drive innovation and we recognize the importance of fostering conversation and awareness around diversity and inclusion,8,11,diff,,,
We are proud contributors to our communities through a number of philanthropic initiatives that allow us to make an impact where our employees and clients live and work,10,10,,,,
conversation and awareness around diversity,8,6,diff,,,
In November we hosted our first ever charity,2,26,diff,empty,,
