paragraph,predict_label,count,different,empty,diff rate,empty rate
2 0 2 1 S U S T A I N A B I L I T Y A N D S O C I A L I M P A C T R E P O R T,12,26,diff,empty,0.7271214642262895,0.23960066555740434
are reimagining a healthier future for all people their pets and our planet,15,26,diff,empty,,
2025 Sustainability Social Impact Strategy,3,10,diff,,,
WE Inspire Our People to Make a Difference,10,26,diff,empty,,
WE Create a More Inclusive World,8,26,diff,empty,,
Build Sustainable Habits for Life,15,26,diff,empty,,
Accelerate Action on Climate Change,13,25,diff,,,
WE Help Children Their Families and Communities Thrive,10,26,diff,empty,,
Foster Lifelong Relationships Between Pets and People,2,26,diff,empty,,
Lead with Zero Waste Facilities,19,19,,,,
A WELCOME LETTER FROM NOEL WALLACE CHAIRMAN PRESIDENT AND CEO,7,26,diff,empty,,
Working at Colgate allows each of us to serve a purpose bigger than ourselvesto reimagine a healthier future for all people their pets and our planet This purpose is shared by Colgate People around the world and it guides our ambitions to drive social impact by being a bestinclass employer and a responsible corporate citizen to help people develop habits that improve their health and their homes and to preserve and enhance our environment,9,10,diff,,,
Colgate People know that we have a unique opportunity to shape a better world The Colgate brand is found in more homes than any othermore than 58 of householdswhich provides a world of opportunity for us to make a difference through innovation education and partnership,15,3,diff,,,
Innovation can move the needle Our firstofits kind recyclable toothpaste tube aims to make plastic tubes part of the circular economy not just for our toothpaste but for all toothpaste tubes We proudly support transparency and are working to educate consumers about our recyclable toothpaste tubes by inviting them to learn more at colgatecomgoodness And everywhere you look,15,0,diff,,,
across our product portfolio you see large and small reinvention toothpaste tabs in metal tins mouthwash in aluminum cans justaddwater tablets for liquid hand soap and concentrated gels for dish liquid toothbrushes with handles made from bamboo or designed with replaceable brush heads that use 80 less plastic than our similarly sized toothbrushes All of these changes help us,15,26,diff,empty,,
reduce our use of plastic and cut plastic waste which is a top priority for our team Innovating to find a better way has also helped us reduce the energy we use in our operations by 37 cut greenhouse gas emissions by 38 and reduce our use of water 52 all since 2002,19,25,diff,,,
We know that about 80 of our environmental footprint occurs when people use and dispose of our products so we seek opportunities to encourage better habits Our Save Water campaign encouraging people to turn off the tap when brushing has contributed to the avoidance of approximately 206 billion gallons of water since 2016 plus 108M metric tons of greenhouse gas emissions from the energy needed to treat heat and pump water And recently when we introduced our breakthrough recyclable toothpaste tube under the Colgate brand in the US we included a bold Recycle Me message to build awareness among consumers and begin changing their behavior,15,25,diff,,,
We also know that education holds a key to better health Weve reached over 14 billion children and their families with our Bright Smiles Bright Futures BSBF oral health education program,2,6,diff,,,
And our new oral health literacy campaign to empower people to Know Your OQto understand and improve their oral health quotientcalls out the links between oral health and overall health and wellbeing so people take action for a healthier future,9,6,diff,,,
The worlds challenges are daunting and no company can go it alone So while innovation and education are two ways we get things done its partnership that amplifies their impact Examples are many The reach of BSBF in 80 countries is only possible through partnership with schools retailers dental professionals and others Our decision back in 2019 to share our recyclable tube technology encouraged the transition for other toothpaste companies And to advance recycling we joined eight other companies as original investors in funds with the Closed Loop Partners to support,15,10,diff,,,
new infrastructure at scale That partnership led to another benefit it connected us with Algramo which helped us experiment with a refillable model for our Softsoap liquid hand soap,24,10,diff,,,
To conclude our purpose to reimagine a healthier future for all brings extra meaning to our work for sustainability and social impact Innovation is key to our progress education is essential for building momentum for change and partnership makes both far more powerful I invite you to review our progress and plans in the pages of this report,10,10,,,,
Noel Wallace CHAIRMAN PRESIDENT AND CHIEF EXECUTIVE OFFICER,7,26,diff,empty,,
