paragraph,predict_label,count,different,empty,diff rate,empty rate
Engineering a More Sustainable Future,15,26,diff,empty,0.7915742793791575,0.43902439024390244
Solar Power Lake in Barge Italy,24,24,,,,
A Message from Our CEO,22,26,diff,empty,,
On behalf of the nearly ten thousand ITTers worldwide I would like to thank all of you for your partnership and investment in ITT The last two years have been challenging as we navigated a global pandemic supply chain disruptions and geopolitical conflicts that have reshaped the economic landscape Together we accomplished a great deal during this unprecedented time and I am grateful for your contributions and for the confidence in our company Still whats more exciting as always are the opportunities that lie ahead the technologies we are developing the investments we are making in our operations and in our people and the actions we are taking to create a more sustainable ITT and contribute to a better world,17,10,diff,,,
At ITT we enable everyday life in unexpected ways by inventing engineering and manufacturing critical components for the transportation industrial and energy markets When parents see the very first image of their unborn child most likely our Cannon connectors relayed that image on the ultrasound screen Families can drive safely because our Friction brake pads help keep them secure by reducing braking distances We can eat some of our favorite foods because our hygienic pumps move and preserve crucial ingredients through the production process for major food manufacturers and if you decide to take a highspeed train chances are our KONI shock absorbers ensure your ride is smooth comfortable and again safe,15,11,diff,,,
It is exactly because what we do touches everyday life that it is natural for us to think behave and operate in ways that make everyday life better and more sustainable,15,26,diff,empty,,
I am very fortunate to work alongside ITT engineers and factory workers from all around the world I am always motivated and inspired by our people and their drive to improve continuously Continuous improvement is entrenched in everything we do and this is also happening in our environmental social governance ESG journey where we continue to up our game,10,0,diff,,,
First our sustainability strategy is firmly rooted in how we do business and in our daily decisions Our investment in our manufacturing processes reflect our drive to contribute to global sustainability Whether we invest in solar projects to secure the energy needs of our facilities globally and reduce emissions or invest in green capex projects that reduce our energy intensity we are driving sustainable practices in each business reducing our carbon footprint whilst also optimizing our costs,24,24,,,,
Second through extensive research and development and capital investment we are advancing our sustainable products and technologies including electrification solutions in Motion Technologies and pump technology in Industrial Process ITT products help our customers lower their energy consumption and reduce their greenhouse gas GHG emissions,25,25,,,,
Finally we are investing in our people to create a diverse inclusive and talented workforce On the people front safety remains a key tenet of our operating model Our multiyear safety performance improvement and our investments in building a safe diverse and inclusive environment are central to the promise we make to our employees about their health in the workplace,9,9,,,,
At this juncture of our sustainability journey I am pleased to share the goals we as a team have set across the organization,3,0,diff,,,
We target to reduce greenhouse gas emissions by 10 by the end of,25,25,,,,
2026 against a 2021 baseline,12,26,diff,empty,,
We also commit to advancing our Diversity Equity and Inclusion and our,8,7,diff,,,
philanthropic efforts to empower and serve underrepresented communities You can read more about these goals in the pages that follow,10,26,diff,empty,,
This ESG strategy together with our leading positions in growing end markets our sustained differentiation and our sound capital deployment strategy will continue to drive longterm growth and value creation for all our stakeholders As we shared with our investors during our investor day this year this is the simple answer to Why ITT,3,4,diff,,,
We are excited to be on this journey together and would like to thank you for your continued support of ITT,12,26,diff,empty,,
Luca Savi Chief Executive Officer,3,26,diff,empty,,
ITT Inc NYSE ITT is a publicly traded company listed on the New York Stock Exchange headquartered in Stamford Connecticut We provide highly engineered critical,17,26,diff,empty,,
components and customized technology solutions for the transportation industrial and energy markets worldwide Building on our heritage of innovation we partner,15,3,diff,,,
with our customers to deliver enduring solutions to the key industries that underpin our modern way of life Our company is composed of three businesses,15,26,diff,empty,,
Motion Technologies is a global leader in brake pads shock absorbers and sealing solutions for the automotive and rail markets Industrial Process is a global,9,25,diff,,,
leader in centrifugal and twinscrew pumps and valves for the chemical energy mining and industrial markets Connect Control Technologies is a leading,24,24,,,,
provider of harsh environment connectors and control components in critical applications for the aerospace defense and industrial markets,17,25,diff,,,
This report covers initiatives and other information,12,26,diff,empty,,
over three years 20192021 focusing on our,12,26,diff,empty,,
achievements and results in 2021,8,26,diff,empty,,
In this report we address sustainability issues that,15,0,diff,,,
impact our business performance and that are most,3,8,diff,,,
important to our stakeholders The data presented,12,22,diff,,,
in this report have been collected reviewed and,12,26,diff,empty,,
internally validated It represents the most complete,12,26,diff,empty,,
and accurate information we have as of the date of,22,26,diff,empty,,
Our ESG governance structure policies processes,12,0,diff,,,
and areas of focus are informed by standards set by the Sustainability Accounting Standards,12,11,diff,,,
Board SASB the Task Force on Climaterelated,13,7,diff,,,
Financial Disclosure TCFD and our proactive,12,12,,,,
engagement with investors customers and other,3,7,diff,,,
stakeholders ITT has a long history of engaging,10,26,diff,empty,,
with shareholders to better understand their views,12,26,diff,empty,,
including how ESG performance ties to our strategy,3,8,diff,,,
emerging reporting standards and expectations on,12,11,diff,,,
disclosure We use these opportunities to discuss,12,12,,,,
ITTs current sustainability focus areas recent,3,0,diff,,,
developments and their impact on our financial,3,10,diff,,,
results These discussions informed this 2022,12,26,diff,empty,,
You can learn more about ITT in our annual report on Form 10K and our proxy statement both of which are available at investorsittcom,12,7,diff,,,
All metrics as of December 31 2021,18,26,diff,empty,,
Corporate Governance and Our Board of Directors 37 Composition of Our Board 38 ESG Governance and Oversight 39 Investor and Political Engagement 40 Risk Management 41 Data Privacy and Cybersecurity 42 Ethical Conduct and Compliance 43,0,7,diff,,,
SASB Index 46 TCFD Index 49 Global Demographics 52,18,26,diff,empty,,
Our Environmental Approach 5 Products and Innovation 6 Leading the Electrification Transition 9 Greenhouse Gas GHG Emissions Reduction Process 10 GHG Emissions Reduction Targets 11 Investing for a Sustainable Future 12 Solar Energy Installations 13 GHG Emissions 15 Waste Management 16 Water Management 17 Safety Quality and Environmental Management Standards 18,25,25,,,,
Our People and Culture ITTs Foundation for Success 20 Setting the Tone The Role of ITTs Board of Directors and Leadership 21 Higher Performance Culture 22,8,8,,,,
Diversity Equity and Inclusion Inspiring and Elevating Our People and Communities 24 2026 Diversity Equity and Inclusion Goals 25 ITT Employee Resource Groups 26 Positively Impacting Our Communities 27,8,8,,,,
