paragraph,predict_label,count,different,empty,diff rate,empty rate
INTRODUCTION About this ESG Report,3,26,diff,empty,0.8947048082775411,0.6062081558125381
OUR PRINCIPLES Governance structure and ESG risk management,12,12,,,,
OUR PLANET Environmental governance structure,12,0,diff,,,
Strategic approach and climate change,13,25,diff,,,
Aircraft fuel conservation and fleet modernization,24,20,diff,,,
OUR PEOPLE Social governance structure,10,0,diff,,,
We are proud to present the FedEx 2022 ESG,3,26,diff,empty,,
Report which covers progress toward our,12,26,diff,empty,,
environmental social and governance ESG,10,0,diff,,,
strategies goals and initiatives This report,12,26,diff,empty,,
This report references indicators from the,12,26,diff,empty,,
Global Reporting Initiative GRI Standards and,12,11,diff,,,
aligns with applicable industry standards from the,12,11,diff,,,
Sustainability Accounting Standards Board SASB,12,0,diff,,,
and recommendations from the Task Force on,12,26,diff,empty,,
reflects our ESG progress and performance for,3,8,diff,,,
each FedEx operating company and all,18,26,diff,empty,,
geographies for our 2021 fiscal year FY21,12,26,diff,empty,,
unless otherwise noted FY21 ended May 31,12,26,diff,empty,,
2021 and all references to FY denote the 12month period ending on May 31 of the,12,26,diff,empty,,
Scope 1 2 GHG verification statement,25,26,diff,empty,,
Our Data appendix includes key highlights,22,22,,,,
regarding our ESG performance and progress,3,8,diff,,,
including yearoveryear performance data Our,18,8,diff,,,
Scope 1 and 2 greenhouse gas GHG emissions,25,25,,,,
data were externally verified by Cventure LLC,22,22,,,,
FedEx Corporation FedEx provides a broad,4,26,diff,empty,,
and business services through our operating,3,26,diff,empty,,
companies By competing collectively operating,4,26,diff,empty,,
collaboratively and innovating digitally we are,15,26,diff,empty,,
building the network for whats next We are,3,26,diff,empty,,
committed to connecting people and possibilities,8,26,diff,empty,,
across the world responsibly and resourcefully,15,26,diff,empty,,
Our operating principles coupled with the size,3,26,diff,empty,,
and scale of our network allow us to remain,3,26,diff,empty,,
flexible while positioning us to produce superior,15,4,diff,,,
financial returns for our stockholders,18,26,diff,empty,,
Every day FedEx serves over 220 countries and,6,26,diff,empty,,
territories and works to connect 99 of global,12,26,diff,empty,,
gross domestic product Our companys positive,15,26,diff,empty,,
impact extends far beyond pallets and parcels,2,10,diff,,,
and we play an important role in the US and,12,26,diff,empty,,
global economies by supporting customers,4,26,diff,empty,,
including small business customers and team members across the world as demonstrated in,3,26,diff,empty,,
our US Economic Impact Report,18,10,diff,,,
Agile Proactive Resilient FedEx team members,3,26,diff,empty,,
have reflected these characteristics in meeting the,3,26,diff,empty,,
challenges posed by the operating environment,3,26,diff,empty,,
of the past year including record ecommerce,4,26,diff,empty,,
volumes and immense global supply chain,17,26,diff,empty,,
challenges And since the beginning of the,2,26,diff,empty,,
pandemic weve been proud to support recovery,13,5,diff,,,
efforts including the ongoing delivery of vaccines,2,26,diff,empty,,
therapeutics test kits and related supplies This is,6,26,diff,empty,,
among the most important work in our companys,15,26,diff,empty,,
history and will continue as long as needed,12,26,diff,empty,,
In this unique global context FedEx plays an,18,26,diff,empty,,
essential role in supporting communities and,10,26,diff,empty,,
economies worldwide a benefit weve called,4,26,diff,empty,,
