paragraph,predict_label,count,different,empty,diff rate,empty rate
MESSAGE FROM THE CEO 4,3,26,diff,empty,0.7736625514403292,0.3065843621399177
ABOUT FIRST SOLAR 7 Responsible Solar 10 IndustryLeading Environmental Profile 12 Powering a Circular Economy 15 First Solar Module Recycling Process Overview 16,15,24,diff,,,
ENVIRONMENTAL METRICS AND TARGETS 18 Greenhouse Gas Emissions 21 Energy 23 Water 24 Waste 26 Recycling 29,25,25,,,,
RESPONSIBLE SUPPLY CHAIN MANAGEMENT 30 Responsible Sourcing 31 Supply Chain Overview 32 Human Rights Standards and Practices 34 Conflict Minerals 35,17,11,diff,,,
SOCIAL RESPONSIBILITY 36 Our Culture 37 Working at First Solar 38 Inclusion Diversity Belonging 39 Occupational Health and Safety 42 Covid19 Pandemic Response 44 Sustainability Ambassadors Program 45 Global Charitable Giving Overview 46,8,10,diff,,,
GOVERNANCE 50 ESG Oversight at First Solar 51 Leadership 52 Ethical Business Conduct 52 Collective Bargaining and Freedom of Association 53 AntiCorruption 53 Data Security and Privacy 54 ESG Recognition and Awards 55,0,22,diff,,,
ABOUT THIS REPORT 58 Sustainability Materiality Assessment 59 Stakeholder Engagement 61 Key Performance Indicators 63 GRI Content Index 65,3,10,diff,,,
All financial numbers in this report are based on US Generally Accepted Accounting,12,25,diff,,,
Principles This report contains forwardlooking statements within the meaning of the,12,26,diff,empty,,
United States federal securities laws These forwardlooking statements do not constitute,12,26,diff,empty,,
guarantees of future performance These forwardlooking statements are based on current,12,8,diff,,,
information and expectations are subject to uncertainties and changes in circumstances,18,26,diff,empty,,
and involve a number of factors that could cause actual results to differ materially from,4,26,diff,empty,,
those anticipated by these forwardlooking statements including risks described in our,18,26,diff,empty,,
most recent annual report on Form 10K and other filings with the Securities and Exchange,12,26,diff,empty,,
Commission First Solar assumes no obligation to update any forwardlooking information,22,24,diff,,,
contained in this report or with respect to the information described herein,12,26,diff,empty,,
The solar industry has reached an inflection point Just a few years ago,12,24,diff,,,
the biggest obstacle we faced was proving that solar could be reliable and,24,24,,,,
costcompetitive without the need for subsidies Today we can proudly state,12,26,diff,empty,,
that we have overcome that challenge and utilityscale solar is now cheaper,24,24,,,,
than any other form of newbuild power generation in most major markets,24,24,,,,
MARK WIDMAR Chief Executive Officer,3,26,diff,empty,,
Where once solar was described as new energy or alternative,24,24,,,,
This is why were doubling down on solar that isnt simply,24,24,,,,
solar PV is on a trajectory to become the dominant source of,24,24,,,,
powered by true innovation but also powered by a sense of,4,3,diff,,,
electricity generation in many countries while powering the new,24,24,,,,
responsibility towards people and the planet Its an approach,10,0,diff,,,
While the solar industry has many achievements that it must,4,24,diff,,,
that requires us to remember the original promise of solar,15,24,diff,,,
To put purpose at the center of everything we do To do well,10,26,diff,empty,,
and to enable the success of our partners and customers by,15,26,diff,empty,,
be proud of the journey has not been without its challenges,10,26,diff,empty,,
and the focus on solaratanycost has not been without,4,26,diff,empty,,
consequences It is deeply unfortunate for example that,0,26,diff,empty,,
We call this Responsible Solar It is solar with an overarching,24,24,,,,
too many conversations these days include solar and,0,24,diff,,,
ethical commitment to people and the planet It is solar that,0,24,diff,,,
forced labor in the same sentence Or that the use of dirty,11,11,,,,
doesnt pay lip service to sustainability but embodies it Solar,12,6,diff,,,
coal electricity to power Chinas dominance of polysilicon,24,26,diff,empty,,
that considers the social and environmental impacts and,10,9,diff,,,
production is now in full public view tainting the reputation of,4,26,diff,empty,,
works hard to make peoples lives healthier Solar that has no,2,24,diff,,,
tolerance for the use of forced labor either in its manufacturing,11,11,,,,
or its supply chain And solar that meaningfully supports the,17,24,diff,,,
Besides shaking up the status quo the increased public,12,26,diff,empty,,
scrutiny of the solar industry appears to be forcing a reckoning,12,24,diff,,,
that we hope will transform the industry into one that is,12,26,diff,empty,,
It represents a meaningful commitment to hold ourselves to,10,26,diff,empty,,
stronger and more accountable and recognizes the inherent,0,26,diff,empty,,
a higher standard As a result our Series 6 modules received,12,26,diff,empty,,
business and reputational risks that inevitably accompany,18,26,diff,empty,,
an EPEAT Silver rating and became the first PV product to,15,26,diff,empty,,
This is also an inflection point for us at First Solar and in many,4,24,diff,,,
ways marks the next phase in our evolution as a company For,3,26,diff,empty,,
one we have embraced our position as an industry leader taking,3,26,diff,empty,,
be included in the EPEAT registry for sustainable electronics,15,26,diff,empty,,
This globally recognized and independently validated ecolabel,4,26,diff,empty,,
gives customers the confidence they are purchasing an,15,26,diff,empty,,
environmentally leading product from a socially responsible,15,26,diff,empty,,
company We also successfully reduced our GHG emissions,25,21,diff,,,
vocal positions on issues that we are passionate about Why,12,26,diff,empty,,
energy and water intensity due to the greater manufacturing,20,15,diff,,,
Because diverse perspectives are important and we believe,8,26,diff,empty,,
throughput and enhanced energy and water efficiency of our,24,20,diff,,,
that ours which can sometimes run contrary to the dominant,4,26,diff,empty,,
Series 6 manufacturing process In 2020 we joined RE100,15,15,,,,
narratives help bring clarity and insight to conversations about,8,26,diff,empty,,
and committed to powering our global operations with 100,3,26,diff,empty,,
the future stability and sustainability of our industry,3,0,diff,,,
renewable energy by 2028 in an effort to further reduce our,24,24,,,,
operational impacts In 2021 we continued to build on our,12,26,diff,empty,,
programs Although we recognize there is more work to be,2,26,diff,empty,,
environmental commitments by setting sciencebased targets,10,9,diff,,,
done these measures are already starting to deliver results,12,26,diff,empty,,
to reduce our absolute GHG emissions by 20 by 2028 and,25,21,diff,,,
Over the past year we added gender racial and multicultural,8,26,diff,empty,,
achieve Net Zero emissions by 2050 relative to 2020,25,21,diff,,,
diversity into the Executive Leadership team and increased the,8,8,,,,
To build on our responsible sourcing track record and drive,15,26,diff,empty,,
industry best practices First Solar became a member of the,18,11,diff,,,
Responsible Business Alliance RBA the worlds largest,10,26,diff,empty,,
industry coalition dedicated to supporting the rights and well,10,10,,,,
being of workers and communities in the global supply chain,11,26,diff,empty,,
Our decision to join the RBA was driven by our comprehensive,12,26,diff,empty,,
approach to responsible supply chain management and the,17,11,diff,,,
recognition that not all audits are created equal As a member,12,8,diff,,,
we will not only have access to the RBAs due diligence tools,12,26,diff,empty,,
and programs but also its Validated Assessment Program,12,10,diff,,,
percentage of women in management and the workforce As,8,11,diff,,,
of 2021 approximately 30 of our board seats are occupied,7,7,,,,
by women Building on the foundation of our Global Womens,10,26,diff,empty,,
Network GLOW we successfully launched our Black and African,8,26,diff,empty,,
American Network in 2020 and plan to launch our Hispanic,8,26,diff,empty,,
and Latin American Network in 2021 We are also putting our,8,26,diff,empty,,
treasury dollars to work in ways that reflect our commitment to,12,26,diff,empty,,
diversity and inclusion In 2021 First Solar invested 11 million,8,7,diff,,,
in efforts to revitalize American communities and bridge racial,8,26,diff,empty,,
gaps in health wealth and opportunity,8,6,diff,,,
VAP which is a leading standard for onsite compliance,12,0,diff,,,
These are just some of the ways that we are delivering,15,26,diff,empty,,
verification and effective shareable audits Simply put,0,19,diff,,,
Responsible Solar to our stakeholders society and the,10,24,diff,,,
respect for human rights in our operations and supply chain,10,10,,,,
planet Thank you for your interest in this Sustainability Report,3,0,diff,,,
and our continued journey to lead the worlds sustainable,15,26,diff,empty,,
As part of our effort to reduce inequalities and promote a,11,26,diff,empty,,
diverse and inclusive workplace we continue to integrate,8,8,,,,
inclusion diversity and belonging measures throughout our,8,8,,,,
global people strategy from our hiring policies to our benefit,8,26,diff,empty,,
Mark Widmar Chief Executive Officer,3,26,diff,empty,,
Module Recycling Material Recovery Rate,19,19,,,,
CDP Climate Change And Water Score,20,20,,,,
First Solar is a leading American solar technology company and global provider,24,24,,,,
of responsiblyproduced ecoefficient solar modules advancing the fight,24,24,,,,
against climate change We are unique among the worlds ten largest solar,13,24,diff,,,
manufacturers for being the only USheadquartered company and for not using,4,26,diff,empty,,
a crystalline silicon cSi semiconductor Developed at RD labs in California,15,26,diff,empty,,
and Ohio First Solars advanced thin film photovoltaic PV modules represent,24,26,diff,empty,,
the next generation of solar technologies providing a competitive high,4,24,diff,,,
performance lowercarbon alternative to conventional cSi PV panels From raw,24,8,diff,,,
material sourcing and manufacturing through endoflife module recycling First,15,15,,,,
Solars approach to technology embodies sustainability and a responsibility,10,0,diff,,,
towards people and the planet,10,26,diff,empty,,
First Solar is headquartered in Tempe Arizona with regional offices around,3,24,diff,,,
the world and manufacturing facilities in Perrysburg and Lake Township Ohio,15,15,,,,
Kulim Malaysia and Ho Chi Minh City Vietnam Our annual manufacturing,15,15,,,,
capacity has grown from 25 megawatts MW in 2005 to 79 gigawatts GW,24,26,diff,empty,,
as of March 31 2021 with a path to increase to 13 GW based on our recently,24,26,diff,empty,,
announced expansion plan In 2021 we announced plans to invest 680,12,4,diff,,,
million to expand our American solar manufacturing capacity by 33 GW Our,24,15,diff,,,
Ohio manufacturing footprint makes us the largest solar manufacturer in the,15,24,diff,,,
United States and the Western Hemisphere,12,26,diff,empty,,
Responsible Solar At First Solar we have long understood that we have a responsibility towards,10,24,diff,,,
our planet our communities and our customers This responsibility drives our,10,0,diff,,,
sense of purpose the why that inspires every one of our thousands of,10,26,diff,empty,,
employees worldwide who have committed themselves to our journey to lead,8,26,diff,empty,,
the worlds sustainable energy future,24,24,,,,
Since the beginning we have placed sustainability at the heart of everything,15,0,diff,,,
we do focused not on meeting industry standards but exceeding them,14,11,diff,,,
and setting new ones This is why we have a long history of establishing,12,26,diff,empty,,
benchmarks in recycling health and safety responsible supply chain,17,6,diff,,,
management transparency resourceefficient manufacturing and the carbon,0,0,,,,
and water footprint of our technology,20,20,,,,
Lowest environmental footprint in the industry,17,9,diff,,,
Promote a safe inclusive and diverse workplace,8,8,,,,
communities and contribute to a just transition,10,26,diff,empty,,
zero tolerance for forced labor,11,11,,,,
ESG oversight at Board level,7,7,,,,
Solar should never come at the price of people or the planet,4,24,diff,,,
LIFECYCLE MANAGEMENT Our highvalue recycling,15,11,diff,,,
process recovers more than 90 of module materials for reuse,15,19,diff,,,
Provides high quality secondary resources for new PV panels and products,15,6,diff,,,
1 kg of CdTe semiconductor,24,26,diff,empty,,
can be recycled 41X producing electricity for 1230 years,24,26,diff,empty,,
Providing circular solutions for a resourceconstrained world,17,26,diff,empty,,
