paragraph,predict_label,count,different,empty,diff rate,empty rate
2021 ENVIRONMENTAL SOCIAL GOVERNANCE REPORT,12,0,diff,,0.8810051736881005,0.49445676274944567
Corporate Governance and ESG Oversight,12,7,diff,,,
Political Engagement and Public Policy,12,7,diff,,,
Advancing Climate and Sustainability Solutions,13,0,diff,,,
Feature Our Commitment to Racial Equity,8,6,diff,,,
Sustainability Accounting Standards Board Index,12,0,diff,,,
JPMorgan Chase Sustainable Bond Annual Report,18,26,diff,empty,,
This past year has brought disruption and stress for so many as the world grapples,18,4,diff,,,
We are also making progress in implementing our 30 billion commitment to help,12,26,diff,empty,,
with war in Ukraine economic volatility climate change and an ongoing pandemic,13,25,diff,,,
close the racial wealth gap Financing affordable places for people to live expanding,8,26,diff,empty,,
It has also shown what companies like ours can and must do to serve our,3,26,diff,empty,,
access to services through local community branches and supporting Minority,8,10,diff,,,
customers clients and communities run a healthy and vibrant company and bring,10,26,diff,empty,,
Depository Institutions and Community Development Financial Institutions are a few,12,4,diff,,,
together the best of our business to help address significant economic and societal,10,26,diff,empty,,
examples of how were putting this commitment to work Because racial equity like,8,6,diff,,,
challenges Throughout this period of uncertainty JPMorgan Chase has led with a,18,26,diff,empty,,
climate requires a coordinated government response we are advocating for policies,13,5,diff,,,
tireless focus on doing the right thing even when its not easy or expedient,10,26,diff,empty,,
that diversify the appraisal industry help Americans with no credit file gain access,4,26,diff,empty,,
We are leveraging capital and expertise across our company to support a greener,3,26,diff,empty,,
to credit and provide access to affordable small business loans,2,26,diff,empty,,
future for the planet and advance racial equity This is a pivotal time for society,8,6,diff,,,
Finally we can only run a strong company and tackle these challenges if we have,3,26,diff,empty,,
government business and community leaders must move from empty statements,12,10,diff,,,
exemplary people I am so proud of how hard our employees have worked through,10,26,diff,empty,,
and lofty intentions to tangible actions That is why our company is beginning to,12,26,diff,empty,,
these tough times and the continued steps weve taken to cultivate a diverse and,10,26,diff,empty,,
implement ambitious targets and commitments to help drive equity and create a,12,6,diff,,,
inclusive workplace and support our customers and communities,10,8,diff,,,
There is no doubt we both as a company and society have a long way to go We,4,26,diff,empty,,
A responsible approach to energy and climate especially during a time of war is to,13,24,diff,,,
may not get it right every time but we strive every day to do the right thing,10,26,diff,empty,,
immediately help provide energy security around the globe while remaining focused,5,22,diff,,,
on accelerating the development of affordable reliable and lowercarbon energy,24,4,diff,,,
solutions We have a goal to reduce the carbon intensity of our financing portfolios,25,21,diff,,,
Moments of crisis are also moments of opportunity In this years ESG report I invite,18,26,diff,empty,,
you to read about the work we do every day to drive lasting change,10,26,diff,empty,,
starting with oil gas electric power and automotive manufacturing and targeting,24,4,diff,,,
1 trillion by 2030 as part of an overall 25 trillion sustainable development,3,4,diff,,,
target to advance renewable energy and other innovative technologies And we,24,24,,,,
are minimizing the environmental impact of our physical operations across,15,9,diff,,,
thousands of branches as well as our data centers and corporate offices,3,22,diff,,,
JPMorgan Chase Co JPMorgan Chase the Firm or we is a financial services,4,26,diff,empty,,
and payment solutions to small businesses Home Lending includes mortgage,12,26,diff,empty,,
Estate Banking Middle Market Banking covers small and midsized companies local,18,26,diff,empty,,
company based in the United States of America US with branches in 48 states,12,26,diff,empty,,
origination and servicing activities as well as portfolios consisting of residential,3,26,diff,empty,,
