paragraph,predict_label,count,different,empty,diff rate,empty rate
Visit our website for GRI SASB and,12,26,diff,empty,0.86,0.6251851851851852
TCFD disclosure data and further,12,12,,,,
On the cover Alicia Alcantara Dendura is among hundreds of Rockwell,12,26,diff,empty,,
as STEM mentors Alicia and a local,2,26,diff,empty,,
student are pictured on the green roof,8,26,diff,empty,,
atop our Milwaukee Wisconsin global,4,26,diff,empty,,
headquarters Learn more about our,3,26,diff,empty,,
green roof on page 35,23,26,diff,empty,,
We are a global leader in industrial automation and digital transformation We connect the imaginations of people with the potential of technology to expand what is,15,26,diff,empty,,
humanly possible making the world more productive and,9,26,diff,empty,,
Our Strategy is to bring the Connected Enterprise to life Nobody is better positioned to bring information and,1,26,diff,empty,,
operational technology together than us and our partners,1,26,diff,empty,,
Our Mission is to integrate control and information across the enterprise to help industrial companies and their people be more productive and sustainable,10,26,diff,empty,,
It is my pleasure to present our 2021 Sustainability Report Amid a pandemic that is stretching into a third year we are making significant progress on our most important goals including efforts to make our company customers and communities more sustainable In some ways these efforts were accelerated by world events as we continue to act with urgency to make a difference,10,0,diff,,,
As a global leader in,3,26,diff,empty,,
A companys value is only the sum of the ongoing,18,26,diff,empty,,
combined efforts of its people The interest of,10,26,diff,empty,,
our people to get involved with our sustainability,10,0,diff,,,
tion Rockwell Automation is wellpositioned to,24,26,diff,empty,,
programs spans across all functional areas around,2,26,diff,empty,,
make a big difference For example our hardware software and expert services enable vaccine,12,26,diff,empty,,
the globe At all stages of their career employees know that we can use our experience and innova,8,26,diff,empty,,
production at the immense scale and quality the,15,6,diff,,,
tion to tackle some of todays biggest problems,18,26,diff,empty,,
world needs to recover Were also contributing to,5,26,diff,empty,,
the reliable packaging of food to help safely feed,15,14,diff,,,
people as they rely more on storebought items,15,26,diff,empty,,
And were adding innovation to the electrification,24,3,diff,,,
of personal transportation Most importantly,9,17,diff,,,
were transforming our company to meet the,3,26,diff,empty,,
biggest industrial challenges of today and,17,26,diff,empty,,
tomorrow and were doing so from a position of,12,26,diff,empty,,
Were removing barriers that could get in the way,12,26,diff,empty,,
of any of our people throwing their full energy,4,24,diff,,,
and talent into solving these challenges Our top,8,8,,,,
priority is creating a healthy and safe environment,9,26,diff,empty,,
where all people can and want to do their very best,10,26,diff,empty,,
work Our workplace is more flexible and diverse,8,8,,,,
than ever before Plus were adding new people,8,26,diff,empty,,
with different skills to complement existing talent,8,8,,,,
and expanding the spectrum of perspectives from,8,26,diff,empty,,
For more than 100 years weve improved the,12,26,diff,empty,,
which we innovate and refine solutions,3,26,diff,empty,,
efficiency of industrial processes Over 20 of,24,20,diff,,,
greenhouse gas emissions come from manufac,25,25,,,,
turing plants and our products solutions and,15,26,diff,empty,,
services are creating a more sustainable planet,23,26,diff,empty,,
by helping our customers use less fuel electricity and water to make the products we need We,15,20,diff,,,
are also helping renewable energy providers,24,24,,,,
lower their costs and increase their output to,24,26,diff,empty,,
meet the increasing demand for wind solar,24,24,,,,
and hydrogen power sources To accelerate our,24,26,diff,empty,,
impact weve added a new roleVice President,7,10,diff,,,
of Sustainabilityto scale up a team dedicated to,17,26,diff,empty,,
reducing our own carbon footprint and developing,13,24,diff,,,
new solutions to help our customers do the same,15,26,diff,empty,,
Our culture links our people together to use all,8,8,,,,
their strengths around the world across our,4,26,diff,empty,,
businesses and among all employees We value,8,26,diff,empty,,
integrity and diversity to win the right way and for the long term We consider our potential value,8,0,diff,,,
from the outside in Were moving faster than,24,26,diff,empty,,
ever before and were unlocking the power of,15,26,diff,empty,,
new ideas from all employees And perhaps most,15,26,diff,empty,,
importantly were approaching our challenges,4,26,diff,empty,,
with passion because what we do is essential to,3,26,diff,empty,,
make the world more productive and sustainable,15,26,diff,empty,,
Blake D Moret Chairman and CEO,7,26,diff,empty,,
Carbon Neutral Scopes 1 2 by,25,21,diff,,,
Revenue generated for industrial automation and digital transformation technologies and services that help industrial companies and their people be more productive and sustainable,15,26,diff,empty,,
Revenue generated from energy efficiencyrelated productsofferings per SASBs definition,24,24,,,,
RECORDABLE CASE RATE PER 100 EMPLOYEES,11,26,diff,empty,,
CERTIFIED TO ISO 14001 AND ISO 45001 ENVIRONMENTAL MANAGEMENT AND SAFETY STANDARDS,14,11,diff,,,
All large manufacturing sites are certified,15,15,,,,
109700 total metric tons of CO2 equivalent,25,26,diff,empty,,
4 Aviation 1 Liquid Fuels,24,21,diff,,,
