paragraph,predict_label,count,different,empty,diff rate,empty rate
3Letter from Tim Cook4Report highlights6Our approach8Our commitmentto transparency9Advocating for change10Our commitmentto human rights,10,10,,,0.8130381303813038,0.26814268142681424
13Our approach13Climate change18Resources20Smarter chemistry,3,19,diff,,,
23Our approach23Inclusion and diversity26Growth anddevelopment27Benefits28Compensation29Engagement30Workplace practicesand policies33Health and safetyat Apple,8,26,diff,empty,,
37Our approach40Labor and human rightsin the supply chain43Health safetyand wellness44Responsible materialssourcing45Education andprofessional development46Environment,17,10,diff,,,
48Our approach48Privacy50Accessibility52Inclusive design53Education54Health55Caring for customers,6,26,diff,empty,,
59Our approach60Racial Equityand Justice Initiative62Education64Affordable housinginitiative65Corporate donations67Employee giving68Job creation,12,26,diff,empty,,
70Corporate governance71Ethics and compliance72Tax payments,0,26,diff,empty,,
74Awards and recognition75United NationsSustainable DevelopmentGoals77Stakeholder engagement78ESG data summary84About the report85Endnotes,3,22,diff,,,
Today our teams around the world infuse Apples deeply held values into everything we make That work cantake many forms But whether we are protecting the right to privacy designing technology that is accessible toall or using more recycled material in our products than ever we are always working to make a difference forthe people we serve and the planet we inhabit,15,0,diff,,,
As a company we know that our impact on peoples lives reaches beyond the technology we create And weapply the same ethos of constant innovation and improvement to every aspect of our work  from building aninclusive company culture where everyone feels welcome to becoming carbon neutral across our global supplychain and the lifetime of our products by 2030,15,3,diff,,,
At the heart of our efforts is a steadfast commitment to serving the communities we are a part of We workwith teachers advocates and entrepreneurs from diverse backgrounds as part of our Racial Equity and JusticeInitiative We help create opportunity in communities on the frontlines of climate change through the RestoreFund which supports carbon removal and sustainable forestry And we provide resources and training tothe next generation of innovators through the Apple Developer Academy and educational initiatives acrossthe globe,13,8,diff,,,
In this report we are pleased to share our progress which is a product of collaboration with committedpartners worldwide At Apple we believe that the only way to effectively tackle global challenges is byworking together and we are grateful to share this road with so many passionate leaders,3,4,diff,,,
We are engaged in this work because it is right  and because we want to leave the world better than wefound it in everything we do By leading with our values we hope to be a ripple in the pond that inspiresa far greater change,10,0,diff,,,
Pay equity at the intersections of race and ethnicity with genderwas achieved in 2022,8,6,diff,,,
Leadership roles include managers at all levels of our company,8,8,,,,
Since April 2020 we have achieved carbonneutrality for our corporate emissions bysourcing 100 percent renewable electricityfor Apple facilities implementing energyefficiency initiatives and securing carbonoffsets for remaining emissions,25,21,diff,,,
In fiscal year 2021 our environmentalinitiatives avoided over 23 million metrictons of emissions across all scopes andwe reduced our carbon footprint by,25,25,,,,
40 percent compared with fiscal year2015 Efforts and initiatives that wevebeen growing for years made this possible like sourcing 100 percent renewableelectricity for our facilities transitioningsuppliers to clean energy and usinglowcarbon materials in products,15,24,diff,,,
As of March 2022 213 suppliers havecommitted to renewable electricity forApple production representing the majorityof Apples direct supplier spend In fiscalyear 2021 Apple and its suppliers broughtonline over 10 megawatts of renewableenergy in our supply chain doubling theamount from the prior year,17,26,diff,empty,,
Since 2017 Apple has achieved andmaintained gender pay equity for ouremployees worldwide In the YOUS wevealso achieved pay equity with respect torace and ethnicity  as well as pay equityat the intersections of race and ethnicitywith gender,8,6,diff,,,
In calendar year 2021 47 of openleadership roles were filled by womenglobally an increase of 10 percentagepoints since 2020 and we have had an 87increase in women in leadership since2014 And in 2021 we hired more Black andHispanicLatinx team members in the YOUSthan ever before with 13 open leadershiproles filled by Black candidates and 12filled by HispanicLatinx candidates Since2014 we have had an 84 increase in thenumber of Black employees and a 90increase in the number of HispanicLatinxemployees in leadership in the YOUS,8,8,,,,
With iOS 145 in April 2021 we releasedApp Tracking Transparency for iPad andiPhone requiring developers to obtaina users permission to track them acrossapps or websites owned by othercompanies for advertising purposes,0,22,diff,,,
We hold ourselves and our suppliers tothe highest standards of labor and humanrights health and safety and environmentalstewardship In fiscal year 2021 weconducted 1177 assessments including291 smelter and refiner assessmentsto verify that suppliers are meeting ourstrict requirements,9,11,diff,,,
We continue to source primary materialsresponsibly 100 percent of the identifiedtin tungsten tantalum and gold 3TGcobalt and lithium smelters and refinersin our supply chain have participated inindependent thirdparty audits to assessand identify social environmental humanrights and governance risks,17,0,diff,,,
We announced our Supplier EmployeeDevelopment Fund which will expand ourbestinclass labor programs in our supplychain and establish a global Education Hubto scale the expansion of the technical andprofessional skills necessary for the jobs oftoday and tomorrow in our supply chain andsurrounding communities,11,11,,,,
Building on our initial 100 millioncommitment in 2020 we announcedan additional 30 million commitmentin August 2021 The funding supportsefforts including the Global HSI EquityInnovation Hub expanded learningopportunities for HBCUs the first AppleEntrepreneur Camp for HispanicLatinxFounders and Developers and funding fororganizations driving criminal justice reformand environmental justice And in May2022 we committed 25 million to expandaccess to capital for community financialinstitutions supporting communities ofcolor in historically underserved marketsacross the YOUS,2,9,diff,,,
To celebrate Global Accessibility AwarenessDay 2022 we previewed upcoming softwarefeatures to offer users with disabilities newtools for navigation health communicationand more Apples announcement includedDoor Detection a cuttingedge navigationfeature for users who are blind or lowvision Live Captions for the Deaf and hardof hearing community and Apple WatchMirroring which helps people with physicaland motor disabilities control Apple Watchremotely from their paired iPhone,8,6,diff,,,
Across Apple we have continued our sustainedcommitment to making products moreinclusive For example we released newdiverse voices for Siri and we are taking stepsto advance equity in our cameras personrecognition features We have also developedHuman Interface Guidelines to supportdevelopers in building inclusive apps,15,6,diff,,,
Our Community Education Initiativecontinued to grow supporting andpartnering with 147 education institutionsand nonprofit organizations  including47HBCUs  in over 500 different locationsacross 36 states in the YOUS and fourlocations across the UK since its launchin 2019,2,10,diff,,,
We launched Apple Learning Coach afree professional learning program thattrains instructional coaches digital learningspecialists and other coaching educatorsto help teachers effectively use Appletechnology in the classroom,2,26,diff,empty,,
In 2021 Apples Employee Giving programcelebrated its 10th anniversary havingraised nearly 725 million for 39000organizations worldwide  with over120 million distributed to organizationsaround the globe in 2021 alone The fundsraised through Apples Employee Givingprogram include the work of 68000employees who have logged almost,9,8,diff,,,
