paragraph,predict_label
The information disclosure of the report is based on sustainability ,"12
"
topics  management  strategies  goals  current  status  and  future ,"3
"
directions  To  better  respond  to  topics  under  the  attention  of ,"2
"
interest parties Qisda specically plans the website for corporate ,"12
"
social  responsibility  CSR  Besides  presenting  excerpts  of  the ,"10
"
results  of  endeavors  of  Qisda  in  various  aspects  of  CSR  in  the ,"12
"
newest year the CSR reports of previous years are available for ,"12
"
This symbol indicates that you can link to external related content,"22
"
This symbol indicates that you can link to related content,"22
"
and  adds  many  strategic  partners  In  the  future ,"3
"
vision of Bringing Enjoyment N Quality to Life,"8
"
The publish date of the report falls on June 2020 Qisda starting from 2007 in  publishing  the  rst  CSR  report  continuously  disclose  and  publish  the report each June,"12
"
Geographical  scope  Include  Qisda  headquarter    Taiwan  and  the  most important manufacturing site  Suzhou China Also starting from 2018 the report expanded the content of CSR for subsidiaries and disclosed related information at the fth chapter Grow Together HandinHand,"3
"
Collect  data  according  to  the  above  report  ranges  indicators  and  calculation formula of data are described in chapter notes,"12
"
The content of the report has been audited internally by related staff providing those to be amended to supervisors of various departments to add and verify we also outsource to external independent thirdparty to audit  Bureau Veritas Group BVCto verify the report meets the Comprehensive and AA 1000 AS 2008  Addendum  High  Assurance  Type  II  standards  of  GRI  Standards  Via internal and external audit mechanisms information disclosure quality can be guaranteed  Also  the  disclosure  of the  report  meets  standards  in  Taiwan and  abroad  such  as  Corporate  Social Responsibility Best Practice Principles Filing of Corporate Social Responsibility Reports by TWSE Listed Companies Social  Responsibility  Guidance  ISO  26000  and  Sustainable  Development Goals SDGs,"10
"
Include names of companies and subsidiaries in the nancial reports Qisda Corporation Qisda Suzhou Co Ltd QCSZ Qisda Electronic Suzhou Co Ltd QCES Qisda Optronics Suzhou Co Ltd QCOS and Qisda Precision Industry Suzhou Co Ltd QCPS For others please refer to the annual report  The  data  of  certain  chapters  or  performance  indicators  will  include  overall  global  data  for  the  sake  of  completeness  For  data  not  completely included in that for Taiwan and Suzhou China they will be described in the notes of respective chapter,"18
"
Include  names  of  subsidiaries  listed  in  the  annual  report  BenQ  Dialysis  Tech  Corporation  BenQ  Medical  Technology  Corporation  LILY  Medical Corporation DFI Inc and Partner Tech Corp,"18
"
Sustainable Development Key PerformanceIndicators at a Glance 20172020,"3
"
Note Material topics concerned by stakeholders are marked with the following icons,"10
"
