paragraph,predict_label
Reporting period January 1December 31 2020 Financial data disclosed in this report covers the operational performance of both the parent company and subsidiaries of MSI see MSI Annual Report 2020 AR2020 for details at httpswwwmsicomaboutinvestor Nonfinancial performance indicators are subject to the MicroStar INTL Co Ltd MSIT MicroStar INTL Taoyuan Plant MSIT1 MSI Computer Shenzhen Co Ltd MSIS and MSI Electronics Kunshan Co Ltd MSIK these four facilities are hereinafter collectively referred to as MSI Group or MSI or weusour in this report Due to the nondisclosure agreements NDAs with customers the information regarding the number of employees of MSIS and MSIK is not disclosed Compared to the CSR Report 2019 MSIT1 is included in reporting for the first time and related performance is disclosed in the relevant sections,"7
"
MSIs CSR report addresses core indicators from the Global Reporting Initiative GRI GRI Standards GuidelinesCore Options and the Taiwan Stock Exchange Corporation Rules Governing the Preparation and Filing of Corporate Social Responsibility Reports by TWSE Listed Companies This report discloses our business activities strategies and management performance addressing the most significant corporate social responsibility CSR issues The reference table of GRI Standards has been attached as an appendix to this report,"10
"
Report AssuranceInternal review	The Sustainable Development Office shall assess and be ,"3
"
responsible for administering the planning data gathering internal communication content compilation and verification of reporting,"22
"
	The Corporate Social Responsibility CSR working group team and the function heads shall review the content and the information contained in relevant chapters and sections for accuracy,"10
"
	The President is authorized by the Board to command respective ,"7
"
designated adjunct bodies to review the strategic objectives and the ESG Environment Social Governance performance,"10
"
	To be reviewed and confirmed by the President by signing before ,"12
"
Externa assurance This report has been verified by the Taiwan Branch of BSI Pacific ,"12
"
Limited to comply with the GRI Standards Core option and requirements for the moderate assurance level of Type 1 of the Accountability 1000 Assurance Standard v3 AA1000ASv3 to ensure the reliability of information disclosed in this report See details regarding the assurance statement in the appendix,"12
"
The data regarding the quality environmental and energy management systems under ISO financial data and GHG emission data have been certified verified or audited by independent third parties,"25
"
Quality management ISO 9001Environmental management ISO 14001GHG ISO 140641OH and S management ISO 45001Hazardous Substance Process Management IECQQC 080000Quality management requirements for automotive production and relevant service parts IATF 16949,"15
"
Telecommunications quality management TL 9000 Information security management ISO27001,"1
"
Energy management ISO 50001 Centre Testing International CTI,"24
"
China National Accreditation Service for Conformity Assessment CNAS,"12
"
We published the first CSR report in 2008 and has since been publishing it in both Chinese and English annually over the MSI corporate website and the Market Observation Post System MOPS to disclose information to stakeholders,"12
"
No 69 Lide St Zhonghe District New Taipei City 235030 Taiwan ROC,"12
"
Top 50 Large Enterprises Excellence in Corporate Responsibility Awards,"10
"
Ranked 18th at the Interbrand of the Best Taiwan Global Brands 2020,"15
"
Ranked the top 620 enterprises at the Corporate Governance Evaluation organized by the Taiwan Stock ExchangeTWSE CG 100 Index componentTaiwan HC 100 Index componentRAFI EMP 99 Index component,"18
"
In 2020 the spread of COVID19 pandamic had a significant impact on the global ecomomy and the work and life patterns in the areas affected by the pandemic also changed drastically Longdistance working from home learning from home and home entertainment plus the product buying effect brought by the successive launch of costeffective new products had all caused the demand for PC and esports related products to increase greatly the rise in relative demand had also resulted in the lack of supply of multiple upstream electronic components and tight global logistics making PC shipments clearly unable to meet the demant Fortunately thanks to the Companys good longterm relationship with the supply chain and channel customers as well as the close grasp of the needs of the end users the Company was able to respond appropriately and supply smoothly With the conerted efforts of all employees of the Company and the full support of suppliers and customers in 2020 both the annual revenue and profit reached new highs,"15
"
The challenges of COVID19 climate change and environmental pollution are changing both the global market and human lifestyle drastically We thus take active adaptationmitigation actions by setting targets for GHG emissions energy management water consumption and waste reduction In product development we control and reduce hazardous substances contained in products enhance the product energy efficiency maintain product ecofriendliness and improve the environmental protection performance of products throughout the product lifecycle In addition ,"15
"
