paragraph,predict_label
Responding to Emerging Risks  COVID19 Epidemic Prevention Management  6,"5
"
43 CoCreation of Value with Value   Chain Partnerships ,"3
"
21 Integrity Management and Legal and Regulation Compliance ,"0
"
Financial Data Referred to the nancial report certied by the PwC TaiwanOrganizational greenhouse gas inventory ISO 140641 2018 SGS TaiwanQuality Management ISO 9001 2015 SGS TaiwanEnvironment Management ISO 14001 2015 SGS TaiwanWork Safety and Health Management ISO 45001 2018 SGS Taiwan,"25
"
FeedbackIf  you  have  any  question  or  suggestion  for  the  contents  of  the  report  please  feel  free  to contact us ThanksMs Lu of GIGABYTE Sustainable Development OfceAddress No 6 Baoqiang Rd Xindian Dist New Taipei City 231Phone 886289124000 ext 3023  Fax 886289124005email CSRgigabytecom,"3
"
Allege Use of Picture from UNs Sustainable Development GoalsPictures of the UNs Sustainable Development Goals used in the report are downloaded from the publicizing materials of UNs Sustainable Development website,"10
"
About the Report Reporting BoundariesThis  report  covers  the  sustainability  activities  and  performance  of  GIGABYTEs  global operational locations from January 1 to December 31 in 2021 including the Headquarters Taoyuan  Nanping  Factory  China  Dongguan  Factory  China  Ningbo  Factory  named GIGABYTE below and inuential subsidiaries in Taiwan GSTYLE LTD GIGAIPC CO LTD and Bestyield International It is different from the scope of the nancial annual report,"3
"
The nancial data validation disclosed in the report is from the consolidated nancial report information of GIGABYTE and its subsidiaries for detailed disclosing scope please refer to 2021 GIGABYTE Annual Report The organizational GHG emission inventory and reduction data encompasses the Headquarters Taoyuan Nanping Factory China Dongguan Factory China  Ningbo  Factory  as  well  as  the  subsidiaries  Bestyield  International  and  GSTYLE Taipei Silicon Valley Ofce The disclosure scopes of other sustainability indicators will be described,"25
"
Reporting Principles and Reference GuidingThis report has been prepared in accordance with the latest GRI Standards and the Corporate Social Responsibility BestPractice Principles for TWSEGTSM Listed Companies The report also takes reference from international guidelines such as the UN Sustainable Development Goals  Task  Force  on  Climaterelated  Disclosures  TCFD  framework  and  Sustainability Accounting  Standards  Board  SASB  Standards  to  compile  and  disclose  GIGABYTEs corporate  sustainability  commitments  strategies  and  implementation  outcomes  for  the reporting period,"12
"
IssueThe  Sustainability  Report  is  uploaded  to GIGABYTE  Sustainability  website  every  year  Key extracts from the report are also published on each webpage The latest sustainability news are published through the corporate website as well We invite all stakeholders that take an interest in GIGABYTE to use all the different channels available to learn about our efforts and accomplishments in sustainability,"3
"
Issue time September 2022Last Issue time September 2021Next issue time Scheduled in September 2023,"12
"
At  GIGABYTE  we  have  always  embraced  our  mission  of  Upgrade  Your  Life  by  growing  our  core  business through  innovation  and  supplying  distinguished  products  as  well  as  intelligent  solutions  in  diverse  fields  we work closely with customers and supply chain partners to cocreate a sustainable value chain we promote an inclusive workplace look after the health and safety of our employees and give back to society in support of the UN Sustainable Development Goals,"9
"
Despite  having  to  deal  with  factors  such  as  the  restructuring  of  the  global  supply  chain  the  COVID19 pandemic international trade conicts and a highly volatile market in the last two years GIGABYTE recorded prot growth by staying true to our philosophy working together as a team and leveraging our strength from years of sustainable operations We are also continuing to expand our capabilities in cuttingedge elds such as AI 5G and cloud services,"17
"
Our pursuit of economic performance and technological achievement does not mean GIGABYTE has forgotten our  corporate  responsibility  to  the  environment  and  society  To  reduce  the  environmental  impact  of  our operations we set ourselves the strategic challenge of a 50 reduction in carbon emissions by 2025 at the same time carrying out internal competitions rewards and activities to  encourage employees to  think  about sustainability in their everyday work Continued improvements to our welfare policy and health support served to  provide  employees  with  a  happy  and  safe  workplace  above  all  we  are  working  to  expand  our  influence in  society  and  promote  a  harmonious  inclusive  society  by  connecting  our  many  partners  with  social  welfare projects,"10
"
We  have  never  wavered  on  our  journey  to  sustainability  In  the  future  we  will  set  our  sights  on  the  four sustainability  visions  of  Zero  Waste  Zero  Pollution  Transition  to  Lowcarbon  Technology  Leader  of Sustainability and Circular Economy and Realization of Humanistic Values We hope to join forces with our upstream  and  downstream  partners  in  embracing  ethical  governance  environmental  friendliness  and  social care We will continue to respond to topics stakeholders are concerned with concern so that we can do our part for the world and create positive values,"10
"
Consolidated  revenue  was NTD  121905 billion  increasing  by 4409  compared to last year,"12
"
Steady Growth in Revenue for 6 Consecutive Years,"18
"
Adopted  forest  land  in Pinglin and mobilized value chain partners to plant trees in person  to  practice  ecological conservationCumulatively planted 14399 trees in Taiwan89399 trees worldwide,"23
"
Continuously executing the Sustainability Fund program In 2021 the total reduced emissions  by  proposals  were  956 tonnes  bringing  cumulative  emissions reduction to 4474 tonnes,"21
"
Obtained 150 patents in 2021 yearCumulatively  2545  patents obtained to date,"4
"
Hosted 170  sessions  of  ethical management  and  anticorruption training with 3077 participants,"0
"
13318 hours of environmental education in the year,"2
"
Electronic  waste  recycle  services  reduced  electronic waste by 6751 tonnes,"19
"
Scored A Leadership in CDPClimate Change evaluation andA in supplier engagement rating,"17
"
Target to cut 50 of carbon emissions by 2025 since 2009 and had reached3885 in 2021,"25
"
Corporate volunteersThousand Mile Trek  Go  Green  Taiwan  roundisland and trashpicking project,"23
"
Accumulative distance 99904 kmService hours 29153 hoursRemoved trash 1232605 kg,"24
"
Additional NTD 3000month in childcare subsidy and up to 2 hours of flextime,"2
"
Organized the Joint Waste and DollarFree Flea Market to partner with employees communities and NGOs to reuse 178743 kg of goods,"19
"
Hosted 5 types of technology education A total of 174 sessions held with 4811 participants,"2
"
Supported NTD 48 million in  group  buys  directly  from small farmers in the year ,"12
"
Annual Global Views CSR SurveyTop 6 in Electronics and Technology Industry be nominated for 6 consecutive yearsTop 8 in Social Innovation Action Plan,"3
"
