paragraph,predict_label
Linking  three  graphs  together  to  express  three perspectives including people social environment and  ecological  protection  plus  representing  net zero emission  Every perspective is a goal that Asia Cement  is  aiming  at  the  intention  is  to  strive  for reaching the goal of harmony and coprosperity,"23
"
The ThirdParty Verification System of Asia Cement and its Subsidiaries,"4
"
This report was prepared and compiled in accordance with GRI 2021 guidelines issued by Global Reporting Initiative GRI and the construction material industry set out by Sustainability Accounting ,"12
"
Standards Board SASB  Additionally the report was in compliance with international guidelines and standards including Global Cement and Concrete Association GCCA Sustainability Charter ex ,"12
"
biodiversity and net zero emission Sustainable Development Goals SDGs of UN ISO 26000 Social Responsibility Guidelines and Dow Jones Sustainability Indices DJSI Furthermore this report had passed ,"23
"
the external assurance operation of SGS Taiwan Ltd and complied with AA1000 AS Standard Type II moderate level third party assurance for the purpose of providing reliable public information to readers,"12
"
Integrating SDGs to be the structure of thereport and integrating the value chain,"3
"
This  report  is  compiled  by  consolidating  the  business  of  Asia  Cement  and  basing  the ,"3
"
reporting principles to describe the issues concerned by many  In 2021 the Company adopted ,"12
"
SDGs as the structure of reporting to Implement ESG perpetual cycling  It also integrated the ,"12
"
comprehensive performance of Asia Cement value chain to demonstrate the effort devoted by ,"3
"
the Company in the economic social and environmental areas for the purpose of presenting it ,"10
"
to the stakeholders the willingness of striving for working on the sustainable issues,"10
"
Corporate  Governance  Sustainable  Development Roadmap Enhancing the Disclosure of Sustainability Report,"12
"
This  report  covers  the  period  from  January  1  to  December  31  2021  It  mainly  provides ,"12
"
the enterprise sustainable management and performance information of Asia Cements major ,"3
"
operation sites The physical entities of business operation that disclosed information cement ,"22
"
main  business  the  headquarter  Hsinchu  Plant  and  Hualien  Plant  Ya  Tung  ReadyMixed ,"3
"
Concrete Yuan Long Stainless Steel Ya Li Precast Prestressed Nanhwa Cement Chiahui Power ,"24
"
and  Fu  MingDa  Transport  The  financial  statement  is  published  after  being  audited  by  the ,"12
"
certified public accountant parts of the figures are quoted from the Annual Report government ,"12
"
sectors and the public information disclosed on the relevant websites they are presented in the ,"22
"
conventional manner of describing texts and values Exceptions will be explained in the content ,"12
"
This is a report issued in the nineth year the last report was issued in June of 2021  This is ,"12
"
This  report  is  based  on  Corporate  Governance  30    Sustainable  Development  Roadmap ,"12
"
an annual report the next report will be issued in June of 2023 Comparing with that of the last ,"12
"
launched by Financial Supervisory Commission to increase the transparency of information to ,"0
"
report there is not any significant changes of the value chain disclosed in this report,"18
"
advance sustainable operational items and to implement financial disclosure based on the initiative ,"12
"
of Task Force on Climaterelated Financial Disclosures TCFD and a framework for Sustainability ,"3
"
Accounting Standards Board SASB in order to enhance the disclosure of sustainability report,"12
"
Please contact us for any comments or suggestions,"12
"
Address  3031 F No 207 Dunhua S Rd Sec 2 Da AnDistrict Taipei City 106 TaiwanResponsible Unit Asia Cement Corporate Sustainability Report Committee  Contact Person  Spokesperson  VP Wei kun Chou ,"3
"
For  the  convenient  quick  and  precise reading a quick link mode is provided to readers ,"2
"
