paragraph,predict_label
Sustainability Strategies11Sustainability Framework12A Vision and Strategy for Sustainability13Sustainable Impact,"3
"
Sustainable Finance31Sustainable Finance Financial Inclusion 32Customer Relationship 33Information Security 34Digital Innovation35,"3
"
Talent Attraction Talent Development Happy WorkplaceHuman Rights Protection,"8
"
Responsible Governance61Corporate GovernanceBusiness Ethics62Risk Management63Regulatory Compliance64Combat Crime65Tax Policy66,"0
"
About this ReportMateriality Analysis and Stakeholder CommunicationSustainable DataSustainability Standards and Index Comparison TableVerification Statement by ExternalIndependent Parties,"0
"
COVID19 continued to affect the global economy and financial environment in 2021 The supply chain bottleneck inflation and economic recession among other social concerns arising from it caused a significant impact on our business activities Facing challenges from all aspects Mega Holdings demonstrates a powerful resilience adopting the ChangeChallengeChance 3C Strategies ie embracing change taking on challenges and seizing opportunities Drawing on existing business foundations we take ESG factors into consideration when making decisions and actively strive for new profitmaking opportunities Our subsidiaries Mega Securities Mega Bills Chung Kuo Insurance and Mega Venture Capital have reported recordhigh profits which highlight the effectiveness of diversifying the financial operations of Mega Group,"3
"
To live up to the expectations of our stakeholders the Board of Directors of Mega Holdings approved the Groups Sustainable Development Strategic Blueprint at the end of 2021 The Blueprint is based on the values of Respect and Inclusion Professionalism and Reliability and Integrity and Accountability with emphasis placed on three main strategic axes Developing Environmental Sustainability Promoting Social Prosperity and Implementing Responsible Governance Specifically these axes will be guided by the following guiding principles Committing to Netzero Emissions to Achieve Environmental Sustainability Improving Digital Technology to Promote Sustainable Finance Strengthening Talent Development to Implement Employee Care Forging a Deeper Financial Inclusion for Mutual Prosperity in the Society and Adhering to Ethical Standards to Practice Corporate Governance Guided by these strategic approaches Mega Holdings and subsidiaries will jointly develop a business model that ensures both economic growth and environmental protection Focused on the concept of sustainable finance the Company adopts the Sustainable Development Goals SDGs of the United Nations as our own goals for achieving sustainable operation to pursue the sustainable development of Mega Group,"10
"
Considering the current direction of digital transformation and banking business development the Company typically recruits talents with diverse expertise in digital banking information technology and highend wealth management etc In response to ESG and sustainability trends we stepped up efforts to organize inhouse training courses and established rules on ESG education for directors supervisors and managers to direct managements attention to sustainability issues Believing employees to be valuable assets of an organization Mega Holdings is committed to creating a happy workplace where competitive salary and benefits are offered including professional certifications subsidies for health examinations and healthpromotion activities etc Moreover the Company promotes effective communication between employers and employees by conducting surveys on employee engagement and human rights due diligence or hosting labormanagement meetings In 2021 Mega Holdings was again selected as the constituent stock of Taiwan Employment Creation 99 Index and Taiwan High Compensation 100 Index both highlighting our attention to the value of talents and our utmost effort in employee care,"8
"
   Forging a Deeper Financial Inclusion for Mutual Prosperity in the Society ,"8
"
Social issues have long been a focus of Mega Holdings Through the resources and power of Mega Bank Cultural and Educational Foundation Mega Bank Foundation and each subsidiary we provide more care and tangible support to education sports arts and culture and disadvantaged groups by drawing on the following development axes Building a Pool of Talent to Increase the Value of Inclusion Supporting and Enriching the Life of Disadvantaged People Shining a Global Spot Light on the Power and Beauty of Rural Communities and Creating Mutual Prosperity in the Society To achieve deeper financial inclusion Mega encourages employees to participate in a volunteering program where they give talks in rural areas and host activities as a financial lecturer to promote and impart their professional skills and financial knowledge,"10
"
   Adhering to Ethical Standards to Practice Corporate Governance ,"0
"
   Committing to Netzero Emissions to Achieve Environmental Sustainability,"24
"
Mega Holdings signed on as a supporter of the Task Force on Climaterelated Financial Disclosures TCFD in 2020 and established the Climate Risk Management Guidelines in 2021 guiding our subsidiaries to develop related systems and specifications to effectively identify the physical and transition risks of climate change Various mitigation and reduction measures are adopted to reduce the impact of climate change and sustainable finance is further developed to seize business opportunities and chances to transition to a lowcarbon economy Committed to the Nationally Determined Contributions NDCs the Company sets longterm goals to achieve netzero emission by 2050 and refers to the sciencebased target SBT setting methods to set a midterm goal of achieving 25 reduction in the Groups GHG emissions by 2030 from a 2020 base year For this reason the Company is actively committed to decarbonization efforts purchasing nearly 900 renewable energy certificates since 2019 We implemented ISO140641 GHG inventory in 192 business locations across Taiwan and received thirdparty verification Our Mega ChiLin Building was the first to adopt ISO14001 Environmental Management System and ISO50001 Energy Management System and devised a threeyear plan to expand the adoption of ISO14001 ISO50001 and green building certifications so as to prepare for the Sustainable Development Roadmap and NetZero Carbon Emissions Roadmap implemented by the government of Taiwan,"25
"
In response to government policies and industrial transformation Mega Group continues to improve digital technologies to elevate customer experience and also reduce the user of paper and energy resources In March 2021 Mega Holdings established the Sustainable Finance Policy hoping to urge subsidiaries from top to bottom to utilize their financial influence and keep their business management more in line with global ESG trends in terms of sustainable development In August 2021 Mega Bank signed the Equator Principles EPs becoming the second private bank in Taiwan and the 119th member bank in the world to adopt the Principles In addition Mega Group captures opportunities for sustainable business and expands its financial influences by continuing to issueunderwrite green bonds invest in renewable energy technologies issue green credit cards strengthen loans for renewable energy and offshore wind power projects and provide microinsurance and agricultural insurance products,"12
"
In the area of corporate governance Mega Holdings upholds the business philosophies of integrity transparency and responsibility abides by local laws regulations and policies and adopt the principles of fairness and ethical management To prevent antimoney laundering AML and combating the financing of terrorism CFT educational training and compliance testing are held from time to time to impart professional knowledge and skills In 2021 Mega Group reported a training completion rate of 100 satisfying the regulatory requirement for training on AML and CFT Moreover Mega Holdings also actively strengthens board operations and directors functions After the election of directors in 2021 our board composition was 47 female directors 33 independent directors and members with a wide range of different backgrounds including banking law information technology information security sustainability etc This ensures that the board is independent and diverse enough to effectively supervise the implementation of ESG projects,"0
"
In 2021 Mega Holdings was again selected as a constituent stock of the Taiwan Corporate Governance 100 Index FTSE4Good TIP Taiwan ESG Index and MSCIs ESG Index We also won the Commonwealth Magazines Excellence in Corporate Social Responsibility Awards the Taiwan Corporate Sustainability Awards TCSA  Corporate Sustainability Report Award and multiple other awards which show the affirmation of our sustainability practices With the vision of becoming the Sustainability Paradigm of the Financial Industry in Asia Pacific and the mission of Spreading Positive Influence and Leading the Way to Sustainable Development Mega Holdings hopes to actualize the groups Sustainable Development Strategy Blueprint and create a better future with our stakeholders,"3
"
Message from the Chairman2021 Mega Holding Sustainability Report,"3
"
Committing to Netzero Emissions to Achieve Environmental Sustainability,"24
"
Received a rating of B in Management Level on the CDP climate change questionnaire,"13
"
Completed ISO 140641 GHG Inventory on all business locations in Taiwan and obtained thirdparty independent verification,"25
"
