paragraph,predict_label
00 About This Report01 Business Philosophy and  Sustainability Strategy02 COVID1903 Identification of  Material Topics04 2025 Sustainability  Goals05 Circular Economy06 Climate Actions07 Responsible Manufacturing08 Innovation and Value Creation09 Talent Cultivation10 Society11 Governance12 Workplace EnvironmentAppendix,"3
"
00 About This Report01 Business Philosophy and  Sustainability Strategy02 COVID1903 Identification of  Material Topics04 2025 Sustainability  Goals05 Circular Economy06 Climate Actions07 Responsible Manufacturing08 Innovation and Value Creation09 Talent Cultivation10 Society11 Governance12 Workplace EnvironmentAppendix,"3
"
The ASUS Sustainability Report for year 2021 details strategies management structures and achievements made by ASUS in relation to various sustainability initiatives It also demonstrates how we ,"3
"
have addressed the expectations of our stakeholders in regard to sustainability initiatives that have been established to protect the environment and to benefit society,"23
"
Financial data and other related information including financial summaries and annual reports of 2021 are available on the ASUS investor Relations website,"12
"
For other sustainabilityrelated information please visit the ASUS Sustainability website,"3
"
The 2021 ASUS Sustainability Report complies with the requirements of new GRI Standards 2021 ,"12
"
as well as to the United Nations UN Global Compact and the Sustainability Accounting Standards ,"12
"
ASUS entrusts SGS Taiwan Ltd SGS to review the materiality of the report and data against the ,"0
"
AccountAbility AA1000 Assurance Standard 2008 Type II High Level GRI Standards and SASB to ,"12
"
ensure ASUS meets the principles for defining report quality of GRI Standards  Accuracy Balance ,"12
"
The  scope  of  the  data  is  the  same  as  the  ASUS  Group  specified  in  the  Annual  Report  excluding ,"12
"
subsidiary companies that publish their own Sustainability Reports AAEON Askey and ASMedia ,"12
"
Technology  subsidiaries  established  for  investment  or  finance  and  taxation  purposes  and ,"12
"
subsidiaries in which ASUS does not have management and controlling rights The scope of data and ,"12
"
information disclosed is consistent with the Annual Report January 1 to December 31 2021,"12
"
To provide feedback or to contact us with questions please email us at ,"22
"
00 About This Report01 Business Philosophy and  Sustainability Strategy02 COVID1903 Identification of  Material Topics04 2025 Sustainability  Goals05 Circular Economy06 Climate Actions07 Responsible Manufacturing08 Innovation and Value Creation09 Talent Cultivation10 Society11 Governance12 Workplace EnvironmentAppendixMessage from the ChairmanMessage from the CoCEOs2021 Achievements in Sustainability,"3
"
The Covid19 pandemic and climate change have severely impacted global development spurring further ,"13
"
realization that the uncertainty they have created in our environment economy and society will become the ,"18
"
new normal Extreme weather conditions have affected our environment and tested the resilience of business ,"3
"
operations while the pandemic has changed the way people work and altered consumer behavior At the ,"4
"
same time it has given rise to new businesses and disrupted existing industries prompting companies to ,"18
"
accelerate the deployment of changes and innovations that they have previously placed on hold,"3
"
As a leading brand in Taiwans ICT industry ASUS has always regarded environmental and social engagement ,"10
"
as a part of our business strategy We advocate strategic sustainability with a focus on fundamentals and ,"3
"
results With technological advantages and innovative development we use scientific datadriven evaluation ,"12
"
as the fundamental approach to constantly evolve and pursue excellence ASUS concentrates on the four ,"8
"
sustainability focuses of climate action circular economy responsible manufacturing and value creation while ,"13
"
