paragraph,predict_label
Hon Hai Technology Group Foxconn adheres to our commitment of Sustainability Management  EPS  ESG with 6 ESG strategies and 32 longterm ESG targets formulated in 2022 as cornerstones to the Groups core tenet The environmental aspect of our ESG efforts places emphasis on green intelligence and circular economy The Group aligns with international trends in the face of increasingly severe climate issues We adhere to UN SDGs and support the Climate Action 100 initiative and participated in Carbon Disclosure Project Our overall responses to the CDP climate change questionnaire in 2021 were scored at the management level while the three items of climate governance Scope 1  2 emissions and emission reduction initiatives were scored at the leadership level,"13
"
Submitted an application for the SBTi 15C target and expect to be validated and approved by 2023 ,"12
"
Initiated Task Force on Climaterelated Financial Disclosures framework and became a TCFD Supporter,"13
"
Became a founding member committee member and supervisor of Taiwan Alliance for Net Zero EmissionPledged to achieve net zero emissions in offices in Taiwan by 2030 and in production bases by 2050,"21
"
2022 Global Views  Monthly CSR  ESG AwardFirst Prize in the Category of Electronic Technology Industry,"12
"
1  Comply with NDC or the carbon emission policies of local governments where Group Campuses are located,"21
"
2  Align  GHG  emissions  of  our  value  chain  with  the  Paris  Agreement  and  realize  our  goal  of  zero  GHG  ,"25
"
3  Respond to and act upon the 3 targets proposed by Climate Action 100 steering committee,"13
"
1  Strengthen climate change governance2  Implement actions relating to GHG emissions within the Groups value chain3  Provide disclosure in accordance with TCFD aim to release first TCFD Net Zero Vision Report in 2022 ,"25
"
The Groups short mid and longterm carbon emission reducing targets,"21
"
Net Zero Emission in the office of our Taiwanese campuses ,"21
"
Refine and allocate energy and carbon reduction targets to different business groupsFormulate procedures for evaluating energy and carbon reduction management and implementation status  in  different  business  groups  and  reward  business  groups  with  remarkable  achievements  in energysaving  measures  We  conduct  quarterly  and  annual  comprehensive  evaluations  while  also implementing regular reviews and revisions each year,"24
"
Our verified Scope 1 and 2 greenhouse gas emissions in 2021 increased 148 compared with 2020 mainly due to revenue growth and economic expansion which raised electricity usage  and  carbon  emissions  However  the Group continues to be active in implementing carbon  reductions  and  utilizing  renewable energies,"25
"
2025 Target At least 5 UL2799 Zero Waste to Landfill Operations GoldLevel Certification,"19
"
Mid to Longterm ZeroWaste  Campuses  that  implement  zero landfill  policies  We  have  signed  memorandums of  cooperation  with  UL  international  verification institutes  and  aim  to  build  Zero  Waste  Pilot Campuses through incorporation  of Turbo Waste management systems digital management of waste using cloud technologies and quantitative systems that enable waste reduction,"19
"
2025 Wastewater discharge and water quality monitoring system target,"20
"
Conducted external audits for management systems such as ISO 14001 ISO 50001 and ISO 140641,"12
"
Invested  in  energysaving  projects  encompassing t ra n s f o r m a t i o n   o f   e n e rg y  s av i n g   p ro d u c t i o n processes improvement of airconditioning systemsair  compressorslighting  equipment  and  other improvements,"21
"
