paragraph,predict_label
ESG Report will be available at eMemorys website and Market Observation Post System httpmopstwsecomtwmopswebindex,18
2021 was still a challenging year with the COVID19 pandemic While most of the world was adjusting,13
to the pandemic an outbreak in Taiwan brought unexpected challenges In the face of these,13
challenges eMemory has worked tirelessly towards achieving our most fundamental responsibility,10
We achieved our goal because of our dedication over the last 20 years to building a strong and,10
resilient company To do so we continue fostering an environment of invention and innovation,3
investing in our employees maintaining an inclusive workplace full of learning and advancing,8
Digital technology is transforming the world at an unprecedented pace presenting some of the,1
worlds biggest challenges particularly climate change and security issues brought on by the growing,13
connectivity of the digital world Our companys core is innovation which is why we continually push,3
ourselves to find ways to work in favor of our stakeholders,10
Our knowledge and expertise in advanced semiconductor process technologies enable us to provide,15
customers with highly efficient IPs that remove many of the expensive and intricate processes,4
required by other logicbased nonvolatile memory solutions on the market Our IPs thus improve,4
yield and reduces the usage and waste of additional resources necessary to create chips,19
Maintaining sustainable business practices in the long run is also part of our goal We remain,3
proactive by continuing to introduce our PUFbased IP solutions to the market and playing a pivotal,1
role in hardware security We hope that by doing so we not only protect device users from threats,1
but also extend the chip life cycle and improve the longevity of each device,15
I believe in eMemory and the future we can achieve together Our employees expertise and passion,8
will have a positive outcome and this is what inspires my confidence that we can create a safer and,9
secure digital world With that I invite you to learn more about how we operate and put our business,1
to work for our stakeholders in this report,10
This report aims at disclosing transparent and comprehensive information regarding eMemorys,0
impacts on economic governance environmental and social sustainability to our stakeholders It,10
has been prepared in accordance with the Global Reporting Initiative GRI Standards Core option,12
This is an annual report covering information from January 1st 2021 to December 31st 2021 The,12
previous report which was published in June 2021 is available in both Chinese and English It can be,12
The scope of this report includes eMemorys facilities in Jhubei City and Hsinchu City Taiwan We,12
integrated the social and environmental data of eMemory Technology Inc and our subsidiary,10
PUFsecurity Corporation in the report The entities included in the consolidated financial statements,18
are eMemory Technology Inc PUFsecurity Corporation and PUFsecurity USA,18
Location Rm 305 No 47 Yuanqu 2nd Rd Hsinchu Scince Park Hsinchu City 300 Taiwan,23
Headquarter 8F No5 Taiyuan 1st St Jhubei City Hsinchu County 302 Taiwan,12
Products Logic nonvolatile memory NVM silicon intellectual properties IPs,4
Contact Information Address 8F No5 Taiyuan 1st St Jhubei City Hsinchu County 302 Taiwan,22
390 million kWh energy saving on end devices,24
0 complaints or penalties on human right related issues,10
Receives TSMCs IP Partner Award for 12 consecutive yesrs,3
Sponsors NGO Teach for Taiwan for 8 years,12
0 complaints or penalties on environmental related issues,12
Provides scholarship and supports for NTHU for 9 years,2
eMemory Technology Inc is the worlds largest pureplay developer and provider of logic non,4
volatile memory Logic NVM technology The proprietary technologies include NeoBit NeoFuse,4
NeoMTP NeoEE and NeoPUF Products developed with these core technologies have been made,15
into more than 68 billion ICs used in various applications in 5G4G Mobile Devices Data Centers,1
Automotive Internet of Things IoT Digital Consumers and Home Appliances,15
eMemory licenses silicon intellectual properties SIPs to semiconductor foundries integrated,4
device manufacturers IDMs and fabless design houses around the world Our Logic NVM silicon IP,4
platform provides fabless design houses with superior product design flexibility and manufacturing,15
process portability We provide IDMs process scalability and valuable process engineering knowhow,4
that shortens their product development time to market Furthermore our foundry partners could,15
gain access to hundreds of potential customers through us for sustainable business development,15
Ending on December 31st 2021 the total number of employees at eMemory and its subsidiary was,11
297 located majorly at the Jhubei headquarters in Hsinchu County Taiwan The gross profit in 2021,12
was NT2364 million which was 330 higher than in 2020 Our earnings per share EPS in 2021,18
was NT1478 which was 553 higher than in 2020 With our continuous investment in Research,12
and Development RD which was around NT680 million in 2021 equating to 623 of total,12
operating expenses eMemory is able to provide advanced memory technologies as well as high,24
quality products and services to our customers and partners See eMemory 2021 Annual Report for,15
more details Cumulatively we have over 2100 macros verified and over 5750 design licenses up,12
until 2021 and the numbers are consistently growing It is our goal to not only maintain the,18
innovation momentum but also bring sustainable success together with our customers,15
With the rapid development of technology and the increasing applications of AI and IoT the,1
awareness and need of preventing security breaches and malicious attacks are soaring higher than,1
ever More and more companies start to strengthen the security of their products and services To,15
fulfill such security requirements our subsidiary PUFsecurity provides PUFbased hardware security,1
IP solutions to the customers for various application scenarios Our robust security solutions can,1
help customers to sustain their development and operations by preventing costs and damages,15
Based on eMemorys NeoPUF technology PUFsecurity developed the PUFrt the worlds first,18
quantumtunneling PUFbased rootoftrust IP and the PUFcc the highsecurity PUFbased crypto,18
coprocessor PUFrt combines essential security functions including unique ID true randomnumber,1
generator and secure key storage in one macro to meet chip designers need for a rootoftrust On,1
top of the functions mentioned PUFcc also provides essential cryptographic engines creating a,1
In 2021 PUFrt passed the Riscures Security Certification while PUFcc was certified through the,1
Cryptographic Algorithm Validation Program CAVP by the National Institute of Standards and,1
Technology NIST These serve as the guarantee for chips and systems that use our products,15
Customers and chip designers could easily develop products that meet the security standards by,1
using our certified security solutions that comply with international safety regulations It could not,14
only help to minimize security risks but also save time and resources needed during the product,1
eMemory believes in innovation and continual progress Since eMemory was founded in 2000,4
innovation has always been one of the core values that we possess From our first NVM solution,15
NeoBit to our latest PUFbased IP solutions we continue to provide fullservice solutions integrating,1
our innovative technology from the initial design stage to our customers Following our,15
breakthrough with NeoBit NeoFuse NeoMTP NeoEE and NeoPUF have all seen great success By,4
offering customized macros which meet product specification requirements eMemory helps,15
customers save timetomarket and development costs that further purses sustainable success in,15
the industry These are all reasons that explain why there are so many companies choosing eMemory,18
By continually striving to improve our competitiveness we have established a great brand image,4
domestically and internationally Due to the pandemic working from home and participating in,2
virtual events have become the new norm of life eMemory and our subsidiary PUFsecurity have,18
adopted such a norm and keep on delivering our brand and innovations to the world by actively,15
participating in domestic and foreign virtual forums and seminars and hosting technical webinars for,12
In 2021 we participated 12 virtual forums hosted by foundries and a couple of international,12
technical seminars to actively promote our brand image and reputation In addition we hosted five,3
technical webinars sharing how our IP solutions are used in various applications such as AI Chip,1
eMemory prioritizes playing an active role in the development of product and application trends,15
with local and international associations in the industry Our involvement is not only beneficial in,12
maintaining positive cooperation with other industry leaders but also in fostering technological,12
innovations across the community We participate in annual events contributing to panel sessions,15
providing keynote speeches and offering our expertise to help resolve the challenges encountered,10
Taipei Computer Association TCA Taiwan Semiconductor Industry Association TSIA Taiwan IoT Technology and Industry Association,12
eMemorys business model is different from the typical business model of our peers It is based on,3
a triangular relationship between design houses the foundries and ourselves,4
When eMemory licenses its technology to a foundry the foundry partner then pays a license fee for,12
the technical setup and license grant For design houses either a usage fee or NRE fee is collected,12
when a complete design is licensed Technology license fees usage fees and NRE fees are all,12
categorized as upfront fees by eMemory Later when a product is tapedout or massproduced,15
eMemory receives running royalties from our foundry partners based on the contractually agreed,12
