paragraph,predict_label
This is the Corporate Sustainability Report in both English and Chinese published,3
by Wistron Information Technology Services Wistron ITS This report contains,1
the sustainable strategies of Wistron ITS on Environment Social Engagement,10
and Governance ESG we hope this transparent disclosure of data will allow,0
stakeholders that care about Wistron ITS to gain a better understanding of our,10
The scope of this report covers Wistron ITS Taiwan China,12
The scope of the data in this report covers economic environmental and social,10
performance The methods of calculation are detailed in each chapter The,12
financial data in this report were compiled in accordance with the International,12
Financial Reporting Standards IFRS with the currency applied being NTD,12
Standards of compilation and guarantee this report follows the guidelines of,12
Taiwan Stock Exchange Corporation Rules Governing the Preparation and Filing of Sustainability Reports by TWSE Listed Companies,12
They are based on the consolidated fiscal reports audited and cosigned by,12
The information and data in this report were provided by the respective,22
KPMG Taiwan and conform to the data reported in Wistron ITS public annual,12
departments We collected domestic and international economic environmental,12
reports There were no significant changes in the organization and supply chain,17
and social sustainability issues and understand the issues of concern to various,10
in the scope of this report and no information has been restated,12
stakeholders through multiple channels The ESG task force consolidated the,12
The Corporate Sustainability Report of Wistron ITS is published once a year The,3
report covers the period of January 1 to December 31 2021,12
data and used the process of discussion and systematic analysis to identify the,12
major themes related to the company Based on the themes the ESG task force,3
collected management and performance information and submitted them to the,12
ESG Implementation Office to review the accuracy of the content and compiled,12
a formal report We hope that a more transparent and complete disclosure,0
t h i s R e p o r t,12
of information will allow our stakeholders to better understand Wistron ITS,12
performance and achievements in corporate sustainability in 2021,3
Should there be any questions comments or suggestions regarding this report,12
feel free to let us know through the following channels,22
Address 32F No 93 Sec 1 Xintai 5th Rd Xizhi Dist New Taipei City 221 Taiwan,12
Top 5 of companies listed in the Corporate Governance Review,12
Top 5 of Small and Medium Cap Group in Corporate Governance Rating,18
n S u s t a i n a b,12
Top 5 of Small and Medium Cap Group in the 7th Corporate Governance Rating,18
Top 5 of companies listed in the 7th Annual Corporate Governance Review,18
No anticompetitive or antitrust violations in the past three years,0
The total revenue of Wistron ITS in 2021 was NT6178 billion,12
A 21 increase compared to the year before,12
The total energy consumption in 2021 for Taiwan was reduced by 114 compared to 2020,24
Total emissions in 2021 for Taiwan decreased by 129 compared to 2020,25
The male to female mid to senior level,8
The starting salary for new graduates in Taiwan is 22x that of the legal minimum salary,11
The starting salary for new graduates in China is 505x that of the legal minimum salary,11
K e y P e r f o r m a n c e s,12
Wistron ITS responded efficiently to the pandemic and the market in 2021 and,13
returned to the path of rapid revenue growth Demand in the Greater China,12
market continued to be strong and was the main driver of overall revenue growth,4
while business in Taiwan grew steadily In China we successfully tapped into our,3
target customer segments with the contribution from quality customers revenue,3
grew quarter by quarter and reached a record high in 2021,18
Over the years Wistron ITS has been cultivating the IT service field and has,2
developed the ability to provide global product services and crossregional,15
software development management and operation mechanism as well as,12
mastered the key technology service capabilities and successfully established,1
a crossregional integration and global delivery of software engineering,3
development system In 2021 we were selected as the only information service,1
provider to receive the Sixth Taiwan Mittelstand Award among 160 companies for,17
our outstanding IT services and global software delivery capabilities,1
As we are committed to corporate sustainability apart from focusing on our main,3
business operations and continuing to deliver the best possible performance we,3
also focused on sustainable development and ESGrelated issues We continue,10
to focus our efforts on the environment society and corporate governance In,12
regards to the environment we aim to become carbon neutral in response to,23
climate change and our clients initiatives to achieve 100 carbon neutrality in,13
A M e s s a g e,12
t h e C h a i r,12
In regards to society we are focused on creating a happy work environment and,10
At the same time the digital employee service platform provides a friendly,15
promoting social diversity and inclusion At Wistron ITS we encourage our female,8
work environment and smooth workflow allowing employees to focus on the,11
colleagues to excel in their work We aim to promote and advance their careers,8
production of work results and reducing the burden of related administrative,15
As of the end of 2021 the percentage of female executives among all executives,8
matters This year we will enter the second phase of digital innovation to,15
was 461 and the percentage of female colleagues among all employees,8
enhance operational efficiency through further optimization and development,24
was34 These numbers are a testament to the fact that we encourage women,8
to join our company and recognize their performance which in turn leads to our,4
diverse and inclusive work environment and corporate culture,8
Looking ahead in 2022 as the use of emerging technologies will become more,15
and more widespread and technology will enter the daily life of people the global,15
information service industry will develop strongly and all industries will be in need,1
In terms of corporate governance we have actively implemented and,12
of software engineering We are confident in the future of the information service,1
strengthened corporate governance in recent years enhancing the functions,12
industry and aim for double growth in revenue and profit While we are working,4
and diversity of the Board of Directors focusing on stakeholder communication,8
to actively improve our operational performance we will also strive to protect the,3
and gradually promoting the improvement of systems and regulations to ensure,12
environment and care for society while responding to stakeholder needs with,10
the implementation of the spirit of corporate governance the protection of,12
authenticity We will continue to create positive impacts for society create an,10
shareholders rights and interests and the pursuit of sustainable operation In,10
2021 Wistron ITS was ranked among the top 5 of listed companies in the,18
7th Annual Corporate Governance Review 2020 and among the top 5 of,12
listed companies in the small and medium cap group making it one of the top,18
corporate governance companies among the 1730 listed companies We are,18
fully committed to achieving the highest corporate governance goals,12
IT technology and services are Wistron ITS core competencies In the past,3
two years Wistron ITS has started its digital innovation and built an operation,15
support and digital system to support its 20000 employees with the aim of,8
promoting and supporting the regrowth of the Company The initial results have,18
been made allowing Wistron ITS to provide onestop services to clients more,6
A M e s s a g e,12
t h e C h a i r,12
The Structure and Operation of Sustainable Governance 27,12
c o n t e n t s,12
The core values of Wistron ITS are Respect Clients Integrity Innovation and Excellence Our vision is to adapt to the needs of the international market to stand firm in Asia and to become,3
the leading global IT service provider In response to the international environment and industry development government regulations and policies Wistron ITS has been communicating and,12
cooperating with key stakeholders such as customers employees shareholders government suppliers and the general public on the path to sustainable development We have adopted the,17
five strategic axes of Sustainable Governance Friendly Workplace Social Engagement Environment for All and Digital Innovation as the direction for sustainable development and have,10
aligned these with the United Nations Sustainable Development Goals SDGs We will continue to deepen our environmental E social S economic and governance G initiatives in the,10
hope of creating more sustainable values for society and stakeholders,10
Note 1Water consumption intensity is water consumption per unit revenue,20
2Waste intensity is waste production per unit revenue,19
In 2015 the United Nations passed the Sustainable Development Goals SDGs Wistron ITS recognizes and supports the SDGs and comprehensively examines the relevance of the SDGs to,10
Wistron ITSs operations focusing on and responding to the following,5
Wistron ITS has long promoted electricity conservation making good,24
use of natural lighting in the office environment and using energy,24
efficient lighting fixtures to save energy and reduce carbon emissions,24
Wistron ITS has implemented energy management greenhouse gas,25
management as well as recycling measures The company promotes,15
the reduction and reuse of plastics and is gradually moving towards a,15
Each year Wistron ITS identifies its greenhouse gas emissions,25
identifies and ranks the relevant risks through a climate change risk,13
matrix evaluates the possible impact of key risk factors on Wistron,18
ITS operations and takes stock of strategies to address them,3
Wistron ITS advocates for environmentally friendly actions organizes,15
trailbeach cleanup activities and raises funds for tree planting,23
Internally Wistron ITS has set up a Talent Recruitment and Employee,8
Service Center to care for its employees and provide annual health,9
checkups with dedicated staff responsible for labor safety and,9
Social Participation and Care activities such as blood donation,2
Wistron ITS has established a comprehensive education and training,2
framework offering training courses for different job levels with,2
external lecturers This is to help employees develop their potential,8
and find the best job fit We also leveraged our professional expertise,8
to offer programming lessons to schoolchildren in rural areas,2
There are breastfeeding rooms at Wistron ITS and the ratio of men,2
to women in supervisory positions is equal The relevant rules and,11
regulations are based on the principles of respecting human rights,10
Wistron ITS is committed to the sustainable growth of operational,3
performance providing a compensation and benefits system that is,11
superior to the Labor Standards Act creating an inclusive and friendly,11
the Talent Recruitment and Employee Service Center and the 8855,8
Wistron will combine the experience of working with our clients,8
to brainstorm and propose innovative solutions to strengthen the,3
In order to fulfill our corporate sustainability responsibility and contribute to economic environmental and social progress for sustainable development the Board of Directors of Wistron ITS,10
adopted the Code of Practice for Sustainable Corporate Development in May 2016 We have committed our company to actively practice corporate social responsibility while engaging in,10
