paragraph,predict_label
Building Taiwans First 10 nmClass DRAM FAB with SelfDeveloped Technology,4
In 2021 the world was ravaged by COVID19 pandemic and geopolitical tensions that have created serious challenges for many industries across the globe Nanya Technology has further strengthened our preventative measures to protect our employees and the continuity of our FAB operation with strong effortswe have flexibly adjusted operational strategy to minimize external impacts and successfully achieved nine consecutive years of profitability Thanks to the joint efforts of the management team and all employees and deeply grateful for all the support and recognition of every sector,18
Innovation is Nanyas longterm strategic goal and core value which is the foundation of our developments for advanced process technologies and new generation products and well positions us as a key memory supplier With accumulating RD experience and cultivating excellent technology team we successfully transformed into a selfdevelopment process technology IDM company In 2021 Nanya has completed the firstgeneration 10nmclass process technology 1Anm and product verification and scheduled forvolume production in 2022 The secondgeneration 10nmclass process technology 1Bnm is under development and trial production is expected to begin in 2022 1Bnm process technology will improve energyefficiency by more than 60 Furthermore Nanya has introduced AI smart manufacturing to improve our automated production We developed 70 AI applications and cultivated 350 AI specialists in 2021 which comprehensively improved our process efficiency and production capacity making AI a driving force for adding value to production In order to enhance the future competitiveness of Nanya and meet longterm development needs we also planned invest NT300 billion for Taiwans first 10nm DRAM FAB and volume production is expected to begin in 2025 and will create 3000 employment opportunities driving economic and local development in Taiwan,15
DRAM become a critical component for the smart era We have developed advanced and high performance ecofriendly DRAM products to meet the needs of the market and our customers All of our products integrate life cycle thinking and designs for the environment from the early design stages In 2021 our energysaving products accounted for 87 of our total revenue and helped customers save approximately 71217 million kWhof electricity over the year allowing our innovative green products and technologies to make quantifiable contributions to the environmentNanya is also actively implementing cleaner production practices and incorporating green management into our business operations We implemented 33 energysaving action plans in 2021 saving over 759 million kWh of electricity With regard to renewable energy we purchased 104 million kWh of electricity from onshore wind farms in 2021 and will continue to purchase renewable energy eg solar power or offshore wind power in 2022 We expect that our renewable energy consumption will reach 250 million kWh within 10 years start from 2023 moreover we will continue to make efforts toward RE 100 initiatives and work toward SBT ScienceBased Targets,24
Talents are the foundation of a companys innovation operation and sustainable development We have implemented various methods to deepen the core values and management ideals of integrity and responsibility efficiency and innovation and sustainable management and plan to unite our employees while building a business that is a source of prideIn 2021 we established We Together We Learn We Grow plan which stepped up the cultivation and development of comprehensive talent so that internal knowledge and creativity could sprout Compared to 2020 the average number of training hours per employee increased 325 to 416 hours in 2021the highest in the past four years Furthermore demand on talent has increased in the memory industry due to the rapid growth of the semiconductor industry In response Nanya signed an agreement with Chang Gung University to establish a masters program on memory technology Students that enroll in the program not only receive a large scholarship but also have a job waiting for them when they graduate Nanya hopes to enhance the international competitiveness of Taiwans memory industry through talent cultivation recruitment introduction gathering and retention and hopes to provide more learning support and planning options for students,8
In addition to following our own path to sustainability Nanya is also collaborating with our upstream and downstream partners to move forward as one towards sustainability We are guiding 295 suppliers towards our ideas of sustainability and 100 of our partners have cosigned the Nanya Corporate Social Responsibility Guarantee We have assisted our suppliers in implementing sustainable improvements through guidance and audits which have resulted in tangible improvements that have been completed across our supply chainIn 2021 we continued to host supply chain seminars Furthermore we have also jointly promoted human rights and environmental projects with suppliers In terms of social projects we assisted in refunding migrant workers a total of NT451million in 2021 In terms of environmental projects we lead 14 suppliers to promote energy conservation projects and saved 3315 MWh in 2021 Nanya will continue to exert its influence to strengthen partnerships with suppliers and further improve the sustainability performance of the overall value chain,17
Facing the global economy uncertainties in 2022 Nanya will continue to utilize our team wisdom to enhance our innovation and RD capabilities and will strive to achieve sustainable development through three strategies Creating Shared Value Promoting Sustainable Mutual Prosperity and Achieving Sustainable Development Our vision is to become the Best DRAM Partner for Smart Worldwe are committed to working closely with our global partners and stakeholders on the path towards sustainable development This will further strengthen our competitive advantages and leadership in the global semiconductor industry,4
Nanya continued to monitor the spread of COVID19 through its Epidemic Response Team in 2021 to protect employee health and maintain a safe work environment We also implemented a number of epidemic prevention and response measures and collaborated with the medical team of Linkou Chang Gung Memorial Hospital in setting up a screening station providing over 5552 people including employees and contractors with free rapid testing services In addition Nanya donated 3200 rapid test kits to the New Taipei City Government and 2000 epidemic prevention user packs to Cardinal Tien Hospital Furthermore we also helped schools in rural areas of New Taipei City purchase live streaming equipment achieving interschool colearning and digital equality in distance learning during the pandemic benefiting 2000 students,5
As a responsible corporate citizen Nanya considers ESG to be an important commitment of companies and continues to dedicate efforts to sustainable development in fact our sustainability performance has been recognized in Taiwan and overseas This shows that Nanya has achieved a balanced development of its business performance and ESG In terms of international recognition Nanya was awardedthe DJSI World Index and Emerging Markets Index ranked 1st in the global memory industry in 2021 We were also recognized with the CDP Climate Change Evaluations highest honor A List Leadership Level for the second year and were awarded the MSCIFTSE4Good Emerging Markets Index for the fourth consecutive year In terms of domestic recognition Nanya received the National Enterprises Environmental Protection Award and the Green Factory Certificate We were also recognized with the Most Prestigious Sustainability Awards Top Ten Domestic Corporate Award from the TCSA the ESG Integrated Performance Award from Global Views Monthly and wereawarded the FTSE4Good TIP Taiwan ESG Index for four consecutive years In addition we ranked in the top 5 of the Corporate Governance Evaluation for the fourth time and were selected for the CommonWealth Magazine Sustainable Citizen Award,13
Internal employee substitution rate for job openings continued to reach a new high,8
RD expenses accounted for 88 of revenue and RD personnel accounted for 268 of employees,11
Reduced VOC emissions per unit capacity by 463 compared with 2017,21
Greenhouse gas verification in the factory area and coverage rate of climate change risk identification,25
An Active Participant in Giving Back to Society,10
Number of hours invested by Nanya in social engagement,10
Held 44 talks with a total of 2964 participants,12
Used fair trade coffee and assisted community development and economic growth in the Third World,10
Critical suppliers completion of selfevaluation questionnaire nsustainability issues,17
Accumulated amount of refunds to migrant workers of suppliers,11
Electricity saved through asking suppliers to implement energysaving projects,24
Inclusion as a Constituent of the DJSI World Index and DJSI Emerging Market Index,18
Customers are satisfied with the overall performance of Nanya,4
Top 5 in the 8th Corporate Governance Evaluation of TWSE Listed Companies,18
World Index Emerging Markets Index Ranked 1st in the global memory industry,18
Bronze Class Medal in the Sustainability Yearbook 2022,3
Climate Change A List Water Security Leadership Level,13
Prime Status by the Institutional Shareholder Services ISS ESGs Corporate Rating,4
2021 National Enterprises Environmental Protection Award from the EPA,23
2021 Green Factory Label by Industrial Development Bureau Ministry of Economic Affairs,12
Top 5 in the 8th Corporate Governance Evaluation Taiwan High Compensation 100 Index Taiwan Employment Creation 99 Index,8
Health Promotion Administration Badge of Accredited Healthy Workplace,9
FTSE4Good Emerging Markets Index FTSE4Good TIP Taiwan ESG Index,18
Top 10 TCSA ModelCorporate Sustainability Report Platinum Award Climate Leadership Award Social Inclusion Leadership Award Information Security Leadership Award Growth in Innovation Leadership Award Talent Development Leadership Award Circular Economy Leadership Award Supply Chain Leadership Award,17
Feature Stories Towards a Future with Net Zero Emissions Commitment to the SBT and being geared to RE100 with the Goal of Achieving Net Zero Emissions by 2050,25
