paragraph,predict_label,count,different,empty,diff rate,empty rate
ESG Report will be available at eMemorys website and Market Observation Post System httpmopstwsecomtwmopswebindex,18,26,diff,empty,0.8213689482470785,0.41235392320534225
2021 was still a challenging year with the COVID19 pandemic While most of the world was adjusting,13,26,diff,empty,,
to the pandemic an outbreak in Taiwan brought unexpected challenges In the face of these,13,26,diff,empty,,
challenges eMemory has worked tirelessly towards achieving our most fundamental responsibility,10,0,diff,,,
We achieved our goal because of our dedication over the last 20 years to building a strong and,10,26,diff,empty,,
resilient company To do so we continue fostering an environment of invention and innovation,3,3,,,,
investing in our employees maintaining an inclusive workplace full of learning and advancing,8,8,,,,
Digital technology is transforming the world at an unprecedented pace presenting some of the,1,26,diff,empty,,
worlds biggest challenges particularly climate change and security issues brought on by the growing,13,22,diff,,,
connectivity of the digital world Our companys core is innovation which is why we continually push,3,3,,,,
ourselves to find ways to work in favor of our stakeholders,10,26,diff,empty,,
Our knowledge and expertise in advanced semiconductor process technologies enable us to provide,15,26,diff,empty,,
customers with highly efficient IPs that remove many of the expensive and intricate processes,4,26,diff,empty,,
required by other logicbased nonvolatile memory solutions on the market Our IPs thus improve,4,26,diff,empty,,
yield and reduces the usage and waste of additional resources necessary to create chips,19,19,,,,
Maintaining sustainable business practices in the long run is also part of our goal We remain,3,11,diff,,,
proactive by continuing to introduce our PUFbased IP solutions to the market and playing a pivotal,1,26,diff,empty,,
role in hardware security We hope that by doing so we not only protect device users from threats,1,22,diff,,,
but also extend the chip life cycle and improve the longevity of each device,15,26,diff,empty,,
I believe in eMemory and the future we can achieve together Our employees expertise and passion,8,26,diff,empty,,
will have a positive outcome and this is what inspires my confidence that we can create a safer and,9,26,diff,empty,,
secure digital world With that I invite you to learn more about how we operate and put our business,1,26,diff,empty,,
to work for our stakeholders in this report,10,26,diff,empty,,
This report aims at disclosing transparent and comprehensive information regarding eMemorys,0,26,diff,empty,,
impacts on economic governance environmental and social sustainability to our stakeholders It,10,0,diff,,,
has been prepared in accordance with the Global Reporting Initiative GRI Standards Core option,12,11,diff,,,
This is an annual report covering information from January 1st 2021 to December 31st 2021 The,12,26,diff,empty,,
previous report which was published in June 2021 is available in both Chinese and English It can be,12,26,diff,empty,,
The scope of this report includes eMemorys facilities in Jhubei City and Hsinchu City Taiwan We,12,26,diff,empty,,
integrated the social and environmental data of eMemory Technology Inc and our subsidiary,10,9,diff,,,
PUFsecurity Corporation in the report The entities included in the consolidated financial statements,18,26,diff,empty,,
are eMemory Technology Inc PUFsecurity Corporation and PUFsecurity USA,18,26,diff,empty,,
Location Rm 305 No 47 Yuanqu 2nd Rd Hsinchu Scince Park Hsinchu City 300 Taiwan,23,26,diff,empty,,
Headquarter 8F No5 Taiyuan 1st St Jhubei City Hsinchu County 302 Taiwan,12,26,diff,empty,,
Products Logic nonvolatile memory NVM silicon intellectual properties IPs,4,26,diff,empty,,
Contact Information Address 8F No5 Taiyuan 1st St Jhubei City Hsinchu County 302 Taiwan,22,26,diff,empty,,
390 million kWh energy saving on end devices,24,24,,,,
0 complaints or penalties on human right related issues,10,10,,,,
Receives TSMCs IP Partner Award for 12 consecutive yesrs,3,26,diff,empty,,
Sponsors NGO Teach for Taiwan for 8 years,12,26,diff,empty,,
0 complaints or penalties on environmental related issues,12,9,diff,,,
Provides scholarship and supports for NTHU for 9 years,2,26,diff,empty,,
