paragraph,predict_label,count,different,empty,diff rate,empty rate
The ASUS Sustainability Report for year 2021 details strategies management structures and achievements made by ASUS in relation to various sustainability initiatives It also demonstrates how we,3,0,diff,,0.8227960819234195,0.3223508459483526
have addressed the expectations of our stakeholders in regard to sustainability initiatives that have been established to protect the environment and to benefit society,23,0,diff,,,
Financial data and other related information including financial summaries and annual reports of 2021 are available on the ASUS investor Relations website,12,10,diff,,,
For other sustainabilityrelated information please visit the ASUS Sustainability website,3,0,diff,,,
The 2021 ASUS Sustainability Report complies with the requirements of new GRI Standards 2021,12,0,diff,,,
as well as to the United Nations UN Global Compact and the Sustainability Accounting Standards,12,0,diff,,,
ASUS entrusts SGS Taiwan Ltd SGS to review the materiality of the report and data against the,0,22,diff,,,
AccountAbility AA1000 Assurance Standard 2008 Type II High Level GRI Standards and SASB to,12,0,diff,,,
ensure ASUS meets the principles for defining report quality of GRI Standards Accuracy Balance,12,6,diff,,,
The scope of the data is the same as the ASUS Group specified in the Annual Report excluding,12,22,diff,,,
subsidiary companies that publish their own Sustainability Reports AAEON Askey and ASMedia,12,0,diff,,,
Technology subsidiaries established for investment or finance and taxation purposes and,12,25,diff,,,
subsidiaries in which ASUS does not have management and controlling rights The scope of data and,12,10,diff,,,
information disclosed is consistent with the Annual Report January 1 to December 31 2021,12,26,diff,empty,,
To provide feedback or to contact us with questions please email us at,22,26,diff,empty,,
Message from the Chairman Message from the Chairman,7,26,diff,empty,,
Message from the CoCEOs Message from the CoCEOs,12,26,diff,empty,,
2021 Achievements in Sustainability 2021 Achievements in Sustainability,15,0,diff,,,
The Covid19 pandemic and climate change have severely impacted global development spurring further,13,4,diff,,,
realization that the uncertainty they have created in our environment economy and society will become the,18,26,diff,empty,,
new normal Extreme weather conditions have affected our environment and tested the resilience of business,3,11,diff,,,
operations while the pandemic has changed the way people work and altered consumer behavior At the,4,26,diff,empty,,
same time it has given rise to new businesses and disrupted existing industries prompting companies to,18,26,diff,empty,,
accelerate the deployment of changes and innovations that they have previously placed on hold,3,26,diff,empty,,
As a leading brand in Taiwans ICT industry ASUS has always regarded environmental and social engagement,10,10,,,,
as a part of our business strategy We advocate strategic sustainability with a focus on fundamentals and,3,0,diff,,,
results With technological advantages and innovative development we use scientific datadriven evaluation,12,4,diff,,,
as the fundamental approach to constantly evolve and pursue excellence ASUS concentrates on the four,8,26,diff,empty,,
sustainability focuses of climate action circular economy responsible manufacturing and value creation while,13,15,diff,,,
also formulating new green actions to increase competitive advantages and grow with greater sustainability,4,0,diff,,,
Last year ASUS officially committed to strengthen our RD efforts to further increase product energy efficiency,24,24,,,,
to a level that is on average 30 higher than the specifications of Energy Star the strictest environmental,15,9,diff,,,
standard Furthermore we are leveraging the influence of the ASUS brand to drive key suppliers to achieve a,17,26,diff,empty,,
30 reduction in carbon intensity ASUS has also committed to using 100 renewable energy in our Taiwan,24,24,,,,
based operations centers by 2030 and global operations centers by 2035 with the aim of fostering similar,3,26,diff,empty,,
actions throughout the industry and promoting a positive impact on the environment To achieve net zero,10,10,,,,
carbon emissions throughout our value chain ASUS has set sciencebased targets with a threestaged,25,21,diff,,,
implementation approach of enhancing energy efficiency expanding the use of renewable energy and,24,24,,,,
Our sustainability strategy of focusing on fundamentals and results has received widespread acclaim In,3,0,diff,,,
addition to being included in several responsible investment indexes ASUS was recognized as Asias Most,12,26,diff,empty,,
Socially Responsible Company in 2020 the first time a company in Taiwan has been awarded this distinction,10,26,diff,empty,,
This year we received the Silver Award for Best Sustainability Report Large Company Gold Award for,3,0,diff,,,
Best Environmental Impact Reporting and Silver Award for Best Supply Chain Reporting in the 2021 Asia,17,9,diff,,,
Sustainability Reporting Awards These recognitions affirm our efforts in identifying the impact and challenges,3,10,diff,,,
of material issues through sustainability strategies continuous innovations to incorporate sustainability in core,15,0,diff,,,
operations performance achievements in past years and transparency in disclosure ASUS was also selected,0,12,diff,,,
by the Financial Times Nikkei Asia and Statista as one of the climate leaders in the Asia Pacific region in 2022,13,25,diff,,,
Thanks to the support of industry leaders I was elected as the ninth President of the Taiwan Business Council,3,26,diff,empty,,
for Sustainable Development BCSD Taiwan in August of last year It is my aspiration to help companies,3,4,diff,,,
in Taiwan spearhead their sustainability transformations by connecting with international sustainability,3,0,diff,,,
trends and standards establishing strategic cooperation networks and adopting practical solutions to spark,12,4,diff,,,
innovation and strengthen resilience We will also continue to invest in lowcarbon sustainability for future,3,3,,,,
generations while creating and leveraging synergy through diverse cooperation and value creation across,8,26,diff,empty,,
The challenges ahead will only be more diverse and difficult We adhere to our corporate culture and promote,8,8,,,,
a humancentric design thinking concept to provide customers with the best experiences We will continue,15,26,diff,empty,,
to strengthen the core competencies of the company and cultivate exceptional talent for ASUS to fulfill our,4,8,diff,,,
business philosophy of striving to be among the worldclass green hightech leaders and to provide valuable,3,26,diff,empty,,
If 2020 was a year of upheavals 2021 was a year of innovation and resilience for ASUS The company has,3,3,,,,
continued its outstanding performance in business operations during the pandemic We have won first place,18,8,diff,,,
in the Interbrand Best Taiwan Global Brands for the eighth time and have ranked in Fortunes Worlds Most,4,26,diff,empty,,
Admired Top 50 AllStars for the seventh time These achievements would not have been possible without,4,26,diff,empty,,
the dedication and hard work of all employees and the cooperation of our partners in the industry ASUS,10,26,diff,empty,,
has already achieved outstanding results in sustainability operations but we hope to continue connecting,3,0,diff,,,
sustainability issues with digital transformation in order to further contribute to society and the environment,10,0,diff,,,
We need innovative ideas and advanced technologies to create new solutions in the new digital economy,3,26,diff,empty,,
thats why ASUS established the Innovative Development Office We understand that innovation must be,15,3,diff,,,
achieved with structural changes that reflect the changing times and industry and we leverage internal,18,26,diff,empty,,
innovation to ensure the continuous advancement of the company We aim to adopt openminded innovation,15,3,diff,,,
and investments in external innovative technology to create shared value with business partners ASUS,3,26,diff,empty,,
regards innovation as an indispensable foundation for progress sustainable development and increased,15,3,diff,,,
We actively support innovative ideas and talent cultivation and we foster close collaboration with industry,8,8,,,,
government and academia to expand digital transformation In December 2021 ASUS and National Taiwan,12,26,diff,empty,,
University established the ASUSNTU Joint Research Center to encourage business units to leverage industrial,4,4,,,,
academic collaboration or strategic alliances to actively develop key technologies and expand new businesses,2,8,diff,,,
We shall focus on advanced electromagnetics nextgeneration computers the Internet of Things Io and,4,26,diff,empty,,
artificial intelligence AI with the aim of setting a new model for Taiwans industrialacademic collaboration,4,8,diff,,,
We shall help Taiwan enhance its RD capacity and establish its position in the global science and technology,12,26,diff,empty,,
community and cultivate a new generation of RD talents,8,10,diff,,,
The Glasgow Climate Pact reached at the COP26 Climate Summit in 2021 has accelerated the implementation,13,25,diff,,,
of climate action As befits a leading global technology company ASUS joined the RE100 global renewable,13,25,diff,,,
energy initiative in 2021 a milestone for our carbonreduction ambitions In the same year ASUS joined the,24,24,,,,
Taiwan Climate Partnership as one of the founding corporate members We shall consolidate the strengths of,13,10,diff,,,
partners in the Partnership and work with international climate initiatives and organizations We shall also use,13,10,diff,,,
our supplychain influence to promote lowcarbon manufacturing and reduce carbon emissions,17,21,diff,,,
We shall support the final and most important target of the United Nations Sustainable Development Goals,10,4,diff,,,
SDGs to strengthen the means of implementation and revitalize the global partnership for sustainable,12,10,diff,,,
development ASUS believes that it is important to innovate and cooperate with both industry and external,3,4,diff,,,
partners in both business development and sustainability We hope to achieve prosperity and development in,3,4,diff,,,
the entire industry chain creating sustainable development for all,15,4,diff,,,
Silver Award for Asias Best Sustainability Report Large Company,3,0,diff,,,
Gold Award for Asias Best Environmental Impact Reporting,13,9,diff,,,
Silver Award for Asias Best Supply Chain Reporting,17,26,diff,empty,,
ASUS became the first ICT company in Taiwan to receive the Best Sustainability Report Award The,3,0,diff,,,
judges recognized ASUSs achievements in strategic goals for sustainability stakeholder engagement,10,10,,,,
the impact and challenges of material issues and the results and transparent disclosure of its,12,10,diff,,,
ASUS is a global technology leader delivering incredible experiences that enhance the lives of people everywhere World,9,26,diff,empty,,
renowned for continuously reimagining todays technologies for tomorrow ASUS puts users first In Search of Incredible to,15,26,diff,empty,,
provide the worlds most innovative and intuitive devices components and solutions Todays ASUS is more ambitious than ever,15,26,diff,empty,,
unleashing remarkable gaming contentcreation AIoT and cloud solutions that solve user needs and infuse delight,1,26,diff,empty,,
ASUS had about 70 operation offices located worldwide with a total of around 15400 employees that included around 5000,8,26,diff,empty,,
RD professionals and we are driven to become the worlds most admired innovative leading technology enterprise ASUS is,15,26,diff,empty,,
Inspire motivate and nurture our employees to explore their,8,26,diff,empty,,
Commit to integrity and diligence Focus on Fundamentals,0,0,,,,
worldrenowned for continuously reimagining todays technologies for tomorrow and is ranked among Fortunes Worlds Most,3,26,diff,empty,,
ASUS Group consolidated revenue for 2021 was NT5322 billion and net profit after tax was NT466 billion,12,26,diff,empty,,
Worlds best motherboards PCs monitors graphics cards and router,24,26,diff,empty,,
Endlessly pursue the No 1 position in quality speed service,4,6,diff,,,
Strive to be among the worldclass green hightech leaders and,3,26,diff,empty,,
With the concept of sustainability investment institutions consider the performance in corporate governance environment and social as one of the prioritized evaluation items when selecting,12,0,diff,,,
investment targets In 2020 a report issued by the McKinsey group pointed out that 83 of corporate executives and investors believe that environmental social and governance programs will,10,0,diff,,,
ASUS has a designated sustainability unit that has been responsible for related efforts since 2000 At ASUS we strive to be among the worldclass green hightech leaders and to provide valuable,15,0,diff,,,
contributions to humanity In order to fulfill the ASUS vision of becoming the worlds most admired innovative leading technology enterprise we advocate that sustainability performance should,15,0,diff,,,
involve strategic indicators that can be objectively measured By adopting the sustainability strategy of digitize data adopt scientific management practices and optimize core competencies every,3,11,diff,,,
decisionmaking process incorporates environmental and social factors to help keep our competitive advantages focused on sustainability,4,10,diff,,,
Align material topics with latest trends in global,18,4,diff,,,
sustainability goals of Circular Economy Responsible Manufacturing Climate Action and Value Creation,13,15,diff,,,
Using Digitized Data and Scientif ic Management Practices to Support,22,11,diff,,,
Worlds 1st company in electronics industry to receive ISO,14,26,diff,empty,,
ASUS has long been thinking about the sustainable value of the new digital generation In terms of sustainable transformation ASUS,15,24,diff,,,
progressively evolved from being passively compliant to fusing sustainability into the core strategy of operation and a part of value,3,0,diff,,,
creation ASUS promotes grounded sustainability strategies claiming the belief that a corporates core competencies is embodied in,4,0,diff,,,
corporate sustainability and that just like economic performance sustainability performance should be measured and managed We are,18,0,diff,,,
following our sustainability strategy of digitize data adopt scientific management practices and optimize core competencies to create,4,11,diff,,,
sustainable value creation in order to implement longterm environmental and social projects In this way we are gradually improving the,10,9,diff,,,
quality of decisionmaking and are able to estimate the true value of corporate activities,12,6,diff,,,
1st consumer technology company in Asia to publish a Social Return,10,10,,,,
Worlds 1st consumer IT headquarters to receive Zero Waste to,19,19,,,,
The COVID19 pandemic has swept the world since 2019 expanding the demand,13,4,diff,,,
Prevention Plan for Severe and Special Infectious Virus,1,9,diff,,,
for global digital transformation In addition to the entire online and offline sales,6,26,diff,empty,,
and service channel ASUS is more active in creating the field of AIOT Deeply,12,6,diff,,,
cultivate innovative applications such as smart manufacturing smart healthcare,15,24,diff,,,
and smart city At the level of operation management ASUS regards protecting the,3,11,diff,,,
health and safety of its employees as its primary responsibility With the pandemic,9,6,diff,,,
prevention team as the management unit we formulate pandemic prevention,5,9,diff,,,
plans and staggered shift for attendance as well as enable employees to choose a,11,26,diff,empty,,
more flexible work style according to their needs In addition ASUS combined with,15,26,diff,empty,,
core products or key technologies donated antipandemic materials for industries,15,26,diff,empty,,
Establish the pandemic prevention level and the company WFH staggered shift system,5,9,diff,,,
Set a body temperature sensor with swipe card attendance system,24,26,diff,empty,,
Regular pandemic prevention and health education advocacy public area environmental disinfection and preparation of pandemic prevention supplies,5,9,diff,,,
Master the vaccination of employees and for business trips,9,26,diff,empty,,
Notify the emergency response center and employees supervisor within 24 hours after finding the person with suspected confirmed infection,5,9,diff,,,
Master the treatment status of the person with confirmed infection,9,20,diff,,,
