paragraph,predict_label,count,different,empty,diff rate,empty rate
In 2021 Acer launched the Earthion initiative This initiative is aimed at helping solve the environmental challenges faced by modern humanity through innovative integrated solutions That same year Acer began to realize this commitment through the launch of its rst environmentally friendly notebook the Aspire Vero Built around sustainability expandibility and upgradability it is a reection Acers commitment to sustainable operations,15,0,diff,,0.7766768292682927,0.1722560975609756
PostConsumer Recycled PCR Made from postconsumer resins PCR plastics are ecofriendly more sustainable and reduce landll waste,19,19,,,,
Upgradable Laptop For easy repairs upgrades and recycling we use standardized screws,15,19,diff,,,
30 PCR Materials From our top and bottom cover screen bezel and operating surface we proudly use PCR,24,26,diff,empty,,
PaintFree The paintfree chassis lowers the negative impact of VOCs,24,10,diff,,,
In this report you can learn more about Vero,12,26,diff,empty,,
50 PCR Keycaps We were able to go a step further and raise the PCR content to 50 in our keycaps,12,26,diff,empty,,
Reduce Reuse Recycle Mirrored R and E keys reinforce the crucial message,15,19,diff,,,
Acer continues to evolve with the industry and lifestyle changes which we believe is the key to creating business growth and sustainability in the long term A fundamental concern across all industries the subject ofclimate change has become more critical than ever In 2021 we declared our mission to help tackle environmental challenges with the Acer Earthion platform that unites the strengths of our employees and supply chain partners to eectively expand the social impact of our sustainability eorts In the same year we renamed our sustainability taskforce as Acer ESG Oce which not only reects how we embed environmental social and governance ESG into our corporate actions but also how the oce serves as a platform for collaboration with our stakeholders and a catalyst for sustainable innovation,17,10,diff,,,
Many goals and commitments were set in 2021 among them we joined the RE100 initiative and pledged to source 100 renewable energy by 2035 We set a goal to reduce average personal computer energy consumption by 45 by 2025 compared with 2016 As an advocate for circular economies Acer launched the Vero line of green laptops desktops displays and accessories which utilize recycled plastic recyclable packaging and oceanbound plastic waste These commitments also respond to the UNs SDG 12 for responsible consumption and production and SDG 13 for climate actions Since our adoption of the global disclosure system of the Carbon Disclosure Project CDP in 2008 to manage the environmental impacts of our supply chain we have expanded the system to two tiers of supplier engagement and plan to expand to three tiers of suppliers in 2022,17,24,diff,,,
For the fth straight year Acers global ESG Project Awards highlighted the social responsibility initiatives and the passion from our employees worldwide As a technology company our projects sought to promote digital equity and break barriers between people and technology With focuses on education and the environment Acer has been helping disadvantaged groups such as providing computers for the blind and teaching them to use assistive technology and refurbishing computers and providing literacy education for veterans to help them get into the work force Our employees have also initiated various green actions such as planting tens of thousands of trees in collaboration nonprot groups to protect the environment,10,10,,,,
ACER BELIEVES THAT IT IS EVERYONES RESPONSIBILITY TO DO THE RIGHT THING FOR A GREENER ENVIRONMENT,23,0,diff,,,
In regards to geopolitical and social impacts our priority is always the safety of our employees and their families As the Covid19 pandemic lingers on our company has been working hard to help people cope with the challenges by providing them with the technology to stay connected for study work or in touch with their loved ones,10,11,diff,,,
Acers strategy to maintain sustainable operations by building multiple business engines continues to gain momentum and has seen viable growth by contributing to 176 of Acers overall revenues in 2021 Importantly our shareholders have the opportunity to invest in the new engines as they go public so that shareholders can have their share of voice and be part of the business development and ensuring that we adhere to proper governance,3,4,diff,,,
