paragraph,predict_label,count,different,empty,diff rate,empty rate
Compal and Stakeholders Communication and Negotiation with Stakeholders,10,8,diff,,0.7955555555555556,0.3413333333333333
Appendixes Penalty records related to the violation of,0,26,diff,empty,,
Since 2010 Compal has published 11 corporate social responsibility reports which focus on the ac tivities and performance in the areas of corporate governance supply chain management envi ronmental protection employee relations social participation and others in recent years This report is available in Traditional Chinese Simplified Chinese and English and is disclosed on the Compal Social Responsibility Sustainabil ity Website for stakeholders to download,10,10,,,,
Report Publication Current Version June 2022 Previous Version June 2021 Next Version June 2023 Publisher Chairman ShengHsiung Hsu Rock Hsu Vice Chairman Jui Tsung Chen Ray Chen,12,26,diff,empty,,
Chief Editor Commissioner ChungPin Wong Martin Wong Sustainability Committee,3,0,diff,,,
Editorial Team Members Human Resources and Administration Group Accounting Group Auditing Office Investment Planning and Management Office Patent Technology Department Information Security Team Green Sustainability Office Safe ty Department Green Department Sales Division Procurement Group 6sigma core team Occupational Safety and Health Office TaiwanOver seas Factory Affairs Department and relevant departments contents of the report are prepared and edited by the Sustainability Office,9,6,diff,,,
Scope of Report The financial data in this report are from subsidiaries disclosed in the an nual financial report including but not limited to Arcadyan Technology Corporation Compal Broadband Networks Inc and HengHao Technolo gy Co Ltd Some affiliated companies have published their own Sustain ability reports The remaining nonfinancial contents of this report cov er the three major business groups of Compal the Personal Computer Business Group PCBG the Smart Device Business Group SDBG and the Global Operations Business Department GOBG located in the Tai wan Headquarters Neihu Linkou and Pingzhen Guanyin Chinese plants Kunshan Chongqing Chengdu and Nanjing and Vietnamese and Bra zilian plant in America,18,22,diff,,,
Reporting Period From January 1st 2021 to December 31st 2021,12,26,diff,empty,,
Previously Published Reports Please download previously published re ports from the Compal Social Responsibility Sustainability Website,10,10,,,,
Contact Us Compal Electronics Inc CSR Office Address No 581 5811 Ruiguang Road Neihu District Taipei City 114 Taiwan ROC Tel 886 287978588 11034 CSR Commissioner Email compalcsrcompalcom,12,26,diff,empty,,
We sincerely welcome your suggestions so please contact us and we will reply as soon as possible,22,26,diff,empty,,
Report Drafting Principles The Compal Sustainability Report has been prepared in accordance with the GRI Standards Core option framework This material references the Global Reporting Initiative GRI in 2016 for each Standard used following GRI disclosure require ment combined with the Companys annual sustainability goals and issues concerning stakeholders This includes four ma jor contents and six major qualities of the reporting principle The examination organizations in the report are as follows,12,12,,,,
Data and materials are first submitted by rele vant teams and depart ments to ensure content integrity before review by department supervi sors and submission to report editors,0,0,,,,
The team of editors collects and com piles input from relevant stakeholders and Sustainability Committee mem bers to create the framework and outline for the Sustainability report along with the overall editing of the content Major issues should be sub mitted to the Chairman of the Sus tainability Committee for approval,12,0,diff,,,
The draft of the report is submitted to the General managerChairman of the Sustainability Commit tee for review with SGS Taiwan Ltd SGSs engage ment to provide independent assurance based on GRI Standards Core option AccountAbility 1000 Assurance Standards Type 2 Moderate level independent assurance Sustainability Accounting Standards Board SASB Electronic Manufacturing Services Original De sign Manufacturing and Hardware,12,15,diff,,,
The draft is finalized af ter suggestions and re visions from the Chair man of the Sustainability Committee and third parties The SGS assur ance statement is also included in the Appen dixes of this report,12,0,diff,,,
We were awarded the 7th Corporate Governance Evaluation top 620 in Public traded company group which was held by Taiwan Stock Exchange TWSE We were selected into the FTSE4GOOD Index for six consecutive years and in the FTSE4Good TIP Taiwan ESG Index for the forth consecutive years We were reselected as a constituent stock of Taiwan High Salary 100 Index and Taiwan Employment 99 Index We were ranked the Gold Award in the Technology RD of 2021 Happiness Enterprise online voting by 1111 Human resource agency 339th of Fortune Top 500 1314th of Forbes Top 2000 5th in the Top 2000 Manufacturing Industry by Common Wealth Magazine 64th of Common Wealth Magazines Top1000 in China Taiwan and Hong Kong and Common Wealth magazines Taiwan The Compal CSR report in 2021 was certified by SGS Taiwan Ltd by using the assurance standards of the AA1000 and GRI Standards core options Meanwhile the report won the Platinum Medal of 2020 Taiwan Corporate Sustainability Report Award of TCSA We were ranked Taiwan Best of Germany if Product Design Award from 20172021 and 6th of IF Worldwide Design Award,3,11,diff,,,
