paragraph,predict_label,count,different,empty,diff rate,empty rate
Room A 28F Taipei 101 Tower 7 Sec 5 Xinyi,4,26,diff,empty,0.7661654135338346,0.324812030075188
Feature Building a Local Rail Industry Chain Development of High Speed Rail Overhead Catenary System Maintenance Vehicles,24,4,diff,,,
Feature Promoting Coproduction between Steel and Petrochemical Plants,24,26,diff,empty,,
R e p o r t C h i n a S t e e l C o r p o r a t i o n,12,26,diff,empty,,
The 2021 CSC Sustainability Report has been prepared in accordance with the GRI Standards Core options and Taiwan Stock Exchange Corporation Rules Governing the Preparation and Filing of Sustainability Reports by TWSE Listed Companies It also refers to the OECD Guide lines for Multinational Enterprises the UN Global Compact UNGC the UN Sustainable Development Goals SDGs ISO 26000 Guidance on Social Responsibility Sustainability Accounting Standards Board SASB and nonfinancial disclosure of the steel industry,12,10,diff,,,
This report is issued once annually and the current issue of this report covers CSCs operational systems and practices in the 2021 calendar year with a special focus on CSCs management approach and perfor mances on material topics,3,11,diff,,,
Data and information presented in this report were supplied by CSC,22,22,,,,
departments with the approval of respective Directors The initial draft,7,26,diff,empty,,
compiled by the Environmental Protection Dept was reviewed by the,23,9,diff,,,
sustainability reporting group It was confirmed through a rigorous,12,0,diff,,,
administrative procedure before being finalized and was approved by,12,26,diff,empty,,
the Chairman for publication This report was assured by BSI in adher,12,26,diff,empty,,
ence to AA1000 Assurance Standard v3 as conducted in accordance,12,26,diff,empty,,
with Type 1 moderate level of assurance while part of the data complies,18,22,diff,,,
with Type 2 high level of assurance Please see the appendix 1 GRI,12,26,diff,empty,,
Standards Index as well as the GRI Standards Core options Financial,12,11,diff,,,
1 Chung Kang Rd Hsiao Kang Kaohsiung 812401,3,26,diff,empty,,
information was extracted from financial reports audited by CPA and,12,26,diff,empty,,
the chapters on Green Process and Occupational Health and,9,9,,,,
Safety were based on related international management systems,9,11,diff,,,
ISO 50001 Energy Management System ISO 14001 Environmental,24,9,diff,,,
Management System and CNS 45001ISO 45001 Occupational Health,9,9,,,,
and Safety Management System etc and externally reviewed,9,11,diff,,,
Includes Human Resources Dept General Affairs Dept Public Affairs,12,10,diff,,,
Dept Corporate Strategy Dept Legal Dept Iron Steel Research,12,4,diff,,,
ing Dept Ironmaking Dept Steelmaking Dept Rolling Mill DeptI Plate Bar Rod Utilities Dept Plant Engineering Maintenance,17,26,diff,empty,,
Dept Electrical Control Dept Production Planning Dept Industrial Safety Hygiene Dept Environmental Protection Dept Internal Audit,9,9,,,,
