paragraph,predict_label,count,different,empty,diff rate,empty rate
Responding to Emerging Risks COVID19 Epidemic Prevention Management 6,5,9,diff,,0.7934537246049661,0.22799097065462753
43 CoCreation of Value with Value Chain Partnerships,3,26,diff,empty,,
21 Integrity Management and Legal and Regulation Compliance,0,12,diff,,,
Financial Data Referred to the nancial report certied by the PwC Taiwan Organizational greenhouse gas inventory ISO 140641 2018 SGS Taiwan Quality Management ISO 9001 2015 SGS Taiwan Environment Management ISO 14001 2015 SGS Taiwan Work Safety and Health Management ISO 45001 2018 SGS Taiwan,25,11,diff,,,
Feedback If you have any question or suggestion for the contents of the report please feel free to contact us Thanks Ms Lu of GIGABYTE Sustainable Development Ofce Address No 6 Baoqiang Rd Xindian Dist New Taipei City 231 Phone 886289124000 ext 3023 Fax 886289124005 email CSRgigabytecom,12,4,diff,,,
Allege Use of Picture from UNs Sustainable Development Goals Pictures of the UNs Sustainable Development Goals used in the report are downloaded from the publicizing materials of UNs Sustainable Development website,10,4,diff,,,
About the Report Reporting Boundaries This report covers the sustainability activities and performance of GIGABYTEs global operational locations from January 1 to December 31 in 2021 including the Headquarters Taoyuan Nanping Factory China Dongguan Factory China Ningbo Factory named GIGABYTE below and inuential subsidiaries in Taiwan GSTYLE LTD GIGAIPC CO LTD and Bestyield International It is different from the scope of the nancial annual report,3,0,diff,,,
The nancial data validation disclosed in the report is from the consolidated nancial report information of GIGABYTE and its subsidiaries for detailed disclosing scope please refer to 2021 GIGABYTE Annual Report The organizational GHG emission inventory and reduction data encompasses the Headquarters Taoyuan Nanping Factory China Dongguan Factory China Ningbo Factory as well as the subsidiaries Bestyield International and GSTYLE Taipei Silicon Valley Ofce The disclosure scopes of other sustainability indicators will be described,25,12,diff,,,
Reporting Principles and Reference Guiding This report has been prepared in accordance with the latest GRI Standards and the Corporate Social Responsibility BestPractice Principles for TWSEGTSM Listed Companies The report also takes reference from international guidelines such as the UN Sustainable Development Goals Task Force on Climaterelated Disclosures TCFD framework and Sustainability Accounting Standards Board SASB Standards to compile and disclose GIGABYTEs corporate sustainability commitments strategies and implementation outcomes for the reporting period,12,10,diff,,,
Issue The Sustainability Report is uploaded to GIGABYTE Sustainability website every year Key extracts from the report are also published on each webpage The latest sustainability news are published through the corporate website as well We invite all stakeholders that take an interest in GIGABYTE to use all the different channels available to learn about our efforts and accomplishments in sustainability,3,0,diff,,,
Issue time September 2022 Last Issue time September 2021 Next issue time Scheduled in September 2023,12,26,diff,empty,,
At GIGABYTE we have always embraced our mission of Upgrade Your Life by growing our core business through innovation and supplying distinguished products as well as intelligent solutions in diverse fields we work closely with customers and supply chain partners to cocreate a sustainable value chain we promote an inclusive workplace look after the health and safety of our employees and give back to society in support of the UN Sustainable Development Goals,9,9,,,,
Despite having to deal with factors such as the restructuring of the global supply chain the COVID19 pandemic international trade conicts and a highly volatile market in the last two years GIGABYTE recorded prot growth by staying true to our philosophy working together as a team and leveraging our strength from years of sustainable operations We are also continuing to expand our capabilities in cuttingedge elds such as AI 5G and cloud services,17,4,diff,,,
Our pursuit of economic performance and technological achievement does not mean GIGABYTE has forgotten our corporate responsibility to the environment and society To reduce the environmental impact of our operations we set ourselves the strategic challenge of a 50 reduction in carbon emissions by 2025 at the same time carrying out internal competitions rewards and activities to encourage employees to think about sustainability in their everyday work Continued improvements to our welfare policy and health support served to provide employees with a happy and safe workplace above all we are working to expand our influence in society and promote a harmonious inclusive society by connecting our many partners with social welfare projects,10,10,,,,
We have never wavered on our journey to sustainability In the future we will set our sights on the four sustainability visions of Zero Waste Zero Pollution Transition to Lowcarbon Technology Leader of Sustainability and Circular Economy and Realization of Humanistic Values We hope to join forces with our upstream and downstream partners in embracing ethical governance environmental friendliness and social care We will continue to respond to topics stakeholders are concerned with concern so that we can do our part for the world and create positive values,10,0,diff,,,
Consolidated revenue was NTD 121905 billion increasing by 4409 compared to last year,12,26,diff,empty,,
Steady Growth in Revenue for 6 Consecutive Years,18,4,diff,,,
Adopted forest land in Pinglin and mobilized value chain partners to plant trees in person to practice ecological conservation Cumulatively planted 14399 trees in Taiwan89399 trees worldwide,23,20,diff,,,
Continuously executing the Sustainability Fund program In 2021 the total reduced emissions by proposals were 956 tonnes bringing cumulative emissions reduction to 4474 tonnes,21,25,diff,,,
Obtained 150 patents in 2021 year Cumulatively 2545 patents obtained to date,4,26,diff,empty,,
Cumulatively received 15667 evaluations and awards to date,12,26,diff,empty,,
Hosted 170 sessions of ethical management and anticorruption training with 3077 participants,0,8,diff,,,
13318 hours of environmental education in the year,2,9,diff,,,
Electronic waste recycle services reduced electronic waste by 6751 tonnes,19,19,,,,
Scored A Leadership in CDP Climate Change evaluation and A in supplier engagement rating,13,8,diff,,,
Target to cut 50 of carbon emissions by 2025 since 2009 and had reached 3885 in 2021,25,21,diff,,,
Corporate volunteers Thousand Mile Trek Go Green Taiwan roundisland and trashpicking project,23,26,diff,empty,,
Accumulative distance 99904 km Service hours 29153 hours Removed trash 1232605 kg,24,6,diff,,,
Additional NTD 3000month in childcare subsidy and up to 2 hours of flextime,2,26,diff,empty,,
Organized the Joint Waste and DollarFree Flea Market to partner with employees communities and NGOs to reuse 178743 kg of goods,19,19,,,,
Hosted 5 types of technology education A total of 174 sessions held with 4811 participants,2,26,diff,empty,,
Supported NTD 48 million in group buys directly from small farmers in the year,12,26,diff,empty,,
Annual Global Views CSR Survey Top 6 in Electronics and Technology Industry be nominated for 6 consecutive years Top 8 in Social Innovation Action Plan,3,3,,,,
2021 Best Taiwan Global Brands Brand value of US75 million,15,26,diff,empty,,
5 products recognized a 30th Taiwan Excellence Awards,15,26,diff,empty,,
Flu Vaccination Friendly and Healthy Workplace Certification Silver Award in Epidemic Prevention Leadership,9,8,diff,,,
A Leadership in 2021 CDP Climate Change achieved a rating of Management or higher for 6 consecutive years,13,8,diff,,,
Excellent Organization in Performance of Blood Donation awarded by Ministry of Health and Welfare awarded for 6 consecutive years,9,6,diff,,,
4 products received 2021 COMPUTEX Design Innovation Award,15,3,diff,,,
Responding to Emerging Risks COVID19 Epidemic Prevention Management,5,9,diff,,,
GIGABYTE makes continuity of operations and safeguarding of employee health our top priority during the ongoing COVID19 pandemic We monitored the latest pandemic development so that the most effective response measures can be adopted in a prudent and exible manner In addition to assessing our nancial operational and information security risks we also strove to protect employees peace of mind at work These included maintaining annual salary adjustments for all employees and providing more COVID19 vaccination leave than required by law We also issued epidemic prevention subsidies that employees could use to support farmers and disadvantaged groups impacted by the pandemic The pandemic is not yet over so GIGABYTE hopes to keep expanding our social welfare efforts and contributions to society GIGABYTE epidemic prevention measures and accomplishments are as follows,9,9,,,,
GIGABYTE Epidemic Command Center was established in January 2020 to track the latest local and international development of COVID19 pandemic as well as make rolling adjustments to epidemic prevention management measures,5,4,diff,,,
Epidemic Prevention Measures in Support of Government Policy,5,9,diff,,,
Employees are encouraged to receive COVID19 vaccine by providing 2 days of paid vaccination leave for 1st and 2nd dose 1 day for booster shot This is better than statutory requirements and will not affect attendance and performance evaluation,2,8,diff,,,
Employees with children receiving COVID19 vaccination may also apply for epidemic prevention care leave,2,9,diff,,,
Each operational sites are regularly and thoroughly disinfected and disinfectant is provided on every oor,19,26,diff,empty,,
Epidemic prevention mechanisms are introduced to public areas the tness center and elevators No visitors or vendors are allowed to enter the building during the peak period of the pandemic,5,9,diff,,,
When necessary implement a split working mechanism and two third of employees work from home,11,11,,,,
Purchase blood oxygen meters and rapid antigen test RAT kits to safeguard employee health,9,9,,,,
