paragraph,predict_label,count,different,empty,diff rate,empty rate
Insurance Product Development 17 and AfterSales Management Process,15,4,diff,,0.8836206896551724,0.15086206896551724
5 Aftersales Services 51 Aftersales Services and Claims 29,4,26,diff,empty,,
With a vision to become the leading financial institution in the AsiaPacific region we have identified three engines of growth Insurance Banking and Asset Management as our core strategy and aligned with international frameworks including Equator Principles EPs Principles for Sustainable Insurance PSI Principles for Responsible Investment PRI and Principles for Responsible Banking PRB By integrating ESG Environmental Social and Corporate Governance into the business operation we internalize sustainability to manage potential risks improve operation efficiency and grasp market trends and opportunities to create value for clients and shareholders By combining sustainability with core competency Cathay could leverage our influence as the largest financial institution in Taiwan to bring virtuous cycle and collective good of Taiwans society,3,0,diff,,,
The ESG Integration Report aims to introduce how Cathay integrate ESG into business processes Chapter 2 introduce Cathays sustainability organization structure and sustainability training The platform for departments across the group to communicate and collaborate as well as trainings to internalize the spirit of sustainability are the foundations that we could integrate ESG deeply,3,0,diff,,,
Chapter 3 provides an overview of the ESG integration of risk management Society and economy are changing rapidly and financial environment is growing more complex The risk management would be more robust and able to respond more diversified risks through ESG integration,18,11,diff,,,
Chapter 4 explains the ESG integration of services and products We create value for customers through financial products and services We can better understand the demands of society and industries and properly control risks to create maximum value through ESG integration,15,26,diff,empty,,
Chapter 5 introduces the ESG integration of aftersales management Due to the characteristics of financial services our contractual relationship with customers may last for several years or even decades ESG integration helps us satisfy customers and properly manage the corresponding risks,3,11,diff,,,
Chapter 6 provides an overview of the ESG integration of asset management The financial institution is the guardian of public funds ESG brings broader and more profound perspectives for asset management and effectively lower risks to obtain returns in the longterm,18,11,diff,,,
Chapter 7 explains the ESG integration of operation management Business operations rely on a variety of natural resources Properly managing the relationship between operations and natural resources is an important issue for reducing operational risks and building a sustainable society,23,11,diff,,,
Through integrating ESG into business operation Cathay ensure its resilience and competitiveness in the rapidly changing environment,3,20,diff,,,
Cathay hope to introduce the ESG integration of business to the stakeholder and take the responsibility of an industry leader to create positive influence encouraging industries to implement corporate sustainability This report provides details on our mechanism of ESG integration The regular sustainable performance will be disclosed in Cathay FHC sustainability website and Sustainability Report please seehttpswwwcathayholdingscomholdingscsr,3,0,diff,,,
Cathay FHC has established Corporate Sustainability Committee as the core unit for promoting corporate sustainability The CS Committee is subordinate to the Board of Directors supervised by independent directors chaired by the President of Cathay FHC and presidents of primary subsidiaries serve as committee members The committee comprises 6 main working groups each headed by a senior executive of a related department,7,0,diff,,,
Cathay FHC has established Corporate Sustainability Office as the dedicated department to promote sustainability in Cathay The CS Office is subordinate to the President of Cathay FHC We also established secretary units in the subsidiaries for promoting sustainability to improve the coordination and communication across the group on sustainability issues,3,0,diff,,,
Corporate Sustainability Talent Development Cathay provides sustainability related courses to meet different needs in hopes of improving employees understanding of corporate sustainability and encouraging them to incorporate ESG issues into their work Our goal is to make corporate sustainability a part of all employees DNA,3,0,diff,,,
The Cathay FHC Board of Directors is the highest decisionmaking authority among our risk management organizations and is in charge of the supervision and approval of the risk management policies as well as other major risk management systems Cathay FHC established Risk Management Committee as well as independent risk management units We adopt three lines of defense to implement risk management and internal control,18,11,diff,,,
Our Chief Risk Officer is the highest level supervisor of risk management units convenes Risk Management Committee meetings on a monthly basis and is responsible for the review supervision and coordination of various risk management operations For the monitoring of risk management implementation Cathay FHC and its major subsidiaries regularly submit reports on risk management implementation to our Risk Management Committee and Board of Directors thereby fully disclosing the extent of Cathays risks exposure and reviewing the compliance with risk management systems,18,12,diff,,,
Cathay FHCs risk management is based on the Enterprise Risk Management ERM framework under which we established our Risk Management Policy It stipulates management guidelines in terms of market credit operational liquidity risk capital adequacy emerging risks and ESG risks climate risk included implementing risk management via relevant business related to investments and credit loans Besides we established risk assessment indicators for major risks All of the indicators were reviewed and approved by the Board of Directors and are periodically assessed and monitored to determine if the risk exceeds our risk appetite so that further management measures can be implemented This risk appetite is subjected to stresstesting to ensure that it remains appropriate given changes in the business environment,18,12,diff,,,
We established Regulations for Reporting Operational Risk Events Regulations for Reporting Emergency Credit Risk Events and Regulations Governing the Handling of Major Incidents to improve our risk management performance and established corresponding reporting systems When a risk event occurs units or subsidiaries shall immediately report it to the Risk Management Division The units or subsidiaries shall inspect the progress of risk events and implementation of improvement plans each month,5,12,diff,,,
Facing the growingly complex financial environment and in light of the growing impact brought by technological developments extreme weather and aging population we include emerging risks and ESG risks climate risk included into our risk management and submit reports on risk management implementation each year for review by the Risk Management Committee The reports are submitted to the Board of Directors to explain our current risks and the risk management system,18,12,diff,,,
Development of emerging technologies and FinTech are commonly associated with new security threats and risks Cathay FHC has an Information Security Committee that formulates the groups information security policy implements the management system and continuously promotes the risk management planning and measures of information security,1,22,diff,,,
Formulation of Cathay FHC information security incident reporting and response procedures,5,5,,,,
Development of Cathay FHC Security Operation Center and the response system,5,4,diff,,,
1 Creation of the information security blueprint The purpose of the blueprint is to ensure a consistent level of information security posture throughout Cathay Financial Group Cathay FHC completed an information security blueprint in 2018 and laid out 8 security domains and over 80 information security control items including information security policy awareness training monitoring event log management etc The blueprint serves as guiding principles for the implementation of protection measures,1,22,diff,,,
2 Formulation of Cathay FHC information security incident reporting and response procedures The incident reporting and response procedures enable timely response and acknowledgement of information security incidents within the financial holding company and subsidiaries and also allow resources to be integrated throughout Cathay FHC and its subsidiaries for the assembly of an emergency response team When each group company discovers a cyber threat that will endanger information security the information security incident response system is initiated The President of Cathay FHC will act as the convener of FHClevel information security incident strategic meetings that are composed of the highest level supervisors of Cathay FHCs Information Security Department and Information Division as well as the President of the subsidiary where the major information security incident occurs,5,22,diff,,,
3 Development of Cathay FHC Security Operation Center and the response system The creation of Security Operation,1,22,diff,,,
Center is to enable centralized monitoring and early response to information security risk Implementation of Information Security Training Cathay FHC takes information security and customer information protection as high priority and has improved employees understanding of information security by regularly organizing education and awareness training These measures aim to raise our employees awareness of information security protect information assets from interference damage intrusion or any unfavorable actions and intents and properly implement information security and customer information management Cathay FHC and its subsidiaries provide all employees with at least 3 hours of information security education and training each year,1,22,diff,,,
Climate risk has been regarded as a highly urgent issue in the Global Risks Report published annually in the last five years by the World Economic Forum WEF As a leader of sustainable finance in Taiwan Cathay FHC continues to deepen its engagement in TCFD recommendations We not only incorporate climate risk into the existing risk management framework but also refine scenario analysis to strengthen our climate risk resilience,13,25,diff,,,
Cathay FHC integrates climate risk with the Enterprise Risk Management Framework ERMF refers to domestic and international climate change research reports and identifies climaterelated risks in Cathay FHC and its subsidiaries Climate change can aggravate traditional financial risks through the mediation of physical risks and transition risks Cathay FHC evaluates the priority of each risk based on the assessments by its TCFD Task Force,13,12,diff,,,
The TCFD Task Force comprehensively reviews the asset and liability businesses with climate related issues including real estate investment and mortgage securities corporate lending and insurance products,13,18,diff,,,
1 Real estate investment and mortgage We worked together with an external institution and used its natural disaster risk model to evaluate the impact of typhoons and floods on real estate and mortgages We also analyzed future scenarios based on the location of real estate and mortgages building condition and exposure amount,5,10,diff,,,
2 Securities Cathay FHC included ESG factors in the screening of eligible investees and also used an ESG database and research information system to periodically provide analysis reports on ESG investment portfolios and also conduct ESG risk reviews We use databases for calculating investment portfolios carbon footprints consisting of equities and bonds and periodically perform due diligence for the bonds of high risk industries,18,4,diff,,,
3 Corporate lending All corporate loans provided by CUB comply with the ESG Regulations for Corporate Loans and include ESG risks including climaterelated risks in review and evaluation Furthermore for customers whose credit facility reaches a considerable scale and funds flow into sensitive industries such as miningoil refining metallurgy industries hydrooilfired power generation industries and forestry the loan review process must include evaluation of the customers environmental and social ES risks Insurance products Cathay Century Insurance has an external institution assess its own risk and estimate potential losses from natural disasters and completes an Own Risk Solvency Assessment ORSA report every year Climaterelated risks are included to determine if the coverage of reserves is sufficient,13,10,diff,,,
Cathay FHC and subsidiaries formulates management policies for corresponding business processes Methods to respond the risk of identified and evaluated assets are as follows,18,11,diff,,,
1 Real estate and mortgage We purchase insurance for key real estate which are determined based on calculation results in order to reduce the financial impact brought by typhoon and flood We also implement enhanced typhoon prevention measures and periodically monitor natural disaster warning information through the dashboard We also established a Responsible Property Investment and Management Policy and seize low carbon development opportunities through evaluating renewable energy installation for every new building,5,24,diff,,,
2 Securities We conduct due diligence and issue risk warnings based on ESG evaluation and classification results which serve as the basis for the front office to make investment decisions Furthermore we identified high risk investment targets by calculating the carbon footprint of securities Cathay Life Insurance also established low carbon themed investments Finally Cathay FHC established an Engagement Policy to engage enterprises on ESG issues including climate change We require investees to disclose information and manage climaterelated risks and thereby manage the climaterelated risks of our investment positions,13,25,diff,,,
3 Corporate lending We assessed the ESG risks through the responsible lending process and automated ESG risk assessment mechanism We categorized customers based on assessment results for differentiated management communication and engagement with lending customers Insurance products For property insurance policies we continue to study the risks brought by climate change including the damages caused by typhoon and flood to assets which result in a higher claims rate We then determine the adequacy of insurance premiums based on assessment results and then disperse risks through reinsurance,13,10,diff,,,
Cathay FHC established the ESG Risk Management Guidelines and included climaterelated risks in its existing risk management processes in order to strengthen the management of climaterelated risks The Chief Risk Officer of Cathay FHC leads the crosscompany TCFD task force which manages the climaterelated risks of the main assets and liabilities and periodically reports to the Risk Management Committee Audit Committee and Board of Directors,13,12,diff,,,
Cathay established Cathay Financial Holdings Human Rights Policy to protect the human rights of employees clients and stakeholders We established a human rights risk investigation process to periodically evaluate the impact of persons of interest and improve management We took into consideration international human rights frameworks the companys development strategy and external trends and selected risk issues after inquiring the opinions of stakeholders including Cathay FHCs CS Committee employees and external consultants We then examined the risk rating of each issue and identified high risk groups for management,10,10,,,,
Measures to manage the human rights risks for different stakeholders,10,10,,,,
Implement a management mechanism for employees with high risk of illness induced by abnormal workload,9,11,diff,,,
Implement occupational safety and health education and training,9,9,,,,
Implement the occupational accident reporting and handling mechanism,9,9,,,,
The Code of Conduct for Employee and Code of Ethics explicitly prohibits violations of human rights such as discrimination and sexual harassment,8,10,diff,,,
Install barrierfree facilities and provide assistive devices in office buildings,5,26,diff,empty,,
Cathay Life and Cathay United Bank implement the Southeast,3,26,diff,empty,,
Establish regulations and require our staff to actively contact customers and propose solutions,12,19,diff,,,
Cathay Life Cathay United Bank and Cathay Century obtained the BSI 100122017 Personal Information Management System certification,22,11,diff,,,
Establish the Emergency Response Procedure for Personal Information Infringement Events,5,9,diff,,,
Corporate Loans list high risk customers at not eligible for loans and use the ESG checklist to evaluate the human rights risk of customers,10,10,,,,
Cathay United Bank establishes ESG risk guidelines for,18,12,diff,,,
sensitive industries for salespeople to evaluate the human rights risks of borrowers,10,10,,,,
Cathay United Bank complies with the EPs in prereview and,18,26,diff,empty,,
continue to monitor major cases after loan approval,12,26,diff,empty,,
examine ESG records after approving general corporate loans and require customers with a specific risk level to take improvement measures,18,12,diff,,,
the EPs in supervising engagement between the developer and related parties and manage the developers action plan progress after loan approval,12,7,diff,,,
Establish the Cathay FHC Sustainable Procurement Policy and implement the ISO 20400 Sustainable Procurement Guidelines,15,17,diff,,,
Require suppliers to sign the Sustainability Value Declaration,17,0,diff,,,
CSR and regulatory requirements in the procurement contract and make suppliers liable for breach of contract,12,17,diff,,,
Periodically evaluate suppliers violations will affect suppliers score and suppliers with low scores will be rejected,17,26,diff,empty,,
Cathay Life and Cathay Century take ESG risks into consideration during the product development process and the product design must follow ESG principles to respond to the demands from ESG issues Cathay continues to study ESG trends to assess ESG risks and to incorporate ESG issues into company policies and employee education and training Insurance Product Management Team meetings are convened every six months to examine the relative risks after product launched Hence products and services will meet the needs of stakeholders and ESG risks are fully controlled,15,8,diff,,,
Cathays Insurance Product Development and AfterSale Management Process,15,4,diff,,,
Cathays Insurance Product Development and AfterSale Management Process,15,4,diff,,,
Establish an external advisor team to understand the,3,26,diff,empty,,
focus areas to provide a development direction for corporate sustainability,3,0,diff,,,
Product department of subsidiaries carry out evaluation and product development for different focus areas,15,4,diff,,,
Incorporate ESG considerations into company policyand employee education and training,8,8,,,,
Establish a stakeholder engagement policy and examine each year if the products and services of subsidiaries meet the needs of stakeholders or are sufficient for responding to ESG risks,3,10,diff,,,
Propose ESG issues that affect product sales or risk management,3,11,diff,,,
Cathay Life proactively integrated ESG issues Regarding insurance underwriting and the claims process Cathay Life reviews different ESG issues The key points are the insurance application process electronic documentation and the underwriting process,18,18,,,,
