paragraph,predict_label
paragraph,predict_label
G o v e r n a n c e,12
E n v i r o n m e n t a l,12
S o c i a l,12
Macronix the Company attaches importance to research and development and the technical papers it published have been selected by many international academic conferences such as IEDM and ISSCC over the years Macronix possesses a large number of highquality international key technologies and intellectual property rights The Company has obtained a total of 334 patents in 2021 and by the end of the year it has had a total of 8654 patents successfully registered worldwide Automotive ash memory manufacturing has obtained the ISO 26262 Road vehicles Functional safety certication,14
All Macronix fabs testing plants and management centers have passed the IATF 169492016 standard certication of the International Automotive Task Force IATF Secure flash memory solution ArmorFlash has received the Cryptographic Algorithm Validation Program Certification from the National Institute of Standards and Technology NIST CAVP and earned PSA Certied which indicates that its ability to protect network security and privacy is internationalquality Secure flash memory solution ArmorFlash has obtained AECQ100 Grade 1 2 3 qualifications of Automotive Electronics Council which is a rigorous test,1
qualication in the automotive IC market In 2021 Macronix has led the way in the industry with mass production of highspeed lowpower 120MHz 12V Serial NOR Flash which met the demand of network communication such as 5G and IoT and consumer demand All facilities have obtained full score of 200 in the Validated Assessment Program VAP of the Responsible Business Alliance RBA All items of ESG information and data are disclosed in accordance with the SASB Standard of the semiconductor industry,1
Invested NT438 million in environmental safety and health in 2021 and proactively committed itself to and developed the strategy for sustainable operations,9
From 2017 to 2021 cumulative electricity savings was 41520 MWh,24
G re e n h o u s e g a s e m i s s i o n s d e c l i n e d b y 1 7 compared to the base year and the average annual,12
Received the 2021 National Occupational Safety and Health Enterprise Benchmarking Award from the Occupational Safety and Health Administration of the Ministry of Labor,9
Received the Excellent Business Unit in the Promotion of Work Equality in the Workplace the High Distinction Award from the Hsinchu Science Park in 2021,11
The Welfare Committee has allocated NT43979 million in total for employee welfare,11
Built a fivestar employee recreation and fitness center and invested NT7829 million in professional sports instructors and the maintenance of software and hardware equipment for the purpose of creating a friendly and safe leisure environment maintaining employees physical and mental health the Company has received the Taiwan i Sports Certication which is valid for three years from 2020 to 2023 by the Sports Administration of the Ministry of Education,9
Purchased a NT9036 million group insurance for employees which covers accidents diseases and cancer and the employees are allowed to add their,9
Produced 4102 billion liters of reclaimed water and the water recycling rate of all plants has reached 847,20
11113 metric tons of waste were recycledreused and the waste recyclingreuse rate was 972,19
T h e a v e r a g e re m o v a l r a t e o f v o l a t i l e o r g a n i c,12
parents spouses and children as dependents for low cost selfpay insurance As a result our employees could have a more comprehensive protection for their families and be worryfree,2
The Company offers free earlystage lung cancer CT scans and heart CT scans which has benefited 395 employees in total and the free CT scans are also available to the employees family members at a discount which has beneted 160 family members in total,9
In 2021 the Company offered to pay fees for PCR COVID19 tests and COVID19 rapid antigen tests which have been done by 455 employees and 1112 employees respectively,12
The Company provides consistent progressive training programs for different specialties and tiers on average every employee has participated in 21 sessions and has had 628 hours of training,2
T h e C o m p a n y p ro v i d e s a v a r i e t y o f l e a r n i n g approaches including digital learning with no limitation of time and place a total of 46173 people have participated in training activities through the,2
The Company has introduced the framework of the Task Force on Climaterelated Financial Disclosures TCFD and selected ve risks and ve opportunities for management in response to the risks and opportunities brought about by climate change,13
digital learning platform which accounts for 57 of all training activities,2
The Macronix Education Foundation scholarships have exceeded NT170 million by the end of 2021,12
The Macronix Education Foundation has received the Social Education Contribution Award from the Ministry of Education,2
T h e C o m p a n y h a s e s t a b l i s h e d a c h a r i t a b l e organization which has combined the strength of both the employees and the public to help the needy in every corner of the society a total of 4748 employees have participated in public welfare activities and donations of NT3215 million have been made,2
The Company has adopted a 12km eco bike lane in Hsinchu City providing local citizens with a comfortable and healthy environment to enjoy outdoor activities and the Company has received a certicate of adoption from the Hsinchu City Government and the Clean Air Zone Adoption Premium Award from the Environmental Protection Administration of the Executive Yuan,23
Internet security solution ArmorFlash was awarded EE Awards Asia Best Memory IC of the Year EE Awards Asia Featured IoV Solution Provider 2022 Taiwan Excellence Gold Award 2021 Hsinchu Science Park Innovative Product Award,1
Awarded the 2021 National Occupational Safety and Health Enterprise Benchmarking Award by the Occupational Safety and Health Administration of the Ministry of Labor,9
The Macronix Education Foundation was Awarded the Social Education Contribution Award by the Ministry of Education,2
Ranked in the Top 620 in the Corporate Governance Evaluation,12
Social Dimension 71 Staff Respect,10
Appendix 81 About this Report,12
83 Comparison of UN Sustainable,10
Sustainability Performance and Highlights 2021 Awards and Recognition,15
Economic Dimension 51 Financial Performance,18
Sustainable Environmental Dimension 61 Environmental Protection,23
62 Energy and Climate Change,13
12 Message from the President,12
Macronix 21 Products and Services,15
Sustainable Development Strategy 31 Sustainable Development System,10
Corporate Governance 41 Corporate Governance,4
11 Message from the Chairman and CEO,7
12 Message from the President,12
1 Messages from the Macronix Executives 11 Message from the Chairman and CEO,7
Macronix International Co Ltd Macronix was founded in Taiwans Hsinchu Science Park in 1989 since then Macronix has been dedicating itself to the research and development of advanced NonVolatile Memory NVM We provide ROM NOR Flash NAND Flash solutions in a wide range of sizes and capacity With the business philosophy honesty Macronix not only improves its ability to manufacture highquality products but also continuously paying attention to sustainable development and the corporate social responsibility it carries,15
The impact of COVID19 on the global economy has not subsided in 2021 but it has accelerated the progress of digitalization and created strong demand in elds of application such as 5G data centers and automotive electronics which has driven continued price hikes of high quality and high capacity products Thanks to the collective efforts of all employees Macronix has become the market leader with its advanced process technology and highest quality and it has achieved excellent revenue gross prot and EPS growth in 2021 Our NOR and NAND Flash revenue increased over 50 compared with 2020 and it drove consolidated revenue to a record high in 2021 We successfully increased our prot margin through strategic adjustments of production capacity and optimization of product portfolio while operating at full capacity Furthermore the successful disposal of our 6inch wafer fab and equipment increased nonoperating income and further improved our prot performance for the year,15
The operating performance of 2021 is as follows consolidated net operating revenue for the year was NT50573 billion annual consolidated gross profit was NT2105 billion while annual gross margin increased 79 compared with 2020 to 416 net income after tax was NT11963 billion earnings per share jumped to NT648 cash generated from operating activities was NT16116 billion cash expenditures for investment activities was NT2623 billion with NT18565 billion in cash at the end of the period debt ratio was 391 book value per share rose to NT252 return on equity increased to 29 The steady growth of our cash ow and book value will continue to increase company value and strengthen our nancial position,18
Macronix has continuously made improvements through RD and innovation since it was established and has secured a crucial position in the world with its outstanding RD capabilities and patents while playing a key role in the nonvolatile memory market Our research results were once again recognized by the world and our paper was honored by the International SolidState Circuits Conference ISSCC in 2021 As for patents in 2021 we have obtained a total of 334 patents in various countries and by the end of 2021 Macronix has accumulated a total of 8654 patents worldwide the amount of patents that Macronix obtained is growing steadily which provides Macronix with a strong fortress of intellectual property rights and reinforce its leading position in the global non,4
volatile memory market Furthermore we continue to collaborate with major international tech companies to develop advanced memory and analog artificial intelligence technologies and actively developing advanced nonvolatile memory technologies and applications in hopes of providing people with better digital lifestyles,24
As for corporate governance ethical corporate management stands as the cornerstone of our corporate culture Macronix strictly complies with laws and regulations and it attaches great importance to risk management with regard to trade secrets and information security in order to create a sustainable business environment As for sustainability to promote organizational management and fulfill the responsibility as a global citizen Macronix has already introduced various international management standards in relation to the Environment Social and Governance ESG aspects many years ago As the world gradually shifted its attention to the United Nations Sustainable Development Goals SDGs in the implementation of Corporate Social Responsibility CSR we have directed our attention to water resources climate change and biodiversity that are addressed in the environmental SDGs We are actively implementing energy conservation water conservation and carbon reduction measures through the establishment of various management systems we start from source management to comply with international standards and customer requirements such as the EUs Restriction of Hazardous Substances RoHS Directive and Substances of Very High Concern SVHC requirements as well as the Endoflife Vehicles ELV Directive which has received the attention of the automotive industry these are all strictly monitored by Macronix,19
Macronix believes that talent cultivation is the foundation for strengthening the nations technological capabilities and therefore we spare no effort in the promotion of science,8
education The Macronix Education Foundation was established in 2001 with an initial donation from Macronix and it has held the Macronix Golden Silicon Awards and Macronix Science Awards for more than 20 consecutive years Almost 40000 teachers and students have participated in these awards Because of the awards extensive influence Macronix was recognized with the Ministry of Educations Social Education Contribution Award moreover Macronix was awarded the Arts and Business Awards by the Ministry of Culture for its longterm support of local artists in Taiwan Furthermore it funded National Cheng Kung University to found the Miin Wu School of Computing in 2020 which helps the longterm domestic cultivation of interdisciplinary artificial intelligence AI talents and accumulates the human capital in innovative technology development,2
Following in the wave of AI demand for memory will continue to increase and the market will continue to grow Advanced semiconductor process technology has overcome the impossibility of miniaturization in 2D NAND and NOR and brought about 3D memory continuously makes increase in capacity and maintains growth momentum of NAND and NOR In addition the demands for memory and its specications that big data and AI require have changed the role of memory From its past behindthescenes supporting role in data storage it has now moved to the frontofstage role of combining logic chips for computing finally realizing the development of memory as a protagonist In the future our management team will continue to leverage its forwardlooking perspective and stable strategy to respond to new competition and challenges We will continue to enhance our technical capabilities and cost advantages create MemoryCentric Solutions for computer architecture with the aim of jointly creating a mutually benecial situation for employees shareholders customers and suppliers,4
12 Message from the President,12
COVID19 has made a severe impact on the global economy but Macronix has been tirelessly researching and developing new technologies and products Thanks to the concerted efforts from all employees Macronix has created better business results during the pandemic ROM bit shipments grew quarterly in 2021 and accounted for 27 of our overall revenue that year As for NOR Flash our 55nm process continues to account for an increasing percentage and accounted for 58 of density shipment in the fourth quarter of 2021 we will develop the 45nm process and advanced NOR product applications Highdensity products of 256Mb and above are accounting for an increasing percentage of NOR Flash revenue each year and has reached 42 as of 2021 Macronix has transitioned to applications that are less affected by cyclical uctuations so as to reduce the impact of cyclical uctuations in end demand on overall operations Our revenue from industry grade medical and aerospace high quality applications doubled compared with 2020 showing that high quality and highcapacity applications will become the main source of Macronixs business growth With regard to NAND Flash 19nm process technology SLC NAND Flash products accounted for 59 of overall density shipment in the fourth quarter of 2021 New products and new applications are now entering the verication phase and will gradually make Macronix one of the main suppliers of SLC NAND Flash As for 3D NAND Flash our 48layer 3D NAND Flash products have reached highquality standards and obtained certification from our customers Mass production of 48layer 3D NAND Flash products began in the third quarter of 2021 and is expected to contribute to revenue in 2022 We will continue to develop 192layer stacking technology to meet customers need for highcapacity products,15
Macronix attaches great importance to safety environmental protection and labor rights Besides starting from the source we have incorporated the concept of CSR into our product design All of the chemicals and metals used on our products comply with internationally agreed regulations such as the EUs RoHS Directive the REACH Regulation and the Conflict Minerals Regulation Ever since IECQ QC080000 the Hazardous Substance Process Management System was started to be promoted in 2007 each year we have attained thirdparty certication and gained recognition from our customers as well As the worlds leading manufacturer of nonvolatile memory Macronix not only focuses on its business operations but also works towards sustainable development as the world focuses on ESG environmental social and governance,14
i s s u e s s e q u e n t i a l l y establishing management procedures and gradually taking action Macronix continued to maintain excellent performance d o m e s t i c a l l y i n t h e Corporate Governance E v a l u a t i o n i n 2 0 2 1 i t also won the National O c c u p a t i o n a l S a f e t y and Health Enterprise Benchmarking Award from the Ministry of Labor which shows that Macronix has achieved excellent performance in safety and health management friendly workplace and corporate social responsibility,9
Sustainability has become a crucial topic for corporations The Macronix 2021 Sustainability Report faithfully discloses our persistence and determination to achieve sustainable development based on the GRI Standards published by the Global Reporting Initiative GRI and adds issues of stakeholders concern such as SASB and TCFD The report connects our business philosophy honesty with the UN SDGs The SDGs have guided the establishment of an excellent governance system that will ensure that Macronix stably grows within Earths capacity as we stride towards sustainable development,3
We uphold the business philosophy honesty and insist on innovation and quality which has allowed us to successfully develop the 3D generation and once again fulll our commitment to provide customers with the highest quality products and service support Looking towards the future 3D NAND and advanced NOR production capacity will provide important support for Macronixs business growth Hence the management team will adopt a stable strategy with a cautious attitude when implementing the 12 inch wafer fab capacity expansion project launched in 2021 We expect all employees to work together to accelerate the development of next generation key technologies for memory and products and we will actively expand new customers and elds for high end applications to reach new heights of operation sharing the excellent results with employees shareholders and customers,15
2 Macronix Macronix a leading integrated device manufacturer in the global NonVolatile Memory NVM market provides a full range of ROM NOR flash NAND flash and eMMC solutions With its worldclass RD and manufacturing capabilities Macronix continues to deliver highquality innovative and performancedriven products to its customers in the consumer communication computing automotive electronics and industrial markets among others,15
Macronix was founded in Taiwans Hsinchu Science Park in 1989 Since its inception the Company has continuously leveraged the competitive advantages of its products and constantly strived to enhance its production and manufacturing capabilities in order to deliver highquality products and services As a result we have successfully established longterm mutually beneficial strategic partnerships with large world class manufacturers Macronix has adhered to high corporate governance standards while actively maintaining investor relations and advocating CSR Macronix was the rst semiconductor company in the Hsinchu Science Park to receive the SA8000 Corporate Responsibility Management Systems certificate The Company was also awarded the Corporate Governance Certication for publicly traded and overthecounter companies In 2020 Macronix passed the RBA VAP where a report is valid up to two years with excellent results showing that we take CSR seriously and are committed to achieving sustainable development,4
In recent years Macronix has been allocating 10 or above of its revenue for RD The technical papers we published over the years were continued to be selected and,12
highlighted by multiple international academic conferences such as the IEDM and the ISSCC Macronix currently holds the intellectual property rights for over 8000 key international technologies and patents We have formed alliances with leading high tech firms across the world to collectively conduct research with the purpose of co developing technologies for Phase Change memories Macronix has also announced the worlds rst paper about the ash prospective technology BESONOS All of these developments aim to provide solutions for the next generation of nonvolatile memories,4
