paragraph,predict_label
Letter from the ESG Steering Committee Chairperson,12
Letter from the ESG Committee Chairperson,12
First Semiconductor Company to Adopt EnergyEcient Measures in Advanced Manufacturing Equipment Worldwide,24
Launch Supplier Fire Protection Personnel Project to Improve Supply Chain Resilience,17
Build a Diverse and Inclusive Workplace,8
Relief Eorts for Global Pandemic Prevention against COVID,13
Materiality Analysis and Stakeholder Communication,10
Carry Out the UN Sustainable Development Goals,10
United Nations Global Compact Index,12
Task Force on Climaterelated Financial Disclosures Index,13
Sustainability Accounting Standards Board Index,12
WEF IBC Stakeholder Capitalism Metrics Index,4
Participation in Industry Associations and,12
Independent Third Party Assurance Statement,0
A Practitioner of Green Power,15
Innovation is the foundation that keeps TSMC growing,4
Highperformance computing propels humanity to a future with AI,3
Smartphones breaks the limitation of time and space and bridge us,4
with the cloud and to freedom,4
Advanced automotive electronics carry our imagination to the innite,15
IoT ushers in the era of smart cities and industrial,24
ESG is in the DNA of every TSMC employee,8
TSMC uses concrete action to connect people with people and with,10
nature to welcome beautiful change,23
With an innite stream of innovative technology solutions,15
TSMC strives to achieve sustainability and connect to a future of,15
Letter from the ESG Steering Committee Chairperson,12
has continued to impact our world while the,10
Over the past two years COVID threat of extreme climate conditions has steadily increased As a key player in the global semiconductor supply chain TSMC has the responsibility of working with industry partners to take continuous action with regard to ESG Environmental Social and Governance issues,13
Our vision is to uplift society and we link TSMCs core advantages with the United Nations Sustainable Development Goals SDG integrating ve ESG development focal points including Drive Green Manufacturing Build a Responsible Supply Chain Create a Diverse and Inclusive Workplace Develop Talent and Care for the Disadvantaged Since the ESG Steering Committee has integrated crossorganizational resources and strengths formulated longterm goals and reviewed the implementation of these goals In on improving the industrys core capabilities we also continued to implement corresponding sustainable practices We now integrate sustainability target results into the compensation structure for senior executives integrate SDGs into both the organizational culture and employees daily tasks and actively respond to concerns raised by stakeholders both inside and outside the company,8
a mediumterm goal of returning to,3
We rmly believe that corporate growth and the natural environment can coexist prosperously and we implement green practices to ensure this In TSMC further committed to actively implement emission reduction measures and optimize related sustainable actions The Company set a shortterm goal of achieving zero emission 2030 growth by and a longterm goal of reaching net zero emissions by released our rst Taskforce on ClimateRelated Financial Disclosures TCFD Report promoting climate adaptation and mitigation management through governance strategies risk management metrics and targets becoming an industry pioneer in disclosing information in related elds We hope that by expanding our green inuence we will drive the industry to move towards lowcarbon sustainability,25
emissions level by 2021 we also,25
safety and maintaining normal operations we have also extended our expertise and resources to support global pandemic prevention eorts In when the epidemic situation in Taiwan was deteriorating we happily did our part to support the country by successfully purchasing 162,5
million doses of BNT BioNTech,6
vaccine and donating them to the Center for Disease Control CDC of the Ministry of Health and Welfare with the support of the government At the same time we also continued to oer support overseas including India helping them deal with overburdened local medical facilities,2
