paragraph,predict_label
ESUNFinancial Holding Co Ltd ESUN FHC appreciates your attention to our 11th Sustainability report This report has been prepared in accordance with the Global Reporting Initiative,3
GRI Standards Core Option UN Sustainable Development Goals SDGs GRI Financial Services Sector Supplement Corporate Social Responsibility Best Practice Principles,10
for TWSE TPEx Listed Companies ISO 26000 guidance on social responsibility UN Global Compact Industry Standards issued by Sustainability Accounting Standards Board including Commercial Bank Consumer Finance Investment Banking Brokerage Mortgage Finance Asset Management and the Rules Governing the Preparation and Filing of Corporate Social Responsibility Reports by TWSE Listed Companies ESUN FHC published Sustainability report in both English and Chinese version every year and the report can be downloaded from the ESG section of ESUN FHC ofcial website Through publication of this Sustainability report we hope to communicate the ideas and practices that ESUN has adopted towards achieving sustainability with our stakeholders We hope to learn and grow together and bring positive inuence to the society,10
Period of report The report is published every year since 2011 This years report covers performance in economic social and environmental aspects in 2021 from January 1 to December 31 2021 In order to present a more comprehensive picture of various projects and campaigns undertaken by ESUN FHC the report also discloses activities that occurred prior to January 1 2021 and after December 31 2021 The last version was published in June 2021,10
Scope of report The scope of disclosure focuses on operating activities and services of ESUN FHC and its subsidiaries ESUN Bank ESUN Securities and ESUN Venture Capital ESUN Investment Consulting in Taiwan which accounts for 998 not including ESUN Banks subsidiary Bank Pro of ESUN FHCs net revenue Statistics in this CSR report have been presented in a manner consistent with common international standards and cover the performance of some of ESUNs overseas branches Disclosures on social welfare and charity cover the two nonprot foundations namely ESUN Volunteer and Social Welfare Foundation and ESUN Culture and Eduacation Foundation and subsidiaries whereas disclosures concerning environmental protection eg use of water electricity petrol etc cover ESUNs Taipei Headquarter Building Summit Campus Hope Campus Technology Building Boai Building and overseas and domestic branches Any special meanings pertaining to the above quantitative indicators are explained in separate footnotes,10
The Global Reporting Initiative GRI,12
G4 Financial Services Sector Supplement Guidelines Integrated reporting,12
Corporate Social Responsibility Best Practice Principles for TWSEGTSM Listed Companies,10
Rules Governing the Preparation and Filing of Corporate Social Responsibility Reports by TWSE Listed Companies,10
Summary of Global Compact Disclosure,12
International Organization for Standardization ISO,12
ISO 26000 Social Responsibility Guidance,10
AA1000 Assurance Standards v3 Type 2 highlevel assurance,0
Statement of Assurance Engagements Standards No 1 Assurance Engagements other than Audits or Reviews of Historical Financial Information in the Republic of China,12
Task Force on Climaterelated Financial Disclosures,13
ISO 1406412018 Greenhouse Gas Inventory,25
ISO 140462014 Organizational Water Inventory,20
SASB Sustainability Accounting Standards Board,12
Commercial bank Consumer Finance Mortgage Finance Asset Management,18
ISO 140643Carbon emissions of lending and investment portfolio,21
ESUN Financial Holding Co Ltd Ofce of CSO No 115 Section 3 Minsheng East Road Taipei City TEL0221751313 EMAILesgesunfhccom ESG websitehttpswwwesunfhccomzhtwesgoverviewesg,18
Note This report is based on the principles of accuracy balance clarity comparability reliability and timeliness of the GRI Sustainability Reporting Guidelines The source is provided by ESUN FHC and its subsidiaries and all content is approved by the Sustainability Committee and sernior management,12
Message from the Chairman and the President 005,12
008 Cover Story 008 Footprints along the pursuit of excellence 009 Endless gratitude and blessings Cultivating outstanding international students 010 011 Plant for the Planet,8
1 Our Story 11 Vision 12 Business Performance 13 Sustainable Development Committee 14 ESUNs Sustainable Development Blueprint 15 Materiality Analysis 16 Communication with stakeholders,3
012 013 016 017 018,0
