paragraph,predict_label
2021 TCFD Formosa Plastics Corporation Climaterelated Financial Disclosure Report,18
FPCs Task Force on Climaterelated Financial Disclosures Report,13
3 Management of Climate Change,13
31 Risk and Opportunity Identification Process,18
32 Risk and Opportunities Assessment,18
33 Summary Table of Impact of Risks and,18
34 Climate Risk Scenario Analysis,13
41 Carbon Reduction Absolute Targets and,25
42 Scope 3 Emission Indicators,21
In recent years global warning due to greenhouse gas emissions has caused significant,25
risks to the global economy and has affected a lot of enterprises However it is difficult for,18
investors to learn which companies are susceptible to climate change risks which companies,13
are adequately prepared and which ones are taking response actions Accordingly the,5
Financial Stability Board FSB has assembled a special task force Task Force on Climate,13
related Financial Disclosures TCFD which has published its Recommendations of the Task,12
Force on Climaterelated Financial Disclosures the Recommendations in short in June,13
2017 after spending 18 months gathering opinions from business and financial leaders The,18
Recommendations provides businesses and investors with a complete and welldefined,4
assessment framework for disclosing risks and opportunities associated with climate change,13
and for reflecting risks in financial reports,18
In December 2021 to cope with the international trend Formosa Plastics Corporation,15
hereinafter referred to as FPC has committed to disclose the risks and opportunities,18
associated with climate change according to the Recommendations on the TCFD website in,13
order to demonstrate the responsibilities and strategies of FPC thereby appropriating capital,18
more reasonably and effectively to achieve the vision of lowcarbon economic transformation,3
FPCs Climate Change Management Structure,13
The Board of Directors is the highest governing body to make decisions and supervise the Company in response to climate changes The Chairman of the Board is the leader and is responsible for overseeing issues and matters related to climate change,13
Report the climate changerelated matters of the company to the Board of Directors in order to use such information as important reference and basis for establishing sustainability directives,13
Establish an energy conservation and carbon reduction promotion team to handle the establishment and execution of response measures related to climate change The Chairman of the Board convene energy conservation and carbon reduction team meetings monthly in order to review execution progress and target achievement outcome,13
To demonstrate the companys determination in sustainable operations FPC has completed the TCFD support registration on the TCFD website in December 2021,12
Coal burning heading toward the low zero carbon energy transformation promote transformation of coal into gas replace old and obsolete coalburning boilers implement carbon capture and reuse promote hydrogen power generation,24
Energy conservation and carbon reduction circular economy implement artificial intelligence AI technology and apply to energy conservation equipment upgradeprocess optimization research and develop catalyst of low energy consumption,24
Increase renewable energy consumption construct solar power generation equipment and use the wind power of Formosa Heavy Industries Corporation,24
Other carbon reduction measures use biomass ethylene for the manufacturing of polyethylene PE recycle materials for renewable energy products lightweight product application and renewable energy equipment materials application,15
Collect analyze and summarize information on risks and opportunities of climate change and energy semiannually and identify and assess climate change related risks and opportunities according to ISO 14001 risk identification procedure,13
Use a risk matrix to determine major risks and opportunities and the assessment indicator includes financial impact level and risk and opportunity occurrence probability divided into 5 levels with the score from 1 to 5 points If the assessment total score is greater than or equal to 15 points it is considered as a major risk and opportunity and is assessed to have substantial potential impact on finance or strategy,18
FPC uses the year of 2020 as the base year and establishes the absolute target for carbon emission reduction including,21
Shortterm reduction target reduction of carbon emission by 20 from the base year in 2025,21
Mediumterm reduction target reduction of carbon emission by 40 from the base year in 2030,21
Longterm reduction target reach carbon neutrality in 2050,25
The capital of FPC is NT636 billion and its main businesses include production and sale,12
of plastics fibers and chemical raw materials FPCs annual production capacity for the products of PVC VCM and liquid caustic soda including overseas investees is ranked,15
among the top five manufacturer worldwide Other products of FPC are also ranked at,15
FPC values Environment Society and Corporate Governance ESGrelated issues as the,12
fundamental of corporate sustainable development Accordingly on May 10 2022,3
the Board of Directors has approved the establishment of the Sustainable Development,23
Committee in order to enhance the supervision responsibility of the Board of Directors,7
