paragraph,predict_label
Achievements in Corporate Governance Integrity and Legal Compliance Internal Audit 44 45 Risk Management,0
Solid Technology Foundation and Talent Cultivation,8
63 Social Welfare and Engagement,10
The Ten Principles of the,12
Independent Third Party Assurance Statement,0
2021 posted both opportunities and challenges for the global semiconductor industry Digital transformation accelerated the robust demands in various sectors and in turn strained our industrys supply chain With the concerted efforts of MediaTeks employees across the globe our company reached recordhigh revenue and earnings per share EPS in 2021 We were ranked as the worlds fourth largest fabless IC design company and the seventh largest semiconductor company a step further from the eighth place in the previous year MediaTek is committed in driving sustainable development alongside our quest for business performance In regard to innovation we are devoted to the development of cutting edge technologies which can enhance peoples lives and strengthen their connection to the worldOn the talent and diversity front we continue to collaborate with industry government and academia in nurturing high tech talents Moreover we are dedicated to building a workplacethat values diversity equity and inclusion where all employees can find a sense of belonging For years MediaTek has been spearheading in promoting STEM education and technology innovations our actions include supporting talent cultivation programs of local schools at various levels as well as encouraging innovation from the community Finally as a fabless IC design company MediaTek is committed in actively supporting global initiatives on carbon reduction activation in collaboration with our suppliers to forge a sustainable green supply chainOur mission is Enhance and Enrich Everyones Life Globally over 2,8
billion devices are powered by the chips designed by MediaTek every year allowing us to realize our mission in removing the barrier of access to technology so the public can all benefit from its advancement As a citizen of the earth we work diligently alongside our ecosystem partners to fulfill our corporate citizenship by realizing our vision in sustainability with technology innovation2022 marks the 25th anniversary of MediaTek We started our business with less than 100 employees and over the years we have evolved into a multinational conglomerate with over 19000 employees locating in 36 cities worldwide Along the way we have recruited global talents and accumulated abundant momentum while constantly thinking of ways to improve the wellbeing of humanity and the sustainability of the earth through MediaTeks presence and technology Looking towards the next 25 years and beyond MediaTek will continue to work towards fulfilling our vision on sustainable development and contributing to making positive impact on the economy society and environment,15
Founded in 1997 MediaTek is the 4th largest fabless IC design company headquartered in Taiwan We supply chipset solutions across platforms including smart home connectivity IoT ASIC and smart mobile devices With Global reach Local presence principle we incorporate a global perspective and world talent pool to provide cutting edge products and services to our customers worldwide pursuing our sustainable leadership in the industry,15
Our sustainability strategy is grounded on the six aspects of Global Presence Innovation Talent Corporate Governance Environmental Management and Community Engagement which is also the cornerstone of our daily operation since established We expect every employee to exhibit our six core values namely Integrity Customer Focus Conviction Inspired by Deep Thinking Innovation Inclusiveness and Constant Renewal to fulfill MediaTeks mission and vision,10
Mission Vision and Sustainability Strategies,3
MediaTek strives to be a global operation and technology leading company,3
Enhance and enrich everyones life,8
enabling customer success with most innovative products and services,15
Granted the honor of Outstanding AsiaPacific Semiconductor Company by Global Semiconductor Alliance GSA,3
Placed at the 5th for large enterprise,3
at Corporate Citizen Award of,3
