paragraph,predict_label
Welcome to Chunghwa Telecoms 15th Environmental Social Governance ESG Report This report is published in both Chinese and English on a dedicated ESG website This Report discloses our efforts and results in practicing corporate sustainability in 2021 so that stakeholders that care for us may better understand and trust in the results of our commitment in corporate sustainability management,3
This report discloses the Companys ESG management policies material issues countermeasures initiatives and results between January 1 and December 31 2021 The scope of Report encompasses 100 the operating sites of Chunghwa Telecom while sections with different scope of disclosure shall be noted However to ensure complete coverage parts of the report include descriptions of initiatives and results from 2020 to 2022,12
The Global Reporting Initiative GRI,12
The International Integrated Reporting Council IIRC,12
Sustainability Accounting Standards Board SASB,12
Telecommunication Services Sustainability Accounting Standard SASB,12
How to Read the Report,2
Future outlook targets and plans,3
The GRI SASB and Chunghwa Telecoms own Indicators,18
Content and data of this report have been reviewed and assured by SGS Taiwan Ltd based on the Core option of GRI Standards for compliance with the Core elements of GRI Standards and AA1000 AS 2018 Type 2 High Assurance Standards and requirements of the Integrated Reporting Framework and Telecommunication Services Sustainability Accounting Standard SASB,12
If you have any feedback to share please do not hesitate to contact us through,22
GRI Vivian Lin Corporate Communications Department Chunghwa Telecom,3
Address 213 Sec 1 Xinyi Rd Zhongzheng Dist Taipei City Taiwan,12
Unless otherwise specified all currency units used in this reports financial data are by default New Taiwan Dollars NT,12
BUSINESS CONTINUITY COVID19 PREVENTION MEASURES,0
CORPORATE OVERVIEW CORPORATE GOVERNANCE ESG MANAGEMENT,3
Chapter 2 SUSTAINABILITY VALUE STRATEGY,3
SIX MAIN CAPITALS CREATE SUSTAINABILITY VALUE FIVE MAJOR FORCES DRIVE THE SUSTAINABLE CYCLE CREATING SUSTAINABLE VALUE,15
Chapter 3 MATERIAL TOPICS AND IMPACTS,23
2021 MATERIAL TOPICS AND IMPACTS STAKERHOLDERS ENGAGEMENT,3
THE UNITED NATIONS GLOBAL COMPACT,12
SUSTAINABILITY ACCOUNTING STANDARDS BOARD SASB INDEX,12
Chapter 4 SUSTAINABILITY RISKS AND OPPORTUNITIES,18
EMERGING RISKS EMERGING OPPORTUNITIES CLIMATE CHANGE RISKS AND OPPORTUNITIES CYBERSECURITY RISKS,13
Chapter 5 THE CREATION OF SUSTAINABLE VALUE,15
THE DIGITAL ECONOMY MOTIVATOR THE CREATIVE INDUSTRY PILOT THE HAPPINESS VALUE PROTECTOR THE GREEN CORPORATION PIONEER THE SOCIAL VALUE GUIDE,3
Chapter 6 PUBLIC POLICY PARTICIPATION,12
44 47 48 50 57,0
60 64 70 74 112 132,22
Welcome to the 15th ESG Report published by Chunghwa Telecom Co Ltd Over the last two years Taiwan has been continuously sus taining impacts from the COVID19 pandemic which brought tremendous challenges to en terprises regarding employee health protec tion as well as maintenance of business and supply chain continuity Therefore upholding the spirit of Always Ahead Chunghwa Tele com utilized its technological prowess in ICT innovation assisting and supporting govern ments to promote various epidemic hitech prevention measures Aside from the effective protection of the health and safety of the pub lic across Taiwan our outstanding advantages in innovation were also reflected in our opera tional performance The financial performance of Chunghwa Telecom in 2021 reached a new height of the last 4 years Despite the epidemic outbreak we continued to uphold and create shareholder value with our premium opera tional quality,9
