paragraph,predict_label
4 03 Sustainability Honors and Recognition,15
6 04 Run For Green Strategy,3
7 05 ESG in Action,3
1 About Fubon Financial Holdings,18
12 11 About Fubon Financial Holdings,18
16 21 2025 Sustainability Vision Blueprint,3
20 23 Impact of Sustainability,15
24 25 Materiality and Stakeholders,10
28 31 Putting Sustainable Governance into Practice,3
32 33 ESG Risk Management,18
4 Decarbonization Helping Customers Go Sustainable,18
Fostering a Friendly Healthy Workplace,10
43 ESGrelated Insurance Products and Services,12
62 Talent Development and Retention,8
64 Wellness and Healthrelated Activities,9
Providing the Best Financial Services,2
7 Connection Connecting Societys Positive Forces,10
71 Impact of a Multifaceted Philanthropic Platform,12
74 Caring for the Disadvantaged,2
83 GRI Standards Index and Guidelines,12
101 84 SASB Standards Index,12
104 86 Accountants Independent Assurance Report,12
Be positive All possible Fubon Leading the Way on Sustainability,15
It was the best of times it was the worst of times,0
Charles Dickens A Tale of Two Cities,8
In 2022 the COVID19 pandemic reignited and Russia invaded Ukraine causing major global economic uncertainty The adverse effects of these events continue to simmer and exacerbate social divisions and geopolitical tensions At the same time the World Economic Forums Global Risks Report 2022 identi fied climate action failure extreme weather and biodiversity as the most severe longterm threats facing the world and warned that risks such as livelihood crises social cohesion erosion and infectious diseas es are already leading to societal scarring,13
Faced with such complicated ESG environmental social and governance issues Fubon Financial Hold ings has joined with its stakeholders to confront these challenges together and stride forward on the path to sustainability,10
The company celebrated its 60th anniversary in 2021 and unveiled a new brand concept Be positive All possible to reaffirm its commitment to supporting those pursuing a better future with positive energy and comprehensive financial services It also crafted a fresh sustainability blueprint themed Run For Green that articulated four main ESG strategies decarbonization digitalization empowerment and connection and set 2025 ESG goals Guided by that blueprint Fubon has launched a Run For Green ESG initiative covering both the financial and nonfinancial realms that has demonstrated the companys intent to make its operations more sustainable and establish itself as one of Taiwans leaders on sustain ability Meanwhile we achieved a major milestone in 2021 bringing about Taiwans first ever merger of domestic financial holding companies by acquiring Jih Sun Financial Holdings The move should bolster Fubons banking and securities businesses and lead to greater synergies contributing to an even broad er array of financial department store services,3
2021 was an outstanding year for Fubon Financial Holdings It led the financial sector in profitability based on EPS for the 13th consecutive year and its net income of NT1446 billion surpassed the NT100 billion barrier for the first time in company history Total assets exceeded NT10 trillion helping the company make the Fortune Global 500 for a fourth straight year and it continued to shine on interna tional sustainability indexes Fubon was selected to the DJSI World Index for a fifth year in a row and to the DJSI Emerging Markets Index for a sixth straight year while making the MSCI ESG Leaders Indexes for a fifth consecutive year The Carbon Disclosure Project meanwhile has named Fubon to its A list and Supplier Engagement Leaderboard two years in a row and Sustainalytics ranked it third in the glob al insurance industry in its ESG risk ratings These many honors have encouraged and inspired Fubon to further enhance its sustainable practices and relentlessly pursue excellence in the field,3
Looking back at 2021 when COVID19 surged in Taiwan Fubon Financial Holdings took several measures to support employees customers society and the environment In terms of employee care we 1 set up a Fubon COVID19 testing station enabling employees to go to work with peace of mind 2 increased childbirth and childcare subsidies to encourage employees to have children 3 added notifiable infec tious disease health insurance to group insurance for employees and 4 provided relief funds and subsi dies to employees whose livelihoods were affected by the pandemic,2
In terms of customer products and services 1 Fubon Life rolled out the first notifiable infectious dis ease term health insurance plan and Fubon Insurance introduced Epidemic Salary Payment Insurance for employers and a policy covering individuals for infectious diseaserelated medical expenses 2 Fu bon Insurance gave customers a way to buy insurance safely with Next2U remote videoconference in surance services 3 Fubon Life promoted loans on insurance policies to help policyholders get through financial difficulties and 4 Taipei Fubon Bank provided sign language interpretation services to assist hardofhearing customers,2
Several advances were also made to address climate change and move toward our lowcarbon vision in cluding 1 setting standards on investing in or pulling investment out of the highemission power gen eration coal mining cement petrochemical and steel industries 2 issuing our first TCFD Task Force on Climaterelated Financial Disclosures Report 3 establishing a Sustainable Finance Policy 4 setting and submitting sciencebased targets SBTs 5 providing a wide range of sustainabilityrelated prod ucts and services such as Taipei Fubon Bank providing a sustainabilitylinked loan to Merry Electronics Taipei Fubon Bank providing a green syndicated loan to YFY Inc and Fubon issuing sustainability bonds and a Future Mobility ETF and 6 encouraging sporting events to go green and cre ating a tiein with four major marathons in Taiwan to plant 100000 trees within five years,13
Fubons intent to make its operations more sustainable and establish itself as one of Taiwans leaders on sustainability,15
The many action plans cited above which we continue to optimize and strengthen demonstrate our commitment to bringing about tangible change,10
Since the 26th United National Climate Change Conference COP26 in the United Kingdom in late 2021 the world has moved forward on netzero emissions with several steps being taken in that direction In 2022 Taiwan issued a Pathway to NetZero Emissions in 2050 to align itself with the global trend toward netzero goals as well as address the adverse impact of extreme weather and pressure on supply chains to reduce carbon Fubon is prepared for the challenge Beyond continuing action plans related to its four ESG strategies decarbonization digitalization empowerment and connection it is participating in global initiatives to achieve netzero goals such as applying to join the RE100 and submitting SBTs,25
We may in some ways be facing the worst of times but it is also the best of times for opportunities and we therefore should actively confront issues and engender positive change Whether dealing with turmoil or challenges Fubon will stay true to its brand concept of Be positive All positive and forge a stable environ ment founded on mutual trust as it leads society toward a common good and sustainable future,10
2021 Sustainability Honors and Recognition,15
Named as a constituent of the Dow Jones Sustainability Indices DJSI World Index for 5th,18
consecutive year and of the DJSI Emerging Markets Index for 6th consecutive year,18
Selected to the Carbon Disclosure Projects climate change A List and Supplier Engagement Leaderboard for a second straight year becoming the only company in Taiwans financial sector to achieve the feat,13
Chosen as a constituent of the MSCI ESG Leaders Indexes for 5th consecutive year and,18
received an AA MSCI ESG rating in the Life Health Insurance category,3
Ranked third in Sustainalytics ESG risk ratings in the insurance industry,18
Selected to the FTSE4Good Emerging Indexes for a sixth year in a row,18
Received a Jade Award for ESG from The Asset its highest ESG Corporate Award,18
Received a Best CSR in Asia award from Corporate Governance Asia,12
Ranked 318th among the worlds 500 most valuable brands the highest among Taiwanese financial,15
holding companies for a second straight year,18
The only company in Taiwans financial sector to become a World Economic Forum WEF partner,18
Fubon since its establishment in 1961,12
Always uphold the consistent decent operation and positive thinking to promote business development,10
As a leading company in Taiwan,3
The challenges and responsibilities we face are even greater,10
These many accolades inspire us to work even harder to forge a sustainable future continue to build a consensus on ESG and create a common good,10
Leads all Taiwaninvested banks in outstanding loans for offshore wind,18
Taiwans biggest agriculture aquaculture insurer underwriting more than 80 of those categories of,23
projects has market share of 21,18
Taiwans biggest insurer of green energy projects ranks No 1 in market share,24
for solar power and wind power insurance,12
Issued Taiwans first green loan certified by a third party,12
First Taiwaninvested bank to introduce sustainabilitylinked loans,18
Greenhouse gas emissions generated in 2021 down 431 from 2020,25
Lowcarbon investment and green loans combine to avoid 155 million metric,12
Ranked No 1 among banks in Taiwan in top 10 among banks in Asia for the most women employees as a percentage of the total staff and percentage of recent graduate hires that are women in Asiamoneys Leaders for Women Survey,8
274 million job opportunities NT13 billion in wages created in the industrial chain by Fubon,11
Company volunteer services contributed NT2086 million in value to society,12
Obtained more than half of the shares of Jih Sun Financial Holdings in March 2021 paving the way,12
for Taiwans firstever merger of domestic financial holding companies,18
